Time,light_switch_old_byType,off_counter_byType,on_counter_byType,off_counter,on_counter,headlight
0.0,255.0,0.0,0.0,0.0,0.0,0.0
0.01,0.0,0.0,0.0,0.0,0.0,0.0
0.02,0.0,0.0,0.0,0.0,0.0,0.0
0.03,0.0,0.0,0.0,0.0,0.0,0.0
0.04,0.0,0.0,0.0,0.0,0.0,0.0
0.05,1.0,0.0,0.0,0.0,0.0,1.0
0.06,1.0,0.0,0.0,0.0,0.0,1.0
0.07,1.0,0.0,0.0,0.0,0.0,1.0
0.08,1.0,0.0,0.0,0.0,0.0,1.0
0.09,1.0,0.0,0.0,0.0,0.0,1.0
0.1,1.0,0.0,0.0,0.0,0.0,1.0
0.11,1.0,0.0,0.0,0.0,0.0,1.0
0.12,1.0,0.0,0.0,0.0,0.0,1.0
0.13,2.0,0.0,0.0,0.0,0.0,1.0
0.14,2.0,0.0,0.0,0.0,0.0,1.0
0.15,2.0,0.0,0.0,0.0,0.0,1.0
0.16,2.0,0.0,0.0,0.0,0.0,1.0
0.17,2.0,0.0,0.0,0.0,0.0,1.0
0.18,2.0,0.0,0.0,0.0,0.0,1.0
0.19,2.0,0.0,0.0,0.0,0.0,1.0
0.2,2.0,0.0,0.0,0.0,0.0,1.0
0.21,2.0,0.0,0.0,0.0,0.0,1.0
0.22,2.0,0.0,0.0,0.0,0.0,1.0
0.23,2.0,0.0,0.0,0.0,0.0,1.0
0.24,2.0,0.0,0.0,0.0,0.0,1.0
0.25,2.0,0.0,0.0,0.0,0.0,1.0
0.26,2.0,0.0,0.0,0.0,0.0,1.0
0.27,2.0,0.0,0.0,0.0,0.0,1.0
0.28,2.0,0.0,0.0,0.0,0.0,1.0
0.29,2.0,0.0,0.0,0.0,0.0,1.0
0.3,2.0,0.0,0.0,0.0,0.0,1.0
0.31,2.0,0.0,0.0,0.0,0.0,1.0
0.32,2.0,0.0,0.0,0.0,0.0,1.0
0.33,2.0,0.0,0.0,0.0,0.0,1.0
0.34,2.0,0.0,0.0,0.0,0.0,1.0
0.35,2.0,0.0,0.0,0.0,0.0,1.0
0.36,2.0,0.0,0.0,0.0,0.0,1.0
