"time","light_intensity","light_switch","headlight","light_switch_old"
0.01,0,0,0,0
0.03,0,0.235294,0,0
0.05,0,0.470588,0,0
0.07,0,0.705882,1,1
0.09,0,0.941176,1,1
0.11,0,1.17647,1,1
0.13,0,1.41176,1,1
0.15,0,1.64706,1,2
0.17,0,1.88235,1,2
0.19,0.111111,2,1,2
0.21,0.333333,2,1,2
0.23,0.555556,2,1,2
0.25,0.777778,2,1,2
0.27,1,2,1,2
0.29,1.22222,2,1,2
0.31,1.44444,2,1,2
0.33,1.66667,2,1,2
0.35,1.88889,2,1,2
0.37,11,2,1,2
0.39,41,2,1,2
0.41,72,2,1,2
0.43,95,2,1,2
0.45,99.9969,2,1,2
0.47,99.9906,2,1,2
0.49,99.9843,2,1,2
0.51,99.978,2,1,2
0.53,99.9717,2,1,2
0.55,99.9654,2,1,2
0.57,99.9591,2,1,2
0.59,99.9528,2,1,2
0.61,99.9465,2,1,2
0.63,99.9403,2,1,2
0.65,99.934,2,1,2
0.67,99.9277,2,1,2
0.69,99.9214,2,1,2
0.71,99.9151,2,1,2
0.73,99.9088,2,1,2
0.75,99.9025,2,1,2
0.77,99.8962,2,1,2
0.79,99.8899,2,1,2
0.81,99.8836,2,1,2
0.83,99.8774,2,1,2
0.85,99.8711,2,1,2
0.87,99.8648,2,1,2
0.89,99.8585,2,1,2
0.91,99.8522,2,1,2
0.93,99.8459,2,1,2
0.95,99.8396,2,1,2
0.97,99.8333,2,1,2
0.99,99.827,2,1,2
1.01,99.8208,2,1,2
1.03,99.8145,2,1,2
1.05,99.8082,2,1,2
1.07,99.8019,2,1,2
1.09,99.7956,2,1,2
1.11,99.7893,2,1,2
1.13,99.783,2,1,2
1.15,99.7767,2,1,2
1.17,99.7704,2,1,2
1.19,99.7642,2,1,2
1.21,99.7579,2,1,2
1.23,99.7516,2,1,2
1.25,99.7453,2,1,2
1.27,99.739,2,1,2
1.29,99.7327,2,1,2
1.31,99.7264,2,1,2
1.33,99.7201,2,1,2
1.35,99.7138,2,1,2
1.37,99.7075,2,1,2
1.39,99.7013,2,1,2
1.41,99.695,2,1,2
1.43,99.6887,2,1,2
1.45,99.6824,2,1,2
1.47,99.6761,2,1,2
1.49,99.6698,2,1,2
1.51,99.6635,2,1,2
1.53,99.6572,2,1,2
1.55,99.6509,2,1,2
1.57,99.6447,2,1,2
1.59,99.6384,2,1,2
1.61,99.6321,2,1,2
1.63,99.6258,2,1,2
1.65,99.6195,2,1,2
1.67,99.6132,2,1,2
1.69,99.6069,2,1,2
1.71,99.6006,2,1,2
1.73,99.5943,2,1,2
1.75,99.5881,2,1,2
1.77,99.5818,2,1,2
1.79,99.5755,2,1,2
1.81,99.5692,2,1,2
1.83,99.5629,2,1,2
1.85,99.5566,2,1,2
1.87,99.5503,2,1,2
1.89,99.544,2,1,2
1.91,99.5377,2,1,2
1.93,99.5314,2,1,2
1.95,99.5252,2,1,2
1.97,99.5189,2,1,2
1.99,99.5126,2,1,2
2.01,99.5063,2,1,2
2.03,99.5,2,1,2
2.05,99.4937,2,1,2
2.07,99.4874,2,1,2
2.09,99.4811,2,1,2
2.11,99.4748,2,1,2
2.13,99.4686,2,1,2
2.15,99.4623,2,1,2
2.17,99.456,2,1,2
2.19,99.4497,2,1,2
2.21,99.4434,2,1,2
2.23,99.4371,2,1,2
2.25,99.4308,2,1,2
2.27,99.4245,2,1,2
2.29,99.4182,2,1,2
2.31,99.4119,2,1,2
2.33,99.4057,2,1,2
2.35,99.3994,2,1,2
2.37,99.3931,2,1,2
2.39,99.3868,2,1,2
2.41,99.3805,2,1,2
2.43,99.3742,2,1,2
2.45,99.3679,2,1,2
2.47,99.3616,2,1,2
2.49,99.3553,2,1,2
2.51,99.3491,2,1,2
2.53,99.3428,2,1,2
2.55,99.3365,2,1,2
2.57,99.3302,2,1,2
2.59,99.3239,2,1,2
2.61,99.3176,2,1,2
2.63,99.3113,2,1,2
2.65,99.305,2,1,2
2.67,99.2987,2,1,2
2.69,99.2925,2,1,2
2.71,99.2862,2,1,2
2.73,99.2799,2,1,2
2.75,99.2736,2,1,2
2.77,99.2673,2,1,2
2.79,99.261,2,1,2
2.81,99.2547,2,1,2
2.83,99.2484,2,1,2
2.85,99.2421,2,1,2
2.87,99.2358,2,1,2
2.89,99.2296,2,1,2
2.91,99.2233,2,1,2
2.93,99.217,2,1,2
2.95,99.2107,2,1,2
2.97,99.2044,2,1,2
2.99,99.1981,2,1,2
3.01,99.1918,2,1,2
3.03,99.1855,2,1,2
3.05,99.1792,2,1,2
3.07,99.173,2,1,2
3.09,99.1667,2,1,2
3.11,99.1604,2,1,2
3.13,99.1541,2,1,2
3.15,99.1478,2,1,2
3.17,99.1415,2,1,2
3.19,99.1352,2,1,2
3.21,99.1289,2,1,2
3.23,99.1226,2,1,2
3.25,99.1164,2,1,2
3.27,99.1101,2,1,2
3.29,99.1038,2,1,2
3.31,99.0975,2,1,2
3.33,99.0912,2,1,2
3.35,99.0849,2,1,2
3.37,99.0786,2,1,2
3.39,99.0723,2,1,2
3.41,99.066,2,0,2
3.43,99.0597,2,0,2
3.45,99.0535,2,0,2
3.47,99.0472,2,0,2
3.49,99.0409,2,0,2
3.51,99.0346,2,0,2
3.53,99.0283,2,0,2
3.55,99.022,2,0,2
3.57,99.0157,2,0,2
3.59,99.0094,2,0,2
3.61,99.0031,2,0,2
3.63,98,2,0,2
3.65,63,2,0,2
3.67,40,2,0,2
3.69,30,2,0,2
3.71,27,2,0,2
3.73,27.0429,2,0,2
3.75,27.0857,2,0,2
3.77,27.1286,2,0,2
3.79,27.1714,2,0,2
3.81,27.2143,2,0,2
3.83,27.2571,2,0,2
3.85,27.3,2,0,2
3.87,27.3429,2,0,2
3.89,27.3857,2,0,2
3.91,27.4286,2,0,2
3.93,27.4714,2,0,2
3.95,27.5143,2,0,2
3.97,27.5571,2,0,2
3.99,27.6,2,0,2
4.01,27.6429,2,0,2
4.03,27.6857,2,0,2
4.05,27.7286,2,0,2
4.07,27.7714,2,0,2
4.09,27.8143,2,0,2
4.11,27.8571,2,0,2
4.13,27.9,2,0,2
4.15,27.9429,2,0,2
4.17,27.9857,2,0,2
4.19,28.0286,2,0,2
4.21,28.0714,2,0,2
4.23,28.1143,2,0,2
4.25,28.1571,2,0,2
4.27,28.2,2,0,2
4.29,28.2429,2,0,2
4.31,28.2857,2,0,2
4.33,28.3286,2,0,2
4.35,28.3714,2,0,2
4.37,28.4143,2,0,2
4.39,28.4571,2,0,2
4.41,28.5,2,0,2
4.43,28.5429,2,0,2
4.45,28.5857,2,0,2
4.47,28.6286,2,0,2
4.49,28.6714,2,0,2
4.51,28.7143,2,0,2
4.53,28.7571,2,0,2
4.55,28.8,2,0,2
4.57,28.8429,2,0,2
4.59,28.8857,2,0,2
4.61,28.9286,2,0,2
4.63,28.9714,2,0,2
4.65,29.0143,2,0,2
4.67,29.0571,2,0,2
4.69,29.1,2,0,2
4.71,29.1429,2,0,2
4.73,29.1857,2,0,2
4.75,29.2286,2,0,2
4.77,29.2714,2,0,2
4.79,29.3143,2,0,2
4.81,29.3571,2,0,2
4.83,29.4,2,0,2
4.85,29.4429,2,0,2
4.87,29.4857,2,0,2
4.89,29.5286,2,0,2
4.91,29.5714,2,0,2
4.93,29.6143,2,0,2
4.95,29.6571,2,0,2
4.97,29.7,2,0,2
4.99,29.7429,2,0,2
5.01,29.7857,2,0,2
5.03,29.8286,2,0,2
5.05,29.8714,2,0,2
5.07,29.9143,2,0,2
5.09,29.9571,2,0,2
5.11,30,2,0,2
5.13,30.0429,2,0,2
5.15,30.0857,2,0,2
5.17,30.1286,2,0,2
5.19,30.1714,2,0,2
5.21,30.2143,2,0,2
5.23,30.2571,2,0,2
5.25,30.3,2,0,2
5.27,30.3429,2,0,2
5.29,30.3857,2,0,2
5.31,30.4286,2,0,2
5.33,30.4714,2,0,2
5.35,30.5143,2,0,2
5.37,30.5571,2,0,2
5.39,30.6,2,0,2
5.41,30.6429,2,0,2
5.43,30.6857,2,0,2
5.45,30.7286,2,0,2
5.47,30.7714,2,0,2
5.49,30.8143,2,0,2
5.51,30.8571,2,0,2
5.53,30.9,2,0,2
5.55,30.9429,2,0,2
5.57,30.9857,2,0,2
5.59,31.0286,2,0,2
5.61,31.0714,2,0,2
5.63,31.1143,2,0,2
5.65,31.1571,2,0,2
5.67,31.2,2,1,2
5.69,31.2429,2,1,2
5.71,31.2857,2,1,2
5.73,31.3286,2,1,2
5.75,31.3714,2,1,2
5.77,31.4143,2,1,2
5.79,31.4571,2,1,2
5.81,31.5,2,1,2
5.83,31.5429,2,1,2
5.85,31.5857,2,1,2
5.87,31.6286,2,1,2
5.89,31.6714,2,1,2
5.91,31.7143,2,1,2
5.93,31.7571,2,1,2
5.95,31.8,2,1,2
5.97,31.8429,2,1,2
5.99,31.8857,2,1,2
6.01,31.9286,2,1,2
6.03,31.9714,2,1,2
6.05,32.0143,2,1,2
6.07,32.0571,2,1,2
6.09,32.1,2,1,2
6.11,32.1429,2,1,2
6.13,32.1857,2,1,2
6.15,32.2286,2,1,2
6.17,32.2714,2,1,2
6.19,32.3143,2,1,2
6.21,32.3571,2,1,2
6.23,32.4,2,1,2
6.25,32.4429,2,1,2
6.27,32.4857,2,1,2
6.29,32.5286,2,1,2
6.31,32.5714,2,1,2
6.33,32.6143,2,1,2
6.35,32.6571,2,1,2
6.37,32.7,2,1,2
6.39,32.7429,2,1,2
6.41,32.7857,2,1,2
6.43,32.8286,2,1,2
6.45,32.8714,2,1,2
6.47,32.9143,2,1,2
6.49,32.9571,2,1,2
6.51,33,2,1,2
6.53,60,2,1,2
6.55,88,2,1,2
6.57,100,2,1,2
6.59,100,2,1,2
6.61,100,2,1,2
6.63,100,2,1,2
6.65,100,2,1,2
6.67,100,2,1,2
6.69,100,2,1,2
6.71,100,2,1,2
6.73,100,2,1,2
6.75,100,2,1,2
6.77,100,2,1,2
6.79,100,2,1,2
6.81,100,2,1,2
6.83,100,2,1,2
6.85,100,2,1,2
6.87,100,2,1,2
6.89,100,2,1,2
6.91,100,2,1,2
6.93,100,2,1,2
6.95,100,2,1,2
6.97,100,2,1,2
6.99,100,2,1,2
7,100,2,1,2
