"time","outputs1","outputs2","outputs3","outputs4"
0,10,0,0,0
0.001,9.99,0.01,0,0
0.002,9.98031,0.02,0,0
0.003,9.97094,0.03,0,0
0.004,9.96188,0.0399999,0,0
0.005,9.95314,0.0499998,0,0
0.006,9.9447,0.0599997,0,0
0.007,9.93658,0.0699995,0,0
0.008,9.92876,0.0799991,0,0
0.009,9.92124,0.0899987,0,0
0.01,9.91403,0.0999982,0,0
0.011,9.90713,0.109997,0,0
0.012,9.90051,0.119997,0,0
0.013,9.8942,0.129996,0,0
0.014,9.88817,0.139994,0,0
0.015,9.88243,0.149993,0,0
0.016,9.87697,0.159991,0,0
0.017,9.87179,0.169989,0,0
0.018,9.86688,0.179987,0,0
0.019,9.86224,0.189985,0,0
0.02,9.85787,0.199982,0,0
0.021,9.85375,0.209979,0,0
0.022,9.84988,0.219976,0,0
0.023,9.84626,0.229972,0,0
0.024,9.84287,0.239969,0,0
0.025,9.83972,0.249964,0,0
0.026,9.8368,0.25996,0,0
0.027,9.83409,0.269954,0,0
0.028,9.8316,0.279949,0,0
0.029,9.82931,0.289943,0,0
0.03,9.82722,0.299937,0,0
0.031,9.82532,0.30993,0,0
0.032,9.82359,0.319923,0,0
0.033,9.82205,0.329915,0,0
0.034,9.82066,0.339907,0,0
0.035,9.81943,0.349898,0,0
0.036,9.81835,0.359888,0,0
0.037,9.81741,0.369879,0,0
0.038,9.8166,0.379868,0,0
0.039,9.81591,0.389857,0,0
0.04,9.81533,0.399846,0,0
0.041,9.81485,0.409833,0,0
0.042,9.81447,0.41982,0,0
0.043,9.81417,0.429807,0,0
0.044,9.81394,0.439793,0,0
0.045,9.81378,0.449778,0,0
0.046,9.81367,0.459762,0,0
0.047,9.81361,0.469746,0,0
0.048,9.81358,0.479729,0,0
0.049,9.81358,0.489711,0,0
0.05,9.81359,0.499693,0,0
0.051,9.81361,0.509674,0,0
0.052,9.81363,0.519654,0,0
0.053,9.81363,0.529633,0,0
0.054,9.8136,0.539611,0,0
0.055,9.81355,0.549589,0,0
0.056,9.81345,0.559565,0,0
0.057,9.81329,0.569541,0,0
0.058,9.81308,0.579516,0,0
0.059,9.81279,0.58949,0,0
0.06,9.81242,0.599463,0,0
0.061,9.81196,0.609435,0,0
0.062,9.8114,0.619407,0,0
0.063,9.81072,0.629377,0,0
0.064,9.80993,0.639346,0,0
0.065,9.80901,0.649315,0,0
0.066,9.80795,0.659282,0,0
0.067,9.80675,0.669248,0,0
0.068,9.80539,0.679213,0,0
0.069,9.80387,0.689178,0,0
0.07,9.80218,0.699141,0,0
0.071,9.80031,0.709103,0,0
0.072,9.79825,0.719064,0,0
0.073,9.79599,0.729024,0,0
0.074,9.79354,0.738982,0,0
0.075,9.79087,0.74894,0,0
0.076,9.78798,0.758896,0,0
0.077,9.78487,0.768851,0,0
0.078,9.78153,0.778805,0,0
0.079,9.77795,0.788758,0,0
0.08,9.77413,0.79871,0,0
0.081,9.77006,0.80866,0,0
0.082,9.76573,0.818609,0,0
0.083,9.76114,0.828557,0,0
0.084,9.75629,0.838503,0,0
0.085,9.75116,0.848448,0,0
0.086,9.74575,0.858392,0,0
0.087,9.74007,0.868335,0,0
0.088,9.7341,0.878276,0,0
0.089,9.72784,0.888216,0,0
0.09,9.72129,0.898154,0,0
0.091,9.71444,0.908091,0,0
0.092,9.7073,0.918027,0,0
0.093,9.69985,0.927961,0,0
0.094,9.6921,0.937894,0,0
0.095,9.68404,0.947825,0,0
0.096,9.67568,0.957755,0,0
0.097,9.667,0.967683,0,0
0.098,9.65802,0.97761,0,0
0.099,9.64872,0.987535,0,0
0.1,9.63911,0.997459,0,0
0.101,9.62919,1.00738,0,0
0.102,9.61895,1.0173,0,0
0.103,9.60841,1.02722,0,0
0.104,9.59755,1.03714,0,0
0.105,9.58638,1.04705,0,0
0.106,9.5749,1.05697,0,0
0.107,9.56311,1.06688,0,0
0.108,9.55102,1.07679,0,0
0.109,9.53862,1.0867,0,0
0.11,9.52593,1.09661,0,0
0.111,9.51293,1.10651,0,0
0.112,9.49964,1.11642,0,0
0.113,9.48606,1.12632,0,0
0.114,9.47218,1.13622,0,0
0.115,9.45803,1.14612,0,0
0.116,9.44359,1.15602,0,0
0.117,9.42888,1.16591,0,0
0.118,9.41389,1.1758,0,0
0.119,9.39865,1.1857,0,0
0.12,9.38313,1.19558,0,0
0.121,9.36737,1.20547,0,0
0.122,9.35135,1.21536,0,0
0.123,9.3351,1.22524,0,0
0.124,9.3186,1.23512,0,0
0.125,9.30188,1.245,0,0
0.126,9.28493,1.25488,0,0
0.127,9.26776,1.26476,0,0
0.128,9.25039,1.27463,0,0
0.129,9.23281,1.2845,0,0
0.13,9.21504,1.29438,0,0
0.131,9.19708,1.30424,0,0
0.132,9.17894,1.31411,0,0
0.133,9.16063,1.32397,0,0
0.134,9.14216,1.33384,0,0
0.135,9.12354,1.3437,0,0
0.136,9.10477,1.35355,0,0
0.137,9.08587,1.36341,0,0
0.138,9.06684,1.37326,0,0
0.139,9.04769,1.38311,0,0
0.14,9.02843,1.39296,0,0
0.141,9.00907,1.40281,0,0
0.142,8.98963,1.41265,0,0
0.143,8.9701,1.4225,0,0
0.144,8.9505,1.43234,0,0
0.145,8.93084,1.44218,0,0
0.146,8.91112,1.45201,0,0
0.147,8.89137,1.46185,0,0
0.148,8.87158,1.47168,0,0
0.149,8.85177,1.48151,0,0
0.15,8.83195,1.49133,0,0
0.151,8.81213,1.50116,0,0
0.152,8.79231,1.51098,0,0
0.153,8.77251,1.5208,0,0
0.154,8.75274,1.53062,0,0
0.155,8.733,1.54043,0,0
0.156,8.71331,1.55024,0,0
0.157,8.69368,1.56005,0,0
0.158,8.67411,1.56986,0,0
0.159,8.65462,1.57967,0,0
0.16,8.63522,1.58947,0,0
0.161,8.6159,1.59927,0,0
0.162,8.5967,1.60907,0,0
0.163,8.57761,1.61886,0,0
0.164,8.55864,1.62865,0,0
0.165,8.5398,1.63844,0,0
0.166,8.5211,1.64823,0,0
0.167,8.50255,1.65802,0,0
0.168,8.48416,1.6678,0,0
0.169,8.46594,1.67758,0,0
0.17,8.44789,1.68736,0,0
0.171,8.43003,1.69713,0,0
0.172,8.41235,1.7069,0,0
0.173,8.39488,1.71667,0,0
0.174,8.37761,1.72644,0,0
0.175,8.36056,1.7362,0,0
0.176,8.34373,1.74596,0,0
0.177,8.32712,1.75572,0,0
0.178,8.31075,1.76547,0,0
0.179,8.29463,1.77523,0,0
0.18,8.27875,1.78498,0,0
0.181,8.26312,1.79472,0,0
0.182,8.24776,1.80447,0,0
0.183,8.23266,1.81421,0,0
0.184,8.21783,1.82395,0,0
0.185,8.20328,1.83368,0,0
0.186,8.189,1.84342,0,0
0.187,8.17502,1.85315,0,0
0.188,8.16132,1.86287,0,0
0.189,8.14791,1.8726,0,0
0.19,8.1348,1.88232,0,0
0.191,8.122,1.89204,0,0
0.192,8.10949,1.90175,0,0
0.193,8.09729,1.91146,0,0
0.194,8.0854,1.92117,0,0
0.195,8.07382,1.93088,0,0
0.196,8.06255,1.94058,0,0
0.197,8.0516,1.95028,0,0
0.198,8.04096,1.95998,0,0
0.199,8.03064,1.96967,0,0
0.2,8.02063,1.97937,0,0
0.201,8.01095,1.98905,0,0
0.202,8.00158,1.99874,0,0
0.203,7.99252,2.00842,0,0
0.204,7.98379,2.0181,0,0
0.205,7.97536,2.02777,0,0
0.206,7.96726,2.03745,0,0
0.207,7.95946,2.04711,0,0
0.208,7.95198,2.05678,0,0
0.209,7.9448,2.06644,0,0
0.21,7.93793,2.0761,0,0
0.211,7.93137,2.08576,0,0
0.212,7.9251,2.09541,0,0
0.213,7.91913,2.10506,0,0
0.214,7.91346,2.11471,0,0
0.215,7.90807,2.12435,0,0
0.216,7.90297,2.13399,0,0
0.217,7.89816,2.14362,0,0
0.218,7.89361,2.15326,0,0
0.219,7.88934,2.16289,0,0
0.22,7.88534,2.17251,0,0
0.221,7.88159,2.18213,0,0
0.222,7.8781,2.19175,0,0
0.223,7.87486,2.20137,0,0
0.224,7.87186,2.21098,0,0
0.225,7.8691,2.22059,0,0
0.226,7.86656,2.23019,0,0
0.227,7.86425,2.2398,0,0
0.228,7.86216,2.24939,0,0
0.229,7.86027,2.25899,0,0
0.23,7.85858,2.26858,0,0
0.231,7.85708,2.27817,0,0
0.232,7.85577,2.28775,0,0
0.233,7.85463,2.29733,0,0
0.234,7.85366,2.30691,0,0
0.235,7.85285,2.31648,0,0
0.236,7.85219,2.32605,0,0
0.237,7.85167,2.33562,0,0
0.238,7.85129,2.34518,0,0
0.239,7.85103,2.35474,0,0
0.24,7.85088,2.36429,0,0
0.241,7.85084,2.37384,0,0
0.242,7.8509,2.38339,0,0
0.243,7.85104,2.39293,0,0
0.244,7.85126,2.40247,0,0
0.245,7.85155,2.41201,0,0
0.246,7.85189,2.42154,0,0
0.247,7.85228,2.43107,0,0
0.248,7.85271,2.44059,0,0
0.249,7.85317,2.45011,0,0
0.25,7.85365,2.45963,0,0
0.251,7.85414,2.46914,0,0
0.252,7.85462,2.47865,0,0
0.253,7.8551,2.48816,0,0
0.254,7.85555,2.49766,0,0
0.255,7.85598,2.50716,0,0
0.256,7.85636,2.51665,0,0
0.257,7.85669,2.52614,0,0
0.258,7.85697,2.53563,0,0
0.259,7.85717,2.54511,0,0
0.26,7.8573,2.55459,0,0
0.261,7.85734,2.56406,0,0
0.262,7.85727,2.57353,0,0
0.263,7.85711,2.58299,0,0
0.264,7.85682,2.59246,0,0
0.265,7.85641,2.60191,0,0
0.266,7.85587,2.61137,0,0
0.267,7.85518,2.62081,0,0
0.268,7.85435,2.63026,0,0
0.269,7.85335,2.6397,0,0
0.27,7.85218,2.64914,0,0
0.271,7.85084,2.65857,0,0
0.272,7.84931,2.668,0,0
0.273,7.8476,2.67742,0,0
0.274,7.84568,2.68684,0,0
0.275,7.84355,2.69626,0,0
0.276,7.84121,2.70567,0,0
0.277,7.83865,2.71508,0,0
0.278,7.83586,2.72448,0,0
0.279,7.83283,2.73388,0,0
0.28,7.82957,2.74327,0,0
0.281,7.82606,2.75266,0,0
0.282,7.82229,2.76205,0,0
0.283,7.81827,2.77143,0,0
0.284,7.81398,2.78081,0,0
0.285,7.80943,2.79018,0,0
0.286,7.8046,2.79955,0,0
0.287,7.79949,2.80891,0,0
0.288,7.7941,2.81827,0,0
0.289,7.78843,2.82763,0,0
0.29,7.78247,2.83698,0,0
0.291,7.77621,2.84632,0,0
0.292,7.76966,2.85567,0,0
0.293,7.76281,2.865,0,0
0.294,7.75566,2.87434,0,0
0.295,7.7482,2.88366,0,0
0.296,7.74044,2.89299,0,0
0.297,7.73238,2.90231,0,0
0.298,7.72401,2.91162,0,0
0.299,7.71532,2.92093,0,0
0.3,7.70633,2.93024,0,0
0.301,7.69703,2.93954,0,0
0.302,7.68742,2.94883,0,0
0.303,7.6775,2.95812,0,0
0.304,7.66727,2.96741,0,0
0.305,7.65674,2.97669,0,0
0.306,7.6459,2.98597,0,0
0.307,7.63475,2.99524,0,0
0.308,7.6233,3.00451,0,0
0.309,7.61155,3.01377,0,0
0.31,7.5995,3.02303,0,0
0.311,7.58716,3.03229,0,0
0.312,7.57452,3.04154,0,0
0.313,7.5616,3.05078,0,0
0.314,7.54839,3.06002,0,0
0.315,7.53489,3.06925,0,0
0.316,7.52112,3.07848,0,0
0.317,7.50708,3.08771,0,0
0.318,7.49277,3.09693,0,0
0.319,7.4782,3.10614,0,0
0.32,7.46337,3.11535,0,0
0.321,7.44828,3.12456,0,0
0.322,7.43295,3.13376,0,0
0.323,7.41738,3.14296,0,0
0.324,7.40158,3.15215,0,0
0.325,7.38555,3.16133,0,0
0.326,7.3693,3.17051,0,0
0.327,7.35283,3.17969,0,0
0.328,7.33616,3.18886,0,0
0.329,7.31929,3.19802,0,0
0.33,7.30223,3.20719,0,0
0.331,7.28498,3.21634,0,0
0.332,7.26756,3.22549,0,0
0.333,7.24997,3.23464,0,0
0.334,7.23222,3.24378,0,0
0.335,7.21432,3.25291,0,0
0.336,7.19628,3.26204,0,0
0.337,7.17811,3.27117,0,0
0.338,7.15981,3.28029,0,0
0.339,7.1414,3.2894,0,0
0.34,7.12288,3.29851,0,0
0.341,7.10427,3.30762,0,0
0.342,7.08556,3.31672,0,0
0.343,7.06679,3.32581,0,0
0.344,7.04794,3.3349,0,0
0.345,7.02903,3.34398,0,0
0.346,7.01008,3.35306,0,0
0.347,6.99108,3.36213,0,0
0.348,6.97206,3.3712,0,0
0.349,6.95302,3.38026,0,0
0.35,6.93396,3.38932,0,0
0.351,6.91491,3.39837,0,0
0.352,6.89587,3.40742,0,0
0.353,6.87685,3.41646,0,0
0.354,6.85786,3.42549,0,0
0.355,6.83891,3.43452,0,0
0.356,6.82001,3.44355,0,0
0.357,6.80116,3.45257,0,0
0.358,6.78239,3.46158,0,0
0.359,6.7637,3.47059,0,0
0.36,6.74509,3.47959,0,0
0.361,6.72658,3.48859,0,0
0.362,6.70818,3.49758,0,0
0.363,6.6899,3.50657,0,0
0.364,6.67174,3.51555,0,0
0.365,6.65371,3.52453,0,0
0.366,6.63583,3.5335,0,0
0.367,6.61811,3.54246,0,0
0.368,6.60054,3.55142,0,0
0.369,6.58314,3.56037,0,0
0.37,6.56593,3.56932,0,0
0.371,6.54889,3.57826,0,0
0.372,6.53206,3.5872,0,0
0.373,6.51542,3.59613,0,0
0.374,6.49899,3.60505,0,0
0.375,6.48278,3.61397,0,0
0.376,6.4668,3.62289,0,0
0.377,6.45105,3.6318,0,0
0.378,6.43553,3.6407,0,0
0.379,6.42026,3.64959,0,0
0.38,6.40524,3.65849,0,0
0.381,6.39048,3.66737,0,0
0.382,6.37598,3.67625,0,0
0.383,6.36175,3.68512,0,0
0.384,6.34779,3.69399,0,0
0.385,6.33411,3.70285,0,0
0.386,6.32071,3.71171,0,0
0.387,6.3076,3.72056,0,0
0.388,6.29479,3.7294,0,0
0.389,6.28227,3.73824,0,0
0.39,6.27005,3.74707,0,0
0.391,6.25813,3.7559,0,0
0.392,6.24652,3.76472,0,0
0.393,6.23522,3.77354,0,0
0.394,6.22423,3.78234,0,0
0.395,6.21355,3.79115,0,0
0.396,6.20319,3.79994,0,0
0.397,6.19315,3.80874,0,0
0.398,6.18342,3.81752,0,0
0.399,6.17401,3.8263,0,0
0.4,6.16493,3.83507,0,0
0.401,6.15616,3.84384,0,0
0.402,6.14771,3.8426,0.01,0
0.403,6.13959,3.84136,0.02,0
0.404,6.13178,3.8401,0.03,0
0.405,6.12429,3.83885,0.04,0
0.406,6.11712,3.83758,0.05,0
0.407,6.11026,3.83631,0.06,0
0.408,6.10372,3.83504,0.07,0
0.409,6.09749,3.83376,0.08,0
0.41,6.09157,3.83247,0.09,0
0.411,6.08595,3.83117,0.1,0
0.412,6.08064,3.82987,0.11,0
0.413,6.07563,3.82857,0.12,0
0.414,6.07091,3.82725,0.13,0
0.415,6.06649,3.82593,0.14,0
0.416,6.06235,3.82461,0.15,0
0.417,6.0585,3.82328,0.16,0
0.418,6.05493,3.82194,0.17,0
0.419,6.05163,3.8206,0.18,0
0.42,6.0486,3.81924,0.19,0
0.421,6.04584,3.81789,0.2,0
0.422,6.04333,3.81653,0.21,0
0.423,6.04107,3.81516,0.22,0
0.424,6.03906,3.81378,0.23,0
0.425,6.03729,3.8124,0.24,0
0.426,6.03575,3.81101,0.25,0
0.427,6.03443,3.80961,0.26,0
0.428,6.03334,3.80821,0.27,0
0.429,6.03245,3.80681,0.28,0
0.43,6.03177,3.80539,0.29,0
0.431,6.03128,3.80397,0.3,0
0.432,6.03097,3.80254,0.31,0
0.433,6.03085,3.80111,0.32,0
0.434,6.0309,3.79967,0.33,0
0.435,6.03111,3.79822,0.34,0
0.436,6.03147,3.79677,0.35,0
0.437,6.03198,3.79531,0.36,0
0.438,6.03262,3.79384,0.37,0
0.439,6.03339,3.79237,0.38,0
0.44,6.03428,3.79089,0.39,0
0.441,6.03528,3.78941,0.4,0
0.442,6.03637,3.78791,0.41,0
0.443,6.03756,3.78641,0.42,0
0.444,6.03882,3.78491,0.43,0
0.445,6.04016,3.7834,0.44,0
0.446,6.04155,3.78188,0.45,0
0.447,6.043,3.78035,0.46,0
0.448,6.04449,3.77882,0.47,0
0.449,6.04601,3.77728,0.48,0
0.45,6.04755,3.77573,0.49,0
0.451,6.0491,3.77418,0.5,0
0.452,6.05066,3.77262,0.51,0
0.453,6.0522,3.77106,0.52,0
0.454,6.05373,3.76948,0.53,0
0.455,6.05523,3.76791,0.54,0
0.456,6.05669,3.76632,0.55,0
0.457,6.05811,3.76473,0.56,0
0.458,6.05947,3.76313,0.57,0
0.459,6.06076,3.76152,0.58,0
0.46,6.06198,3.75991,0.59,0
0.461,6.06311,3.75829,0.6,0
0.462,6.06414,3.75666,0.61,0
0.463,6.06508,3.75502,0.62,0
0.464,6.0659,3.75338,0.63,0
0.465,6.06659,3.75174,0.64,0
0.466,6.06716,3.75008,0.65,0
0.467,6.06758,3.74842,0.66,0
0.468,6.06786,3.74675,0.67,0
0.469,6.06798,3.74507,0.68,0
0.47,6.06793,3.74339,0.69,0
