"time","h","der(h)","v","der(v)"
0,1,0,0,-9.81
0.004,0.999767,-0.0517644,-0.0517644,-9.81
0.008,0.99959,-0.0910044,-0.0910044,-9.81
0.012,0.999068,-0.131911,-0.131911,-9.81
0.016,0.998499,-0.171151,-0.171151,-9.81
0.02,0.998136,-0.1962,-0.1962,-9.81
0.024,0.996909,-0.246298,-0.246298,-9.81
0.028,0.995947,-0.285538,-0.285538,-9.81
0.032,0.994451,-0.331445,-0.331445,-9.81
0.036,0.993097,-0.370685,-0.370685,-9.81
0.04,0.992348,-0.3924,-0.3924,-9.81
0.044,0.99017,-0.441356,-0.441356,-9.81
0.048,0.988423,-0.480596,-0.480596,-9.81
0.052,0.986913,-0.51012,-0.51012,-9.81
0.056,0.984775,-0.54936,-0.54936,-9.81
0.06,0.982636,-0.5886,-0.5886,-9.81
0.064,0.980105,-0.62784,-0.62784,-9.81
0.068,0.977574,-0.66708,-0.66708,-9.81
0.072,0.974847,-0.70632,-0.70632,-9.81
0.076,0.971924,-0.74556,-0.74556,-9.81
0.08,0.969,-0.7848,-0.7848,-9.81
0.084,0.965685,-0.82404,-0.82404,-9.81
0.088,0.962369,-0.86328,-0.86328,-9.81
0.092,0.958857,-0.90252,-0.90252,-9.81
0.096,0.955149,-0.94176,-0.94176,-9.81
0.1,0.951441,-0.981,-0.981,-9.81
0.104,0.94734,-1.02024,-1.02024,-9.81
0.108,0.943239,-1.05948,-1.05948,-9.81
0.112,0.938943,-1.09872,-1.09872,-9.81
0.116,0.93445,-1.13796,-1.13796,-9.81
0.12,0.929957,-1.1772,-1.1772,-9.81
0.124,0.925071,-1.21644,-1.21644,-9.81
0.128,0.920186,-1.25568,-1.25568,-9.81
0.132,0.915104,-1.29492,-1.29492,-9.81
0.136,0.909826,-1.33416,-1.33416,-9.81
0.14,0.904549,-1.3734,-1.3734,-9.81
0.144,0.898879,-1.41264,-1.41264,-9.81
0.148,0.893208,-1.45188,-1.45188,-9.81
0.152,0.887342,-1.49112,-1.49112,-9.81
0.156,0.881279,-1.53036,-1.53036,-9.81
0.16,0.875217,-1.5696,-1.5696,-9.81
0.164,0.868762,-1.60884,-1.60884,-9.81
0.168,0.862307,-1.64808,-1.64808,-9.81
0.172,0.855656,-1.68732,-1.68732,-9.81
0.176,0.848808,-1.72656,-1.72656,-9.81
0.18,0.841961,-1.7658,-1.7658,-9.81
0.184,0.834721,-1.80504,-1.80504,-9.81
0.188,0.827481,-1.84428,-1.84428,-9.81
0.192,0.820045,-1.88352,-1.88352,-9.81
0.196,0.812413,-1.92276,-1.92276,-9.81
0.2,0.804781,-1.962,-1.962,-9.81
0.204,0.796756,-2.00124,-2.00124,-9.81
0.208,0.788732,-2.04048,-2.04048,-9.81
0.212,0.780511,-2.07972,-2.07972,-9.81
0.216,0.772094,-2.11896,-2.11896,-9.81
0.22,0.763677,-2.1582,-2.1582,-9.81
0.224,0.754868,-2.19744,-2.19744,-9.81
0.228,0.746058,-2.23668,-2.23668,-9.81
0.232,0.737053,-2.27592,-2.27592,-9.81
0.236,0.727851,-2.31516,-2.31516,-9.81
0.24,0.718649,-2.3544,-2.3544,-9.81
0.244,0.709055,-2.39364,-2.39364,-9.81
0.248,0.699461,-2.43288,-2.43288,-9.81
0.252,0.68967,-2.47212,-2.47212,-9.81
0.256,0.679684,-2.51136,-2.51136,-9.81
0.26,0.669697,-2.5506,-2.5506,-9.81
0.264,0.659318,-2.58984,-2.58984,-9.81
0.268,0.648939,-2.62908,-2.62908,-9.81
0.272,0.638364,-2.66832,-2.66832,-9.81
0.276,0.627593,-2.70756,-2.70756,-9.81
0.28,0.616821,-2.7468,-2.7468,-9.81
0.284,0.605658,-2.78604,-2.78604,-9.81
0.288,0.594494,-2.82528,-2.82528,-9.81
0.292,0.583134,-2.86452,-2.86452,-9.81
0.296,0.571578,-2.90376,-2.90376,-9.81
0.3,0.560022,-2.943,-2.943,-9.81
0.304,0.548073,-2.98224,-2.98224,-9.81
0.308,0.536124,-3.02148,-3.02148,-9.81
0.312,0.52398,-3.06072,-3.06072,-9.81
0.316,0.511639,-3.09996,-3.09996,-9.81
0.32,0.499298,-3.1392,-3.1392,-9.81
0.324,0.486564,-3.17844,-3.17844,-9.81
0.328,0.473831,-3.21768,-3.21768,-9.81
0.332,0.460901,-3.25692,-3.25692,-9.81
0.336,0.447775,-3.29616,-3.29616,-9.81
0.34,0.43465,-3.3354,-3.3354,-9.81
0.344,0.421132,-3.37464,-3.37464,-9.81
0.348,0.407613,-3.41388,-3.41388,-9.81
0.352,0.393899,-3.45312,-3.45312,-9.81
0.356,0.379988,-3.49236,-3.49236,-9.81
0.36,0.366078,-3.5316,-3.5316,-9.81
0.364,0.351775,-3.57084,-3.57084,-9.81
0.368,0.337472,-3.61008,-3.61008,-9.81
0.372,0.322973,-3.64932,-3.64932,-9.81
0.376,0.308277,-3.68856,-3.68856,-9.81
0.38,0.293582,-3.7278,-3.7278,-9.81
0.384,0.278494,-3.76704,-3.76704,-9.81
0.388,0.263406,-3.80628,-3.80628,-9.81
0.392,0.248122,-3.84552,-3.84552,-9.81
0.396,0.232642,-3.88476,-3.88476,-9.81
0.4,0.217162,-3.924,-3.924,-9.81
0.404,0.201289,-3.96324,-3.96324,-9.81
0.408,0.185417,-4.00248,-4.00248,-9.81
0.412,0.169348,-4.04172,-4.04172,-9.81
0.416,0.153083,-4.08096,-4.08096,-9.81
0.42,0.136818,-4.1202,-4.1202,-9.81
0.424,0.120161,-4.15944,-4.15944,-9.81
0.428,0.103503,-4.19868,-4.19868,-9.81
0.432,0.0866498,-4.23792,-4.23792,-9.81
0.436,0.0696,-4.27716,-4.27716,-9.81
0.44,0.0525502,-4.3164,-4.3164,-9.81
0.444,0.035108,-4.35564,-4.35564,-9.81
0.448,0.0176658,-4.39488,-4.39488,-9.81
0.452,0.010604,-2.92318,-2.92318,-9.81
0.456,0.0139225,0.0594486,0.0594486,-9.81
0.46,0.0172411,3.04208,3.04208,-9.81
0.464,0.0292328,3.00284,3.00284,-9.81
0.468,0.0412246,2.9636,2.9636,-9.81
0.472,0.0530201,2.92436,2.92436,-9.81
0.476,0.0646194,2.88512,2.88512,-9.81
0.48,0.0762188,2.84588,2.84588,-9.81
0.484,0.0874257,2.80664,2.80664,-9.81
0.488,0.0986327,2.7674,2.7674,-9.81
0.492,0.109643,2.72816,2.72816,-9.81
0.496,0.120458,2.68892,2.68892,-9.81
0.5,0.131273,2.64968,2.64968,-9.81
0.504,0.141695,2.61044,2.61044,-9.81
0.508,0.152117,2.5712,2.5712,-9.81
0.512,0.162343,2.53196,2.53196,-9.81
0.516,0.172372,2.49272,2.49272,-9.81
0.52,0.182402,2.45348,2.45348,-9.81
0.524,0.19204,2.41424,2.41424,-9.81
0.528,0.201677,2.375,2.375,-9.81
0.532,0.211118,2.33576,2.33576,-9.81
0.536,0.220363,2.29652,2.29652,-9.81
0.54,0.229608,2.25728,2.25728,-9.81
0.544,0.23846,2.21804,2.21804,-9.81
0.548,0.247313,2.1788,2.1788,-9.81
0.552,0.255969,2.13956,2.13956,-9.81
0.556,0.26443,2.10032,2.10032,-9.81
0.56,0.27289,2.06108,2.06108,-9.81
0.564,0.280957,2.02184,2.02184,-9.81
0.568,0.289025,1.9826,1.9826,-9.81
0.572,0.296897,1.94336,1.94336,-9.81
0.576,0.304572,1.90412,1.90412,-9.81
0.58,0.312247,1.86488,1.86488,-9.81
0.584,0.31953,1.82564,1.82564,-9.81
0.588,0.326813,1.7864,1.7864,-9.81
0.592,0.3339,1.74716,1.74716,-9.81
0.596,0.340791,1.70792,1.70792,-9.81
0.6,0.347681,1.66868,1.66868,-9.81
0.604,0.354179,1.62944,1.62944,-9.81
0.608,0.360677,1.5902,1.5902,-9.81
0.612,0.366979,1.55096,1.55096,-9.81
0.616,0.373085,1.51172,1.51172,-9.81
0.62,0.379191,1.47248,1.47248,-9.81
0.624,0.384904,1.43324,1.43324,-9.81
0.628,0.390618,1.394,1.394,-9.81
0.632,0.396135,1.35476,1.35476,-9.81
0.636,0.401456,1.31552,1.31552,-9.81
0.64,0.406777,1.27628,1.27628,-9.81
0.644,0.411705,1.23704,1.23704,-9.81
0.648,0.416634,1.1978,1.1978,-9.81
0.652,0.421366,1.15856,1.15856,-9.81
0.656,0.425902,1.11932,1.11932,-9.81
0.66,0.430438,1.08008,1.08008,-9.81
0.664,0.434582,1.04084,1.04084,-9.81
0.668,0.438726,1.0016,1.0016,-9.81
0.672,0.442673,0.962361,0.962361,-9.81
0.676,0.446425,0.923121,0.923121,-9.81
0.68,0.450176,0.883881,0.883881,-9.81
0.684,0.453535,0.844641,0.844641,-9.81
0.688,0.456894,0.805401,0.805401,-9.81
0.692,0.460057,0.766161,0.766161,-9.81
0.696,0.463023,0.726921,0.726921,-9.81
0.7,0.46599,0.687681,0.687681,-9.81
0.704,0.468564,0.648441,0.648441,-9.81
0.708,0.471138,0.609201,0.609201,-9.81
0.712,0.473516,0.569961,0.569961,-9.81
0.716,0.475698,0.530721,0.530721,-9.81
0.72,0.477879,0.491481,0.491481,-9.81
0.724,0.479669,0.452241,0.452241,-9.81
0.728,0.481458,0.413001,0.413001,-9.81
0.732,0.483051,0.373761,0.373761,-9.81
0.736,0.484448,0.334521,0.334521,-9.81
0.74,0.485845,0.295281,0.295281,-9.81
0.744,0.48685,0.256041,0.256041,-9.81
0.748,0.487854,0.216801,0.216801,-9.81
0.752,0.488663,0.177561,0.177561,-9.81
0.756,0.489275,0.138321,0.138321,-9.81
0.76,0.489887,0.099081,0.099081,-9.81
0.764,0.490107,0.059841,0.059841,-9.81
0.768,0.490326,0.020601,0.020601,-9.81
0.772,0.49035,-0.018639,-0.018639,-9.81
