"time","egsCarSpeed","egsGear","egsState","egsTargetGear","tShiftStart","valves_eds","valves_eds1","valves_eds2","valves_eds3","valves_eds4","valves_eds5","valves_mv1","valves_mv2","valves_mv3"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0,-2,2,0,0,0,0,0,0,0,0,0,0,0
0.02,2.23710573288708e-065,-2,2,0,0,0,0,0.02,0.02,0,0,0,0,0
0.03,4.01198710335573e-065,-2,2,0,0,0,0,0.04,0.04,0,0,0,0,0
0.04,2.37229089710688e-065,-2,2,0,0,0,0,0.06,0.06,0,0,0,0,0
0.05,3.88858796552202e-065,-2,2,0,0,0,0,0.08,0.08,0,0,0,0,0
0.06,2.45718038798512e-065,-2,2,0,0,0,0,0.1,0.1,0,0,0,0,0
0.07,-6.73579251223133e-066,-2,2,0,0,0,0,0.12,0.12,0,0,0,0,0
0.08,-8.51044578748374e-066,-2,2,0,0,0,0,0.14,0.14,0,0,0,0,0
0.09,-1.34654703702547e-064,-2,2,0,0,0,0,0.16,0.16,0,0,0,0,0
0.1,-2.19522741376823e-066,-2,2,0,0,0,0,0.18,0.18,0,0,0,0,0
0.11,-5.20653966359503e-066,-2,2,0,0,0,0,0.2,0.2,0,0,0,0,0
0.12,-2.16587365939099e-064,-2,2,0,0,0,0,0.22,0.22,0,0,0,0,0
0.13,1.22317539970173e-064,-2,2,0,0,0,0,0.24,0.24,0,0,0,0,0
0.14,8.70126612032054e-065,-2,2,0,0,0,0,0.26,0.26,0,0,0,0,0
0.15,8.3715742921486e-065,-2,2,0,0,0,0,0.28,0.28,0,0,0,0,0
0.16,-7.71074171437774e-065,-2,2,0,0,0,0,0.3,0.3,0,0,0,0,0
0.17,-4.34820815124658e-066,-2,2,0,0,0,0,0.32,0.32,0,0,0,0,0
0.18,2.62758159216458e-012,-2,2,0,0,0,0,0.34,0.34,0,0,0,0,0
0.19,-2.57787287698661e-013,-2,2,0,0,0,0,0.36,0.36,0,0,0,0,0
0.2,-2.1212228866482e-013,-2,2,0,0,0,0,0.38,0.38,0,0,0,0,0
0.21,-1.94064317313773e-014,-2,2,0,0,0,0,0.4,0.4,0,0,0,0,0
0.22,1.41837289704308e-014,-2,2,0,0,0,0,0.42,0.42,0,0,0,0,0
0.23,-3.22183506112644e-014,-2,2,0,0,0,0,0.44,0.44,0,0,0,0,0
0.24,-9.4830275137543e-015,-2,2,0,0,0,0,0.46,0.46,0,0,0,0,0
0.25,3.65785485171648e-015,-2,2,0,0,0,0,0.48,0.48,0,0,0,0,0
0.26,-9.85899082074421e-015,-2,2,0,0,0,0,0.5,0.5,0,0,0,0,0
0.27,-1.14413266690708e-015,-2,2,0,0,0,0,0.52,0.52,0,0,0,0,0
0.28,1.01663127612943e-015,-2,2,0,0,0,0,0.54,0.54,0,0,0,0,0
0.29,8.98484268005431e-016,-2,2,0,0,0,0,0.56,0.56,0,0,0,0,0
0.3,1.13791095714241e-015,-2,2,0,0,0,0,0.58,0.58,0,0,0,0,0
0.31,1.35948700913035e-015,-2,2,0,0,0,0,0.6,0.6,0,0,0,0,0
0.32,1.18486269942569e-015,-2,2,0,0,0,0,0.62,0.62,0,0,0,0,0
0.33,0.840056768695209,-2,2,0,0,0,0,0.64,0.64,0,0,0,0,0
0.34,-0.817192854054903,-2,2,0,0,0,0,0.66,0.66,0,0,0,0,0
0.35,-0.401164030695867,-2,2,0,0,0,0,0.68,0.68,0,0,0,0,0
0.36,0.0124135665097497,-2,2,0,0,0,0,0.7,0.7,0,0,0,0,0
0.37,0.118096945971149,-2,2,0,0,0,0,0.72,0.72,0,0,0,0,0
0.38,0.138047569766947,-2,2,0,0,0,0,0.74,0.74,0,0,0,0,0
0.39,0.145535626569488,-2,2,0,0,0,0,0.76,0.76,0,0,0,0,0
0.4,0.152745858066907,-2,2,0,0,0,0,0.78,0.78,0,0,0,0,0
0.41,0.160347064501736,-2,2,0,0,0,0,0.8,0.8,0,0,0,0,0
0.42,0.168071677136605,-2,2,0,0,0,0,0.82,0.82,0,0,0,0,0
0.43,0.175814048179022,-2,2,0,0,0,0,0.84,0.84,0,0,0,0,0
0.44,0.183556746608462,-2,2,0,0,0,0,0.86,0.86,0,0,0,0,0
0.45,0.191295305930533,-2,2,0,0,0,0,0.88,0.88,0,0,0,0,0
0.46,0.199029749530022,-2,2,0,0,0,0,0.9,0.9,0,0,0,0,0
0.47,0.206760526394848,-2,2,0,0,0,0,0.92,0.92,0,0,0,0,0
0.48,0.221643685470036,-2,2,0,0,0,0,0.94,0.94,0,0,0,0,0
0.49,0.256056766661876,-2,2,0,0,0,0,0.96,0.96,0,0,0,0,0
0.5,0.317110597413529,-2,2,0,0,0,0,0.98,0.98,0,0,0,0,0
0.51,0.26689974537279,-2,2,0,0,0,0,1,1,0,0,0,0,0
0.52,0.229491419010538,-2,2,0,0,0,0,1,1,0,0,0,0,0
0.53,0.151373933390905,-2,2,0,0,0,0,1,1,0,0,0,0,0
0.54,0.214410298356139,-2,2,0,0,0,0,1,1,0,0,0,0,0
0.55,0.236582523724011,-2,2,0,0,0,0,1,1,0,0,0,0,0
0.56,0.244218989741274,-2,2,0,0,0,0,1,1,0,0,0,0,0
0.57,0.246732929217528,-2,2,0,0,0,0,1,1,0,0,0,0,0
0.58,0.247432602056379,-2,2,0,0,0,0,1,1,0,0,0,0,0
0.59,0.247482617439659,-2,2,0,0,0,0,1,1,0,0,0,0,0
0.6,0.247304196188794,-2,2,0,0,0,0,1,1,0,0,0,0,0
0.61,0.247043956243793,-2,2,0,0,0,0,1,1,0,0,0,0,0
0.62,0.246754672392848,-2,2,0,0,0,0,1,1,0,0,0,0,0
0.63,0.246455716593836,-2,2,0,0,0,0,1,1,0,0,0,0,0
0.64,0.24615318759931,-2,2,0,0,0,0,1,1,0,0,0,0,0
0.65,0.245849840137226,-2,2,0,0,0,0,1,1,0,0,0,0,0
0.66,0.245546375751204,-2,2,0,0,0,0,1,1,0,0,0,0,0
0.67,0.245243089089567,-2,2,0,0,0,0,1,1,0,0,0,0,0
0.68,0.244940115784081,-2,2,0,0,0,0,1,1,0,0,0,0,0
0.69,0.244637493250406,-2,2,0,0,0,0,1,1,0,0,0,0,0
0.7,0.244335235519414,-2,2,0,0,0,0,1,1,0,0,0,0,0
0.71,0.24403335194502,-2,2,0,0,0,0,1,1,0,0,0,0,0
0.72,0.24373183317331,-2,2,0,0,0,0,1,1,0,0,0,0,0
0.73,0.243430693235155,-2,2,0,0,0,0,1,1,0,0,0,0,0
0.74,0.243129918099684,-2,2,0,0,0,0,1,1,0,0,0,0,0
0.75,0.242829521797769,-2,2,0,0,0,0,1,1,0,0,0,0,0
0.76,0.242529490298537,-2,2,0,0,0,0,1,1,0,0,0,0,0
0.77,0.242229832955903,-2,2,0,0,0,0,1,1,0,0,0,0,0
0.78,0.24193054509291,-2,2,0,0,0,0,1,1,0,0,0,0,0
0.79,0.241631626709559,-2,2,0,0,0,0,1,1,0,0,0,0,0
0.8,0.241333077805847,-2,2,0,0,0,0,1,1,0,0,0,0,0
0.81,0.241034898381777,-2,2,0,0,0,0,1,1,0,0,0,0,0
0.82,0.240737088437348,-2,2,0,0,0,0,1,1,0,0,0,0,0
0.83,0.240439643295602,-2,2,0,0,0,0,1,1,0,0,0,0,0
0.84,0.240142567633496,-2,2,0,0,0,0,1,1,0,0,0,0,0
0.85,0.239845861451032,-2,2,0,0,0,0,1,1,0,0,0,0,0
0.86,0.239549520071251,-2,2,0,0,0,0,1,1,0,0,0,0,0
0.87,0.239253543494153,-2,2,0,0,0,0,1,1,0,0,0,0,0
0.88,0.238957931719739,-2,2,0,0,0,0,1,1,0,0,0,0,0
0.89,0.238662689424965,-2,2,0,0,0,0,1,1,0,0,0,0,0
0.9,0.238367807255918,-2,2,0,0,0,0,1,1,0,0,0,0,0
0.91,0.238073289889553,-2,2,0,0,0,0,1,1,0,0,0,0,0
0.92,0.23777914200283,-2,2,0,0,0,0,1,1,0,0,0,0,0
0.93,0.237485349564875,-2,2,0,0,0,0,1,1,0,0,0,0,0
0.94,0.237191926606561,-2,2,0,0,0,0,1,1,0,0,0,0,0
