time,light_intensity,light_switch
0,0,0
0.17,0,2
0.35,2,2
0.36,11,2
0.37,23,2
0.38,41,2
0.39,59,2
0.4,72,2
0.41,83,2
0.42,95,2
0.43,100,2
3.61,99,2
3.62,98,2
3.63,83,2
3.64,63,2
3.65,52,2
3.66,40,2
3.67,34,2
3.68,30,2
3.69,28,2
3.7,27,2
6.5,33,2
6.51,48,2
6.52,60,2
6.53,72,2
6.54,88,2
6.55,100,2
7,100,2
