"time","'p1@general_0hydraulic_0chamber'","'p1@hydraulic_04'","'q@volumesensor'"
0.00876,192.736,191.702,0
0.00879,192.736,191.702,0
0.00879,192.864,189.04,0
0.00882,192.864,189.04,0
0.00882,192.959,188.023,0
0.00885,192.959,188.023,0
0.00885,193.012,189.06,0
0.00888,193.012,189.06,0
0.00888,193.031,191.695,0
0.00891,193.031,191.695,0
0.00891,193.041,194.803,0
0.00894,193.041,194.803,0
0.00894,193.067,197.125,0
0.00897,193.067,197.125,0
0.00897,193.128,197.722,0
0.009,193.128,197.722,0
0.009,193.228,196.426,0
0.00903,193.228,196.426,0
0.00903,193.354,193.862,0
0.00906,193.354,193.862,0
0.00906,193.484,191.164,0
0.00909,193.484,191.164,0
0.00909,193.592,189.484,0
0.00912,193.592,189.484,0
0.00912,193.664,189.542,0
0.00915,193.664,189.542,0
0.00915,193.702,191.293,0
0.00918,193.702,191.293,0
0.00918,193.721,193.98,0
0.00921,193.721,193.98,0
0.00921,193.743,196.501,0
0.00924,193.743,196.501,0
0.00924,193.789,197.831,0
0.00927,193.789,197.831,0
0.00927,193.87,197.47,0
0.0093,193.87,197.47,0
0.0093,193.981,195.651,0
0.00933,193.981,195.651,0
0.00933,194.105,193.206,0
0.00936,194.105,193.206,0
0.00936,194.22,191.192,0
0.00939,194.22,191.192,0
0.00939,194.308,190.478,0
0.00942,194.308,190.478,0
0.00942,194.364,191.358,0
0.00945,194.364,191.358,0
0.00945,194.395,193.45,0
0.00948,194.395,193.45,0
0.00948,194.419,195.872,0
0.00951,194.419,195.872,0
0.00951,194.456,197.647,0
0.00954,194.456,197.647,0
0.00954,194.521,198.068,0
0.00957,194.521,198.068,0
0.00957,194.616,197.029,0
0.0096,194.616,197.029,0
0.0096,194.73,195.037,0
0.00963,194.73,195.037,0
0.00963,194.846,192.977,0
0.00966,194.846,192.977,0
0.00966,194.945,191.736,0
0.00969,194.945,191.736,0
0.00969,195.017,191.852,0
0.00972,195.017,191.852,0
0.00972,195.062,193.266,0
0.00975,195.062,193.266,0
0.00975,195.092,195.374,0
0.00978,195.092,195.374,0
0.00978,195.125,197.322,0
0.00981,195.125,197.322,0
0.00981,195.179,198.324,0
0.00984,195.179,198.324,0
0.00984,195.258,198.011,0
0.00987,195.258,198.011,0
0.00987,195.361,196.585,0
0.0099,195.361,196.585,0
0.0099,195.474,194.704,0
0.00993,195.474,194.704,0
0.00993,195.578,193.186,0
0.00996,195.578,193.186,0
0.00996,195.662,192.695,0
0.00999,195.662,192.695,0
0.00999,195.721,193.437,0
0.01002,195.721,193.437,0
0.01002,195.76,195.098,0
0.01005,195.76,195.098,0
0.01005,195.795,196.988,0
0.01008,195.795,196.988,0
0.01008,195.841,198.349,0
0.01011,195.841,198.349,0
0.01011,195.908,198.648,0
0.01014,195.908,198.648,0
0.01014,195.999,197.821,0
0.01017,195.999,197.821,0
0.01017,196.104,196.276,0
0.0102,196.104,196.276,0
0.0102,196.21,194.705,0
0.01023,196.21,194.705,0
0.01023,196.303,193.793,0
0.01026,196.303,193.793,0
0.01026,196.373,193.94,0
0.01029,196.373,193.94,0
0.01029,196.424,195.086,0
0.01032,196.424,195.086,0
0.01032,196.463,196.745,0
0.01035,196.463,196.745,0
0.01035,196.506,198.257,0
0.01038,196.506,198.257,0
0.01038,196.564,199.015,0
0.01041,196.564,199.015,0
0.01041,196.643,198.751,0
0.01044,196.643,198.751,0
0.01044,196.739,197.635,0
0.01047,196.739,197.635,0
0.01047,196.843,196.189,0
0.0105,196.843,196.189,0
0.0105,196.94,195.049,0
0.01053,196.94,195.049,0
0.01053,197.02,194.719,0
0.01056,197.02,194.719,0
0.01056,197.081,195.345,0
0.01059,197.081,195.345,0
0.01059,197.128,196.667,0
0.01062,197.128,196.667,0
0.01062,197.171,198.146,0
0.01065,197.171,198.146,0
0.01065,197.223,199.194,0
0.01068,197.223,199.194,0
0.01068,197.292,199.408,0
0.01071,197.292,199.408,0
0.01071,197.379,198.753,0
0.01074,197.379,198.753,0
0.01074,197.477,197.561,0
0.01077,197.477,197.561,0
0.01077,197.576,196.368,0
0.0108,197.576,196.368,0
0.0108,197.663,195.704,0
0.01083,197.663,195.704,0
0.01083,197.733,195.865,0
0.01086,197.733,195.865,0
0.01086,197.788,196.793,0
0.01089,197.788,196.793,0
0.01089,197.835,198.101,0
0.01092,197.835,198.101,0
0.01092,197.884,199.275,0
0.01095,197.884,199.275,0
0.01095,197.946,199.851,0
0.01098,197.946,199.851,0
0.01098,198.024,199.634,0
0.01101,198.024,199.634,0
0.01101,198.115,198.768,0
0.01104,198.115,198.768,0
0.01104,198.212,197.664,0
0.01107,198.212,197.664,0
0.01107,198.303,196.814,0
0.0111,198.303,196.814,0
0.0111,198.381,196.602,0
0.01113,198.381,196.602,0
0.01113,198.444,197.129,0
0.01116,198.444,197.129,0
0.01116,198.496,198.18,0
0.01119,198.496,198.18,0
0.01119,198.546,199.339,0
0.01122,198.546,199.339,0
0.01122,198.603,200.147,0
0.01125,198.603,200.147,0
0.01125,198.673,200.304,0
0.01128,198.673,200.304,0
0.01128,198.757,199.792,0
0.01131,198.757,199.792,0
0.01131,198.85,198.876,0
0.01134,198.85,198.876,0
0.01134,198.942,197.976,0
0.01137,198.942,197.976,0
0.01137,199.025,197.498,0
0.0114,199.025,197.498,0
0.0114,199.096,197.663,0
0.01143,199.096,197.663,0
0.01143,199.154,198.415,0
0.01146,199.154,198.415,0
0.01146,199.206,199.449,0
0.01149,199.206,199.449,0
0.01149,199.261,200.365,0
0.01152,199.261,200.365,0
0.01152,199.326,200.807,0
0.01155,199.326,200.807,0
0.01155,199.403,200.633,0
0.01158,199.403,200.633,0
0.01158,199.49,199.965,0
0.01161,199.49,199.965,0
0.01161,199.581,199.124,0
0.01164,199.581,199.124,0
0.01164,199.668,198.495,0
0.01167,199.668,198.495,0
0.01167,199.744,198.366,0
0.0117,199.744,198.366,0
0.0117,199.809,198.811,0
0.01173,199.809,198.811,0
0.01173,199.865,199.651,0
0.01176,199.865,199.651,0
0.01176,199.92,200.564,0
0.01179,199.92,200.564,0
0.01179,199.981,201.193,0
0.01182,199.981,201.193,0
0.01182,200.033,201.311,0
0.01185,200.033,201.311,0
0.01185,200.053,200.914,0
0.01188,200.053,200.914,0
0.01188,200.062,200.201,0
0.01191,200.062,200.201,0
0.01191,200.064,199.433,0
0.01194,200.064,199.433,0
0.01194,200.061,198.946,0
0.01197,200.061,198.946,0
0.01197,200.055,198.943,0
0.012,200.055,198.943,0
0.012,200.048,199.388,0
0.01203,200.048,199.388,0
0.01203,200.044,200.081,0
0.01206,200.044,200.081,0
0.01206,200.044,200.758,0
0.01209,200.044,200.758,0
0.01209,200.047,201.123,0
0.01212,200.047,201.123,0
0.01212,200.053,201.032,0
0.01215,200.053,201.032,0
0.01215,200.059,200.555,0
0.01218,200.059,200.555,0
0.01218,200.062,199.895,0
0.01221,200.062,199.895,0
0.01221,200.062,199.312,0
0.01224,200.062,199.312,0
0.01224,200.058,199.057,0
0.01227,200.058,199.057,0
0.01227,200.052,199.224,0
0.0123,200.052,199.224,0
0.0123,200.047,199.718,0
0.01233,200.047,199.718,0
0.01233,200.045,200.333,0
