"time","FMU_Interface_OUT0_Vehicle_Acceleration","FMU_Interface_OUT1_Vehicle_Velocity","FMU_Interface_OUT2_Vehicle_Distance","FMU_Interface_OUT3_Load_Signal","FMU_Interface_OUT4_Engine_Speed"
0,0,0,0,0,0
0.4,0,0,0,0,750
0.8,0,0,0,0,750
1.2,0,0,0,0,750
1.6,0,0,0,0,750
2,0,0,0,0,750
2.4,0,0,0,0,750
2.8,0,0,0,0,750
3.2,0,0,0,0,750
3.6,0,0,0,0,750
4,0,0,0,0,750
4.4,0,0,0,0,750
4.8,0,0,0,0,750
5.2,0,0,0,0,750
5.6,0,0,0,0,750
6,0,0,0,0,750
6.4,0,0,0,0,750
6.8,0,0,0,0,750
7.2,0,0,0,0,750
7.6,0,0,0,0,750
8,0,0,0,0,750
8.4,0,0,0,0,750
8.8,0,0,0,0,750
9.2,0,0,0,0,750
9.6,0,0,0,0,750
10,0,0,0,0,750
10.4,0,0,0,0,750
10.8,0,0,0,0,750
11.2,0,0,0,0,750
11.6,0,0,0,0,750
12,0.0228971,0.00155006,7.18664e-06,0.115597,779.483
12.4,5.06099,2.15705,0.0473626,0.976139,841.847
12.8,1.65899,6.22199,0.502476,0.194545,574.478
13.2,0.168783,6.94578,1.25676,0.214942,827.05
13.6,1.07318,8.09888,2.07959,0.629408,814.098
14,1.74892,10.3342,3.09627,0.843585,954.159
14.4,1.2154,12.473,4.36887,0.547645,1151.63
14.8,0.965569,13.912,5.83805,0.435111,1284.5
15.2,0.761029,15.328,7.46331,0.368019,1415.23
15.6,-0.352968,15.3025,9.18053,0.0491879,1412.88
16,-0.0453354,15.0058,10.8596,0.129459,1385.49
16.4,-0.0074323,14.9706,12.5245,0.14033,1382.24
16.8,0.0130984,14.9774,14.188,0.146499,1382.86
17.2,0.0123924,14.9978,15.8533,0.146501,1384.75
17.6,0.00256268,15.0088,17.5204,0.143699,1385.76
18,-0.00386795,15.007,19.1881,0.141773,1385.6
18.4,-0.00381976,15.0008,20.8552,0.141722,1385.03
18.8,-0.000868826,14.9974,22.5217,0.142562,1384.71
19.2,0.00113719,14.9978,24.1881,0.143162,1384.75
19.6,0.00117605,14.9997,25.8546,0.143193,1384.93
20,0.000291712,15.0008,27.5213,0.142942,1385.03
20.4,-0.00033357,15.0007,29.188,0.142755,1385.02
20.8,-0.000361646,15.0001,30.8548,0.142741,1384.96
21.2,-9.70406e-05,14.9998,32.5214,0.142816,1384.93
21.6,9.75266e-05,14.9998,34.1881,0.142874,1384.93
22,0.000111077,15,35.8547,0.14288,1384.95
22.4,3.20413e-05,15.0001,37.5214,0.142857,1384.96
22.8,-2.8419e-05,15.0001,39.188,0.142839,1384.96
23.2,-0.0102617,14.9991,40.8547,0.139792,1384.87
23.6,-2.51553,13.6551,42.4803,0,1260.78
24,-0.382009,12.6987,43.9251,0.00427627,1172.47
24.4,-0.526119,11.5833,45.2808,3.67752e-14,1069.49
24.8,-1.75407,10.5245,46.523,0,971.732
25.2,-1.43348,9.54249,47.6376,0,881.061
25.6,-1.90653,7.95204,48.5935,0,734.214
26,-4.85337,6.85205,49.4397,0,686.522
26.4,-1.13902,3.18354,49.9493,0,750.124
26.8,-0.519401,2.32338,50.2577,0,769.821
27.2,-1.92034,1.24232,50.4559,0,774.338
27.6,-0.00196888,0.0168673,50.5115,0.0702363,779.508
28,-0.0235373,0.20383,50.5226,0.0572157,988.711
28.4,0.000164593,-6.8128e-05,50.5282,0,868.378
28.8,7.10629e-06,-7.89561e-06,50.5282,0,798.921
29.2,1.74668e-06,-2.93668e-06,50.5282,0,770.217
29.6,6.76332e-07,-1.48147e-06,50.5282,0,758.355
30,3.234e-07,-8.60364e-07,50.5282,0,750
30.4,1.77925e-07,-5.49212e-07,50.5282,0,750
30.8,1.06795e-07,-3.71644e-07,50.5282,0,750
31.2,6.82281e-08,-2.62219e-07,50.5282,0,750
31.6,4.56791e-08,-1.90908e-07,50.5282,0,750
32,3.17162e-08,-1.42422e-07,50.5282,0,750
32.4,2.26705e-08,-1.08337e-07,50.5282,0,750
32.8,1.65928e-08,-8.37263e-08,50.5282,0,750
33.2,1.2385e-08,-6.55619e-08,50.5282,0,750
33.6,9.39787e-09,-5.1908e-08,50.5282,0,750
34,7.23177e-09,-4.14849e-08,50.5282,0,750
34.4,5.63224e-09,-3.34229e-08,50.5282,0,750
34.8,4.43238e-09,-2.71159e-08,50.5282,0,750
35.2,3.51993e-09,-2.21332e-08,50.5282,0,750
35.6,2.81766e-09,-1.81627e-08,50.5282,0,750
36,2.2714e-09,-1.49747e-08,50.5282,0,750
36.4,1.84249e-09,-1.23979e-08,50.5282,0,750
36.8,1.50287e-09,-1.03027e-08,50.5282,0,750
37.2,1.23195e-09,-8.59005e-09,50.5282,0,750
37.6,1.01437e-09,-7.18346e-09,50.5282,0,750
38,8.38557e-10,-6.0233e-09,50.5282,0,750
38.4,6.95724e-10,-5.06272e-09,50.5282,0,750
38.8,5.79107e-10,-4.26465e-09,50.5282,0,750
39.2,4.83464e-10,-3.5995e-09,50.5282,0,750
39.6,4.04703e-10,-3.04356e-09,50.5282,0,750
40,3.39601e-10,-2.5777e-09,50.5282,0,750
40.4,2.85607e-10,-2.18641e-09,50.5282,0,750
40.8,2.40686e-10,-1.85704e-09,50.5282,0,750
41.2,2.03208e-10,-1.57925e-09,50.5282,0,750
41.6,1.71858e-10,-1.34454e-09,50.5282,0,750
42,1.4557e-10,-1.14591e-09,50.5282,0,750
42.4,1.2348e-10,-9.77563e-10,50.5282,0,750
42.8,1.0488e-10,-8.34679e-10,50.5282,0,750
43.2,8.9189e-11,-7.13255e-10,50.5282,0,750
43.6,7.59296e-11,-6.09948e-10,50.5282,0,750
44,6.47075e-11,-5.21961e-10,50.5282,0,750
44.4,5.51958e-11,-4.46947e-10,50.5282,0,750
44.8,4.71231e-11,-3.82936e-10,50.5282,0,750
45.2,0,0,50.5282,0,750
45.6,0,0,50.5282,0,750
46,0,0,50.5282,0,750
46.4,0,0,50.5282,0,750
46.8,0,0,50.5282,0,750
47.2,0,0,50.5282,0,750
47.6,0,0,50.5282,0,750
48,0,0,50.5282,0,750
48.4,0,0,50.5282,0,750
48.8,0,0,50.5282,0,750
49.2,0,0,50.5282,0,750
49.6,0,0,50.5282,0,750
50,0,0,50.5282,0,750
50.4,0.622684,0.223403,50.5332,0.548081,1122.26
50.8,1.33076,3.10678,50.7496,1,1722.4
