"time","resistorv"
0,0
1e-007,0.0001345150905
2e-007,0.001042536565
3e-007,0.003476155595
4e-007,0.008148431732
5e-007,0.01572405693
6e-007,0.02681194927
7e-007,0.04195765347
8e-007,0.06163591029
9e-007,0.08624471149
1e-006,0.1161003091
1.1e-006,0.1514331497
1.2e-006,0.1923848274
1.3e-006,0.2390062068
1.4e-006,0.2912565811
1.5e-006,0.3490040537
1.6e-006,0.4120268039
1.7e-006,0.4800154061
1.8e-006,0.5525763958
1.9e-006,0.6292368143
2e-006,0.7094495212
2.1e-006,0.7925992969
2.2e-006,0.8780097806
2.3e-006,0.9649511651
2.4e-006,1.052648493
2.5e-006,1.140290417
2.6e-006,1.227038351
2.7e-006,1.312035937
2.8e-006,1.394418701
2.9e-006,1.473323809
3e-006,1.547899783
3.1e-006,1.617316081
3.2e-006,1.680772448
3.3e-006,1.737507931
3.4e-006,1.786809457
3.5e-006,1.828019884
3.6e-006,1.860545449
3.7e-006,1.883862519
3.8e-006,1.897523595
3.9e-006,1.901162487
4e-006,1.894498637
4.1e-006,1.877340512
4.2e-006,1.849588078
4.3e-006,1.811234291
4.4e-006,1.76236563
4.5e-006,1.703161654
4.6e-006,1.633893592
4.7e-006,1.554922001
4.8e-006,1.466693508
4.9e-006,1.36973668
5e-006,1.264657109
5.1e-006,1.014808655
5.2e-006,0.7648303158
5.3e-006,0.5170732896
5.4e-006,0.272581355
5.5e-006,0.03236014279
5.6e-006,-0.2026271853
5.7e-006,-0.4314614059
5.8e-006,-0.6532703667
5.9e-006,-0.8672323587
6e-006,-1.072579174
6.1e-006,-1.268598099
6.2e-006,-1.454633365
6.3e-006,-1.630087639
6.4e-006,-1.794423517
6.5e-006,-1.947164725
6.6e-006,-2.087896851
6.7e-006,-2.216267669
6.8e-006,-2.331987251
6.9e-006,-2.434827906
7e-006,-2.524624212
7.1e-006,-2.601271502
7.2e-006,-2.664726077
7.3e-006,-2.715002966
7.4e-006,-2.752174843
7.5e-006,-2.776370906
7.6e-006,-2.787774361
7.7e-006,-2.78662077
7.8e-006,-2.773196113
7.9e-006,-2.747833765
8e-006,-2.71091271
8.1e-006,-2.662854065
8.2e-006,-2.60411864
8.3e-006,-2.535204101
8.4e-006,-2.456641944
8.5e-006,-2.368994357
8.6e-006,-2.272851016
8.7e-006,-2.168825854
8.8e-006,-2.057553828
8.9e-006,-1.939687682
9e-006,-1.815894659
9.1e-006,-1.686853227
9.2e-006,-1.55324983
9.3e-006,-1.415775682
9.4e-006,-1.27512362
9.5e-006,-1.131985006
9.6e-006,-0.9870467173
9.7e-006,-0.8409882147
9.8e-006,-0.6944787091
9.9e-006,-0.5481744407
1e-005,-0.402716075
1.01e-005,-0.2392504884
1.02e-005,-0.03946132878
1.03e-005,0.1948534422
1.04e-005,0.4614302104
1.05e-005,0.7575696663
1.06e-005,1.080168946
1.07e-005,1.425760715
1.08e-005,1.790555277
1.09e-005,2.17048491
1.1e-005,2.561252249
1.11e-005,2.958380176
1.12e-005,3.357263928
1.13e-005,3.753224513
1.14e-005,4.141562227
1.15e-005,4.51760991
1.16e-005,4.87678558
1.17e-005,5.214644072
1.18e-005,5.52692683
1.19e-005,5.809609335
1.2e-005,6.058945589
1.21e-005,6.271509508
1.22e-005,6.444232401
1.23e-005,6.574436507
1.24e-005,6.659864024
1.25e-005,6.698701409
1.26e-005,6.689598892
1.27e-005,6.631684637
1.28e-005,6.524574005
1.29e-005,6.368373159
1.3e-005,6.163677405
1.31e-005,5.911565089
1.32e-005,5.613586266
1.33e-005,5.271745465
1.34e-005,4.888479687
1.35e-005,4.466632713
1.36e-005,4.009425386
1.37e-005,3.520422126
1.38e-005,3.003493586
1.39e-005,2.462776373
1.4e-005,1.902630663
1.41e-005,1.32759496
1.42e-005,0.7423400986
1.43e-005,0.1516225776
1.44e-005,-0.4397635893
1.45e-005,-1.027034898
1.46e-005,-1.605465536
1.47e-005,-2.170433664
1.48e-005,-2.717466372
1.49e-005,-3.24228272
1.5e-005,-3.740834298
1.51e-005,-4.183256444
1.52e-005,-4.597085633
1.53e-005,-4.981381378
1.54e-005,-5.335109508
1.55e-005,-5.657393853
1.56e-005,-5.947515927
1.57e-005,-6.204914867
1.58e-005,-6.429186838
1.59e-005,-6.620083221
1.6e-005,-6.777508491
1.61e-005,-6.901516612
1.62e-005,-6.992307527
1.63e-005,-7.050223314
1.64e-005,-7.075743476
1.65e-005,-7.069479653
1.66e-005,-7.032169914
1.67e-005,-6.964672896
1.68e-005,-6.867961142
1.69e-005,-6.743114213
1.7e-005,-6.591311617
1.71e-005,-6.413825376
1.72e-005,-6.212012449
1.73e-005,-5.987306764
1.74e-005,-5.741211122
1.75e-005,-5.475289041
1.76e-005,-5.191156516
1.77e-005,-4.890473735
1.78e-005,-4.574936783
1.79e-005,-4.24626935
1.8e-005,-3.906214499
1.81e-005,-3.556526547
1.82e-005,-3.198963088
1.83e-005,-2.835277142
1.84e-005,-2.467209549
1.85e-005,-2.096481567
1.86e-005,-1.724787711
1.87e-005,-1.353788874
1.88e-005,-0.985105779
1.89e-005,-0.6203126452
1.9e-005,-0.2609313837
1.91e-005,0.09157398156
1.92e-005,0.4358024796
1.93e-005,0.7704209514
1.94e-005,1.09416843
1.95e-005,1.405860121
1.96e-005,1.704390845
1.97e-005,1.988738175
1.98e-005,2.257965091
1.99e-005,2.511222189
2e-005,2.747749533
2.01e-005,2.979920003
2.02e-005,3.219806547
2.03e-005,3.46611527
2.04e-005,3.717354653
2.05e-005,3.971853172
2.06e-005,4.227778025
2.07e-005,4.483155593
2.08e-005,4.735893969
2.09e-005,4.98380607
2.1e-005,5.224634229
2.11e-005,5.456076633
2.12e-005,5.675814029
2.13e-005,5.881535925
2.14e-005,6.070967253
2.15e-005,6.241894839
2.16e-005,6.39219319
2.17e-005,6.519849429
2.18e-005,6.622987109
2.19e-005,6.699888968
2.2e-005,6.749016747
2.21e-005,6.769029985
2.22e-005,6.758804664
2.23e-005,6.717447004
2.24e-005,6.644304897
2.25e-005,6.538977795
2.26e-005,6.401324307
2.27e-005,6.231466468
2.28e-005,6.029791364
2.29e-005,5.796950152
2.3e-005,5.533854449
2.31e-005,5.241669496
2.32e-005,4.921805953
2.33e-005,4.57590887
2.34e-005,4.205843448
2.35e-005,3.813678994
2.36e-005,3.401670835
2.37e-005,2.972240966
2.38e-005,2.52795655
2.39e-005,2.071507614
2.4e-005,1.605683171
2.41e-005,1.133346471
2.42e-005,0.6574097558
2.43e-005,0.1808085138
2.44e-005,-0.2935242355
2.45e-005,-0.7626834502
2.46e-005,-1.223817184
2.47e-005,-1.674150932
2.48e-005,-2.111011216
2.49e-005,-2.531848018
2.5e-005,-2.934255855
2.51e-005,-3.436435629
2.52e-005,-3.913308704
2.53e-005,-4.362256081
2.54e-005,-4.78192492
2.55e-005,-5.171113394
2.56e-005,-5.528785717
2.57e-005,-5.854071465
2.58e-005,-6.146260513
2.59e-005,-6.404803645
2.6e-005,-6.62931259
2.61e-005,-6.819558243
2.62e-005,-6.975467586
2.63e-005,-7.097120465
2.64e-005,-7.184746075
2.65e-005,-7.238718404
2.66e-005,-7.259551692
2.67e-005,-7.247894958
2.68e-005,-7.204525947
2.69e-005,-7.130345011
2.7e-005,-7.026368281
2.71e-005,-6.893720282
2.72e-005,-6.733626954
2.73e-005,-6.547407725
2.74e-005,-6.336467867
2.75e-005,-6.102290355
2.76e-005,-5.84642747
2.77e-005,-5.570492396
2.78e-005,-5.276150786
2.79e-005,-4.965112261
2.8e-005,-4.639121864
2.81e-005,-4.299951563
2.82e-005,-3.949391839
