"time","Input_motion"
0,0
0.001,0.006283185
0.002,0.012566371
0.003,0.018849556
0.004,0.025132741
0.005,0.031415927
0.006,0.037699112
0.007,0.043982297
0.008,0.050265482
0.009,0.056548668
0.01,0.062831853
0.011,0.069115038
0.012,0.075398224
0.013,0.081681409
0.014,0.087964594
0.015,0.09424778
0.016,0.100530965
0.017,0.10681415
0.018,0.113097336
0.019,0.119380521
0.02,0.125663706
0.021,0.131946891
0.022,0.138230077
0.023,0.144513262
0.024,0.150796447
0.025,0.157079633
0.026,0.163362818
0.027,0.169646003
0.028,0.175929189
0.029,0.182212374
0.03,0.188495559
0.031,0.194778745
0.032,0.20106193
0.033,0.207345115
0.034,0.2136283
0.035,0.219911486
0.036,0.226194671
0.037,0.232477856
0.038,0.238761042
0.039,0.245044227
0.04,0.251327412
0.041,0.257610598
0.042,0.263893783
0.043,0.270176968
0.044,0.276460154
0.045,0.282743339
0.046,0.289026524
0.047,0.295309709
0.048,0.301592895
0.049,0.30787608
0.05,0.314159265
0.051,0.320442451
0.052,0.326725636
0.053,0.333008821
0.054,0.339292007
0.055,0.345575192
0.056,0.351858377
0.057,0.358141563
0.058,0.364424748
0.059,0.370707933
0.06,0.376991118
0.061,0.383274304
0.062,0.389557489
0.063,0.395840674
0.064,0.40212386
0.065,0.408407045
0.066,0.41469023
0.067,0.420973416
0.068,0.427256601
0.069,0.433539786
0.07,0.439822972
0.071,0.446106157
0.072,0.452389342
0.073,0.458672527
0.074,0.464955713
0.075,0.471238898
0.076,0.477522083
0.077,0.483805269
0.078,0.490088454
0.079,0.496371639
0.08,0.502654825
0.081,0.50893801
0.082,0.515221195
0.083,0.52150438
0.084,0.527787566
0.085,0.534070751
0.086,0.540353936
0.087,0.546637122
0.088,0.552920307
0.089,0.559203492
0.09,0.565486678
0.091,0.571769863
0.092,0.578053048
0.093,0.584336234
0.094,0.590619419
0.095,0.596902604
0.096,0.603185789
0.097,0.609468975
0.098,0.61575216
0.099,0.622035345
0.1,0.628318531
0.101,0.634601716
0.102,0.640884901
0.103,0.647168087
0.104,0.653451272
0.105,0.659734457
0.106,0.666017643
0.107,0.672300828
0.108,0.678584013
0.109,0.684867198
0.11,0.691150384
0.111,0.697433569
0.112,0.703716754
0.113,0.70999994
0.114,0.716283125
0.115,0.72256631
0.116,0.728849496
0.117,0.735132681
0.118,0.741415866
0.119,0.747699052
0.12,0.753982237
0.121,0.760265422
0.122,0.766548607
0.123,0.772831793
0.124,0.779114978
0.125,0.785398163
0.126,0.791681349
0.127,0.797964534
0.128,0.804247719
0.129,0.810530905
0.13,0.81681409
0.131,0.823097275
0.132,0.829380461
0.133,0.835663646
0.134,0.841946831
0.135,0.848230016
0.136,0.854513202
0.137,0.860796387
0.138,0.867079572
0.139,0.873362758
0.14,0.879645943
0.141,0.885929128
0.142,0.892212314
0.143,0.898495499
0.144,0.904778684
0.145,0.91106187
0.146,0.917345055
0.147,0.92362824
0.148,0.929911425
0.149,0.936194611
0.15,0.942477796
0.151,0.948760981
0.152,0.955044167
0.153,0.961327352
0.154,0.967610537
0.155,0.973893723
0.156,0.980176908
0.157,0.986460093
0.158,0.992743279
0.159,0.999026464
0.16,1.005309649
0.161,1.011592834
0.162,1.01787602
0.163,1.024159205
0.164,1.03044239
0.165,1.036725576
0.166,1.043008761
0.167,1.049291946
0.168,1.055575132
0.169,1.061858317
0.17,1.068141502
0.171,1.074424688
0.172,1.080707873
0.173,1.086991058
0.174,1.093274243
0.175,1.099557429
0.176,1.105840614
0.177,1.112123799
0.178,1.118406985
0.179,1.12469017
0.18,1.130973355
0.181,1.137256541
0.182,1.143539726
0.183,1.149822911
0.184,1.156106097
0.185,1.162389282
0.186,1.168672467
0.187,1.174955652
0.188,1.181238838
0.189,1.187522023
0.19,1.193805208
0.191,1.200088394
0.192,1.206371579
0.193,1.212654764
0.194,1.21893795
0.195,1.225221135
0.196,1.23150432
0.197,1.237787506
0.198,1.244070691
0.199,1.250353876
0.2,1.256637061
0.201,1.262920247
0.202,1.269203432
0.203,1.275486617
0.204,1.281769803
0.205,1.288052988
0.206,1.294336173
0.207,1.300619359
0.208,1.306902544
0.209,1.313185729
0.21,1.319468915
0.211,1.3257521
0.212,1.332035285
0.213,1.33831847
0.214,1.344601656
0.215,1.350884841
0.216,1.357168026
0.217,1.363451212
0.218,1.369734397
0.219,1.376017582
0.22,1.382300768
0.221,1.388583953
0.222,1.394867138
0.223,1.401150324
0.224,1.407433509
0.225,1.413716694
0.226,1.419999879
0.227,1.426283065
0.228,1.43256625
0.229,1.438849435
0.23,1.445132621
0.231,1.451415806
0.232,1.457698991
0.233,1.463982177
0.234,1.470265362
0.235,1.476548547
0.236,1.482831732
0.237,1.489114918
0.238,1.495398103
0.239,1.501681288
0.24,1.507964474
0.241,1.514247659
0.242,1.520530844
0.243,1.52681403
0.244,1.533097215
0.245,1.5393804
0.246,1.545663586
0.247,1.551946771
0.248,1.558229956
0.249,1.564513141
0.25,1.570796327
0.251,1.577079512
0.252,1.583362697
0.253,1.589645883
0.254,1.595929068
0.255,1.602212253
0.256,1.608495439
0.257,1.614778624
0.258,1.621061809
0.259,1.627344995
0.26,1.63362818
0.261,1.639911365
0.262,1.64619455
0.263,1.652477736
0.264,1.658760921
0.265,1.665044106
0.266,1.671327292
0.267,1.677610477
0.268,1.683893662
0.269,1.690176848
0.27,1.696460033
0.271,1.702743218
0.272,1.709026404
0.273,1.715309589
0.274,1.721592774
0.275,1.727875959
0.276,1.734159145
0.277,1.74044233
0.278,1.746725515
0.279,1.753008701
0.28,1.759291886
0.281,1.765575071
0.282,1.771858257
0.283,1.778141442
0.284,1.784424627
0.285,1.790707813
0.286,1.796990998
0.287,1.803274183
0.288,1.809557368
0.289,1.815840554
0.29,1.822123739
0.291,1.828406924
0.292,1.83469011
0.293,1.840973295
0.294,1.84725648
0.295,1.853539666
0.296,1.859822851
0.297,1.866106036
0.298,1.872389222
0.299,1.878672407
0.3,1.884955592
0.301,1.891238777
0.302,1.897521963
0.303,1.903805148
0.304,1.910088333
0.305,1.916371519
0.306,1.922654704
0.307,1.928937889
0.308,1.935221075
0.309,1.94150426
0.31,1.947787445
0.311,1.954070631
0.312,1.960353816
0.313,1.966637001
0.314,1.972920186
0.315,1.979203372
0.316,1.985486557
0.317,1.991769742
0.318,1.998052928
0.319,2.004336113
0.32,2.010619298
0.321,2.016902484
0.322,2.023185669
0.323,2.029468854
0.324,2.03575204
0.325,2.042035225
0.326,2.04831841
0.327,2.054601595
0.328,2.060884781
0.329,2.067167966
0.33,2.073451151
0.331,2.079734337
0.332,2.086017522
0.333,2.092300707
0.334,2.098583893
0.335,2.104867078
0.336,2.111150263
0.337,2.117433449
0.338,2.123716634
0.339,2.129999819
0.34,2.136283004
0.341,2.14256619
0.342,2.148849375
0.343,2.15513256
0.344,2.161415746
0.345,2.167698931
0.346,2.173982116
0.347,2.180265302
0.348,2.186548487
0.349,2.192831672
0.35,2.199114858
0.351,2.205398043
0.352,2.211681228
0.353,2.217964413
0.354,2.224247599
0.355,2.230530784
0.356,2.236813969
0.357,2.243097155
0.358,2.24938034
0.359,2.255663525
0.36,2.261946711
0.361,2.268229896
0.362,2.274513081
0.363,2.280796267
0.364,2.287079452
0.365,2.293362637
0.366,2.299645822
0.367,2.305929008
0.368,2.312212193
0.369,2.318495378
0.37,2.324778564
0.371,2.331061749
0.372,2.337344934
0.373,2.34362812
0.374,2.349911305
0.375,2.35619449
0.376,2.362477675
0.377,2.368760861
0.378,2.375044046
0.379,2.381327231
0.38,2.387610417
0.381,2.393893602
0.382,2.400176787
0.383,2.406459973
0.384,2.412743158
0.385,2.419026343
0.386,2.425309529
0.387,2.431592714
0.388,2.437875899
0.389,2.444159084
0.39,2.45044227
0.391,2.456725455
0.392,2.46300864
0.393,2.469291826
0.394,2.475575011
0.395,2.481858196
0.396,2.488141382
0.397,2.494424567
0.398,2.500707752
0.399,2.506990938
0.4,2.513274123
0.401,2.519557308
0.402,2.525840493
0.403,2.532123679
0.404,2.538406864
0.405,2.544690049
0.406,2.550973235
0.407,2.55725642
0.408,2.563539605
0.409,2.569822791
0.41,2.576105976
0.411,2.582389161
0.412,2.588672347
0.413,2.594955532
0.414,2.601238717
0.415,2.607521902
0.416,2.613805088
0.417,2.620088273
0.418,2.626371458
0.419,2.632654644
0.42,2.638937829
0.421,2.645221014
0.422,2.6515042
0.423,2.657787385
0.424,2.66407057
0.425,2.670353756
0.426,2.676636941
0.427,2.682920126
0.428,2.689203311
0.429,2.695486497
0.43,2.701769682
0.431,2.708052867
0.432,2.714336053
0.433,2.720619238
0.434,2.726902423
0.435,2.733185609
0.436,2.739468794
0.437,2.745751979
0.438,2.752035165
0.439,2.75831835
0.44,2.764601535
0.441,2.77088472
0.442,2.777167906
0.443,2.783451091
0.444,2.789734276
0.445,2.796017462
0.446,2.802300647
0.447,2.808583832
0.448,2.814867018
0.449,2.821150203
0.45,2.827433388
0.451,2.833716574
0.452,2.839999759
0.453,2.846282944
0.454,2.852566129
0.455,2.858849315
0.456,2.8651325
0.457,2.871415685
0.458,2.877698871
0.459,2.883982056
0.46,2.890265241
0.461,2.896548427
0.462,2.902831612
0.463,2.909114797
0.464,2.915397983
0.465,2.921681168
0.466,2.927964353
0.467,2.934247538
0.468,2.940530724
0.469,2.946813909
0.47,2.953097094
0.471,2.95938028
0.472,2.965663465
0.473,2.97194665
0.474,2.978229836
0.475,2.984513021
0.476,2.990796206
0.477,2.997079392
0.478,3.003362577
0.479,3.009645762
0.48,3.015928947
0.481,3.022212133
0.482,3.028495318
0.483,3.034778503
0.484,3.041061689
0.485,3.047344874
0.486,3.053628059
0.487,3.059911245
0.488,3.06619443
0.489,3.072477615
0.49,3.078760801
0.491,3.085043986
0.492,3.091327171
0.493,3.097610356
0.494,3.103893542
0.495,3.110176727
0.496,3.116459912
0.497,3.122743098
0.498,3.129026283
0.499,3.135309468
0.5,3.141592654
0.501,3.147875839
0.502,3.154159024
0.503,3.16044221
0.504,3.166725395
0.505,3.17300858
0.506,3.179291765
0.507,3.185574951
0.508,3.191858136
0.509,3.198141321
0.51,3.204424507
0.511,3.210707692
0.512,3.216990877
0.513,3.223274063
0.514,3.229557248
