"Time","axlePosition","speedVal2"
0,0,0
0,0,0
0.12,0,0
0.24,0,0
0.36,0,0
0.48,0,0
0.6,0,0
0.72,0,0
0.84,0,0
0.96,0,0
1.08,0,0
1.2,0,0
1.32,0,0
1.44,0,0
1.56,0,0
1.68,0,0
1.8,0,0
1.92,0,0
2.04,0,0
2.16,0,0
2.28,0,0
2.4,0,0
2.52,0,0
2.64,0,0
2.76,0,0
2.88,0,0
3,0,0
3.12,0,0
3.24,0,0
3.36,0,0
3.48,0,0
3.6,0,0
3.72,0,0
3.84,0,0
3.96,0,0
4.08,0,0
4.2,0,0
4.32,0,0
4.44,0,0
4.56,0,0
4.68,0,0
4.8,0,0
4.92,0,0
5.04,0,0
5.16,0,0
5.28,0,0
5.4,0,0
5.52,0,0
5.64,0,0
5.76,0,0
5.88,0,0
6,0,0
6.12,0,0
6.24,10,500
6.36,30,1500
6.48,60,3000
6.6,80,4000
6.72,90,5000
6.84,100,5000
6.96,95,5000
7.08,65,5000
7.2,45,5000
7.32,25,4500
7.44,15,3500
7.56,5,2500
7.68,0,1000
7.8,0,0
7.92,0,0
8.04,0,0
8.16,0,0
8.28,0,0
8.4,0,0
8.52,0,0
8.64,0,0
8.76,0,0
8.88,0,0
9,0,0
9.12,0,0
9.24,0,0
9.36,0,0
9.48,0,0
9.6,0,0
9.72,0,0
9.84,0,0
9.96,0,0
10.08,0,0
10.2,0,0
10.32,10,500
10.44,30,1500
10.56,50,2500
10.68,80,4000
10.8,85,5000
10.92,100,5000
11.04,95,5000
11.16,75,5000
11.28,45,5000
11.4,25,5000
11.52,15,3500
11.64,5,2500
11.76,0,1500
11.88,0,0
12,0,0
12.12,0,0
12.24,0,0
12.36,0,0
12.48,0,0
12.6,0,0
12.72,0,0
12.84,0,0
12.96,0,0
13.08,0,0
13.2,0,0
13.32,0,0
13.44,0,0
13.56,0,0
13.68,0,0
13.8,0,0
13.92,0,0
14.04,0,0
14.16,0,0
14.28,0,0
14.4,0,0
14.52,30,1500
14.64,50,2500
14.76,70,3500
14.88,85,5000
15,95,5000
15.12,95,5000
15.24,75,5000
15.36,55,5000
15.48,25,5000
15.6,20,4000
15.72,5,2500
15.84,0,1500
