"time","FMU_Interface_OUT0_Vehicle_Acceleration","FMU_Interface_OUT1_Vehicle_Velocity","FMU_Interface_OUT2_Vehicle_Distance","FMU_Interface_OUT3_Load_Signal","FMU_Interface_OUT4_Engine_Speed"
0,0,0,0,0,750
0.05,0,0,0,0,750
0.1,0,0,0,0,750
0.15,0,0,0,0,750
0.2,0,0,0,0,750
0.25,0,0,0,0,750
0.3,0,0,0,0,750
0.35,0,0,0,0,750
0.4,0,0,0,0,750
0.45,0,0,0,0,750
0.5,0,0,0,0,750
0.55,0,0,0,0,750
0.6,0,0,0,0,750
0.65,0,0,0,0,750
0.7,0,0,0,0,750
0.75,0,0,0,0,750
0.8,0,0,0,0,750
0.85,0,0,0,0,750
0.9,0,0,0,0,750
0.95,0,0,0,0,750
1,0,0,0,0,750
1.05,0,0,0,0,750
1.1,0,0,0,0,750
1.15,0,0,0,0,750
1.2,0,0,0,0,750
1.25,0,0,0,0,750
1.3,0,0,0,0,750
1.35,0,0,0,0,750
1.4,0,0,0,0,750
1.45,0,0,0,0,750
1.5,0,0,0,0,750
1.55,0,0,0,0,750
1.6,0,0,0,0,750
1.65,0,0,0,0,750
1.7,0,0,0,0,750
1.75,0,0,0,0,750
1.8,0,0,0,0,750
1.85,0,0,0,0,750
1.9,0,0,0,0,750
1.95,0,0,0,0,750
2,0,0,0,0,750
2.05,0,0,0,0,750
2.1,0,0,0,0,750
2.15,0,0,0,0,750
2.2,0,0,0,0,750
2.25,0,0,0,0,750
2.3,0,0,0,0,750
2.35,0,0,0,0,750
2.4,0,0,0,0,750
2.45,0,0,0,0,750
2.5,0,0,0,0,750
2.55,0,0,0,0,750
2.6,0,0,0,0,750
2.65,0,0,0,0,750
2.7,0,0,0,0,750
2.75,0,0,0,0,750
2.8,0,0,0,0,750
2.85,0,0,0,0,750
2.9,0,0,0,0,750
2.95,0,0,0,0,750
3,0,0,0,0,750
3.05,0,0,0,0,750
3.1,0,0,0,0,750
3.15,0,0,0,0,750
3.2,0,0,0,0,750
3.25,0,0,0,0,750
3.3,0,0,0,0,750
3.35,0,0,0,0,750
3.4,0,0,0,0,750
3.45,0,0,0,0,750
3.5,0,0,0,0,750
3.55,0,0,0,0,750
3.6,0,0,0,0,750
3.65,0,0,0,0,750
3.7,0,0,0,0,750
3.75,0,0,0,0,750
3.8,0,0,0,0,750
3.85,0,0,0,0,750
3.9,0,0,0,0,750
3.95,0,0,0,0,750
4,0,0,0,0,750
4.05,0,0,0,0,750
4.1,0,0,0,0,750
4.15,0,0,0,0,750
4.2,0,0,0,0,750
4.25,0,0,0,0,750
4.3,0,0,0,0,750
4.35,0,0,0,0,750
4.4,0,0,0,0,750
4.45,0,0,0,0,750
4.5,0,0,0,0,750
4.55,0,0,0,0,750
4.6,0,0,0,0,750
4.65,0,0,0,0,750
4.7,0,0,0,0,750
4.75,0,0,0,0,750
4.8,0,0,0,0,750
4.85,0,0,0,0,750
4.9,0,0,0,0,750
4.95,0,0,0,0,750
5,0,0,0,0,750
5.05,0,0,0,0,750
5.1,0,0,0,0,750
5.15,0,0,0,0,750
5.2,0,0,0,0,750
5.25,0,0,0,0,750
5.3,0,0,0,0,750
5.35,0,0,0,0,750
5.4,0,0,0,0,750
5.45,0,0,0,0,750
5.5,0,0,0,0,750
5.55,0,0,0,0,750
5.6,0,0,0,0,750
5.65,0,0,0,0,750
5.7,0,0,0,0,750
5.75,0,0,0,0,750
5.8,0,0,0,0,750
5.85,0,0,0,0,750
5.9,0,0,0,0,750
5.95,0,0,0,0,750
6,0,0,0,0,750
6.05,0,0,0,0,750
6.1,0,0,0,0,750
6.15,0,0,0,0,750
6.2,0,0,0,0,750
6.25,0,0,0,0,750
6.3,0,0,0,0,750
6.35,0,0,0,0,750
6.4,0,0,0,0,750
6.45,0,0,0,0,750
6.5,0,0,0,0,750
6.55,0,0,0,0,750
6.6,0,0,0,0,750
6.65,0,0,0,0,750
6.7,0,0,0,0,750
6.75,0,0,0,0,750
6.8,0,0,0,0,750
6.85,0,0,0,0,750
6.9,0,0,0,0,750
6.95,0,0,0,0,750
7,0,0,0,0,750
7.05,0,0,0,0,750
7.1,0,0,0,0,750
7.15,0,0,0,0,750
7.2,0,0,0,0,750
7.25,0,0,0,0,750
7.3,0,0,0,0,750
7.35,0,0,0,0,750
7.4,0,0,0,0,750
7.45,0,0,0,0,750
7.5,0,0,0,0,750
7.55,0,0,0,0,750
7.6,0,0,0,0,750
7.65,0,0,0,0,750
7.7,0,0,0,0,750
7.75,0,0,0,0,750
7.8,0,0,0,0,750
7.85,0,0,0,0,750
7.9,0,0,0,0,750
7.95,0,0,0,0,750
8,0,0,0,0,750
8.05,0,0,0,0,750
8.1,0,0,0,0,750
8.15,0,0,0,0,750
8.2,0,0,0,0,750
8.25,0,0,0,0,750
8.3,0,0,0,0,750
8.35,0,0,0,0,750
8.4,0,0,0,0,750
8.45,0,0,0,0,750
8.5,0,0,0,0,750
8.55,0,0,0,0,750
8.6,0,0,0,0,750
8.65,0,0,0,0,750
8.7,0,0,0,0,750
8.75,0,0,0,0,750
8.8,0,0,0,0,750
8.85,0,0,0,0,750
8.9,0,0,0,0,750
8.95,0,0,0,0,750
9,0,0,0,0,750
9.05,0,0,0,0,750
9.1,0,0,0,0,750
9.15,0,0,0,0,750
9.2,0,0,0,0,750
9.25,0,0,0,0,750
9.3,0,0,0,0,750
9.35,0,0,0,0,750
9.4,0,0,0,0,750
9.45,0,0,0,0,750
9.5,0,0,0,0,750
9.55,0,0,0,0,750
9.6,0,0,0,0,750
9.65,0,0,0,0,750
9.7,0,0,0,0,750
9.75,0,0,0,0,750
9.8,0,0,0,0,750
9.85,0,0,0,0,750
9.9,0,0,0,0,750
9.95,0,0,0,0,750
10,0,0,0,0,750
10.05,0,0,0,0,750
10.1,0,0,0,0,750
10.15,0,0,0,0,750
10.2,0,0,0,0,750
10.25,0,0,0,0,750
10.3,0,0,0,0,750
10.35,0,0,0,0,750
10.4,0,0,0,0,750
10.45,0,0,0,0,750
10.5,0,0,0,0,750
10.55,0,0,0,0,750
10.6,0,0,0,0,750
10.65,0,0,0,0,750
10.7,0,0,0,0,750
10.75,0,0,0,0,750
10.8,0,0,0,0,750
10.85,0,0,0,0,750
10.9,0,0,0,0,750
10.95,0,0,0,0,750
11,0,0,0,0,750
11.05,0,0,0,0,750
11.1,0,0,0,0,750
11.15,0,0,0,0,750
11.2,0,0,0,0,750
11.25,0,0,0,0,750
11.3,0,0,0,0,750
11.35,0,0,0,0,750
11.4,0,0,0,0,750
11.45,0,0,0,0,750
11.5,0,0,0,0,750
11.55,0,0,0,0,750
11.6,0,0,0,0,750
11.65,0,0,0,0,750
11.7,0,0,0,0,750
11.75,0,0,0,0,750
11.8,0,0,0,1.99872E-14,750
11.85,1.98063E-15,2.69268E-16,1.56044E-18,0.031254958,753.1822432
11.9,0.003097209,0.000421067,2.44014E-06,0.087628976,764.7481227
