"Time","outDateAndTime2","outChar"
0.0,0.0,0.0
0.1,0.0,0.0
0.2,600.0,4.0
0.3,1500.0,6.0
0.4,2800.0,8.0
0.5,4500.0,10.0
0.6,6600.0,12.0
0.7,9100.0,14.0
0.8,12000.0,16.0
0.9,15300.0,18.0
1.0,19000.0,20.0
1.1,23100.0,22.0
1.2,27600.0,24.0
1.3,32500.0,26.0
1.4,37800.0,28.0
1.5,43500.0,30.0
1.6,49600.0,32.0
1.7,56100.0,34.0
1.8,63000.0,36.0
1.9,70300.0,38.0
2.0,78000.0,40.0
2.1,86100.0,42.0
2.2,94600.0,44.0
2.3,103500.0,46.0
2.4,112800.0,48.0
2.5,122500.0,50.0
2.6,132600.0,52.0
2.7,143100.0,54.0
2.8,154000.0,56.0
2.9,165300.0,58.0
3.0,177000.0,60.0
3.1,189100.0,62.0
3.2,201600.0,64.0
3.3,214500.0,66.0
3.4,227800.0,68.0
3.5,241500.0,70.0
3.6,255600.0,72.0
3.7,270100.0,74.0
3.8,285000.0,76.0
3.9,300300.0,78.0
4.0,316000.0,80.0
4.1,332100.0,82.0
4.2,348600.0,84.0
4.3,365500.0,86.0
4.4,382800.0,88.0
4.5,400500.0,90.0
4.6,418600.0,92.0
4.7,437100.0,94.0
4.8,456000.0,96.0
4.9,475300.0,98.0
5.0,495000.0,100.0
5.1,515100.0,102.0
5.2,535600.0,104.0
5.3,556500.0,106.0
5.4,577800.0,108.0
5.5,599500.0,110.0
5.6,621600.0,112.0
5.7,644100.0,114.0
5.8,667000.0,116.0
5.9,690300.0,118.0
6.0,714000.0,120.0
6.1,738100.0,122.0
6.2,762600.0,124.0
6.3,787500.0,126.0
6.4,812800.0,128.0
6.5,838500.0,130.0
6.6,864600.0,132.0
6.7,891100.0,134.0
6.8,918000.0,136.0
6.9,945300.0,138.0
7.0,973000.0,140.0
7.1,1001100.0,142.0
7.2,1029600.0,144.0
7.3,1058500.0,146.0
7.4,1087800.0,148.0
7.5,1117500.0,150.0
7.6,1147600.0,152.0
7.7,1178100.0,154.0
7.8,1209000.0,156.0
7.9,1240300.0,158.0
8.0,1272000.0,160.0
8.1,1304100.0,162.0
8.2,1336600.0,164.0
8.3,1369500.0,166.0
8.4,1402800.0,168.0
8.5,1436500.0,170.0
8.6,1470600.0,172.0
8.7,1505100.0,174.0
8.8,1540000.0,176.0
8.9,1575300.0,178.0
9.0,1611000.0,180.0
9.1,1647100.0,182.0
9.2,1683600.0,184.0
9.3,1720500.0,186.0
9.4,1757800.0,188.0
9.5,1795500.0,190.0
9.6,1833600.0,192.0
9.7,1872100.0,194.0
9.8,1911000.0,196.0
9.9,1950300.0,198.0
10.0,1990000.0,200.0
10.1,2030100.0,202.0
10.2,2070600.0,204.0
10.3,2111500.0,206.0
10.4,2152800.0,208.0
10.5,2194500.0,210.0
10.6,2236600.0,212.0
10.7,2279100.0,214.0
10.8,2322000.0,216.0
10.9,2365300.0,218.0
11.0,2409000.0,220.0
11.1,2453100.0,222.0
11.2,2497600.0,224.0
11.3,2542500.0,226.0
11.4,2587800.0,228.0
11.5,2633500.0,230.0
11.6,2679600.0,232.0
11.7,2726100.0,234.0
11.8,2773000.0,236.0
11.9,2820300.0,238.0
12.0,2868000.0,240.0
12.1,2916100.0,242.0
12.2,2964600.0,244.0
12.3,3013500.0,246.0
12.4,3062800.0,248.0
12.5,3112500.0,250.0
12.6,3162600.0,252.0
12.7,3213100.0,254.0
12.8,3264000.0,0.0
12.9,3315300.0,2.0
13.0,3367000.0,4.0
13.1,3419100.0,6.0
13.2,3471600.0,8.0
13.3,3524500.0,10.0
13.4,3577800.0,12.0
13.5,3631500.0,14.0
13.6,3685600.0,16.0
13.7,3740100.0,18.0
13.8,3795000.0,20.0
13.9,3850300.0,22.0
14.0,3906000.0,24.0
14.1,3962100.0,26.0
14.2,4018600.0,28.0
14.3,4075500.0,30.0
14.4,4132800.0,32.0
14.5,4190500.0,34.0
14.6,4248600.0,36.0
14.7,4307100.0,38.0
14.8,4366000.0,40.0
14.9,4425300.0,42.0
15.0,4485000.0,44.0
15.1,4545100.0,46.0
15.2,4605600.0,48.0
15.3,4666500.0,50.0
15.4,4727800.0,52.0
15.5,4789500.0,54.0
15.6,4851600.0,56.0
15.7,4914100.0,58.0
15.8,4977000.0,60.0
15.9,5040300.0,62.0
16.0,5104000.0,64.0
16.1,5168100.0,66.0
16.2,5232600.0,68.0
16.3,5297500.0,70.0
16.4,5362800.0,72.0
16.5,5428500.0,74.0
16.6,5494600.0,76.0
16.7,5561100.0,78.0
16.8,5628000.0,80.0
16.9,5695300.0,82.0
17.0,5763000.0,84.0
17.1,5831100.0,86.0
17.2,5899600.0,88.0
17.3,5968500.0,90.0
17.4,6037800.0,92.0
17.5,6107500.0,94.0
17.6,6177600.0,96.0
17.7,6248100.0,98.0
17.8,6319000.0,100.0
17.9,6390300.0,102.0
18.0,6462000.0,104.0
18.1,6534100.0,106.0
