Time,freqHz,T2,T3,J1_flange_0a_phi,J1_flange_0a_tau,J1_flange_0b_phi,J1_flange_0b_tau,J1_J,J1_stateSelect,_J1_phi_start,J1_phi,der_J1_phi_,_J1_w_start,J1_w,der_J1_w_,J1_a,torque_useSupport,torque_flange_phi,torque_flange_tau,torque_support_phi,torque_support_tau,torque_phi_0support,torque_tau,clutch1_phi_0rel,der_clutch1_phi_0rel_,clutch1_w_0rel,der_clutch1_w_0rel_,clutch1_a_0rel,clutch1_tau,clutch1_flange_0a_phi,clutch1_flange_0a_tau,clutch1_flange_0b_phi,clutch1_flange_0b_tau,clutch1_phi_0nominal,clutch1_stateSelect,clutch1_mue_0pos_1__1_,clutch1_mue_0pos_1__2_,clutch1_peak,clutch1_cgeo,clutch1_fn_0max,clutch1_w_0small,clutch1_w_0relfric,clutch1_a_0relfric,clutch1_tau0,clutch1_tau0_0max,clutch1_free,clutch1_sa,_clutch1_startForward_start,clutch1_startForward,_clutch1_startBackward_start,clutch1_startBackward,_clutch1_locked_start,clutch1_locked,clutch1_Unknown,clutch1_Free,clutch1_Forward,clutch1_Stuck,clutch1_Backward,_clutch1_mode_start,clutch1_mode,clutch1_unitAngularAcceleration,clutch1_unitTorque,clutch1_useHeatPort,clutch1_lossPower,clutch1_mue0,clutch1_fn,clutch1_f_0normalized,sin1_amplitude,sin1_freqHz,sin1_phase,sin1_offset,sin1_startTime,sin1_y,sin1_pi,step1_height,step1_y,step1_offset,step1_startTime,J2_flange_0a_phi,J2_flange_0a_tau,J2_flange_0b_phi,J2_flange_0b_tau,J2_J,J2_stateSelect,_J2_phi_start,J2_phi,der_J2_phi_,_J2_w_start,J2_w,der_J2_w_,J2_a,clutch2_phi_0rel,der_clutch2_phi_0rel_,clutch2_w_0rel,der_clutch2_w_0rel_,clutch2_a_0rel,clutch2_tau,clutch2_flange_0a_phi,clutch2_flange_0a_tau,clutch2_flange_0b_phi,clutch2_flange_0b_tau,clutch2_phi_0nominal,clutch2_stateSelect,clutch2_mue_0pos_1__1_,clutch2_mue_0pos_1__2_,clutch2_peak,clutch2_cgeo,clutch2_fn_0max,clutch2_w_0small,clutch2_w_0relfric,clutch2_a_0relfric,clutch2_tau0,clutch2_tau0_0max,clutch2_free,clutch2_sa,_clutch2_startForward_start,clutch2_startForward,_clutch2_startBackward_start,clutch2_startBackward,_clutch2_locked_start,clutch2_locked,clutch2_Unknown,clutch2_Free,clutch2_Forward,clutch2_Stuck,clutch2_Backward,_clutch2_mode_start,clutch2_mode,clutch2_unitAngularAcceleration,clutch2_unitTorque,clutch2_useHeatPort,clutch2_lossPower,clutch2_mue0,clutch2_fn,clutch2_f_0normalized,J3_flange_0a_phi,J3_flange_0a_tau,J3_flange_0b_phi,J3_flange_0b_tau,J3_J,J3_stateSelect,_J3_phi_start,J3_phi,der_J3_phi_,_J3_w_start,J3_w,der_J3_w_,J3_a,clutch3_phi_0rel,der_clutch3_phi_0rel_,clutch3_w_0rel,der_clutch3_w_0rel_,clutch3_a_0rel,clutch3_tau,clutch3_flange_0a_phi,clutch3_flange_0a_tau,clutch3_flange_0b_phi,clutch3_flange_0b_tau,clutch3_phi_0nominal,clutch3_stateSelect,clutch3_mue_0pos_1__1_,clutch3_mue_0pos_1__2_,clutch3_peak,clutch3_cgeo,clutch3_fn_0max,clutch3_w_0small,clutch3_w_0relfric,clutch3_a_0relfric,clutch3_tau0,clutch3_tau0_0max,clutch3_free,clutch3_sa,_clutch3_startForward_start,clutch3_startForward,_clutch3_startBackward_start,clutch3_startBackward,_clutch3_locked_start,clutch3_locked,clutch3_Unknown,clutch3_Free,clutch3_Forward,clutch3_Stuck,clutch3_Backward,_clutch3_mode_start,clutch3_mode,clutch3_unitAngularAcceleration,clutch3_unitTorque,clutch3_useHeatPort,clutch3_lossPower,clutch3_mue0,clutch3_fn,clutch3_f_0normalized,J4_flange_0a_phi,J4_flange_0a_tau,J4_flange_0b_phi,J4_flange_0b_tau,J4_J,J4_stateSelect,_J4_phi_start,J4_phi,der_J4_phi_,_J4_w_start,J4_w,der_J4_w_,J4_a,sin2_amplitude,sin2_freqHz,sin2_phase,sin2_offset,sin2_startTime,sin2_y,sin2_pi,fixed_phi0,fixed_flange_phi,fixed_flange_tau,speedSensor_flange_phi,der_speedSensor_flange_phi_,speedSensor_flange_tau,speedSensor_w,speedSensor1_flange_phi,der_speedSensor1_flange_phi_,speedSensor1_flange_tau,speedSensor1_w,speedSensor2_flange_phi,der_speedSensor2_flange_phi_,speedSensor2_flange_tau,speedSensor2_w,speedSensor3_flange_phi,der_speedSensor3_flange_phi_,speedSensor3_flange_tau,speedSensor3_w,step2,J1_0w,J2_0w,J3_0w,J4_0w,fmi_loggingOn,fmi_pullInputsForInitialization,fmi_NumberOfContinuousStates,fmi_NumberOfEventIndicators
0,0.2,0.4,0.9,0,0,0,-10,1,3,0,0,10,10,10,-10,-10,1,0,-0,0,0,0,0,0,-10,-10,20,20,-10,0,10,0,-10,0.0001,4,0,0.5,1.1,1,20,1e+010,-10,20,10,11,0,9,0,0,0,0,0,0,3,2,1,0,-1,3,-1,1,1,0,100,0.5,20,1,10,5,0,0,0,0,3.14159,1,0,0,0.4,0,10,0,0,1,3,0,0,0,0,0,10,10,0,0,0,-10,-10,0,0,-0,0,0,0.0001,4,0,0.5,1.1,1,20,1e+010,0,-10,0,0,1,-10,0,0,0,0,0,0,3,2,1,0,-1,3,2,1,1,0,0,0.5,0,0,0,-0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,0.0001,4,0,0.5,1.1,1,20,1e+010,0,0,0,0,1,0,0,0,0,0,0,0,3,2,1,0,-1,3,2,1,1,0,0,0.5,0,0,0,-0,0,0,1,3,0,0,0,0,0,0,0,1,0.2,1.57,0,0,1,3.14159,0,0,-0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1,8,54
0.003,0.2,0.4,0.9,0.0299567,0.941083,0.0299567,-9.99996,1,3,0,0.0299567,9.97141,10,9.97141,-9.05887,-9.05887,1,0.0299567,-0.941083,0,0.941083,0,0.941083,-0.0299117,-9.94141,-9.94141,19.0588,19.0588,-9.99996,0.0299567,9.99996,4.50007e-005,-9.99996,0.0001,4,0,0.5,1.1,1,20,1e+010,-9.94141,19.0588,9.99996,11,0,8.05888,0,0,0,0,0,0,3,2,1,0,-1,3,-1,1,1,0,99.4137,0.5,19.9999,0.999996,10,5,0,0,0,0.941083,3.14159,1,0,0,0.4,4.50007e-005,9.99996,4.50007e-005,0,1,3,0,4.50007e-005,0.03,0,0.03,9.99996,9.99996,-4.50007e-005,-0.03,-0.03,-9.99996,-9.99996,0,4.50007e-005,-0,5.14318e-018,0,0.0001,4,0,0.5,1.1,1,20,1e+010,-0.03,-9.99996,0,0,1,-9.99996,0,0,0,0,0,0,3,2,1,0,-1,3,2,1,1,0,-0,0.5,0,0,5.14318e-018,-0,5.14318e-018,0,1,3,0,5.14318e-018,2.32453e-015,0,2.32453e-015,1.77636e-015,1.77636e-015,-1.56031e-020,-1.45e-017,-1.45e-017,-3.85186e-034,-3.85186e-034,0,5.14318e-018,-0,5.12758e-018,0,0.0001,4,0,0.5,1.1,1,20,1e+010,-1.45e-017,-3.85186e-034,0,0,1,-3.85186e-034,0,0,0,0,0,0,3,2,1,0,-1,3,2,1,1,0,-0,0.5,0,0,5.12758e-018,-0,5.12758e-018,0,1,3,0,5.12758e-018,2.31003e-015,0,2.31003e-015,1.77636e-015,1.77636e-015,1,0.2,1.57,0,0,0.999996,3.14159,0,0,-0.941083,0.0299567,9.97141,0,9.97141,4.50007e-005,0.03,0,0.03,5.14318e-018,2.32453e-015,0,2.32453e-015,5.12758e-018,2.31003e-015,0,2.31003e-015,0,9.97141,0.03,2.32453e-015,2.31003e-015,0,1,8,54
0.006,0.2,0.4,0.9,0.0598336,1.87381,0.0598336,-9.99977,1,3,0,0.0598336,9.94563,10,9.94563,-8.12596,-8.12596,1,0.0598336,-1.87381,0,1.87381,0,1.87381,-0.0596536,-9.88563,-9.88563,18.1257,18.1257,-9.99977,0.0598336,9.99977,0.00018,-9.99977,0.0001,4,0,0.5,1.1,1,20,1e+010,-9.88563,18.1257,9.99977,10.9998,0,7.12598,0,0,0,0,0,0,3,2,1,0,-1,3,-1,1,1,0,98.8541,0.5,19.9995,0.999977,10,5,0,0,0,1.87381,3.14159,1,0,0,0.4,0.00018,9.99977,0.00018,0,1,3,0,0.00018,0.0599995,0,0.0599995,9.99977,9.99977,-0.00018,-0.0599995,-0.0599995,-9.99977,-9.99977,0,0.00018,-0,-6.50521e-019,0,0.0001,4,0,0.5,1.1,1,20,1e+010,-0.0599995,-9.99977,0,0,1,-9.99977,0,0,0,0,0,0,3,2,1,0,-1,3,2,1,1,0,-0,0.5,0,0,-6.50521e-019,-0,-6.50521e-019,0,1,3,0,-6.50521e-019,1.20737e-015,0,1.20737e-015,1.77636e-015,1.77636e-015,-5.8879e-020,-2.02187e-017,-2.02187e-017,-7.70372e-034,-7.70372e-034,0,-6.50521e-019,-0,-7.094e-019,0,0.0001,4,0,0.5,1.1,1,20,1e+010,-2.02187e-017,-7.70372e-034,0,0,1,-7.70372e-034,0,0,0,0,0,0,3,2,1,0,-1,3,2,1,1,0,-0,0.5,0,0,-7.094e-019,-0,-7.094e-019,0,1,3,0,-7.094e-019,1.18715e-015,0,1.18715e-015,1.77636e-015,1.77636e-015,1,0.2,1.57,0,0,0.999977,3.14159,0,0,-1.87381,0.0598336,9.94563,0,9.94563,0.00018,0.0599995,0,0.0599995,-6.50521e-019,1.20737e-015,0,1.20737e-015,-7.094e-019,1.18715e-015,0,1.18715e-015,0,9.94563,0.0599995,1.20737e-015,1.18715e-015,0,1,8,54
0.009,0.2,0.4,0.9,0.0896434,2.78991,0.0896434,-9.99945,1,3,0,0.0896434,9.92257,10,9.92257,-7.20954,-7.20954,1,0.0896434,-2.78991,0,2.78991,0,2.78991,-0.0892384,-9.83257,-9.83257,17.209,17.209,-9.99945,0.0896434,9.99945,0.000404993,-9.99945,0.0001,4,0,0.5,1.1,1,20,1e+010,-9.83257,17.209,9.99945,10.9994,0,6.20959,0,0,0,0,0,0,3,2,1,0,-1,3,-1,1,1,0,98.3203,0.5,19.9989,0.999945,10,5,0,0,0,2.78991,3.14159,1,0,0,0.4,0.000404993,9.99945,0.000404993,0,1,3,0,0.000404993,0.0899979,0,0.0899979,9.99945,9.99945,-0.000404993,-0.0899979,-0.0899979,-9.99945,-9.99945,0,0.000404993,-0,8.23994e-018,0,0.0001,4,0,0.5,1.1,1,20,1e+010,-0.0899979,-9.99945,0,0,1,-9.99945,0,0,0,0,0,0,3,2,1,0,-1,3,2,1,1,0,-0,0.5,0,0,8.23994e-018,-0,8.23994e-018,0,1,3,0,8.23994e-018,1.67921e-015,0,1.67921e-015,1.77636e-015,1.77636e-015,-1.24036e-019,-2.5164e-017,-2.5164e-017,-2.46519e-032,-2.46519e-032,0,8.23994e-018,-0,8.1159e-018,0,0.0001,4,0,0.5,1.1,1,20,1e+010,-2.5164e-017,-2.46519e-032,0,0,1,-2.46519e-032,0,0,0,0,0,0,3,2,1,0,-1,3,2,1,1,0,-0,0.5,0,0,8.1159e-018,-0,8.1159e-018,0,1,3,0,8.1159e-018,1.65405e-015,0,1.65405e-015,1.77636e-015,1.77636e-015,1,0.2,1.57,0,0,0.999945,3.14159,0,0,-2.78991,0.0896434,9.92257,0,9.92257,0.000404993,0.0899979,0,0.0899979,8.23994e-018,1.67921e-015,0,1.67921e-015,8.1159e-018,1.65405e-015,0,1.65405e-015,0,9.92257,0.0899979,1.67921e-015,1.65405e-015,0,1,8,54
0.012,0.2,0.4,0.9,0.119387,3.68125,0.119387,-9.99898,1,3,0,0.119387,9.90223,10,9.90223,-6.31773,-6.31773,1,0.119387,-3.68125,0,3.68125,0,3.68125,-0.118667,-9.78224,-9.78224,16.3167,16.3167,-9.99898,0.119387,9.99898,0.00071998,-9.99898,0.0001,4,0,0.5,1.1,1,20,1e+010,-9.78224,16.3167,9.99898,10.9989,0,5.31784,0,0,0,0,0,0,3,2,1,0,-1,3,-1,1,1,0,97.8124,0.5,19.998,0.999898,10,5,0,0,0,3.68125,3.14159,1,0,0,0.4,0.00071998,9.99898,0.00071998,0,1,3,0,0.00071998,0.119995,0,0.119995,9.99898,9.99898,-0.00071998,-0.119995,-0.119995,-9.99898,-9.99898,0,0.00071998,-0,1.4203e-017,0,0.0001,4,0,0.5,1.1,1,20,1e+010,-0.119995,-9.99898,0,0,1,-9.99898,0,0,0,0,0,0,3,2,1,0,-1,3,2,1,1,0,-0,0.5,0,0,1.4203e-017,-0,1.4203e-017,0,1,3,0,1.4203e-017,5.68989e-016,0,5.68989e-016,0,0,-2.11944e-019,-3.24402e-017,-3.24402e-017,1.84889e-032,1.84889e-032,0,1.4203e-017,-0,1.39911e-017,0,0.0001,4,0,0.5,1.1,1,20,1e+010,-3.24402e-017,1.84889e-032,0,0,1,1.84889e-032,0,0,0,0,0,0,3,2,1,0,-1,3,2,1,1,0,-0,0.5,0,0,1.39911e-017,-0,1.39911e-017,0,1,3,0,1.39911e-017,5.36549e-016,0,5.36549e-016,1.84889e-032,1.84889e-032,1,0.2,1.57,0,0,0.999898,3.14159,0,0,-3.68125,0.119387,9.90223,0,9.90223,0.00071998,0.119995,0,0.119995,1.4203e-017,5.68989e-016,0,5.68989e-016,1.39911e-017,5.36549e-016,0,5.36549e-016,0,9.90223,0.119995,5.68989e-016,5.36549e-016,0,1,8,54
0.015,0.2,0.4,0.9,0.149079,4.53991,0.149079,-9.99837,1,3,0,0.149079,9.88442,10,9.88442,-5.45847,-5.45847,1,0.149079,-4.53991,0,4.53991,0,4.53991,-0.147954,-9.73443,-9.73443,15.4568,15.4568,-9.99837,0.149079,9.99837,0.00112495,-9.99837,0.0001,4,0,0.5,1.1,1,20,1e+010,-9.73443,15.4568,9.99837,10.9982,0,4.45863,0,0,0,0,0,0,3,2,1,0,-1,3,-1,1,1,0,97.3285,0.5,19.9967,0.999837,10,5,0,0,0,4.53991,3.14159,1,0,0,0.4,0.00112495,9.99837,0.00112495,0,1,3,0,0.00112495,0.149991,0,0.149991,9.99837,9.99837,-0.00112495,-0.149991,-0.149991,-9.99837,-9.99837,0,0.00112495,-0,3.36103e-017,0,0.0001,4,0,0.5,1.1,1,20,1e+010,-0.149991,-9.99837,0,0,1,-9.99837,0,0,0,0,0,0,3,2,1,0,-1,3,2,1,1,0,-0,0.5,0,0,3.36103e-017,-0,3.36103e-017,0,1,3,0,3.36103e-017,-6.10623e-016,0,-6.10623e-016,0,0,-3.07448e-019,-3.6313e-017,-3.6313e-017,-4.93038e-032,-4.93038e-032,0,3.36103e-017,-0,3.33028e-017,0,0.0001,4,0,0.5,1.1,1,20,1e+010,-3.6313e-017,-4.93038e-032,0,0,1,-4.93038e-032,0,0,0,0,0,0,3,2,1,0,-1,3,2,1,1,0,-0,0.5,0,0,3.33028e-017,-0,3.33028e-017,0,1,3,0,3.33028e-017,-6.46936e-016,0,-6.46936e-016,-4.93038e-032,-4.93038e-032,1,0.2,1.57,0,0,0.999837,3.14159,0,0,-4.53991,0.149079,9.88442,0,9.88442,0.00112495,0.149991,0,0.149991,3.36103e-017,-6.10623e-016,0,-6.10623e-016,3.33028e-017,-6.46936e-016,0,-6.46936e-016,0,9.88442,0.149991,-6.10623e-016,-6.46936e-016,0,1,8,54
0.018,0.2,0.4,0.9,0.178716,5.35827,0.178716,-9.99762,1,3,0,0.178716,9.86919,10,9.86919,-4.63935,-4.63935,1,0.178716,-5.35827,0,5.35827,0,5.35827,-0.177097,-9.6892,-9.6892,14.637,14.637,-9.99762,0.178716,9.99762,0.00161991,-9.99762,0.0001,4,0,0.5,1.1,1,20,1e+010,-9.6892,14.637,9.99762,10.9974,0,3.63959,0,0,0,0,0,0,3,2,1,0,-1,3,-1,1,1,0,96.8689,0.5,19.9952,0.999762,10,5,0,0,0,5.35827,3.14159,1,0,0,0.4,0.00161991,9.99762,0.00161991,0,1,3,0,0.00161991,0.179984,0,0.179984,9.99762,9.99762,-0.00161991,-0.179984,-0.179984,-9.99762,-9.99762,0,0.00161991,-0,1.75641e-017,0,0.0001,4,0,0.5,1.1,1,20,1e+010,-0.179984,-9.99762,0,0,1,-9.99762,0,0,0,0,0,0,3,2,1,0,-1,3,2,1,1,0,-0,0.5,0,0,1.75641e-017,-0,1.75641e-017,0,1,3,0,1.75641e-017,7.49401e-016,0,7.49401e-016,0,0,-4.13282e-019,-3.76929e-017,-3.76929e-017,6.16298e-033,6.16298e-033,0,1.75641e-017,-0,1.71508e-017,0,0.0001,4,0,0.5,1.1,1,20,1e+010,-3.76929e-017,6.16298e-033,0,0,1,6.16298e-033,0,0,0,0,0,0,3,2,1,0,-1,3,2,1,1,0,-0,0.5,0,0,1.71508e-017,-0,1.71508e-017,0,1,3,0,1.71508e-017,7.11708e-016,0,7.11708e-016,6.16298e-033,6.16298e-033,1,0.2,1.57,0,0,0.999762,3.14159,0,0,-5.35827,0.178716,9.86919,0,9.86919,0.00161991,0.179984,0,0.179984,1.75641e-017,7.49401e-016,0,7.49401e-016,1.71508e-017,7.11708e-016,0,7.11708e-016,0,9.86919,0.179984,7.49401e-016,7.11708e-016,0,1,8,54
0.021,0.2,0.4,0.9,0.208316,6.12907,0.208316,-9.99673,1,3,0,0.208316,9.85622,10,9.85622,-3.86765,-3.86765,1,0.208316,-6.12907,0,6.12907,0,6.12907,-0.206111,-9.64624,-9.64624,13.8644,13.8644,-9.99673,0.208316,9.99673,0.00220484,-9.99673,0.0001,4,0,0.5,1.1,1,20,1e+010,-9.64624,13.8644,9.99673,10.9964,0,2.86798,0,0,0,0,0,0,3,2,1,0,-1,3,-1,1,1,0,96.4308,0.5,19.9935,0.999673,10,5,0,0,0,6.12907,3.14159,1,0,0,0.4,0.00220484,9.99673,0.00220484,0,1,3,0,0.00220484,0.209975,0,0.209975,9.99673,9.99673,-0.00220484,-0.209975,-0.209975,-9.99673,-9.99673,0,0.00220484,-0,4.38018e-017,0,0.0001,4,0,0.5,1.1,1,20,1e+010,-0.209975,-9.99673,0,0,1,-9.99673,0,0,0,0,0,0,3,2,1,0,-1,3,2,1,1,0,-0,0.5,0,0,4.38018e-017,-0,4.38018e-017,0,1,3,0,4.38018e-017,2.22045e-015,0,2.22045e-015,0,0,-5.22873e-019,-3.87077e-017,-3.87077e-017,-1.2326e-032,-1.2326e-032,0,4.38018e-017,-0,4.32789e-017,0,0.0001,4,0,0.5,1.1,1,20,1e+010,-3.87077e-017,-1.2326e-032,0,0,1,-1.2326e-032,0,0,0,0,0,0,3,2,1,0,-1,3,2,1,1,0,-0,0.5,0,0,4.32789e-017,-0,4.32789e-017,0,1,3,0,4.32789e-017,2.18174e-015,0,2.18174e-015,-1.2326e-032,-1.2326e-032,1,0.2,1.57,0,0,0.999673,3.14159,0,0,-6.12907,0.208316,9.85622,0,9.85622,0.00220484,0.209975,0,0.209975,4.38018e-017,2.22045e-015,0,2.22045e-015,4.32789e-017,2.18174e-015,0,2.18174e-015,0,9.85622,0.209975,2.22045e-015,2.18174e-015,0,1,8,54
0.024,0.2,0.4,0.9,0.237876,6.84547,0.237876,-9.99569,1,3,0,0.237876,9.84555,10,9.84555,-3.15022,-3.15022,1,0.237876,-6.84547,0,6.84547,0,6.84547,-0.234996,-9.60558,-9.60558,13.1459,13.1459,-9.99569,0.237876,9.99569,0.00287974,-9.99569,0.0001,4,0,0.5,1.1,1,20,1e+010,-9.60558,13.1459,9.99569,10.9953,0,2.15065,0,0,0,0,0,0,3,2,1,0,-1,3,-1,1,1,0,96.0144,0.5,19.9914,0.999569,10,5,0,0,0,6.84547,3.14159,1,0,0,0.4,0.00287974,9.99569,0.00287974,0,1,3,0,0.00287974,0.239963,0,0.239963,9.99569,9.99569,-0.00287974,-0.239963,-0.239963,-9.99569,-9.99569,0,0.00287974,-0,3.9465e-017,0,0.0001,4,0,0.5,1.1,1,20,1e+010,-0.239963,-9.99569,0,0,1,-9.99569,0,0,0,0,0,0,3,2,1,0,-1,3,2,1,1,0,-0,0.5,0,0,3.9465e-017,-0,3.9465e-017,0,1,3,0,3.9465e-017,-1.66533e-016,0,-1.66533e-016,0,0,-6.36887e-019,-3.92021e-017,-3.92021e-017,4.62223e-033,4.62223e-033,0,3.9465e-017,-0,3.88281e-017,0,0.0001,4,0,0.5,1.1,1,20,1e+010,-3.92021e-017,4.62223e-033,0,0,1,4.62223e-033,0,0,0,0,0,0,3,2,1,0,-1,3,2,1,1,0,-0,0.5,0,0,3.88281e-017,-0,3.88281e-017,0,1,3,0,3.88281e-017,-2.05736e-016,0,-2.05736e-016,4.62223e-033,4.62223e-033,1,0.2,1.57,0,0,0.999569,3.14159,0,0,-6.84547,0.237876,9.84555,0,9.84555,0.00287974,0.239963,0,0.239963,3.9465e-017,-1.66533e-016,0,-1.66533e-016,3.88281e-017,-2.05736e-016,0,-2.05736e-016,0,9.84555,0.239963,-1.66533e-016,-2.05736e-016,0,1,8,54
0.027,0.2,0.4,0.9,0.267409,7.50111,0.267409,-9.99451,1,3,0,0.267409,9.83682,10,9.83682,-2.4934,-2.4934,1,0.267409,-7.50111,0,7.50111,0,7.50111,-0.263765,-9.56687,-9.56687,12.4879,12.4879,-9.99451,0.267409,9.99451,0.00364459,-9.99451,0.0001,4,0,0.5,1.1,1,20,1e+010,-9.56687,12.4879,9.99451,10.994,0,1.49395,0,0,0,0,0,0,3,2,1,0,-1,3,-1,1,1,0,95.6162,0.5,19.989,0.999451,10,5,0,0,0,7.50111,3.14159,1,0,0,0.4,0.00364459,9.99451,0.00364459,0,1,3,0,0.00364459,0.269948,0,0.269948,9.99451,9.99451,-0.00364459,-0.269948,-0.269948,-9.99451,-9.99451,0,0.00364459,-0,7.32921e-017,0,0.0001,4,0,0.5,1.1,1,20,1e+010,-0.269948,-9.99451,0,0,1,-9.99451,0,0,0,0,0,0,3,2,1,0,-1,3,2,1,1,0,-0,0.5,0,0,7.32921e-017,-0,7.32921e-017,0,1,3,0,7.32921e-017,5.55112e-017,0,5.55112e-017,0,0,-7.52672e-019,-3.95322e-017,-3.95322e-017,-4.62223e-033,-4.62223e-033,0,7.32921e-017,-0,7.25394e-017,0,0.0001,4,0,0.5,1.1,1,20,1e+010,-3.95322e-017,-4.62223e-033,0,0,1,-4.62223e-033,0,0,0,0,0,0,3,2,1,0,-1,3,2,1,1,0,-0,0.5,0,0,7.25394e-017,-0,7.25394e-017,0,1,3,0,7.25394e-017,1.5979e-017,0,1.5979e-017,-4.62223e-033,-4.62223e-033,1,0.2,1.57,0,0,0.999451,3.14159,0,0,-7.50111,0.267409,9.83682,0,9.83682,0.00364459,0.269948,0,0.269948,7.32921e-017,5.55112e-017,0,5.55112e-017,7.25394e-017,1.5979e-017,0,1.5979e-017,0,9.83682,0.269948,5.55112e-017,1.5979e-017,0,1,8,54
