Time,clutch3_f_normalized,J1_w,J2_w,J3_w,J4_w
0,0,0,0,0,0
0.003,0,9.97147,0.03,0,0
0.006,0,9.9457,0.0599995,0,0
0.009,0,9.92269,0.0899983,0,0
0.012,0,9.90239,0.119996,0,0
0.015,0,9.8847,0.149992,0,0
0.018,0,9.86953,0.179986,0,0
0.021,0,9.85673,0.209977,0,0
0.024,0,9.84617,0.239966,0,0
0.027,0,9.83766,0.269951,0,0
0.03,0,9.83102,0.299932,0,0
0.033,0,9.82604,0.329909,0,0
0.036,0,9.82249,0.359882,0,0
0.039,0,9.82015,0.38985,0,0
0.042,0,9.81877,0.419812,0,0
0.045,0,9.81809,0.449768,0,0
0.048,0,9.81787,0.479718,0,0
0.051,0,9.81782,0.509662,0,0
0.054,0,9.81769,0.539598,0,0
0.057,0,9.81722,0.569526,0,0
0.06,0,9.81614,0.599447,0,0
0.063,0,9.81422,0.629359,0,0
0.066,0,9.81122,0.659262,0,0
0.069,0,9.8069,0.689157,0,0
0.072,0,9.801,0.719041,0,0
0.075,0,9.79331,0.748915,0,0
0.078,0,9.78364,0.778779,0,0
0.081,0,9.77179,0.808632,0,0
0.084,0,9.75763,0.838473,0,0
0.087,0,9.741,0.868303,0,0
0.09,0,9.72178,0.89812,0,0
0.093,0,9.6999,0.927925,0,0
0.096,0,9.67527,0.957716,0,0
0.099,0,9.64785,0.987494,0,0
0.102,0,9.61762,1.01726,0,0
0.105,0,9.58459,1.04701,0,0
0.108,0,9.54878,1.07674,0,0
0.111,0,9.51025,1.10646,0,0
0.114,0,9.46907,1.13617,0,0
0.117,0,9.42536,1.16585,0,0
0.12,0,9.37923,1.19553,0,0
0.123,0,9.33083,1.22518,0,0
0.126,0,9.28032,1.25482,0,0
0.129,0,9.2279,1.28444,0,0
0.132,0,9.17377,1.31404,0,0
0.135,0,9.11813,1.34362,0,0
0.138,0,9.06124,1.37319,0,0
0.141,0,9.00332,1.40273,0,0
0.144,0,8.94463,1.43225,0,0
0.147,0,8.88544,1.46176,0,0
0.15,0,8.826,1.49124,0,0
0.153,0,8.76658,1.5207,0,0
0.156,0,8.70745,1.55015,0,0
0.159,0,8.64887,1.57956,0,0
0.162,0,8.5911,1.60896,0,0
0.165,0,8.5344,1.63834,0,0
0.168,0,8.479,1.66769,0,0
0.171,0,8.42513,1.69701,0,0
0.174,0,8.37303,1.72632,0,0
0.177,0,8.32288,1.75559,0,0
0.18,0,8.27487,1.78485,0,0
0.183,0,8.22918,1.81408,0,0
0.186,0,8.18594,1.84328,0,0
0.189,0,8.14529,1.87246,0,0
0.192,0,8.10732,1.90161,0,0
0.195,0,8.07212,1.93073,0,0
0.198,0,8.03973,1.95983,0,0
0.201,0,8.01019,1.98889,0,0
0.204,0,7.9835,2.01793,0,0
0.207,0,7.95965,2.04694,0,0
0.21,0,7.93858,2.07593,0,0
0.213,0,7.92023,2.10488,0,0
0.216,0,7.9045,2.1338,0,0
0.219,0,7.89127,2.1627,0,0
0.222,0,7.88042,2.19156,0,0
0.225,0,7.87177,2.22039,0,0
0.228,0,7.86515,2.24919,0,0
0.231,0,7.86037,2.27796,0,0
0.234,0,7.8572,2.30669,0,0
0.237,0,7.85543,2.33539,0,0
0.24,0,7.85481,2.36406,0,0
0.243,0,7.8551,2.3927,0,0
0.246,0,7.85604,2.4213,0,0
0.249,0,7.85737,2.44987,0,0
0.252,0,7.85882,2.4784,0,0
0.255,0,7.86013,2.5069,0,0
0.258,0,7.86104,2.53536,0,0
0.261,0,7.86128,2.56379,0,0
0.264,0,7.86059,2.59218,0,0
0.267,0,7.85874,2.62054,0,0
0.27,0,7.85549,2.64885,0,0
0.273,0,7.85062,2.67713,0,0
0.276,0,7.84391,2.70537,0,0
0.279,0,7.83519,2.73357,0,0
0.282,0,7.82427,2.76174,0,0
0.285,0,7.811,2.78986,0,0
0.288,0,7.79526,2.81795,0,0
0.291,0,7.77693,2.84599,0,0
0.294,0,7.75592,2.874,0,0
0.297,0,7.73218,2.90196,0,0
0.3,0,7.70567,2.92988,0,0
0.303,0,7.67638,2.95776,0,0
0.306,0,7.64431,2.9856,0,0
0.309,0,7.60952,3.0134,0,0
0.312,0,7.57205,3.04116,0,0
0.315,0,7.532,3.06887,0,0
0.318,0,7.48947,3.09653,0,0
0.321,0,7.4446,3.12416,0,0
0.324,0,7.39755,3.15174,0,0
0.327,0,7.34848,3.17927,0,0
0.33,0,7.29758,3.20676,0,0
0.333,0,7.24507,3.2342,0,0
0.336,0,7.19117,3.2616,0,0
0.339,0,7.13611,3.28896,0,0
0.342,0,7.08014,3.31626,0,0
0.345,0,7.02352,3.34352,0,0
0.348,0,6.9665,3.37073,0,0
0.351,0,6.90935,3.39789,0,0
0.354,0,6.85234,3.42501,0,0
0.357,0,6.79573,3.45207,0,0
0.36,0,6.73979,3.47909,0,0
0.363,0,6.68477,3.50606,0,0
0.366,0,6.63092,3.53298,0,0
0.369,0,6.57848,3.55984,0,0
0.372,0,6.52768,3.58666,0,0
0.375,0,6.47873,3.61343,0,0
0.378,0,6.43183,3.64014,0,0
