      "time","light_intensity","light_switch",  "resetReq", "headlight","on_counter","off_counter","on_counter_byType","off_counter_byType","light_switch_old_byType","qtronic.silver.real_time","qtronic.silver.allow_non_virtual_can","qtronic.silver.env.PROCESSOR_LEVEL","qtronic.silver.env.NUMBER_OF_PROCESSORS","qtronic.silver.env.EulerSteps","qtronic.silver.env.Timestep","qtronic.silver.macro_step","qtronic.silver.version.sp","qtronic.silver.version.minor","qtronic.silver.version.major","qtronic.silver.internal.stepDisabled","qtronic.silver.internal.pauseDisabled"
         0,         0,         0,         0,         0,         0,         0,         0,         0,       255,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.01,         0,0.11764706,         0,         0,         0,         0,         0,         0,         0,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.02,         0,0.23529412,         0,         0,         0,         0,         0,         0,         0,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.03,         0,0.35294118,         0,         0,         0,         0,         0,         0,         0,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.04,         0,0.47058824,         0,         0,         0,         0,         0,         0,         0,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.05,         0,0.58823529,         0,         0,         0,         0,         0,         0,         0,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.06,         0,0.70588235,         0,         1,         0,         0,         0,         0,         1,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.07,         0,0.82352941,         0,         1,         0,         0,         0,         0,         1,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.08,         0,0.94117647,         0,         1,         0,         0,         0,         0,         1,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.09,         0, 1.0588235,         0,         1,         0,         0,         0,         0,         1,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
       0.1,         0, 1.1764706,         0,         1,         0,         0,         0,         0,         1,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.11,         0, 1.2941176,         0,         1,         0,         0,         0,         0,         1,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.12,         0, 1.4117647,         0,         1,         0,         0,         0,         0,         1,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.13,         0, 1.5294118,         0,         1,         0,         0,         0,         0,         1,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.14,         0, 1.6470588,         0,         1,         0,         0,         0,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.15,         0, 1.7647059,         0,         1,         0,         0,         0,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.16,         0, 1.8823529,         0,         1,         0,         0,         0,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.17,         0,         2,         0,         1,         0,         0,         0,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
      0.18,0.11111111,         2,         0,         1,         0,         0,         0,         0,         2,         0,         0,         6,         2,        10,      0.01,      0.01,         0,         0,1.4821969e-323,         0,         0
