Time,Noise,Noise_Filt,Noise_Filt_Sat,Sine,Sine_Filt,Sine_Filt_Quantized,
0,9.10961e-307,3.7236e-317,1.39084e-311,2.71624e-310,2.79073e-310,2.62776e-310,
0.01,0.504193,0.0630242,0.0630242,0.0199997,2.14415e-006,0,
0.02,0.504193,0.0630242,0.0630242,0.0399973,2.01558e-005,0,
0.03,0.504193,0.0630242,0.0630242,0.059991,7.10273e-005,0,
0.04,0.504193,0.0630242,0.0630242,0.0799787,0.00017102,0,
0.05,3.37525,0.481779,0.481779,0.0999583,0.000335678,0,
0.06,3.37525,0.481779,0.481779,0.119928,0.000579842,0,
0.07,3.37525,0.481779,0.481779,0.139886,0.000917663,0,
0.08,3.37525,0.481779,0.481779,0.159829,0.00136262,0,
0.09,3.37525,0.481779,0.481779,0.179757,0.00192752,0,
0.1,-1.21259,0.306117,0.306117,0.199667,0.00262454,0,
0.11,-1.21259,0.306117,0.306117,0.219557,0.00346521,0,
0.12,-1.21259,0.306117,0.306117,0.239424,0.00446045,0,
0.13,-1.21259,0.306117,0.306117,0.259268,0.00562058,0,
0.14,-1.21259,0.306117,0.306117,0.279086,0.0069553,0,
0.15,1.81772,0.518026,0.5,0.298876,0.00847377,0,
0.16,1.81772,0.518026,0.5,0.318636,0.0101846,0,
0.17,1.81772,0.518026,0.5,0.338365,0.0120957,0,
0.18,1.81772,0.518026,0.5,0.358059,0.0142147,0,
0.19,1.81772,0.518026,0.5,0.377718,0.0165486,0,
0.2,0.277462,0.526808,0.5,0.397339,0.0191038,0,
0.21,0.277462,0.526808,0.5,0.41692,0.0218862,0,
0.22,0.277462,0.526808,0.5,0.436459,0.0249014,0,
0.23,0.277462,0.526808,0.5,0.455955,0.0281544,0,
0.24,0.277462,0.526808,0.5,0.475405,0.0316497,0,
0.25,-0.54856,0.431897,0.431897,0.494808,0.0353915,0,
0.26,-0.54856,0.431897,0.431897,0.514161,0.0393835,0,
0.27,-0.54856,0.431897,0.431897,0.533463,0.043629,0,
0.28,-0.54856,0.431897,0.431897,0.552711,0.0481308,0,
0.29,-0.54856,0.431897,0.431897,0.571904,0.0528915,0,
0.3,-1.3008,0.247703,0.247703,0.59104,0.057913,0.1,
0.31,-1.3008,0.247703,0.247703,0.610117,0.0631973,0.1,
0.32,-1.3008,0.247703,0.247703,0.629133,0.0687455,0.1,
0.33,-1.3008,0.247703,0.247703,0.648086,0.0745589,0.1,
