"time","T2","freqHz","J1.phi","J1.w","clutch1.phi_rel","clutch1.w_rel","clutch2.phi_rel","clutch2.w_rel","clutch3.phi_rel","clutch3.w_rel"
0.00000000000000E+00,4.00000000000000E-01,2.00000000000000E-01,0.00000000000000E+00,1.00000000000000E+01,0.00000000000000E+00,-1.00000000000000E+01,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
2.72957516784642E-11,4.00000000000000E-01,2.00000000000000E-01,2.72957516777192E-10,9.99999999972704E+00,-2.72957516769741E-10,-9.99999999945408E+00,-7.45057823458211E-21,-2.72957430238511E-10,0.00000000000000E+00,0.00000000000000E+00
1.00000031680863E-09,4.00000000000000E-01,2.00000000000000E-01,1.00000005127669E-08,9.99999999000008E+00,-9.99999785742456E-09,-9.99999998000008E+00,-2.65534234303378E-15,-1.00000000000605E-08,0.00000000000000E+00,0.00000000000000E+00
1.00000031680863E-09,4.00000000000000E-01,2.00000000000000E-01,1.00000005127669E-08,9.99999999000008E+00,-9.99999785742456E-09,-9.99999998000008E+00,-2.65534234303378E-15,-1.00000000000605E-08,0.00000000000000E+00,0.00000000000000E+00
1.02932066857276E-09,4.00000000000000E-01,2.00000000000000E-01,1.02932040301064E-08,9.99999998970688E+00,-1.02932013744622E-08,-9.99999997941368E+00,-2.65564414337898E-15,-1.02932034247365E-08,0.00000000000000E+00,0.00000000000000E+00
2.94232838309828E-07,4.00000000000000E-01,2.00000000000000E-01,2.94232751774987E-06,9.99999705769974E+00,-2.94232665239346E-06,-9.99999411537228E+00,-8.65356402842309E-13,-2.94232745104537E-06,0.00000000000000E+00,0.00000000000000E+00
3.22626801472238E-06,4.00000000000000E-01,2.00000000000000E-01,3.22626133468129E-05,9.99996773942874E+00,-3.22625465422651E-05,-9.99993547675876E+00,-6.68045477847588E-11,-3.22626699844444E-05,0.00000000000000E+00,0.00000000000000E+00
1.89082083767720E-05,4.00000000000000E-01,2.00000000000000E-01,1.89080145414669E-04,9.99981097888932E+00,-1.89078206428972E-04,-9.99962189686359E+00,-1.93898569720513E-09,-1.89082025726798E-04,0.00000000000000E+00,0.00000000000000E+00
6.11878986118986E-05,4.00000000000000E-01,2.00000000000000E-01,6.11859801616434E-04,9.99938872444446E+00,-6.11840599410839E-04,-9.99877684563399E+00,-1.92022055955597E-08,-6.11878810461372E-04,0.00000000000000E+00,0.00000000000000E+00
1.58978362230213E-04,4.00000000000000E-01,2.00000000000000E-01,1.58965646235637E-03,9.99841422050441E+00,-1.58952901906687E-03,-9.99682443727275E+00,-1.27443289500511E-07,-1.58978323166203E-03,0.00000000000000E+00,0.00000000000000E+00
