"time","uDC","iAC[1]","iAC[2]","iAC[3]","uAC[1]","uAC[2]","uAC[3]","Losses"
0,565.68542494923804,-0,0,0,0,0,0,480
0.001,533.10221549454786,0.30272058636703392,-29.595370384497411,29.292649798130377,419.94045916990166,-537.16002925248574,117.21957008258408,877.95639167983586
0.002,500.41577944421601,6.4501921715545416,-6.8487612822290451,0.39856911067450351,504.42806955382082,-451.49878939851817,-52.929280155302621,734.15607120033565
0.003,478.95671712245502,445.13433211012352,-445.23680366932081,0.10247155919731085,483.84612145539586,-293.15889156208175,-190.68722989331414,2757.783115314905
0.004,496.73046712857433,1050.6882957460259,-1050.4846391242479,-0.2036566217780458,502.83063650234095,-149.58690553393848,-353.24373096840247,7049.3764560935442
0.005,538.85443887279587,1067.6064752261059,-1067.1166257523125,-0.48984947379332267,544.98807413126121,-27.569055244477227,-517.41901888678399,7395.9982153925966
0.006,552.80363364994537,316.92211103702778,-0.20376501604970276,-316.71834602097806,380.60068984086246,176.83547002634737,-557.43615986720988,2254.9786472306109
0.007,542.57911679984363,406.32799323676528,0.10236135894570286,-406.43035459571098,222.51465993540938,324.87612124236881,-547.39078117777819,2699.1900777854985
0.008,537.90207843173334,398.43915667171058,0.39846789774829444,-398.83762456945885,72.114987198415861,470.58328341420963,-542.69827061262549,2717.2612409497015
0.009,518.91311102724308,0.30282597379948584,76.265336659526824,-76.56816263332631,-110.11931096168479,523.06489854852634,-412.94558758684161,1038.4493976235278
0.01,500.76845741690164,5.5405943555797421e-005,445.07460629353903,-445.07466169948259,-252.80109512993965,505.65759625884095,-252.85650112890133,2805.4026285444229
0.011,511.92852599717656,-0.30272058510774968,836.73795312292305,-836.4352325378153,-410.16077674083886,517.60066565364571,-107.43988891280682,5449.1366808250059
0.012,531.59044962530857,-19.193464751080796,624.6643599871544,-605.4708952360736,-536.23323562636153,536.81951247056963,-0.58627684420810056,4106.774549128635
0.013,525.57830361831054,-401.50323397157473,401.60570553285396,-0.10247156127922445,-530.38035259915875,316.42600817492104,213.95434442423772,2626.6396837573698
0.014,528.41727296107069,-668.72747624753606,668.52381962337006,0.20365662416605301,-533.75345808621046,165.04831513186849,368.70514295434202,4289.5300361223899
0.015,539.20380961805063,-553.93214917436853,553.44229970039055,0.48984947397803297,-544.31009655301921,27.230066363001072,517.08003019001808,3676.8674138929077
0.016,525.60762536798541,-189.35035233340176,0.20376509426262965,189.14658723913914,-366.87518037119497,-163.10988234367488,529.98506271486985,1542.1427011246947
0.017,514.88231802312885,-518.82401355168236,-0.10236135566318777,518.92637490734558,-208.7787857928995,-311.14024381734072,519.91902961024016,3284.016449115351
0.018,524.28665848650564,-687.77296462971378,-0.39846787878581424,688.17143250849961,-65.596633841072958,-464.06491109436746,529.66154493544036,4467.1700838566667
0.019,525.60816977441391,-100.12455953301395,-177.88807454417679,278.01263407719074,0.07776343724765411,-530.06301081185461,529.98524737460707,2062.9529707643333
0.02,514.90051634105066,-5.5406653018508223e-005,-503.08514507184935,503.08520047850237,259.92512058600585,-519.90564788043685,259.98052729443094,3183.3909659241895
0.021,525.81168165825306,0.30272059103356241,-772.38534414401863,772.08262355298507,417.03799110651539,-531.35508845918002,114.31709735266463,5020.736641383146
0.022,537.92202928041252,13.288548083891385,-471.04300930514745,457.75446122125607,542.4052765104957,-542.84974197916767,0.44446546867186498,3187.0720725734909
0.023,523.46076836858947,310.45050332961534,-310.55297489374544,0.10247156413011266,528.08071630532822,-315.27619145345125,-212.80452485187695,2127.1983864899967
0.024,521.38435488882612,618.9667936407684,-618.7631369851083,-0.20365665566014102,526.62103281406439,-161.4820867487357,-365.13894606532864,3943.8689757417892
0.025,531.03155179371595,570.9114940933656,-570.42164461936886,-0.48984947399672296,536.17181372906316,-23.160924941678104,-513.01088878738506,3761.0679315745392
0.026,520.4696769488429,248.19476065294126,-0.20376501392984994,-247.9909956390114,364.36501548265238,160.59979778799232,-524.96481327064475,1815.532712652627
0.027,514.63391178126733,599.91350456953842,0.10236135635642282,-600.01586592589479,208.73567198368573,311.09713070136252,-519.83280268504825,3789.1855570516054
0.028,528.97719190549424,748.19231183222166,0.39846789503040758,-748.59077972725208,68.002307024525066,466.47060052242921,-534.47290754695427,4894.784817269463
0.029,532.54802142479571,117.87992504207867,159.54614417080032,-277.42606921287899,-0.041666177462559517,536.98392010623786,-536.94225392877524,2080.0344301430687
0.03,519.47885417894508,5.5404970169092849e-005,443.74860183625816,-443.74865724122833,-262.1549492841454,524.36530359386484,-262.21035430971938,2845.5393397066136
0.031,525.6224249852196,-0.30272058524053591,695.09308370311567,-694.79036311787513,-416.86606787959312,531.01124779836778,-114.14517991877472,4484.267555340246
0.032,533.14261483552832,-16.871622765882023,418.38247234644649,-401.51084958056447,-537.57679421123157,537.96143305340752,-0.384638842175832,2865.9868527725812
0.033,517.92769258489477,-332.8384547944853,332.94092635404445,-0.10247155955913065,-522.59242744592325,312.53204473825554,210.06038270766771,2231.1310922370849
0.034,518.65792104054731,-676.71389005442848,676.51023343224961,0.2036566221788817,-524.01009849601451,160.17663633035716,363.83346216565735,4317.3769004538353
0.035,532.49679587404592,-633.05375436959127,632.56390489555497,0.48984947403633555,-537.76133927517594,23.955687694928088,513.80565158024774,4163.1113683350841
0.036,524.67634702882128,-253.68490139412447,0.20376501662685007,253.48113637749762,-366.47383779972682,-162.70861740806384,529.18245520779067,1854.0100484170703
0.037,518.06211528443248,-572.24004786239732,-0.10236135526326234,572.34240921766059,-210.42209742461478,-312.78355504912997,523.20565247374475,3622.4757058662381
0.038,529.83657022644229,-702.44590516978076,-0.39846787930349875,702.84437304908431,-68.386256828159901,-466.85453459913953,535.24079142729943,4581.3184941601257
0.039,530.45434758547071,-76.46912662279459,-163.3760980030778,239.84522462587239,0.086906884473364698,-534.85649959725242,534.76959271277906,1896.771218372141
0.04,516.84809921215651,-5.5405810542197287e-005,-448.0460193534671,448.04607475927764,260.8438714245367,-521.74314871502133,260.89927729048463,2863.5674726178991
0.041,523.94418242000529,0.3027205879873236,-717.97767755185282,717.6749569638655,416.04983421958491,-529.37877773156083,113.32894351197598,4636.0566516230028
0.042,533.28400048826097,16.877238467399138,-447.51010242065763,430.63286395325849,537.74731279783578,-538.16106800956641,0.41375521173063134,3032.4055600335955
0.043,519.20951513718046,339.96706632626518,-340.0695378852098,0.1024715589446292,523.88850464337213,-313.18008302972885,-210.70842161364325,2272.567960307646
0.044,520.03097171182173,672.21927744022537,-672.015620814709,-0.20365662551636141,525.37415720494778,-160.85866401608223,-364.51549318886555,4290.8453859439733
0.045,533.24052416212794,619.50507924092528,-619.01522976700437,-0.48984947392090561,538.47796875264294,-24.314002491376755,-514.1639662612663,4076.9735790751793
0.046,524.52468254948394,245.37705671633367,-0.20376501258175128,-245.17329170375191,366.38969585280313,162.62447950624301,-529.01417535904613,1812.0914482162234
0.047,517.45821043595936,567.38695270636424,0.10236135478203395,-567.48931406114627,210.11529275459372,312.4767498978801,-522.59204265247376,3590.4351412600554
0.048,529.11048986950345,703.42002689213928,0.39846787796252725,-703.81849477010178,68.024192167004173,466.49246859701094,-534.51666076401511,4586.0296109503779
