"time","freqHz","T2","T3","J1.flange_a.phi","J1.flange_a.tau","J1.flange_b.phi","J1.flange_b.tau","J1.J","J1.phi"
0,0.2,0.4,0.9,0,0,0,-10,1,0
0.0005,0.2,0.4,0.9,0.00499866,0.157073,0.00499866,-10,1,0.00499866
0.001,0.2,0.4,0.9,0.00999488,0.314108,0.00999488,-10,1,0.00999488
0.0015,0.2,0.4,0.9,0.0149888,0.471065,0.0149888,-9.99999,1,0.0149888
0.002,0.2,0.4,0.9,0.0199803,0.627905,0.0199803,-9.99999,1,0.0199803
0.0025,0.2,0.4,0.9,0.0249695,0.784591,0.0249695,-9.99997,1,0.0249695
0.003,0.2,0.4,0.9,0.0299564,0.941083,0.0299564,-9.99996,1,0.0299564
0.0035,0.2,0.4,0.9,0.0349414,1.09734,0.0349414,-9.99994,1,0.0349414
0.004,0.2,0.4,0.9,0.0399242,1.25333,0.0399242,-9.99991,1,0.0399242
0.0045,0.2,0.4,0.9,0.0449049,1.40901,0.0449049,-9.99988,1,0.0449049
0.005,0.2,0.4,0.9,0.0498834,1.56434,0.0498834,-9.99985,1,0.0498834
0.0055,0.2,0.4,0.9,0.0548596,1.71929,0.0548596,-9.99981,1,0.0548596
0.006,0.2,0.4,0.9,0.0598337,1.87381,0.0598337,-9.99977,1,0.0598337
0.0065,0.2,0.4,0.9,0.0648057,2.02787,0.0648057,-9.99973,1,0.0648057
0.007,0.2,0.4,0.9,0.0697762,2.18143,0.0697762,-9.99968,1,0.0697762
0.0075,0.2,0.4,0.9,0.0747448,2.33445,0.0747448,-9.99963,1,0.0747448
0.008,0.2,0.4,0.9,0.0797113,2.4869,0.0797113,-9.99957,1,0.0797113
0.0085,0.2,0.4,0.9,0.0846759,2.63873,0.0846759,-9.99951,1,0.0846759
0.009,0.2,0.4,0.9,0.0896385,2.78991,0.0896385,-9.99945,1,0.0896385
0.0095,0.2,0.4,0.9,0.0945991,2.9404,0.0945991,-9.99938,1,0.0945991
0.01,0.2,0.4,0.9,0.0995583,3.09017,0.0995583,-9.99931,1,0.0995583
0.0105,0.2,0.4,0.9,0.104516,3.23917,0.104516,-9.99923,1,0.104516
0.011,0.2,0.4,0.9,0.109472,3.38738,0.109472,-9.99915,1,0.109472
0.0115,0.2,0.4,0.9,0.114426,3.53475,0.114426,-9.99907,1,0.114426
