"time","freqHz","T2","T3","J1.flange_a.phi","J1.flange_a.tau","J1.flange_b.phi","J1.flange_b.tau","J1.J","J1.phi","der(J1.phi)"
0,0.2,0.4,0.9,0,0,0,-10,1,0,10
0.0015,0.2,0.4,0.9,0.0156789,0.492748,0.0156789,-9.99999,1,0.0156789,9.9847
0.003,0.2,0.4,0.9,0.0306455,0.962693,0.0306455,-9.99995,1,0.0306455,9.97079
0.0045,0.2,0.4,0.9,0.0455918,1.4305,0.0455918,-9.99988,1,0.0455918,9.95758
0.006,0.2,0.4,0.9,0.0605187,1.89513,0.0605187,-9.99977,1,0.0605187,9.94508
0.0075,0.2,0.4,0.9,0.0754274,2.35556,0.0754274,-9.99962,1,0.0754274,9.93327
0.009,0.2,0.4,0.9,0.0903189,2.81075,0.0903189,-9.99944,1,0.0903189,9.92214
0.0105,0.2,0.4,0.9,0.105194,3.2597,0.105194,-9.99922,1,0.105194,9.9117
0.012,0.2,0.4,0.9,0.120054,3.70142,0.120054,-9.99897,1,0.120054,9.90192
0.0135,0.2,0.4,0.9,0.1349,4.13492,0.1349,-9.99868,1,0.1349,9.8928
0.015,0.2,0.4,0.9,0.149733,4.55924,0.149733,-9.99835,1,0.149733,9.88432
0.0165,0.2,0.4,0.9,0.164554,4.97343,0.164554,-9.998,1,0.164554,9.87648
0.018,0.2,0.4,0.9,0.179363,5.37658,0.179363,-9.9976,1,0.179363,9.86925
0.0195,0.2,0.4,0.9,0.194162,5.7678,0.194162,-9.99717,1,0.194162,9.86261
0.021,0.2,0.4,0.9,0.208951,6.14621,0.208951,-9.9967,1,0.208951,9.85655
0.0225,0.2,0.4,0.9,0.223732,6.51097,0.223732,-9.9962,1,0.223732,9.85105
0.024,0.2,0.4,0.9,0.238504,6.86128,0.238504,-9.99566,1,0.238504,9.84609
0.0255,0.2,0.4,0.9,0.25327,7.19635,0.25327,-9.99509,1,0.25327,9.84164
0.027,0.2,0.4,0.9,0.268029,7.51545,0.268029,-9.99448,1,0.268029,9.83768
0.0285,0.2,0.4,0.9,0.282783,7.81786,0.282783,-9.99384,1,0.282783,9.83419
0.03,0.2,0.4,0.9,0.297532,8.10291,0.297532,-9.99316,1,0.297532,9.83115
0.0315,0.2,0.4,0.9,0.312277,8.36997,0.312277,-9.99244,1,0.312277,9.82852
0.033,0.2,0.4,0.9,0.327018,8.61845,0.327018,-9.99169,1,0.327018,9.82627
