"time","valves_mv1","valves_mv2","valves_mv3","valves_eds","valves_eds1","valves_eds2","valves_eds3","valves_eds4","valves_eds5","egsCarSpeed","egsState","egsGear","egsTargetGear","tShiftStart"
5.67,1,0,0,0,0,0,0,0,0,78.2755,1,2,2,2.44
5.74,1,0,0,0,0,0,0,0,0,78.9998,1,2,2,2.44
5.81,1,0,0,0,0,0,0,0,0,79.711,1,2,2,2.44
5.88,0,0,0,0,0,0,0,0,0,79.2586,2,2,3,5.83
5.95,0,0,0,0,0,0,0,0,0,81.6305,2,2,3,5.83
6.02,0,0,0,0,0,0,0,0,0,82.2728,2,2,3,5.83
6.09,0,0,0,0,0,0,0,0,0,82.915,2,2,3,5.83
6.16,0,0,0,0,0,0,0,0,0,83.5545,2,2,3,5.83
6.23,0,0,0,0,0,0,0,0,0,84.1912,2,2,3,5.83
6.3,0,0,0,0,0,0,0,0,0,84.8251,2,2,3,5.83
6.37,0,0,0,0,0,0,0,0,0,85.4562,2,2,3,5.83
6.44,0,0,0,0,0,0,0,0,0,86.0846,2,2,3,5.83
6.51,0,0,0,0,0,0,0,0,0,86.7103,2,2,3,5.83
6.58,0,0,0,0,0,0,0,0,0,87.3332,2,2,3,5.83
6.65,0,0,0,0,0,0,0,0,0,87.9533,2,2,3,5.83
6.72,0,0,0,0,0,0,0,0,0,88.5708,2,2,3,5.83
6.79,0,0,0,0,0,0,0,0,0,89.1855,2,2,3,5.83
6.86,0,0,0,0,0,0,0,0,0,89.7974,1,3,3,5.83
6.93,0,0,0,0,0,0,0,0,0,90.4067,1,3,3,5.83
7,0,0,0,0,0,0,0,0,0,91.0132,1,3,3,5.83
7.07,0,0,0,0,0,0,0,0,0,91.6171,1,3,3,5.83
7.14,0,0,0,0,0,0,0,0,0,92.2182,1,3,3,5.83
7.21,0,0,0,0,0,0,0,0,0,92.8167,1,3,3,5.83
7.28,0,0,0,0,0,0,0,0,0,93.4124,1,3,3,5.83
7.35,0,0,0,0,0,0,0,0,0,94.0055,1,3,3,5.83
7.42,0,0,0,0,0,0,0,0,0,94.5959,1,3,3,5.83
