    "time","Piston.frame_a.r_0[1]","Piston.frame_a.r_0[2]","Piston.frame_a.r_0[3]","Piston.frame_a.R.w[1]","Piston.frame_a.R.w[2]","Piston.frame_a.R.w[3]","Piston.frame_a.f[1]","Piston.frame_a.f[2]","Piston.frame_a.f[3]","Piston.frame_a.t[1]","Piston.frame_a.t[2]","Piston.frame_a.t[3]","Piston.frame_b.r_0[1]","Piston.frame_b.r_0[2]","Piston.frame_b.r_0[3]","Piston.frame_b.R.w[1]","Piston.frame_b.R.w[2]","Piston.frame_b.R.w[3]","Piston.frame_b.f[1]","Piston.frame_b.f[2]","Piston.frame_b.f[3]","Piston.frame_b.t[1]","Piston.frame_b.t[2]","Piston.frame_b.t[3]","Piston.animation","Piston.r[1]","Piston.r[2]","Piston.r[3]"
         0,      0.15,         0,         0,         0,         0,         0,         0, 59.318091,         0,        -0,         0,         0,      0.15,0.29999993,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         1,         0,      -0.1,         0
     0.001,      0.15,         0,         0,         0,         0,         0,         0, 59.317913,         0,        -0,         0,         0,      0.15,0.29999992,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         1,         0,      -0.1,         0
     0.002,      0.15,         0,         0,         0,         0,         0,         0, 59.317409,         0,        -0,         0,         0,      0.15,0.29999992,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         1,         0,      -0.1,         0
     0.003,      0.15,         0,         0,         0,         0,         0,         0, 59.316569,         0,        -0,         0,         0,      0.15,0.29999992,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         1,         0,      -0.1,         0
     0.004,      0.15,         0,         0,         0,         0,         0,         0, 59.315351,         0,        -0,         0,         0,      0.15,0.29999991,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         1,         0,      -0.1,         0
     0.005,      0.15,         0,         0,         0,         0,         0,         0, 59.313707,         0,        -0,         0,         0,      0.15,0.29999991,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         1,         0,      -0.1,         0
     0.006,      0.15,         0,         0,         0,         0,         0,         0, 59.311577,         0,        -0,         0,         0,      0.15, 0.2999999,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         1,         0,      -0.1,         0
     0.007,      0.15,         0,         0,         0,         0,         0,         0, 59.308878,         0,        -0,         0,         0,      0.15,0.29999988,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         1,         0,      -0.1,         0
     0.008,      0.15,         0,         0,         0,         0,         0,         0, 59.305509,         0,        -0,         0,         0,      0.15,0.29999987,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         1,         0,      -0.1,         0
     0.009,      0.15,         0,         0,         0,         0,         0,         0, 59.301344,         0,        -0,         0,         0,      0.15,0.29999985,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         1,         0,      -0.1,         0
      0.01,      0.15,         0,         0,         0,         0,         0,         0, 59.296224,         0,        -0,         0,         0,      0.15,0.29999983,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         1,         0,      -0.1,         0
     0.011,      0.15,         0,         0,         0,         0,         0,         0, 59.289958,         0,        -0,         0,         0,      0.15, 0.2999998,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         1,         0,      -0.1,         0
     0.012,      0.15,         0,         0,         0,         0,         0,         0, 59.282309,         0,        -0,         0,         0,      0.15,0.29999977,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         1,         0,      -0.1,         0
     0.013,      0.15,         0,         0,         0,         0,         0,         0, 59.272987,         0,        -0,         0,         0,      0.15,0.29999973,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         1,         0,      -0.1,         0
     0.014,      0.15,         0,         0,         0,         0,         0,         0, 59.261642,         0,        -0,         0,         0,      0.15,0.29999968,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         1,         0,      -0.1,         0
     0.015,      0.15,         0,         0,         0,         0,         0,         0, 59.247845,         0,        -0,         0,         0,      0.15,0.29999962,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         1,         0,      -0.1,         0
     0.016,      0.15,         0,         0,         0,         0,         0,         0, 59.231076,         0,        -0,         0,         0,      0.15,0.29999954,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         1,         0,      -0.1,         0
     0.017,      0.15,         0,         0,         0,         0,         0,         0, 59.210701,         0,        -0,         0,         0,      0.15,0.29999945,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         1,         0,      -0.1,         0
     0.018,      0.15,         0,         0,         0,         0,         0,         0, 59.185952,         0,        -0,         0,         0,      0.15,0.29999934,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         1,         0,      -0.1,         0
     0.019,      0.15,         0,         0,         0,         0,         0,         0, 59.155896,         0,        -0,         0,         0,      0.15,0.29999921,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         1,         0,      -0.1,         0
      0.02,      0.15,         0,         0,         0,         0,         0,         0, 59.119399,         0,        -0,         0,         0,      0.15,0.29999905,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         1,         0,      -0.1,         0
     0.021,      0.15,         0,         0,         0,         0,         0,         0, 59.075084,         0,        -0,         0,         0,      0.15,0.29999886,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         1,         0,      -0.1,         0
     0.022,      0.15,         0,         0,         0,         0,         0,         0, 59.021279,         0,        -0,         0,         0,      0.15,0.29999862,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         1,         0,      -0.1,         0
     0.023,      0.15,         0,         0,         0,         0,         0,         0, 58.955955,         0,        -0,         0,         0,      0.15,0.29999833,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         1,         0,      -0.1,         0
     0.024,      0.15,         0,         0,         0,         0,         0,         0, 58.876649,         0,        -0,         0,         0,      0.15,0.29999798,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         1,         0,      -0.1,         0
     0.025,      0.15,         0,         0,         0,         0,         0,         0, 58.780368,         0,        -0,         0,         0,      0.15,0.29999756,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         1,         0,      -0.1,         0
     0.026,      0.15,         0,         0,         0,         0,         0,         0, 58.663483,         0,        -0,         0,         0,      0.15,0.29999705,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         1,         0,      -0.1,         0
     0.027,      0.15,         0,         0,         0,         0,         0,         0, 58.521588,         0,        -0,         0,         0,      0.15,0.29999642,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         1,         0,      -0.1,         0
     0.028,      0.15,         0,         0,         0,         0,         0,         0, 58.349334,         0,        -0,         0,         0,      0.15,0.29999567,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         1,         0,      -0.1,         0
     0.029,      0.15,         0,         0,         0,         0,         0,         0, 58.140228,         0,        -0,         0,         0,      0.15,0.29999475,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         1,         0,      -0.1,         0
      0.03,      0.15,         0,         0,         0,         0,         0,         0, 57.886394,         0,        -0,         0,         0,      0.15,0.29999363,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         1,         0,      -0.1,         0
     0.031,      0.15,         0,         0,         0,         0,         0,         0, 57.578269,         0,        -0,         0,         0,      0.15,0.29999227,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         1,         0,      -0.1,         0
     0.032,      0.15,         0,         0,         0,         0,         0,         0, 57.204256,         0,        -0,         0,         0,      0.15,0.29999063,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         1,         0,      -0.1,         0
     0.033,      0.15,         0,         0,         0,         0,         0,         0, 56.750278,         0,        -0,         0,         0,      0.15,0.29998863,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         1,         0,      -0.1,         0
     0.034,      0.15,         0,         0,         0,         0,         0,         0, 56.199264,         0,        -0,         0,         0,      0.15,0.29998621,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         1,         0,      -0.1,         0
     0.035,      0.15,         0,         0,         0,         0,         0,         0, 55.530504,         0,        -0,         0,         0,      0.15,0.29998326,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         1,         0,      -0.1,         0
     0.036,      0.15,         0,         0,         0,         0,         0,         0, 54.718889,         0,        -0,         0,         0,      0.15,0.29997969,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         1,         0,      -0.1,         0
     0.037,      0.15,         0,         0,         0,         0,         0,         0, 53.733976,         0,        -0,         0,         0,      0.15,0.29997535,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         1,         0,      -0.1,         0
     0.038,      0.15,         0,         0,         0,         0,         0,         0, 52.538868,         0,        -0,         0,         0,      0.15,0.29997009,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         1,         0,      -0.1,         0
     0.039,      0.15,         0,         0,         0,         0,         0,         0, 51.088865,         0,        -0,         0,         0,      0.15, 0.2999637,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         1,         0,      -0.1,         0
      0.04,      0.15,         0,         0,         0,         0,         0,         0, 49.329836,         0,        -0,         0,         0,      0.15,0.29995594,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         1,         0,      -0.1,         0
     0.041,      0.15,         0,         0,         0,         0,         0,         0, 47.196263,         0,        -0,         0,         0,      0.15,0.29994652,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         1,         0,      -0.1,         0
     0.042,      0.15,         0,         0,         0,         0,         0,         0, 44.608897,         0,        -0,         0,         0,      0.15, 0.2999351,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         1,         0,      -0.1,         0
     0.043,      0.15,         0,         0,         0,         0,         0,         0, 41.471963,         0,        -0,         0,         0,      0.15,0.29992123,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         1,         0,      -0.1,         0
