"time","J1_0w","J2_0w","J3_0w","J4_0w"
0,10,0,0,0
0.003,9.97141,0.03,2.32453e-015,2.31003e-015
0.006,9.94563,0.0599995,1.20737e-015,1.18715e-015
0.009,9.92257,0.0899979,1.67921e-015,1.65405e-015
0.012,9.90223,0.119995,5.68989e-016,5.36549e-016
0.015,9.88442,0.149991,-6.10623e-016,-6.46936e-016
0.018,9.86919,0.179984,7.49401e-016,7.11708e-016
0.021,9.85622,0.209975,2.22045e-015,2.18174e-015
0.024,9.84555,0.239963,-1.66533e-016,-2.05736e-016
0.027,9.83682,0.269948,5.55112e-017,1.5979e-017
0.03,9.83003,0.299929,1.60982e-015,1.57012e-015
0.033,9.82495,0.329906,7.77156e-016,7.54035e-016
0.036,9.82136,0.359879,-1.11022e-016,-8.78403e-017
0.039,9.81901,0.389846,-1.66533e-015,-1.59205e-015
0.042,9.8176,0.419809,-1.44329e-015,-1.33783e-015
0.045,9.81691,0.449765,-3.9968e-015,-3.88166e-015
0.048,9.81668,0.479715,2.22045e-016,3.24366e-016
0.051,9.81665,0.509658,-1.77636e-015,-1.71537e-015
0.054,9.81658,0.539595,2.22045e-016,2.03894e-016
0.057,9.81618,0.569523,1.11022e-016,-3.61019e-018
0.06,9.81518,0.599444,-2.9976e-015,-3.22531e-015
0.063,9.81332,0.629356,-9.99201e-016,-1.35984e-015
0.066,9.81038,0.65926,-2.33147e-015,-2.83818e-015
0.069,9.8061,0.689154,-3.33067e-016,-9.96831e-016
0.072,9.80023,0.719038,-1.33227e-015,-2.16201e-015
0.075,9.79262,0.748913,-1.33227e-015,-2.33187e-015
0.078,9.78303,0.778777,-2.66454e-015,-3.83496e-015
0.081,9.77123,0.808629,-5.55112e-016,-1.89418e-015
0.084,9.75714,0.838471,-9.99201e-016,-2.47505e-015
0.087,9.74057,0.8683,1.33227e-015,-2.36798e-016
0.09,9.72139,0.898118,2.22045e-015,6.19268e-016
0.093,9.69954,0.927922,1.88738e-015,2.6369e-016
0.096,9.67494,0.957714,5.55112e-016,-1.07433e-015
0.099,9.64752,0.987492,2.55351e-015,9.23062e-016
0.102,9.6173,1.01726,1.77636e-015,1.65247e-016
0.105,9.58427,1.04701,1.77636e-015,1.88019e-016
0.108,9.54846,1.07674,1.9984e-015,4.28048e-016
0.111,9.50992,1.10646,1.55431e-015,7.31385e-018
0.114,9.46873,1.13616,-2.22045e-016,-1.74821e-015
0.117,9.42501,1.16585,4.88498e-015,3.37552e-015
0.12,9.37885,1.19552,4.44089e-016,-1.05289e-015
0.123,9.3304,1.22518,2.22045e-015,7.31361e-016
0.126,9.27984,1.25482,1.11022e-015,-3.74988e-016
0.129,9.22733,1.28444,-8.88178e-016,-2.3723e-015
0.132,9.17311,1.31404,2.22045e-015,7.36494e-016
0.135,9.11739,1.34362,2.22045e-015,7.27611e-016
0.138,9.06031,1.37318,1.33227e-015,-2.48018e-016
0.141,9.00218,1.40273,2.66454e-015,9.41399e-016
0.144,8.94329,1.43225,1.33227e-015,-6.04014e-016
0.147,8.88391,1.46176,0,-2.23629e-015
0.15,8.82436,1.49124,3.55271e-015,9.11299e-016
0.153,8.76466,1.5207,-2.22045e-016,-3.41893e-015
0.156,8.70517,1.55014,-1.11022e-015,-5.03295e-015
0.159,8.64623,1.57956,4.44089e-016,-4.40051e-015
0.162,8.58815,1.60896,1.33227e-015,-4.66165e-015
0.165,8.53125,1.63833,8.88178e-016,-6.51625e-015
0.168,8.47561,1.66768,2.44249e-015,-6.67184e-015
0.171,8.42136,1.69701,1.55431e-015,-9.6098e-015
0.174,8.36891,1.72631,1.9984e-015,-1.15954e-014
0.177,8.31852,1.75559,8.88178e-016,-1.55593e-014
0.18,8.27046,1.78485,1.33227e-015,-1.84391e-014
0.183,8.22463,1.81407,2.22045e-016,-2.32146e-014
0.186,8.1812,1.84328,4.44089e-016,-2.70146e-014
0.189,8.14043,1.87245,-2.22045e-016,-3.21028e-014
0.192,8.10247,1.9016,1.9984e-015,-3.47025e-014
0.195,8.06732,1.93073,-6.66134e-016,-4.23258e-014
0.198,8.03491,1.95982,6.66134e-016,-4.5687e-014
0.201,8.00536,1.98889,6.66134e-016,-5.01449e-014
0.204,7.9787,2.01793,0,-5.48402e-014
0.207,7.9549,2.04694,4.44089e-016,-5.78466e-014
0.21,7.93385,2.07592,0,-6.1404e-014
0.213,7.91553,2.10488,0,-6.38369e-014
0.216,7.89982,2.1338,0,-6.5452e-014
0.219,7.88662,2.16269,4.44089e-016,-6.56621e-014
0.222,7.8758,2.19156,-1.33227e-015,-6.77529e-014
0.225,7.86719,2.22039,4.44089e-016,-6.58232e-014
