"time","step-size","source.i.y_multiSwitch","source.i.y_product","source.i.y_sum","source.i.y_triggeredAdd"
0.0,0.0,4,0,1,0
1.0E-7,1.0E-7,4,0,1,0
0.10000010000000001,0.1,4,0,1,0
0.20000010000000001,0.1,4,0,1,0
0.3000001,0.1,4,0,2,0
0.40000009999999997,0.1,4,0,2,0
0.5000001,0.1,6,0,2,0
0.6000000999999999,0.1,6,0,2,0
0.7000000999999999,0.1,6,0,2,0
0.8000000999999999,0.1,6,0,2,0
0.9000000999999999,0.1,6,0,3,0
1.0000000999999998,0.1,4,0,3,1
1.1000001,0.1,4,0,3,1
1.2000001,0.1,4,0,3,1
1.3000001,0.1,4,0,3,1
1.4000001000000002,0.1,4,0,3,1
1.5000001000000003,0.1,6,0,3,1
1.6000001000000004,0.1,2,0,4,1
1.7000001000000005,0.1,2,0,4,1
1.8000001000000005,0.1,2,0,4,1
1.9000001000000006,0.1,2,0,4,1
2.0000001000000007,0.1,4,0,4,2
2.100000100000001,0.1,4,0,4,2
2.200000100000001,0.1,4,0,4,2
2.300000100000001,0.1,4,0,4,2
2.400000100000001,0.1,4,0,4,2
2.500000100000001,0.1,6,0,4,2
2.6000001000000013,0.1,6,0,4,2
2.7000001000000013,0.1,6,0,4,2
2.8000001000000014,0.1,6,0,4,2
2.9000001000000015,0.1,6,0,4,2
3.0000001000000016,0.1,4,0,4,3
3.1000001000000017,0.1,4,0,4,3
3.200000100000002,0.1,4,0,4,3
3.300000100000002,0.1,4,0,4,3
3.400000100000002,0.1,4,0,4,3
3.500000100000002,0.1,6,0,3,3
3.600000100000002,0.1,2,0,3,3
3.7000001000000022,0.1,2,0,3,3
3.8000001000000023,0.1,2,0,3,3
3.9000001000000024,0.1,2,0,3,3
4.000000100000002,0.1,4,0,3,4
4.100000100000002,0.1,4,0,3,4
4.200000100000001,0.1,4,0,2,4
4.300000100000001,0.1,4,0,2,4
4.400000100000001,0.1,4,0,2,4
4.5000001,0.1,6,0,2,4
4.6000001,0.1,6,0,2,4
4.7000001,0.1,6,0,2,4
4.800000099999999,0.1,6,0,1,4
4.900000099999999,0.1,6,0,1,4
5.0000000999999985,0.1,4,0,1,5
5.100000099999998,0.1,4,0,1,5
5.200000099999998,0.1,4,0,1,5
5.300000099999997,0.1,4,0,0,5
5.400000099999997,0.1,4,0,0,5
5.500000099999997,0.1,6,0,0,5
5.600000099999996,0.1,2,0,0,5
5.700000099999996,0.1,2,0,0,5
5.800000099999996,0.1,2,0,0,5
5.900000099999995,0.1,2,0,-1,5
6.000000099999995,0.1,4,0,-1,6
6.100000099999995,0.1,4,0,-1,6
6.200000099999994,0.1,4,0,-1,6
6.300000099999994,0.1,4,0,-1,6
6.4000000999999935,0.1,4,0,-1,6
6.500000099999993,0.1,6,0,-1,6
6.600000099999993,0.1,6,0,-2,6
6.7000000999999925,0.1,6,0,-2,6
6.800000099999992,0.1,6,0,-2,6
6.900000099999992,0.1,6,0,-2,6
7.000000099999991,0.1,4,0,-2,7
7.100000099999991,0.1,4,0,-2,7
7.200000099999991,0.1,4,0,-2,7
7.30000009999999,0.1,4,0,-2,7
7.40000009999999,0.1,4,0,-2,7
7.50000009999999,0.1,6,0,-2,7
7.600000099999989,0.1,2,0,-2,7
7.700000099999989,0.1,2,0,-2,7
7.800000099999989,0.1,2,0,-2,7
7.900000099999988,0.1,2,0,-2,7
8.000000099999989,0.1,4,0,-2,8
8.100000099999988,0.1,4,0,-2,8
8.200000099999988,0.1,4,0,-2,8
8.300000099999988,0.1,4,0,-2,8
8.400000099999987,0.1,4,0,-2,8
8.500000099999987,0.1,6,0,-1,8
8.600000099999987,0.1,6,0,-1,8
8.700000099999986,0.1,6,0,-1,8
8.800000099999986,0.1,6,0,-1,8
8.900000099999986,0.1,6,0,-1,8
9.000000099999985,0.1,4,0,-1,9
9.100000099999985,0.1,4,0,-1,9
9.200000099999984,0.1,4,0,0,9
9.300000099999984,0.1,4,0,0,9
9.400000099999984,0.1,4,0,0,9
9.500000099999983,0.1,6,0,0,9
9.600000099999983,0.1,2,0,0,9
9.700000099999983,0.1,2,0,0,9
9.800000099999982,0.1,2,0,1,9
9.900000099999982,0.1,2,0,1,9
