"time","Resistor_1.R","Resistor_1.v","Triphasic_Rectifier_1.I1.v","Triphasic_Rectifier_1.I2.v","Triphasic_Rectifier_1.I3.v"
0,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,2.6944310999999999E+002,-2.6944310999999999E+002
0.0001,1.0000000000000000E+000,5.3887544232948972E+002,0.0000000000000000E+000,2.6944310999999999E+002,-2.6944310999999999E+002
0.0002,1.0000000000000000E+000,5.3860953864764303E+002,9.7727575699999996E+000,2.6442373500000002E+002,-2.7419657599999999E+002
0.0003,1.0000000000000000E+000,5.3781208959686342E+002,1.9535870599999999E+001,2.5914340499999997E+002,-2.7867944100000000E+002
0.0004,1.0000000000000000E+000,5.3648388216141052E+002,2.9279703900000005E+001,2.5360732999999999E+002,-2.8288728200000003E+002
0.0005,1.0000000000000000E+000,5.3462622831504473E+002,3.8994641600000001E+001,2.4782097400000001E+002,-2.8681594699999999E+002
0.0006,1.0000000000000000E+000,5.3224096002112617E+002,4.8671096100000000E+001,2.4179004800000001E+002,-2.9046155700000003E+002
0.0007,1.0000000000000000E+000,5.2933043223255504E+002,5.8299517900000005E+001,2.3552050299999999E+002,-2.9382051600000000E+002
0.0008,1.0000000000000000E+000,5.2589751589191167E+002,6.7870404900000011E+001,2.2901852699999998E+002,-2.9688950699999998E+002
0.0009,1.0000000000000000E+000,5.2194560093139671E+002,7.7374311600000013E+001,2.2229053599999997E+002,-2.9966550400000000E+002
0.001,1.0000000000000000E+000,5.1747858527304993E+002,8.6801858800000019E+001,2.1534316999999996E+002,-3.0214576499999998E+002
0.0011,1.0000000000000000E+000,5.1250087782869218E+002,9.6143742800000012E+001,2.0818328499999998E+002,-3.0432784299999997E+002
0.0012,1.0000000000000000E+000,5.0701739350002367E+002,1.0539074400000001E+002,2.0081794799999997E+002,-3.0620958600000000E+002
0.0013,1.0000000000000000E+000,5.0103354017888535E+002,1.1453373700000004E+002,1.9325442599999997E+002,-3.0778913500000004E+002
0.0014,1.0000000000000000E+000,4.9455522474713746E+002,1.2356369800000003E+002,1.8550018499999996E+002,-3.0906493100000000E+002
0.0015,1.0000000000000000E+000,4.8758884207688072E+002,1.3247171600000004E+002,1.7756287699999996E+002,-3.1003571699999998E+002
0.0016,1.0000000000000000E+000,4.8014126503065592E+002,1.4124900000000002E+002,1.6945033499999997E+002,-3.1070053300000001E+002
0.0017,1.0000000000000000E+000,4.7221984446144376E+002,1.4988688800000003E+002,1.6117056499999998E+002,-3.1105872399999998E+002
0.0018,1.0000000000000000E+000,4.6947740131112960E+002,1.5837685500000003E+002,1.5273173799999995E+002,-3.1110993600000000E+002
0.0019,1.0000000000000000E+000,4.7755508975493728E+002,1.6671052200000005E+002,1.4414218299999993E+002,-3.1085411900000003E+002
0.002,1.0000000000000000E+000,4.8516148662471801E+002,1.7487966500000005E+002,1.3541037599999996E+002,-3.1029152499999992E+002
0.0021,1.0000000000000000E+000,4.9228908507061089E+002,1.8287622200000004E+002,1.2654493499999995E+002,-3.0942270900000000E+002
0.0022,1.0000000000000000E+000,4.9893085223327495E+002,1.9069230200000004E+002,1.1755460899999996E+002,-3.0824852900000002E+002
0.0023,1.0000000000000000E+000,5.0508023224382987E+002,1.9832019099999999E+002,1.0844826999999999E+002,-3.0677014300000002E+002
0.0024,1.0000000000000000E+000,5.1073115622365509E+002,2.0575236000000001E+002,9.9234905400000002E+001,-3.0498901100000000E+002
0.0025,1.0000000000000000E+000,5.1587804828426965E+002,2.1298147599999999E+002,8.9923607300000000E+001,-3.0290688999999998E+002
0.0026,1.0000000000000000E+000,5.2051582852727336E+002,2.2000040399999995E+002,8.0523565000000033E+001,-3.0052583499999997E+002
0.0027,1.0000000000000000E+000,5.2463992004420595E+002,2.2680221699999998E+002,7.1044055400000047E+001,-2.9784819599999997E+002
0.0028,1.0000000000000000E+000,5.2824625391644679E+002,2.3338020299999994E+002,6.1494433500000085E+001,-2.9487661600000001E+002
0.0029,1.0000000000000000E+000,5.3133126821523524E+002,2.3972786899999994E+002,5.1884123700000089E+001,-2.9161402600000008E+002
0.003,1.0000000000000000E+000,5.3389192200139109E+002,2.4583895199999995E+002,4.2222610300000085E+001,-2.8806364800000000E+002
0.0031,1.0000000000000000E+000,5.3592568532551468E+002,2.5170741999999993E+002,3.2519428100000127E+001,-2.8422898400000008E+002
0.0032,1.0000000000000000E+000,5.3743055322770510E+002,2.5732748299999992E+002,2.2784153000000128E+001,-2.8011381900000003E+002
0.0033,1.0000000000000000E+000,5.3840503873770251E+002,2.6269359299999991E+002,1.3026392600000168E+001,-2.7572221400000006E+002
0.0034,1.0000000000000000E+000,5.3884818087472661E+002,2.6780045499999989E+002,3.2557766800001691E+000,-2.7105850300000003E+002
0.0035,1.0000000000000000E+000,5.3875954264751806E+002,2.7264302899999996E+002,-6.5180523299998310E+000,-2.6612728900000013E+002
0.0036,1.0000000000000000E+000,5.3813921105433610E+002,2.7721653599999991E+002,-1.6285448799999791E+001,-2.6093343800000014E+002
0.0037,1.0000000000000000E+000,5.3698779908292101E+002,2.8151646199999993E+002,-2.6036773399999788E+001,-2.5548207700000012E+002
0.0038,1.0000000000000000E+000,5.3530644171057281E+002,2.8553856399999989E+002,-3.5762402699999747E+001,-2.4977858400000017E+002
0.0039,1.0000000000000000E+000,5.3309679990407187E+002,2.8927887299999992E+002,-4.5452738699999749E+001,-2.4382858900000014E+002
0.004,1.0000000000000000E+000,5.3036105361981856E+002,2.9273369799999989E+002,-5.5098218099999748E+001,-2.3763796300000018E+002
0.0041,1.0000000000000000E+000,5.2710190180383222E+002,2.9589962799999995E+002,-6.4689321999999763E+001,-2.3121281600000017E+002
0.0042,1.0000000000000000E+000,5.2332256139177412E+002,2.9877353899999991E+002,-7.4216584999999739E+001,-2.2455948900000018E+002
0.0043,1.0000000000000000E+000,5.1902676330902466E+002,3.0135259599999995E+002,-8.3670604899999830E+001,-2.1768454800000012E+002
0.0044,1.0000000000000000E+000,5.1421874547082416E+002,3.0363425299999994E+002,-9.3042051599999837E+001,-2.1059477700000014E+002
0.0045,1.0000000000000000E+000,5.0890325378225242E+002,3.0561625800000002E+002,-1.0232167699999982E+002,-2.0329717400000013E+002
