"time","'Piston.body.r_0[2]'","'Inertia.w'"
0.0829125,0.326814,67.9244
0.085425,0.306644,75.5485
0.085425,0.306644,75.5485
0.0879375,0.284701,84.5341
0.0879375,0.284701,84.5341
0.09045,0.262228,95.0961
0.09045,0.262228,95.0961
0.0929625,0.24099,106.689
0.0929625,0.24099,106.689
0.095475,0.222993,117.609
0.095475,0.222993,117.609
0.0979875,0.20982,125.804
0.0979875,0.20982,125.804
0.1005,0.202156,130.391
0.1005,0.202156,130.391
0.103013,0.200035,131.61
0.103013,0.200035,131.61
0.105525,0.203402,129.699
0.105525,0.203402,129.699
0.108038,0.212345,124.675
0.108038,0.212345,124.675
0.11055,0.226852,116.986
0.11055,0.226852,116.986
0.113063,0.246359,108.09
0.113063,0.246359,108.09
0.115575,0.269602,99.9565
0.115575,0.269602,99.9565
0.118088,0.294932,93.9258
0.118088,0.294932,93.9258
0.1206,0.320709,90.523
0.1206,0.320709,90.523
0.123113,0.345457,89.9643
0.123113,0.345457,89.9643
0.125625,0.367758,92.4678
0.125625,0.367758,92.4678
0.128138,0.385902,97.9088
0.128138,0.385902,97.9088
0.13065,0.397429,104.142
0.13065,0.397429,104.142
0.133163,0.399526,105.817
0.133163,0.399526,105.817
0.135675,0.391335,103.48
0.135675,0.391335,103.48
0.138188,0.374429,101.206
0.138188,0.374429,101.206
0.1407,0.350978,101.589
0.1407,0.350978,101.589
0.143213,0.322917,105.808
0.143213,0.322917,105.808
0.145725,0.292203,114.633
0.145725,0.292203,114.633
0.148238,0.261397,128.348
0.148238,0.261397,128.348
0.15075,0.234008,145.032
0.15075,0.234008,145.032
0.153263,0.213687,159.429
0.153263,0.213687,159.429
0.155775,0.202415,167.372
0.155775,0.202415,167.372
0.158288,0.200327,168.779
0.158288,0.200327,168.779
0.1608,0.207331,164.086
0.1608,0.207331,164.086
0.163313,0.22365,153.357
0.163313,0.22365,153.357
0.165825,0.248632,139.305
0.165825,0.248632,139.305
0.168338,0.279796,127.343
0.168338,0.279796,127.343
0.17085,0.313718,121.114
0.17085,0.313718,121.114
0.173363,0.347071,121.991
0.173363,0.347071,121.991
0.175875,0.376346,130.963
0.175875,0.376346,130.963
0.178388,0.396125,145.54
0.178388,0.396125,145.54
0.1809,0.398415,148.461
0.1809,0.398415,148.461
0.183413,0.381503,137.935
0.183413,0.381503,137.935
0.185925,0.352114,131.269
0.185925,0.352114,131.269
0.188438,0.316178,133.728
0.188438,0.316178,133.728
0.19095,0.278088,145.864
0.19095,0.278088,145.864
0.193463,0.242838,166.149
0.193463,0.242838,166.149
0.195975,0.216305,186.567
0.195975,0.216305,186.567
0.198488,0.202252,197.772
0.198488,0.202252,197.772
0.201,0.201018,198.716
0.201,0.201018,198.716
0.203513,0.212538,189.907
0.203513,0.212538,189.907
0.206025,0.236969,172.362
0.206025,0.236969,172.362
0.208538,0.27187,154.38
0.208538,0.27187,154.38
0.21105,0.312035,145.126
0.21105,0.312035,145.126
0.213563,0.351912,148.349
0.213563,0.351912,148.349
0.216075,0.385098,166.014
0.216075,0.385098,166.014
0.218588,0.399995,183.566
0.218588,0.399995,183.566
0.2211,0.385925,169.458
0.2211,0.385925,169.458
0.223613,0.351905,155.405
0.223613,0.351905,155.405
0.226125,0.309418,156.962
0.226125,0.309418,156.962
0.228638,0.265826,173.947
0.228638,0.265826,173.947
0.23115,0.228929,200.566
0.23115,0.228929,200.566
0.233663,0.206237,220.574
0.233663,0.206237,220.574
0.236175,0.200124,225.787
0.236175,0.200124,225.787
0.238688,0.210316,217.161
0.238688,0.210316,217.161
0.2412,0.237124,195.528
0.2412,0.237124,195.528
0.243713,0.277357,173.38
0.243713,0.277357,173.38
0.246225,0.323507,165.27
0.246225,0.323507,165.27
0.248738,0.367387,177.113
0.248738,0.367387,177.113
0.25125,0.396982,206.816
0.25125,0.396982,206.816
0.253763,0.392263,201.226
0.253763,0.392263,201.226
0.256275,0.356752,177.594
0.256275,0.356752,177.594
0.258788,0.309211,176.112
0.258788,0.309211,176.112
0.2613,0.260838,196.631
0.2613,0.260838,196.631
0.263813,0.222279,228.307
0.263813,0.222279,228.307
0.266325,0.202367,247.361
0.266325,0.202367,247.361
0.268838,0.202568,247.187
0.268838,0.202568,247.187
0.27135,0.222922,228.389
0.27135,0.222922,228.389
0.273863,0.262231,199.309
0.273863,0.262231,199.309
0.276375,0.312302,183.761
0.276375,0.312302,183.761
0.278888,0.362205,194.23
0.278888,0.362205,194.23
0.2814,0.396789,230.812
0.2814,0.396789,230.812
0.283913,0.389595,220.983
0.283913,0.389595,220.983
0.286425,0.34709,193.643
0.286425,0.34709,193.643
0.288938,0.2936,197.586
0.288938,0.2936,197.586
0.29145,0.24332,228.231
0.29145,0.24332,228.231
0.293963,0.209859,261.183
0.293963,0.209859,261.183
0.296475,0.200083,271.015
0.296475,0.200083,271.015
0.298988,0.213886,257.268
0.298988,0.213886,257.268
0.3015,0.251221,224.121
0.3015,0.251221,224.121
0.304013,0.304242,201.213
0.304013,0.304242,201.213
0.306525,0.359227,210.494
0.306525,0.359227,210.494
0.309038,0.397298,253.819
0.309038,0.397298,253.819
0.31155,0.385592,236.334
0.31155,0.385592,236.334
0.314063,0.336056,208.195
0.314063,0.336056,208.195
0.316575,0.277824,220.422
0.316575,0.277824,220.422
0.319088,0.228293,260.425
0.319088,0.228293,260.425
0.3216,0.202572,288.395
0.3216,0.202572,288.395
0.324113,0.204259,286.629
0.324113,0.204259,286.629
0.326625,0.233461,256.227
0.326625,0.233461,256.227
0.329138,0.285759,221.365
0.329138,0.285759,221.365
0.33165,0.345825,220.332
0.33165,0.345825,220.332
0.334163,0.39329,265.887
0.334163,0.39329,265.887
0.336675,0.389017,259.749
0.336675,0.389017,259.749
0.339188,0.337232,223.524
0.339188,0.337232,223.524
0.3417,0.275028,236.976
0.3417,0.275028,236.976
0.344213,0.223914,282.321
0.344213,0.223914,282.321
0.346725,0.200888,308.8
0.346725,0.200888,308.8
0.349238,0.208816,299.925
0.349238,0.208816,299.925
0.35175,0.247748,259.438
0.35175,0.247748,259.438
0.354263,0.308267,230.233
0.354263,0.308267,230.233
0.356775,0.370081,251.097
0.356775,0.370081,251.097
0.359288,0.399792,299.26
0.359288,0.399792,299.26
0.3618,0.361887,247.917
0.3618,0.361887,247.917
0.364313,0.297167,240.716
0.364313,0.297167,240.716
0.366825,0.236833,283.741
0.366825,0.236833,283.741
0.369338,0.203578,323.238
0.369338,0.203578,323.238
0.37185,0.205001,321.578
0.37185,0.205001,321.578
0.374363,0.241164,280.566
0.374363,0.241164,280.566
0.376875,0.303697,244.344
0.376875,0.303697,244.344
0.379388,0.369449,265.484
0.379388,0.369449,265.484
0.3819,0.399403,316.386
0.3819,0.399403,316.386
0.384413,0.355428,258.149
0.384413,0.355428,258.149
0.386925,0.286357,258.183
0.386925,0.286357,258.183
0.389438,0.226753,310.426
0.389438,0.226753,310.426
0.39195,0.200618,343.386
0.39195,0.200618,343.386
0.394463,0.212734,328.357
0.394463,0.212734,328.357
0.396975,0.262336,276.164
0.396975,0.262336,276.164
0.399488,0.332569,257.652
0.399488,0.332569,257.652
0.402,0.392312,315.409
0.402,0.392312,315.409
0.404513,0.382571,298.726
0.404513,0.382571,298.726
0.407025,0.315775,262.204
0.407025,0.315775,262.204
0.409538,0.245943,302.25
0.409538,0.245943,302.25
0.41205,0.204824,353.924
0.41205,0.204824,353.924
0.414563,0.205506,353.069
0.414563,0.205506,353.069
0.417075,0.248046,301.699
0.417075,0.248046,301.699
0.419588,0.319343,268.061
0.419588,0.319343,268.061
0.4221,0.38659,318.594
0.4221,0.38659,318.594
0.424613,0.386857,320.458
0.424613,0.386857,320.458
0.427125,0.318793,273.889
0.427125,0.318793,273.889
0.429638,0.245745,315.517
0.429638,0.245745,315.517
0.43215,0.203945,370.141
0.43215,0.203945,370.141
0.434663,0.207575,365.27
0.434663,0.207575,365.27
0.437175,0.256366,306.586
0.437175,0.256366,306.586
0.439688,0.332441,281.642
0.439688,0.332441,281.642
0.4422,0.395414,353.467
0.4422,0.395414,353.467
0.444713,0.372097,311.716
0.444713,0.372097,311.716
0.447225,0.295286,290.131
0.447225,0.295286,290.131
0.449738,0.226364,352.754
0.449738,0.226364,352.754
0.45225,0.200029,389.992
0.45225,0.200029,389.992
0.454763,0.222927,357.997
0.454763,0.222927,357.997
0.457275,0.290253,296.074
0.457275,0.290253,296.074
0.459788,0.369377,318.369
0.459788,0.369377,318.369
0.4623,0.395498,368.587
0.4623,0.395498,368.587
0.464813,0.328805,296.862
0.464813,0.328805,296.862
0.467325,0.24894,336.422
0.467325,0.24894,336.422
0.469838,0.203451,399.297
0.469838,0.203451,399.297
0.47235,0.210567,388.991
0.47235,0.210567,388.991
0.474863,0.269121,319.322
0.474863,0.269121,319.322
0.477375,0.352198,313.509
0.477375,0.352198,313.509
0.479888,0.399722,395.62
0.479888,0.399722,395.62
0.4824,0.341806,311.275
0.4824,0.341806,311.275
0.484913,0.257784,338.271
0.484913,0.257784,338.271
0.487425,0.205371,409.948
0.487425,0.205371,409.948
0.489938,0.208774,404.876
0.489938,0.208774,404.876
0.49245,0.267419,331.566
0.49245,0.267419,331.566
0.494963,0.353195,325.138
0.494963,0.353195,325.138
0.497475,0.399126,407.44
0.497475,0.399126,407.44
0.499988,0.334906,319.227
0.499988,0.334906,319.227
