"time","'Piston.body.r_0[2]'","'Inertia.w'"
0,0.4,0
0.0025125,0.4,0.0238616
0.0025125,0.4,0.0238616
0.005025,0.4,0.0491466
0.005025,0.4,0.0491466
0.0075375,0.4,0.0773634
0.0075375,0.4,0.0773634
0.01005,0.4,0.110195
0.01005,0.4,0.110195
0.0125625,0.4,0.149601
0.0125625,0.4,0.149601
0.015075,0.4,0.197931
0.015075,0.4,0.197931
0.0175875,0.399999,0.258069
0.0175875,0.399999,0.258069
0.0201,0.399999,0.333601
0.0201,0.399999,0.333601
0.0226125,0.399998,0.429032
0.0226125,0.399998,0.429032
0.025125,0.399998,0.550052
0.025125,0.399998,0.550052
0.0276375,0.399996,0.703874
0.0276375,0.399996,0.703874
0.03015,0.399993,0.899664
0.03015,0.399993,0.899664
0.0326625,0.399989,1.14908
0.0326625,0.399989,1.14908
0.035175,0.399983,1.46693
0.035175,0.399983,1.46693
0.0376875,0.399972,1.87209
0.0376875,0.399972,1.87209
0.0402,0.399954,2.38849
0.0402,0.399954,2.38849
0.0427125,0.399926,3.04646
0.0427125,0.399926,3.04646
0.045225,0.399879,3.88426
0.045225,0.399879,3.88426
0.0477375,0.399804,4.94985
0.0477375,0.399804,4.94985
0.05025,0.399681,6.30262
0.05025,0.399681,6.30262
0.0527625,0.399482,8.01472
0.0527625,0.399482,8.01472
0.055275,0.399161,10.171
0.055275,0.399161,10.171
0.0577875,0.398643,12.8659
0.0577875,0.398643,12.8659
0.0603,0.397815,16.1933
0.0603,0.397815,16.1933
0.0628125,0.396503,20.2279
0.0628125,0.396503,20.2279
0.065325,0.394458,24.9927
0.065325,0.394458,24.9927
0.0678375,0.391336,30.4227
0.0678375,0.391336,30.4227
0.07035,0.38671,36.3469
0.07035,0.38671,36.3469
0.0728625,0.380102,42.5224
0.0728625,0.380102,42.5224
0.075375,0.371059,48.7343
0.075375,0.371059,48.7343
0.0778875,0.359235,54.9129
0.0778875,0.359235,54.9129
0.0804,0.344464,61.1983
0.0804,0.344464,61.1983
0.0829125,0.326814,67.9244
