"time","lca@PUMP01","p1@PUMP01","pa@DVALV01","q@INJ01","sacp@INJ01","volume@INJ01","x1@INJ01"
0.000000,0.000000,2.500000,10.000000,0.000000,50.000000,0.000000,0.000000
0.000010,0.000000,2.499867,9.935524,-0.000000,50.000000,-0.000000,0.000000
0.000020,0.000000,2.500050,9.936098,-0.000000,50.000000,-0.000000,0.000000
0.000030,0.000000,2.500094,9.974530,-0.000000,50.000000,-0.000000,0.000000
0.000040,0.000000,2.499983,9.961563,-0.000000,50.000000,-0.000000,0.000000
0.000050,0.000000,2.500009,9.939948,-0.000000,50.000000,-0.000000,0.000000
0.000060,0.000000,2.500099,9.957096,-0.000000,50.000000,-0.000000,0.000000
0.000070,0.000000,2.500045,9.966978,-0.000000,50.000000,-0.000000,0.000000
0.000080,0.000000,2.500030,9.952982,-0.000000,50.000000,-0.000000,0.000000
0.000090,0.000000,2.500122,9.952338,-0.000000,50.000000,-0.000000,0.000000
0.000100,0.000000,2.500158,9.963651,-0.000000,50.000000,-0.000000,0.000000
0.000110,0.000001,2.500126,9.961061,-0.000000,50.000000,-0.000000,0.000000
0.000120,0.000001,2.500206,9.955992,-0.000000,50.000000,-0.000000,0.000000
0.000130,0.000001,2.500322,9.961304,-0.000000,50.000000,-0.000000,0.000000
0.000140,0.000001,2.500345,9.964469,-0.000000,50.000000,-0.000000,0.000000
0.000150,0.000001,2.500412,9.961460,-0.000000,50.000000,-0.000000,0.000000
0.000160,0.000001,2.500555,9.962408,-0.000000,50.000000,-0.000000,0.000000
0.000170,0.000002,2.500640,9.965948,-0.000000,50.000000,-0.000000,0.000000
0.000180,0.000002,2.500696,9.965795,-0.000000,50.000000,-0.000000,0.000000
0.000190,0.000002,2.500818,9.965340,-0.000000,50.000000,-0.000000,0.000000
0.000200,0.000002,2.500936,9.967720,-0.000000,50.000000,-0.000000,0.000000
0.000210,0.000003,2.501002,9.969051,-0.000000,50.000000,-0.000000,0.000000
0.000220,0.000003,2.501094,9.968786,-0.000000,50.000000,-0.000000,0.000000
0.000230,0.000003,2.501211,9.970028,-0.000000,50.000000,-0.000000,0.000000
0.000240,0.000004,2.501287,9.971659,-0.000000,50.000000,-0.000000,0.000000
0.000250,0.000004,2.501356,9.971952,-0.000000,50.000000,-0.000000,0.000000
0.000260,0.000004,2.501452,9.972513,-0.000000,50.000000,-0.000000,0.000000
0.000270,0.000005,2.501525,9.973980,-0.000000,50.000000,-0.000000,0.000000
0.000280,0.000005,2.501578,9.974570,-0.000000,50.000000,-0.000000,0.000000
0.000290,0.000005,2.501654,9.975071,-0.000000,50.000000,-0.000000,0.000000
0.000300,0.000006,2.501727,9.976178,-0.000000,50.000000,-0.000000,0.000000
0.000310,0.000006,2.501792,9.976802,-0.000000,50.000000,-0.000000,0.000000
0.000320,0.000007,2.501876,9.977289,-0.000000,50.000000,-0.000000,0.000000
0.000330,0.000007,2.501960,9.978161,-0.000000,50.000000,-0.000000,0.000000
0.000340,0.000007,2.502041,9.978716,-0.000000,50.000000,-0.000000,0.000000
0.000350,0.000008,2.502135,9.979211,-0.000000,50.000000,-0.000000,0.000000
0.000360,0.000008,2.502230,9.979889,-0.000000,50.000000,-0.000000,0.000000
0.000370,0.000009,2.502328,9.980353,-0.000000,50.000000,-0.000000,0.000000
0.000380,0.000009,2.502435,9.980867,-0.000000,50.000000,-0.000000,0.000000
0.000390,0.000010,2.502543,9.981371,-0.000000,50.000000,-0.000000,0.000000
0.000400,0.000010,2.502659,9.981807,-0.000000,50.000000,-0.000000,0.000000
0.000410,0.000011,2.502779,9.982247,-0.000000,50.000000,-0.000000,0.000000
0.000420,0.000011,2.502904,9.982666,-0.000000,50.000000,-0.000000,0.000000
0.000430,0.000012,2.503033,9.983071,-0.000000,50.000000,-0.000000,0.000000
0.000440,0.000012,2.503164,9.983464,-0.000000,50.000000,-0.000000,0.000000
0.000450,0.000013,2.503296,9.983847,-0.000000,50.000000,-0.000000,0.000000
0.000460,0.000013,2.503431,9.984221,-0.000000,50.000000,-0.000000,0.000000
0.000470,0.000014,2.503567,9.984587,-0.000000,50.000000,-0.000000,0.000000
