Time,step2,J1_w,J2_w,J3_w,J4_w,
0,0,9.89472e-315,2.60761e-310,9.1089e-307,1.07031e-312,
0.003,0,9.97148,0.0299999,-1.85962e-015,-1.85977e-015,
0.006,0,9.94572,0.0599993,-1.88738e-015,-1.88794e-015,
0.009,0,9.92271,0.0899977,-1.38778e-015,-1.38905e-015,
0.012,0,9.90224,0.119994,-2.73392e-015,-2.73575e-015,
0.015,0,9.88424,0.149989,-2.9976e-015,-2.99964e-015,
0.018,0,9.86881,0.179982,-2.16493e-015,-2.1671e-015,
0.021,0,9.85588,0.209972,-4.996e-016,-5.01816e-016,
0.024,0,9.8446,0.239959,-1.4988e-015,-1.5011e-015,
0.027,0,9.83547,0.269942,-1.9984e-015,-2.00076e-015,
0.03,0,9.82849,0.299923,-2.05391e-015,-2.0563e-015,
0.033,0,9.82283,0.329899,-2.05391e-015,-2.05658e-015,
0.036,0,9.81829,0.359869,-4.27436e-015,-4.27762e-015,
0.039,0,9.81525,0.389836,-3.21965e-015,-3.2237e-015,
0.042,0,9.81361,0.419797,-1.11022e-015,-1.11518e-015,
0.045,0,9.81251,0.449753,-2.83107e-015,-2.8364e-015,
0.048,0,9.81209,0.479703,-1.33227e-015,-1.33773e-015,
0.051,0,9.81171,0.509645,-2.10942e-015,-2.115e-015,
0.054,0,9.8114,0.539581,2.22045e-016,2.16434e-016,
0.057,0,9.81064,0.569509,-1.9984e-015,-2.00402e-015,
0.06,0,9.80935,0.599429,-1.66533e-015,-1.67093e-015,
0.063,0,9.80701,0.629341,3.33067e-016,3.27487e-016,
0.066,0,9.80367,0.659244,-3.33067e-016,-3.38632e-016,
0.069,0,9.79919,0.689137,1.66533e-015,1.65982e-015,
0.072,0,9.79305,0.719021,6.66134e-016,6.61058e-016,
0.075,0,9.7852,0.748895,9.99201e-016,9.94874e-016,
0.078,0,9.77547,0.778759,3.33067e-016,3.29867e-016,
0.081,0,9.76365,0.808611,6.66134e-016,6.64188e-016,
0.084,0,9.74956,0.838453,-4.44089e-016,-4.44607e-016,
0.087,0,9.733,0.868282,-3.33067e-016,-3.3195e-016,
0.09,0,9.71403,0.898099,7.77156e-016,7.79808e-016,
0.093,0,9.69267,0.927904,-2.22045e-016,-2.18199e-016,
0.096,0,9.6686,0.957695,-2.22045e-016,-2.17226e-016,
0.099,0,9.64169,0.987473,-4.44089e-016,-4.38572e-016,
0.102,0,9.61178,1.01724,-4.44089e-016,-4.38204e-016,
0.105,0,9.57927,1.04699,3.10862e-015,3.11481e-015,
0.108,0,9.54441,1.07672,2.44249e-015,2.44906e-015,
0.111,0,9.50678,1.10644,2.66454e-015,2.67139e-015,
0.114,0,9.46636,1.13615,1.55431e-015,1.56134e-015,
0.117,0,9.42309,1.16583,1.9984e-015,2.00552e-015,
0.12,0,9.37728,1.19551,1.33227e-015,1.33942e-015,
0.123,0,9.32928,1.22516,2.44249e-015,2.44965e-015,
0.126,0,9.27903,1.2548,1.55431e-015,1.56147e-015,
0.129,0,9.22675,1.28442,1.9984e-015,2.00555e-015,
0.132,0,9.17282,1.31402,2.66454e-015,2.67165e-015,
0.135,0,9.11734,1.3436,2.88658e-015,2.89368e-015,
0.138,0,9.06051,1.37316,2.44249e-015,2.4496e-015,
0.141,0,9.00272,1.40271,6.66134e-016,6.73378e-016,
0.144,0,8.94412,1.43223,1.11022e-015,1.11772e-015,
0.147,0,8.88497,1.46174,1.77636e-015,1.78423e-015,
0.15,0,8.8256,1.49122,2.22045e-015,2.22853e-015,
0.153,0,8.76623,1.52068,1.55431e-015,1.56252e-015,
0.156,0,8.70712,1.55013,6.66134e-016,6.74334e-016,
0.159,0,8.64855,1.57954,2.66454e-015,2.67265e-015,
0.162,0,8.59077,1.60894,1.11022e-015,1.11814e-015,
0.165,0,8.53406,1.63831,1.9984e-015,2.00596e-015,
0.168,0,8.47854,1.66767,3.33067e-015,3.33798e-015,
0.171,0,8.42447,1.69699,3.33067e-015,3.33781e-015,
0.174,0,8.37214,1.7263,2.88658e-015,2.89359e-015,
0.177,0,8.32179,1.75557,2.88658e-015,2.89349e-015,
0.18,0,8.27368,1.78483,2.66454e-015,2.67141e-015,
0.183,0,8.22758,1.81406,3.77476e-015,3.78158e-015,
0.186,0,8.18378,1.84326,2.88658e-015,2.89335e-015,
0.189,0,8.14257,1.87244,3.55271e-015,3.55945e-015,
0.192,0,8.10414,1.90159,1.9984e-015,2.00512e-015,
0.195,0,8.06869,1.93071,4.21885e-015,4.22556e-015,
0.198,0,8.036,1.9598,4.21885e-015,4.22556e-015,
0.201,0,8.00614,1.98887,5.55112e-015,5.55782e-015,
0.204,0,7.97925,2.01791,4.44089e-015,4.4476e-015,
0.207,0,7.95521,2.04692,4.44089e-015,4.44732e-015,
0.21,0,7.93389,2.07591,3.9968e-015,4.00238e-015,
0.213,0,7.91536,2.10486,4.44089e-015,4.44507e-015,
0.216,0,7.89949,2.13378,3.9968e-015,3.99926e-015,
0.219,0,7.88603,2.16268,4.88498e-015,4.88601e-015,
0.222,0,7.875,2.19154,3.55271e-015,3.55239e-015,
0.225,0,7.86623,2.22037,4.44089e-015,4.43935e-015,
0.228,0,7.8593,2.24917,3.9968e-015,3.99408e-015,
0.231,0,7.85416,2.27794,3.9968e-015,3.99306e-015,
0.234,0,7.85066,2.30667,4.44089e-015,4.43635e-015,
0.237,0,7.84863,2.33537,3.55271e-015,3.54763e-015,
0.24,0,7.84789,2.36404,3.9968e-015,3.99151e-015,
0.243,0,7.84791,2.39268,3.9968e-015,3.99127e-015,
0.246,0,7.84859,2.42128,3.9968e-015,3.99113e-015,
0.249,0,7.84972,2.44985,3.55271e-015,3.547e-015,
0.252,0,7.85103,2.47838,4.44089e-015,4.4352e-015,
0.255,0,7.85227,2.50688,3.10862e-015,3.10296e-015,
0.258,0,7.85319,2.53534,5.32907e-015,5.32362e-015,
0.261,0,7.85353,2.56377,4.44089e-015,4.43594e-015,
0.264,0,7.85301,2.59216,3.9968e-015,3.99251e-015,
0.267,0,7.85134,2.62051,4.44089e-015,4.43745e-015,
0.27,0,7.84824,2.64883,3.55271e-015,3.55031e-015,
0.273,0,7.84349,2.67711,5.32907e-015,5.32785e-015,
0.276,0,7.83719,2.70535,3.9968e-015,3.99668e-015,
0.279,0,7.8289,2.73355,4.88498e-015,4.88597e-015,
0.282,0,7.81839,2.76172,5.32907e-015,5.33113e-015,
0.285,0,7.80546,2.78984,5.32907e-015,5.33212e-015,
0.288,0,7.78987,2.81793,4.44089e-015,4.44479e-015,
0.291,0,7.77194,2.84597,4.88498e-015,4.89e-015,
0.294,0,7.75139,2.87398,5.32907e-015,5.33535e-015,
0.297,0,7.72807,2.90194,4.44089e-015,4.44856e-015,
0.3,0,7.70189,2.92986,5.32907e-015,5.33828e-015,
0.303,0,7.67279,2.95774,4.88498e-015,4.89593e-015,
0.306,0,7.64091,2.98558,4.44089e-015,4.45372e-015,
0.309,0,7.60639,3.01338,5.32907e-015,5.34386e-015,
0.312,0,7.56916,3.04113,4.44089e-015,4.45783e-015,
0.315,0,7.52928,3.06885,3.55271e-015,3.57198e-015,
0.318,0,7.48687,3.09651,4.88498e-015,4.9068e-015,
0.321,0,7.44204,3.12414,4.44089e-015,4.46539e-015,
0.324,0,7.39501,3.15172,3.9968e-015,4.02365e-015,
0.327,0,7.34593,3.17925,4.44089e-015,4.46994e-015,
0.33,0,7.295,3.20674,3.9968e-015,4.02781e-015,
0.333,0,7.24243,3.23418,4.44089e-015,4.47351e-015,
0.336,0,7.1885,3.26158,4.44089e-015,4.47468e-015,
0.339,0,7.13327,3.28893,4.44089e-015,4.47593e-015,
0.342,0,7.07706,3.31624,3.9968e-015,4.03298e-015,
0.345,0,7.02018,3.3435,3.55271e-015,3.58983e-015,
0.348,0,6.96293,3.37071,3.9968e-015,4.03468e-015,
0.351,0,6.90563,3.39787,3.9968e-015,4.03526e-015,
0.354,0,6.8484,3.42499,3.55271e-015,3.59148e-015,
0.357,0,6.79139,3.45205,4.44089e-015,4.47962e-015,
0.36,0,6.73503,3.47907,3.9968e-015,4.0352e-015,
0.363,0,6.67964,3.50604,4.44089e-015,4.47865e-015,
0.366,0,6.62552,3.53296,3.9968e-015,4.03359e-015,
0.369,0,6.57292,3.55982,3.10862e-015,3.14413e-015,
0.372,0,6.52165,3.58664,3.9968e-015,4.03089e-015,
0.375,0,6.47223,3.61341,3.9968e-015,4.02926e-015,
0.378,0,6.4249,3.64012,3.55271e-015,3.58335e-015,
0.381,0,6.37989,3.66679,3.55271e-015,3.58138e-015,
0.384,0,6.33745,3.6934,3.10862e-015,3.13521e-015,
0.387,0,6.29732,3.71996,3.9968e-015,4.02125e-015,
0.39,0,6.25978,3.74646,3.55271e-015,3.57502e-015,
0.393,0,6.22502,3.77292,3.55271e-015,3.57292e-015,
0.396,0,6.19315,3.79932,3.9968e-015,4.01502e-015,
0.399,0,6.16426,3.82566,3.55271e-015,3.56911e-015,
0.402,0,6.13877,3.83195,0.02,3.40006e-015,
0.405,0,6.116,3.82818,0.05,4.14946e-015,
0.408,0,6.09594,3.82436,0.08,4.91274e-015,
0.411,0,6.07862,3.82049,0.11,5.16254e-015,
0.414,0,6.06395,3.81656,0.14,4.88498e-015,
0.417,0,6.05182,3.81257,0.17,4.44089e-015,
0.42,0,6.04221,3.80853,0.2,4.60743e-015,
0.423,0,6.03477,3.80443,0.23,4.16334e-015,
0.426,0,6.02967,3.80027,0.26,3.71925e-015,
0.429,0,6.02629,3.79606,0.29,4.32987e-015,
0.432,0,6.02487,3.79179,0.32,4.77396e-015,
0.435,0,6.02485,3.78746,0.35,3.60822e-015,
0.438,0,6.02624,3.78307,0.38,4.05231e-015,
0.441,0,6.02868,3.77862,0.41,4.21885e-015,
0.444,0,6.03192,3.77411,0.44,3.77476e-015,
0.447,0,6.03584,3.76954,0.47,4.32987e-015,
0.45,0,6.03993,3.76492,0.5,4.32987e-015,
0.453,0,6.04428,3.76023,0.53,3.9968e-015,
0.456,0,6.04817,3.75548,0.56,3.9968e-015,
0.459,0,6.0519,3.75067,0.59,2.44249e-015,
0.462,0,6.05487,3.7458,0.62,3.77476e-015,
0.465,0,6.05701,3.74086,0.65,3.33067e-015,
0.468,0,6.05801,3.73587,0.68,3.9968e-015,
0.471,0,6.05759,3.73081,0.71,3.9968e-015,
0.474,0,6.05554,3.72569,0.74,4.66294e-015,
0.477,0,6.05165,3.7205,0.77,4.21885e-015,
0.48,0,6.04569,3.71525,0.8,4.44089e-015,
0.483,0,6.03754,3.70994,0.83,3.9968e-015,
0.486,0,6.02699,3.70456,0.86,4.66294e-015,
0.489,0,6.01399,3.69912,0.89,3.77476e-015,
0.492,0,5.99835,3.69362,0.92,4.66294e-015,
0.495,0,5.98009,3.68804,0.95,4.44089e-015,
0.498,0,5.95908,3.68241,0.98,4.88498e-015,
0.501,0,5.9354,3.6767,1.01,4.66294e-015,
0.504,0,5.90907,3.67093,1.04,4.21885e-015,
0.507,0,5.88003,3.66509,1.07,4.66294e-015,
0.51,0,5.84827,3.65919,1.1,3.77476e-015,
0.513,0,5.81377,3.65321,1.13,5.10703e-015,
0.516,0,5.77705,3.64717,1.16,4.66294e-015,
0.519,0,5.73792,3.64107,1.19,4.66294e-015,
0.522,0,5.69647,3.63489,1.22,4.66294e-015,
0.525,0,5.65277,3.62864,1.25,4.66294e-015,
0.528,0,5.60708,3.62233,1.28,3.9968e-015,
0.531,0,5.55974,3.61594,1.31,4.44089e-015,
0.534,0,5.51083,3.60949,1.34,4.44089e-015,
0.537,0,5.46056,3.60296,1.37,4.88498e-015,
0.54,0,5.40916,3.59637,1.4,4.88498e-015,
0.543,0,5.35688,3.5897,1.43,4.66294e-015,
0.546,0,5.30399,3.58296,1.46,5.10703e-015,
0.549,0,5.25079,3.57615,1.49,4.66294e-015,
0.552,0,5.19757,3.56927,1.52,5.10703e-015,
0.555,0,5.14466,3.56232,1.55,4.66294e-015,
0.558,0,5.0921,3.55529,1.58,5.32907e-015,
0.561,0,5.04031,3.54819,1.61,5.55112e-015,
0.564,0,4.98959,3.54102,1.64,5.10703e-015,
0.567,0,4.94023,3.53377,1.67,5.10703e-015,
0.57,0,4.8923,3.52645,1.7,4.66294e-015,
0.573,0,4.84607,3.51906,1.73,4.21885e-015,
0.576,0,4.80182,3.51159,1.76,4.44089e-015,
0.579,0,4.75978,3.50405,1.79,4.44089e-015,
0.582,0,4.72004,3.49643,1.82,5.10703e-015,
0.585,0,4.68271,3.48874,1.85,5.10703e-015,
0.588,0,4.64799,3.48097,1.88,5.32907e-015,
0.591,0,4.61602,3.47312,1.91,4.88498e-015,
0.594,0,4.58688,3.4652,1.94,5.32907e-015,
0.597,0,4.56054,3.4572,1.97,5.10703e-015,
0.6,0,4.5371,3.44912,2,4.88498e-015,
0.603,0,4.51659,3.44097,2.03,5.32907e-015,
0.606,0,4.49901,3.43274,2.06,4.88498e-015,
0.609,0,4.48426,3.42443,2.09,4.88498e-015,
0.612,0,4.47231,3.41604,2.12,4.44089e-015,
0.615,0,4.46309,3.40758,2.15,4.44089e-015,
0.618,0,4.45648,3.39903,2.18,4.44089e-015,
0.621,0,4.45235,3.39041,2.21,4.88498e-015,
0.624,0,4.45055,3.3817,2.24,5.32907e-015,
0.627,0,4.45089,3.37292,2.27,5.32907e-015,
0.63,0,4.45318,3.36406,2.3,4.88498e-015,
0.633,0,4.4573,3.35511,2.33,4.88498e-015,
0.636,0,4.46308,3.34609,2.36,4.44089e-015,
0.639,0,4.4702,3.33698,2.39,4.44089e-015,
0.642,0,4.4784,3.3278,2.42,4.88498e-015,
0.645,0,4.48738,3.31853,2.45,4.44089e-015,
0.648,0,4.49682,3.30918,2.48,4.88498e-015,
0.651,0,4.50639,3.29975,2.51,4.44089e-015,
0.654,0,4.51599,3.29023,2.54,4.88498e-015,
0.657,0,4.52533,3.28063,2.57,4.88498e-015,
0.66,0,4.53408,3.27095,2.6,5.32907e-015,
0.663,0,4.54196,3.26119,2.63,6.21725e-015,
0.666,0,4.54885,3.25134,2.66,5.32907e-015,
0.669,0,4.55445,3.24141,2.69,5.77316e-015,
0.672,0,4.55851,3.23139,2.72,5.77316e-015,
0.675,0,4.56083,3.22129,2.75,4.88498e-015,
0.678,0,4.56127,3.21111,2.78,5.32907e-015,
0.681,0,4.55962,3.20084,2.81,5.32907e-015,
0.684,0,4.55569,3.19048,2.84,5.77316e-015,
0.687,0,4.54937,3.18004,2.87,4.88498e-015,
0.69,0,4.54058,3.16951,2.9,5.32907e-015,
0.693,0,4.52918,3.1589,2.93,4.88498e-015,
0.696,0,4.51507,3.1482,2.96,5.77316e-015,
0.699,0,4.49827,3.13741,2.99,5.77316e-015,
0.702,0,4.47873,3.12654,3.02,5.32907e-015,
0.705,0,4.45645,3.11558,3.05,5.77316e-015,
0.708,0,4.43144,3.10453,3.08,5.77316e-015,
0.711,0,4.40375,3.1017,3.1017,3.9968e-015,
0.714,0,4.37348,3.11109,3.11109,3.9968e-015,
0.717,0,4.34079,3.12043,3.12043,3.9968e-015,
0.72,0,4.30605,3.12973,3.12973,3.9968e-015,
0.723,0,4.26911,3.13898,3.13898,4.44089e-015,
0.726,0,4.22997,3.14819,3.14819,4.44089e-015,
0.729,0,4.18901,3.15736,3.15736,4.44089e-015,
0.732,0,4.14638,3.16648,3.16648,3.9968e-015,
0.735,0,4.10231,3.17555,3.17555,4.44089e-015,
0.738,0,4.05706,3.18459,3.18459,4.44089e-015,
0.741,0,4.01103,3.19357,3.19357,3.55271e-015,
0.744,0,3.96434,3.20251,3.20251,3.9968e-015,
0.747,0,3.91703,3.21141,3.21141,3.9968e-015,
0.75,0,3.86968,3.22025,3.22025,3.9968e-015,
0.753,0,3.82235,3.22906,3.22906,4.44089e-015,
0.756,0,3.77524,3.23782,3.23782,3.9968e-015,
0.759,0,3.72879,3.24653,3.24653,4.44089e-015,
0.762,0,3.68316,3.25519,3.25519,3.9968e-015,
0.765,0,3.6386,3.26381,3.26381,4.44089e-015,
0.768,0,3.59539,3.27239,3.27239,4.44089e-015,
0.771,0,3.55376,3.28091,3.28091,3.9968e-015,
0.774,0,3.51397,3.28939,3.28939,4.88498e-015,
0.777,0,3.47613,3.29783,3.29783,4.44089e-015,
0.78,0,3.44051,3.30621,3.30621,4.88498e-015,
0.783,0,3.4073,3.31455,3.31455,4.88498e-015,
0.786,0,3.37653,3.32284,3.32284,4.88498e-015,
0.789,0,3.34843,3.33109,3.33109,4.44089e-015,
0.792,0,3.33401,3.33401,3.33401,4.44089e-015,
0.795,0,3.33205,3.33205,3.33205,4.44089e-015,
0.798,0,3.33099,3.33099,3.33099,4.44089e-015,
0.801,0,3.33085,3.33085,3.33085,4.44089e-015,
0.804,0,3.33165,3.33165,3.33165,4.44089e-015,
0.807,0,3.33337,3.33337,3.33337,4.44089e-015,
0.81,0,3.33591,3.33591,3.33591,3.9968e-015,
0.813,0,3.33933,3.33933,3.33933,3.9968e-015,
0.816,0,3.34364,3.34364,3.34364,3.9968e-015,
0.819,0,3.34881,3.34881,3.34881,3.9968e-015,
0.822,0,3.35452,3.35452,3.35452,3.9968e-015,
0.825,0,3.36097,3.36097,3.36097,3.9968e-015,
0.828,0,3.36816,3.36816,3.36816,3.9968e-015,
0.831,0,3.37602,3.37602,3.37602,3.9968e-015,
0.834,0,3.38651,3.38356,3.38356,3.55271e-015,
0.837,0,3.39842,3.39103,3.39103,3.10862e-015,
0.84,0,3.41151,3.39846,3.39846,3.10862e-015,
0.843,0,3.42547,3.40583,3.40583,3.10862e-015,
0.846,0,3.44019,3.41316,3.41316,3.10862e-015,
0.849,0,3.45532,3.42044,3.42044,3.10862e-015,
0.852,0,3.47061,3.42767,3.42767,3.55271e-015,
0.855,0,3.48589,3.43485,3.43485,3.10862e-015,
0.858,0,3.50075,3.44198,3.44198,3.10862e-015,
0.861,0,3.51504,3.44906,3.44906,3.55271e-015,
0.864,0,3.52853,3.45608,3.45608,3.55271e-015,
0.867,0,3.54095,3.46306,3.46306,3.55271e-015,
0.87,0,3.55211,3.46999,3.46999,3.9968e-015,
0.873,0,3.56175,3.47687,3.47687,3.9968e-015,
0.876,0,3.56964,3.4837,3.4837,3.9968e-015,
0.879,0,3.57558,3.49048,3.49048,3.55271e-015,
0.882,0,3.5794,3.49721,3.49721,3.9968e-015,
0.885,0,3.58093,3.50389,3.50389,3.55271e-015,
0.888,0,3.58004,3.51051,3.51051,3.10862e-015,
0.891,0,3.57663,3.51709,3.51709,3.10862e-015,
0.894,0,3.57061,3.52361,3.52361,3.10862e-015,
0.897,0,3.56196,3.53009,3.53009,3.10862e-015,
0.9,1,3.55062,3.53651,3.53651,3.10862e-015,
0.903,1,3.5363,3.52788,3.52788,0.03,
0.906,1,3.51942,3.5192,3.5192,0.06,
0.909,1,3.50688,3.50688,3.50688,0.09,
