"time","heatCapacitor_T","switch_Controll"
0,293.15,0
0.02,293.3496952,0
0.04,293.5488594,0
0.06,293.7474724,0
0.08,293.9455349,0
0.1,294.1430525,0
0.12,294.3400267,0
0.14,294.5364541,0
0.16,294.7323346,0
0.18,294.9276682,0
0.2,295.1224634,0
0.22,295.3167178,0
0.24,295.5104335,0
0.26,295.7036151,0
0.28,295.89626,0
0.3,296.0883749,0
0.32,296.2799579,0
0.34,296.4710115,0
0.36,296.6615408,0
0.38,296.8515441,0
0.4,297.0410218,0
0.42,297.2299749,0
0.44,297.4184085,0
0.46,297.6063235,0
0.48,297.7937202,0
0.5,297.9805997,0
0.52,298.1669639,0
0.54,298.3528162,0
0.56,298.5381571,0
0.58,298.7229882,0
0.6,298.9073112,0
0.62,299.0911276,0
0.64,299.1418614,1
0.66,299.1299009,1
0.68,299.1179568,1
0.7,299.1060365,1
0.72,299.0941376,1
0.74,299.0822623,1
0.76,299.07041,1
0.78,299.0585814,1
0.8,299.0467761,1
0.82,299.0349944,1
0.84,299.0232362,1
0.86,299.0115014,1
0.88,298.9997901,1
0.9,298.9881014,1
0.92,298.9764354,1
0.94,298.9647928,1
0.96,298.9531733,1
0.98,298.9415771,1
1,298.9300041,1
1.021,298.9178775,1
1.041,298.9063521,1
1.061,298.89485,1
1.081,298.8833711,1
1.101,298.8719155,1
1.121,298.860482,1
1.141,298.8490701,1
1.161,298.837681,1
1.181,298.8263147,1
1.201,298.8149712,1
1.221,298.8036506,1
1.241,298.7923528,1
1.261,298.7810777,1
1.281,298.7698255,1
1.301,298.7585962,1
1.321,298.7473896,1
1.341,298.7362054,1
1.361,298.7250415,1
1.381,298.7138999,1
1.401,298.7027807,1
1.421,298.6916838,1
1.441,298.6806093,1
1.461,298.6695571,1
1.481,298.6585272,1
1.501,298.6475197,1
1.521,298.6365345,1
1.541,298.6255717,1
1.561,298.6146312,1
1.581,298.6037104,1
1.601,298.5928112,1
1.621,298.5819339,1
1.641,298.5710783,1
1.661,298.5602447,1
1.681,298.5494329,1
1.701,298.538643,1
1.721,298.5278749,1
1.741,298.5171286,1
1.761,298.5064043,1
1.781,298.4957017,1
1.801,298.4850199,1
1.821,298.4743588,1
1.841,298.463719,1
1.861,298.4531006,1
1.881,298.4425035,1
1.901,298.4319276,1
1.921,298.4213731,1
1.941,298.4108397,1
1.961,298.4003276,1
1.981,298.3898366,1
2,298.3798897,1
2.021,298.3689284,1
2.041,298.35851,1
2.061,298.3481065,1
2.081,298.337724,1
2.101,298.32736,1
2.121,298.3170168,1
2.141,298.3066935,1
2.161,298.2963908,1
2.181,298.2861084,1
2.201,298.2758466,1
2.221,298.2656051,1
2.241,298.2553841,1
2.261,298.2451834,1
2.281,298.414726,0
2.301,298.5998929,0
2.321,298.7845531,0
2.341,298.9687073,0
2.361,299.1523577,0
2.381,299.3355106,0
2.401,299.5181609,0
2.421,299.7003086,0
2.441,299.8819537,0
2.461,300.0631051,0
2.481,300.2437656,0
2.501,300.4239296,0
2.521,300.603597,0
2.541,300.7827678,0
2.561,300.9614502,0
2.581,301.1396427,0
2.601,301.3173466,0
2.621,301.4945666,0
2.641,301.6713002,0
2.661,301.847553,0
2.681,301.9483242,1
2.701,301.930758,1
2.721,301.913219,1
2.741,301.8957139,1
2.761,301.8782413,1
2.781,301.860803,1
2.801,301.8433992,1
2.821,301.82603,1
2.841,301.8086954,1
2.861,301.7913953,1
2.881,301.7741298,1
2.901,301.7568983,1
2.921,301.7397005,1
2.941,301.7225371,1
2.961,301.7054079,1
2.981,301.6883131,1
3.001,301.6712525,1
3.021,301.6542262,1
3.041,301.6372342,1
3.061,301.6202765,1
3.081,301.7013859,0
3.101,301.8775447,0
3.121,302.0532293,0
3.141,302.228436,0
3.161,302.4031653,0
3.181,302.5774232,0
3.201,302.7512092,0
3.221,302.9245211,0
3.241,303.0973587,0
3.261,303.2697221,0
3.281,303.4416268,0
3.301,303.6130634,0
3.321,303.7840315,0
3.341,303.954531,0
3.361,304.1245637,0
3.381,304.2941369,0
3.401,304.4632469,0
3.421,304.6318982,0
3.441,304.800092,0
3.461,304.9678272,0
3.481,305.1351101,0
3.501,305.3019377,0
3.521,305.468313,0
3.541,305.4878602,1
3.561,305.4632191,1
3.581,305.438622,1
3.601,305.4140711,1
3.621,305.3895683,1
3.641,305.3651141,1
3.661,305.3407084,1
3.681,305.3163515,1
3.701,305.2920431,1
3.721,305.2677828,1
3.741,305.2435705,1
3.761,305.2194065,1
3.781,305.1952908,1
3.801,305.1712234,1
3.821,305.1472043,1
3.841,305.1232336,1
3.861,305.0993098,1
3.881,305.0754333,1
3.901,305.0858823,0
3.921,305.2528199,0
3.941,305.4193236,0
3.961,305.5853776,0
3.981,305.7509828,0
