"time"," headlight","on_counter","off_counter","on_counter_byType","off_counter_byType","light_switch_old_byType"
0,0,0,0,0,0,255
0.01,0,0,0,0,0,0
0.02,0,0,0,0,0,0
0.03,0,0,0,0,0,0
0.04,0,0,0,0,0,0
0.05,0,0,0,0,0,0
0.06,1,0,0,0,0,1
0.07,1,0,0,0,0,1
0.08,1,0,0,0,0,1
0.09,1,0,0,0,0,1
0.1,1,0,0,0,0,1
0.11,1,0,0,0,0,1
0.12,1,0,0,0,0,1
0.13,1,0,0,0,0,1
0.14,1,0,0,0,0,2
0.15,1,0,0,0,0,2
0.16,1,0,0,0,0,2
0.17,1,0,0,0,0,2
0.18,1,0,0,0,0,2
0.19,1,0,0,0,0,2
0.2,1,0,0,0,0,2
0.21,1,0,0,0,0,2
0.22,1,0,0,0,0,2
0.23,1,0,0,0,0,2
0.24,1,0,0,0,0,2
0.25,1,0,0,0,0,2
0.26,1,0,0,0,0,2
0.27,1,0,0,0,0,2
0.28,1,0,0,0,0,2
0.29,1,0,0,0,0,2
0.3,1,0,0,0,0,2
0.31,1,0,0,0,0,2
0.32,1,0,0,0,0,2
0.33,1,0,0,0,0,2
0.34,1,0,0,0,0,2
0.35,1,0,0,0,0,2
0.36,1,0,0,0,0,2
0.37,1,0,0,0,0,2
0.38,1,0,0,0,0,2
0.39,1,0,0,0,0,2
0.4,1,0,1,0,1,2
0.41,1,0,2,0,2,2
0.42,1,0,3,0,3,2
0.43,1,0,4,0,4,2
0.44,1,0,5,0,5,2
0.45,1,0,6,0,6,2
0.46,1,0,7,0,7,2
0.47,1,0,8,0,8,2
0.48,1,0,9,0,9,2
0.49,1,0,10,0,10,2
0.5,1,0,11,0,11,2
0.51,1,0,12,0,12,2
0.52,1,0,13,0,13,2
0.53,1,0,14,0,14,2
0.54,1,0,15,0,15,2
0.55,1,0,16,0,16,2
0.56,1,0,17,0,17,2
0.57,1,0,18,0,18,2
0.58,1,0,19,0,19,2
0.59,1,0,20,0,20,2
0.6,1,0,21,0,21,2
0.61,1,0,22,0,22,2
0.62,1,0,23,0,23,2
0.63,1,0,24,0,24,2
0.64,1,0,25,0,25,2
0.65,1,0,26,0,26,2
0.66,1,0,27,0,27,2
0.67,1,0,28,0,28,2
0.68,1,0,29,0,29,2
0.69,1,0,30,0,30,2
0.7,1,0,31,0,31,2
0.71,1,0,32,0,32,2
0.72,1,0,33,0,33,2
0.73,1,0,34,0,34,2
0.74,1,0,35,0,35,2
0.75,1,0,36,0,36,2
0.76,1,0,37,0,37,2
0.77,1,0,38,0,38,2
0.78,1,0,39,0,39,2
0.79,1,0,40,0,40,2
0.8,1,0,41,0,41,2
0.81,1,0,42,0,42,2
0.82,1,0,43,0,43,2
0.83,1,0,44,0,44,2
0.84,1,0,45,0,45,2
0.85,1,0,46,0,46,2
0.86,1,0,47,0,47,2
0.87,1,0,48,0,48,2
0.88,1,0,49,0,49,2
0.89,1,0,50,0,50,2
0.9,1,0,51,0,51,2
0.91,1,0,52,0,52,2
0.92,1,0,53,0,53,2
0.93,1,0,54,0,54,2
0.94,1,0,55,0,55,2
0.95,1,0,56,0,56,2
0.96,1,0,57,0,57,2
0.97,1,0,58,0,58,2
0.98,1,0,59,0,59,2
0.99,1,0,60,0,60,2
1,1,0,61,0,61,2
1.01,1,0,62,0,62,2
1.02,1,0,63,0,63,2
1.03,1,0,64,0,64,2
1.04,1,0,65,0,65,2
1.05,1,0,66,0,66,2
1.06,1,0,67,0,67,2
1.07,1,0,68,0,68,2
1.08,1,0,69,0,69,2
1.09,1,0,70,0,70,2
1.1,1,0,71,0,71,2
1.11,1,0,72,0,72,2
1.12,1,0,73,0,73,2
1.13,1,0,74,0,74,2
1.14,1,0,75,0,75,2
1.15,1,0,76,0,76,2
1.16,1,0,77,0,77,2
1.17,1,0,78,0,78,2
1.18,1,0,79,0,79,2
1.19,1,0,80,0,80,2
1.2,1,0,81,0,81,2
1.21,1,0,82,0,82,2
1.22,1,0,83,0,83,2
1.23,1,0,84,0,84,2
1.24,1,0,85,0,85,2
1.25,1,0,86,0,86,2
1.26,1,0,87,0,87,2
1.27,1,0,88,0,88,2
1.28,1,0,89,0,89,2
1.29,1,0,90,0,90,2
1.3,1,0,91,0,91,2
1.31,1,0,92,0,92,2
1.32,1,0,93,0,93,2
1.33,1,0,94,0,94,2
1.34,1,0,95,0,95,2
1.35,1,0,96,0,96,2
1.36,1,0,97,0,97,2
1.37,1,0,98,0,98,2
1.38,1,0,99,0,99,2
1.39,1,0,100,0,100,2
1.4,1,0,101,0,101,2
1.41,1,0,102,0,102,2
1.42,1,0,103,0,103,2
1.43,1,0,104,0,104,2
1.44,1,0,105,0,105,2
1.45,1,0,106,0,106,2
1.46,1,0,107,0,107,2
1.47,1,0,108,0,108,2
1.48,1,0,109,0,109,2
1.49,1,0,110,0,110,2
1.5,0,0,0,0,0,2
1.51,0,0,0,0,0,2
1.52,0,0,0,0,0,2
1.53,0,0,0,0,0,2
1.54,0,0,0,0,0,2
1.55,0,0,0,0,0,2
1.56,0,0,0,0,0,2
1.57,0,0,0,0,0,2
1.58,0,0,0,0,0,2
1.59,0,0,0,0,0,2
1.6,0,0,0,0,0,2
1.61,0,0,0,0,0,2
1.62,0,0,0,0,0,2
1.63,0,0,0,0,0,2
1.64,0,0,0,0,0,2
1.65,0,0,0,0,0,2
1.66,0,0,0,0,0,2
1.67,0,0,0,0,0,2
1.68,0,1,0,1,0,2
1.69,0,2,0,2,0,2
1.7,0,3,0,3,0,2
1.71,0,4,0,4,0,2
1.72,0,5,0,5,0,2
1.73,0,6,0,6,0,2
1.74,0,7,0,7,0,2
1.75,0,8,0,8,0,2
1.76,0,9,0,9,0,2
1.77,0,10,0,10,0,2
1.78,0,11,0,11,0,2
1.79,0,12,0,12,0,2
1.8,0,13,0,13,0,2
1.81,0,14,0,14,0,2
1.82,0,15,0,15,0,2
1.83,0,16,0,16,0,2
1.84,0,17,0,17,0,2
1.85,0,18,0,18,0,2
1.86,0,19,0,19,0,2
1.87,0,20,0,20,0,2
1.88,0,21,0,21,0,2
1.89,0,22,0,22,0,2
1.9,0,23,0,23,0,2
1.91,0,24,0,24,0,2
1.92,0,25,0,25,0,2
1.93,0,26,0,26,0,2
1.94,0,27,0,27,0,2
1.95,0,28,0,28,0,2
1.96,0,29,0,29,0,2
1.97,0,30,0,30,0,2
1.98,0,31,0,31,0,2
1.99,0,32,0,32,0,2
2,0,33,0,33,0,2
2.01,0,34,0,34,0,2
2.02,0,35,0,35,0,2
2.03,0,36,0,36,0,2
2.04,0,37,0,37,0,2
2.05,0,38,0,38,0,2
2.06,0,39,0,39,0,2
2.07,0,40,0,40,0,2
2.08,0,41,0,41,0,2
2.09,0,42,0,42,0,2
2.1,0,43,0,43,0,2
2.11,0,44,0,44,0,2
2.12,0,45,0,45,0,2
2.13,0,46,0,46,0,2
2.14,0,47,0,47,0,2
2.15,0,48,0,48,0,2
2.16,0,49,0,49,0,2
2.17,0,50,0,50,0,2
2.18,0,51,0,51,0,2
2.19,0,52,0,52,0,2
2.2,0,53,0,53,0,2
2.21,0,54,0,54,0,2
2.22,0,55,0,55,0,2
2.23,0,56,0,56,0,2
2.24,0,57,0,57,0,2
2.25,0,58,0,58,0,2
2.26,0,59,0,59,0,2
2.27,0,60,0,60,0,2
2.28,0,61,0,61,0,2
2.29,0,62,0,62,0,2
2.3,0,63,0,63,0,2
2.31,0,64,0,64,0,2
2.32,0,65,0,65,0,2
2.33,0,66,0,66,0,2
2.34,0,67,0,67,0,2
2.35,0,68,0,68,0,2
2.36,0,69,0,69,0,2
2.37,0,70,0,70,0,2
2.38,1,0,0,0,0,2
2.39,1,0,0,0,0,2
2.4,1,0,0,0,0,2
2.41,1,0,0,0,0,2
2.42,1,0,0,0,0,2
2.43,1,0,0,0,0,2
2.44,1,0,0,0,0,2
2.45,1,0,0,0,0,2
2.46,1,0,0,0,0,2
