"time","Out1","Out2_1_","Out2_2_","Out3","Out4","Out5"
2.32,1.68106,1.58781,1.68106,5.79477,0.755775,-0.169512
2.34,1.69557,1.62158,1.69557,5.89793,0.755172,-0.185225
2.36,1.7098,1.65563,1.7098,6.00288,0.754306,-0.201186
2.38,1.72374,1.68997,1.72374,6.10967,0.753176,-0.217392
2.4,1.7374,1.72458,1.7374,6.21833,0.751781,-0.233836
2.42,1.75076,1.75946,1.75076,6.32892,0.750122,-0.250515
2.44,1.76382,1.79461,1.76382,6.44148,0.748199,-0.267422
2.46,1.77657,1.83001,1.77657,6.55605,0.746011,-0.284552
2.48,1.78902,1.86567,1.78902,6.67268,0.743559,-0.3019
2.5,1.80115,1.90157,1.80115,6.79141,0.740844,-0.319461
2.52,1.81296,1.93771,1.81296,6.91231,0.737864,-0.337228
2.54,1.82444,1.97409,1.82444,7.03541,0.734622,-0.355195
2.56,1.83559,2.01069,1.83559,7.16077,0.731117,-0.373358
2.58,1.84641,2.04751,1.84641,7.28844,0.727351,-0.391709
2.6,1.85689,2.08454,1.85689,7.41847,0.723325,-0.410243
2.62,1.86703,2.12178,1.86703,7.55092,0.719038,-0.428953
2.64,1.87682,2.15922,1.87682,7.68585,0.714493,-0.447834
2.66,1.88626,2.19686,1.88626,7.82331,0.709691,-0.466878
2.68,1.89535,2.23467,1.89535,7.96336,0.704633,-0.48608
2.7,1.90407,2.27267,1.90407,8.10605,0.699321,-0.505432
2.72,1.91244,2.31083,1.91244,8.25146,0.693756,-0.524929
2.74,1.92044,2.34916,1.92044,8.39964,0.687939,-0.544562
2.76,1.92807,2.38765,1.92807,8.55065,0.681874,-0.564326
2.78,1.93534,2.42628,1.93534,8.70457,0.675561,-0.584214
2.8,1.94222,2.46506,1.94222,8.86145,0.669002,-0.604219
2.82,1.94873,2.50397,1.94873,9.02136,0.6622,-0.624333
2.84,1.95486,2.54301,1.95486,9.18438,0.655157,-0.64455
2.86,1.96061,2.58216,1.96061,9.35057,0.647876,-0.664862
2.88,1.96598,2.62143,1.96598,9.52001,0.640358,-0.685262
2.9,1.97096,2.6608,1.97096,9.69276,0.632606,-0.705744
2.92,1.97555,2.70027,1.97555,9.86891,0.624624,-0.726299
2.94,1.97975,2.73982,1.97975,10.0485,0.616413,-0.74692
2.96,1.98355,2.77945,1.98355,10.2317,0.607977,-0.7676
2.98,1.98697,2.81916,1.98697,10.4185,0.599319,-0.788332
3,1.98999,2.85893,1.98999,10.609,0.590441,-0.809108
3.02,1.99261,2.89876,1.99261,10.8033,0.581346,-0.829921
3.04,1.99484,2.93863,1.99484,11.0014,0.572039,-0.850762
3.06,1.99667,2.97855,1.99667,11.2036,0.562522,-0.871625
3.08,1.9981,3.0185,1.9981,11.4098,0.552799,-0.892501
3.1,1.99913,3.05847,1.99913,11.6201,0.542873,-0.913384
3.12,1.99976,3.09846,1.99976,11.8346,0.532748,-0.934266
3.14,1.99999,3.13846,1.99999,12.0535,0.522427,-0.955138
3.16,1.99982,3.17846,1.99982,12.2768,0.511915,-0.975994
3.18,1.99926,3.21845,1.99926,12.5046,0.501215,-0.996825
3.2,1.99829,3.25843,1.99829,12.7371,0.490332,-1.01762
3.22,1.99692,3.29838,1.99692,12.9742,0.479268,-1.03838
3.24,1.99515,3.3383,1.99515,13.2162,0.468029,-1.0591
3.26,1.99299,3.37818,1.99299,13.4631,0.456618,-1.07975
3.28,1.99043,3.41802,1.99043,13.715,0.44504,-1.10035
3.3,1.98747,3.4578,1.98747,13.9721,0.433299,-1.12087
3.32,1.98412,3.49751,1.98412,14.2345,0.421399,-1.14132
3.34,1.98037,3.53716,1.98037,14.5022,0.409345,-1.16168
3.36,1.97623,3.57673,1.97623,14.7754,0.397142,-1.18195
3.38,1.9717,3.61621,1.9717,15.0542,0.384794,-1.20212
3.4,1.96679,3.65559,1.96679,15.3387,0.372305,-1.22218
3.42,1.96148,3.69488,1.96148,15.6291,0.359681,-1.24212
3.44,1.95579,3.73405,1.95579,15.9255,0.346926,-1.26194
3.46,1.94972,3.7731,1.94972,16.228,0.334045,-1.28163
3.48,1.94327,3.81204,1.94327,16.5367,0.321043,-1.30119
3.5,1.93644,3.85083,1.93644,16.8518,0.307925,-1.32059
3.52,1.92924,3.88949,1.92924,17.1734,0.294696,-1.33985
3.54,1.92167,3.928,1.92167,17.5016,0.281361,-1.35894
3.56,1.91372,3.96635,1.91372,17.8366,0.267925,-1.37787
3.58,1.90541,4.00455,1.90541,18.1786,0.254394,-1.39663
3.6,1.89674,4.04257,1.89674,18.5276,0.240771,-1.4152
3.62,1.88771,4.08041,1.88771,18.8839,0.227063,-1.43359
3.64,1.87833,4.11807,1.87833,19.2475,0.213275,-1.45178
3.66,1.86859,4.15554,1.86859,19.6187,0.199413,-1.46977
3.68,1.85851,4.19282,1.85851,19.9976,0.18548,-1.48755
3.7,1.84808,4.22988,1.84808,20.3843,0.171484,-1.50512
3.72,1.83732,4.26674,1.83732,20.7791,0.157429,-1.52246
3.74,1.82622,4.30337,1.82622,21.182,0.143321,-1.53958
3.76,1.81479,4.33978,1.81479,21.5934,0.129165,-1.55646
3.78,1.80303,4.37596,1.80303,22.0133,0.114966,-1.5731
3.8,1.79095,4.4119,1.79095,22.4419,0.100731,-1.58949
3.82,1.77855,4.4476,1.77855,22.8794,0.0864643,-1.60563
3.84,1.76585,4.48304,1.76585,23.326,0.0721718,-1.6215
3.86,1.75284,4.51823,1.75284,23.7819,0.0578591,-1.63712
3.88,1.73952,4.55315,1.73952,24.2472,0.0435316,-1.65246
3.9,1.72591,4.58781,1.72591,24.7222,0.0291951,-1.66752
3.92,1.71201,4.62219,1.71201,25.2071,0.0148549,-1.6823
3.94,1.69783,4.65629,1.69783,25.7021,0.000516733,-1.69679
3.96,1.68336,4.6901,1.68336,26.2074,-0.0138139,-1.71099
3.98,1.66863,4.72362,1.66863,26.7232,-0.0281314,-1.72489
4,1.65362,4.75684,1.65362,27.2497,-0.0424301,-1.73848
4.02,1.63836,4.78976,1.63836,27.7871,-0.0567046,-1.75176
4.04,1.62283,4.82237,1.62283,28.3357,-0.0709492,-1.76473
4.06,1.60706,4.85467,1.60706,28.8957,-0.0851583,-1.77738
4.08,1.59105,4.88665,1.59105,29.4673,-0.0993265,-1.7897
4.1,1.5748,4.91831,1.5748,30.0508,-0.113448,-1.8017
4.12,1.55832,4.94964,1.55832,30.6465,-0.127518,-1.81336
4.14,1.54162,4.98064,1.54162,31.2545,-0.14153,-1.82468
4.16,1.5247,5.01131,1.5247,31.8751,-0.155479,-1.83566
4.18,1.50757,5.04163,1.50757,32.5086,-0.16936,-1.84629
4.2,1.49024,5.07161,1.49024,33.1552,-0.183167,-1.85657
4.22,1.47271,5.10124,1.47271,33.8153,-0.196895,-1.8665
4.24,1.45499,5.13051,1.45499,34.4891,-0.210538,-1.87606
4.26,1.43709,5.15943,1.43709,35.1768,-0.224091,-1.88527
4.28,1.41901,5.188,1.41901,35.8788,-0.237549,-1.89411
4.3,1.40077,5.21619,1.40077,36.5953,-0.250906,-1.90258
4.32,1.38237,5.24402,1.38237,37.3267,-0.264157,-1.91068
4.34,1.36381,5.27149,1.36381,38.0732,-0.277298,-1.91841
4.36,1.34511,5.29858,1.34511,38.8352,-0.290322,-1.92576
4.38,1.32627,5.32529,1.32627,39.6129,-0.303225,-1.93272
4.4,1.30731,5.35163,1.30731,40.4067,-0.316002,-1.93931
4.42,1.28821,5.37758,1.28821,41.217,-0.328647,-1.94551
4.44,1.269,5.40315,1.269,42.044,-0.341156,-1.95132
4.46,1.24969,5.42834,1.24969,42.8882,-0.353525,-1.95674
4.48,1.23027,5.45314,1.23027,43.7497,-0.365746,-1.96177
4.5,1.21077,5.47755,1.21077,44.6291,-0.377818,-1.9664
4.52,1.19118,5.50157,1.19118,45.5266,-0.389733,-1.97064
4.54,1.17151,5.5252,1.17151,46.4426,-0.401489,-1.97448
4.56,1.15177,5.54843,1.15177,47.3776,-0.413079,-1.97793
4.58,1.13197,5.57127,1.13197,48.3318,-0.4245,-1.98097
4.6,1.11212,5.59371,1.11212,49.3057,-0.435748,-1.98362
4.62,1.09223,5.61575,1.09223,50.2997,-0.446816,-1.98586
4.64,1.0723,5.63739,1.0723,51.3142,-0.457703,-1.9877
4.66,1.05233,5.65864,1.05233,52.3496,-0.468402,-1.98914
4.68,1.03235,5.67949,1.03235,53.4063,-0.47891,-1.99017
4.7,1.01236,5.69993,1.01236,54.4847,-0.489223,-1.9908
4.72,0.992358,5.71998,0.992358,55.5853,-0.499337,-1.99103
4.74,0.972362,5.73963,0.972362,56.7086,-0.509247,-1.99086
4.76,0.952376,5.75887,0.952376,57.855,-0.51895,-1.99028
4.78,0.932409,5.77772,0.932409,59.0249,-0.528442,-1.98929
4.8,0.91247,5.79617,0.91247,60.2189,-0.537719,-1.98791
4.82,0.892565,5.81422,0.892565,61.4374,-0.546778,-1.98612
4.84,0.872704,5.83187,0.872704,62.6809,-0.555615,-1.98393
4.86,0.852893,5.84913,0.852893,63.9499,-0.564227,-1.98135
4.88,0.833141,5.86599,0.833141,65.2449,-0.57261,-1.97836
4.9,0.813456,5.88245,0.813456,66.5665,-0.580761,-1.97498
4.92,0.793846,5.89852,0.793846,67.9153,-0.588676,-1.9712
4.94,0.774318,5.91421,0.774318,69.2916,-0.596353,-1.96702
4.96,0.75488,5.9295,0.75488,70.6962,-0.603789,-1.96246
4.98,0.73554,5.9444,0.73554,72.1295,-0.61098,-1.9575
5,0.716306,5.95892,0.716306,73.5922,-0.617925,-1.95216
5.02,0.697186,5.97305,0.697186,75.0848,-0.624619,-1.94642
5.04,0.678186,5.98681,0.678186,76.6079,-0.631061,-1.94031
5.06,0.659316,6.00018,0.659316,78.1622,-0.637248,-1.93381
5.08,0.640581,6.01318,0.640581,79.7483,-0.643178,-1.92694
5.1,0.621991,6.0258,0.621991,81.3668,-0.648847,-1.91969
5.12,0.603551,6.03806,0.603551,83.0184,-0.654255,-1.91206
5.14,0.58527,6.04995,0.58527,84.7037,-0.659399,-1.90407
5.16,0.567155,6.06147,0.567155,86.4234,-0.664276,-1.89571
5.18,0.549213,6.07263,0.549213,88.1782,-0.668886,-1.88699
5.2,0.531452,6.08344,0.531452,89.9688,-0.673226,-1.8779
5.22,0.513878,6.09389,0.513878,91.796,-0.677294,-1.86847
5.24,0.496498,6.10399,0.496498,93.6604,-0.681089,-1.85868
5.26,0.47932,6.11375,0.47932,95.5628,-0.68461,-1.84854
5.28,0.46235,6.12317,0.46235,97.504,-0.687855,-1.83806
5.3,0.445595,6.13225,0.445595,99.4848,-0.690822,-1.82724
5.32,0.429061,6.14099,0.429061,101.506,-0.693512,-1.81608
5.34,0.412756,6.14941,0.412756,103.568,-0.695922,-1.8046
5.36,0.396686,6.1575,0.396686,105.672,-0.698051,-1.79279
5.38,0.380858,6.16528,0.380858,107.82,-0.6999,-1.78066
5.4,0.365277,6.17274,0.365277,110.01,-0.701467,-1.76821
5.42,0.349949,6.17989,0.349949,112.246,-0.702751,-1.75545
5.44,0.334882,6.18674,0.334882,114.527,-0.703753,-1.74239
5.46,0.320081,6.19329,0.320081,116.854,-0.704471,-1.72902
5.48,0.305552,6.19954,0.305552,119.228,-0.704906,-1.71536
5.5,0.291301,6.20551,0.291301,121.651,-0.705057,-1.70141
5.52,0.277333,6.21119,0.277333,124.123,-0.704925,-1.68718
5.54,0.263654,6.2166,0.263654,126.645,-0.704509,-1.67267
5.56,0.250269,6.22174,0.250269,129.219,-0.70381,-1.65789
5.58,0.237185,6.22662,0.237185,131.844,-0.702827,-1.64284
5.6,0.224405,6.23123,0.224405,134.523,-0.701562,-1.62753
5.62,0.211936,6.23559,0.211936,137.257,-0.700015,-1.61197
5.64,0.199782,6.23971,0.199782,140.046,-0.698186,-1.59615
5.66,0.187948,6.24359,0.187948,142.891,-0.696077,-1.5801
5.68,0.176439,6.24723,0.176439,145.794,-0.693688,-1.56381
5.7,0.165259,6.25065,0.165259,148.756,-0.69102,-1.5473
5.72,0.154414,6.25384,0.154414,151.778,-0.688075,-1.53056
5.74,0.143906,6.25682,0.143906,154.862,-0.684852,-1.51361
5.76,0.133741,6.2596,0.133741,158.008,-0.681355,-1.49645
5.78,0.123922,6.26218,0.123922,161.217,-0.677584,-1.47909
5.8,0.114454,6.26456,0.114454,164.492,-0.67354,-1.46153
5.82,0.10534,6.26676,0.10534,167.833,-0.669226,-1.44379
5.84,0.0965839,6.26877,0.0965839,171.242,-0.664643,-1.42587
5.86,0.0881889,6.27062,0.0881889,174.719,-0.659793,-1.40778
5.88,0.0801585,6.2723,0.0801585,178.267,-0.654678,-1.38952
5.9,0.0724964,6.27383,0.0724964,181.887,-0.6493,-1.3711
5.92,0.0652052,6.27521,0.0652052,185.581,-0.643662,-1.35253
5.94,0.0582879,6.27644,0.0582879,189.349,-0.637764,-1.33382
5.96,0.0517473,6.27754,0.0517473,193.193,-0.631611,-1.31497
5.98,0.045586,6.27851,0.045586,197.115,-0.625203,-1.29599
6,0.0398063,6.27936,0.0398063,201.116,-0.618545,-1.2769
6.02,0.0344106,6.28011,0.0344106,205.198,-0.611639,-1.25769
6.04,0.029401,6.28074,0.029401,209.363,-0.604487,-1.23837
6.06,0.0247799,6.28128,0.0247799,213.612,-0.597092,-1.21896
6.08,0.0205489,6.28174,0.0205489,217.948,-0.589457,-1.19946
6.1,0.0167097,6.28211,0.0167097,222.37,-0.581585,-1.17988
6.12,0.0132638,6.28241,0.0132638,226.882,-0.57348,-1.16022
6.14,0.0102125,6.28264,0.0102125,231.486,-0.565145,-1.1405
6.16,0.00755702,6.28282,0.00755702,236.182,-0.556583,-1.12072
6.18,0.00529844,6.28295,0.00529844,240.974,-0.547797,-1.10089
6.2,0.00343759,6.28303,0.00343759,245.862,-0.538792,-1.08102
6.22,0.00197554,6.28308,0.00197554,250.849,-0.52957,-1.06112
6.24,0.000912813,6.28311,0.000912813,255.936,-0.520136,-1.04118
6.26,0.000249704,6.28312,0.000249704,261.127,-0.510492,-1.02123
6.28,-1.35302e-005,6.28313,-1.35302e-005,266.422,-0.500644,-1.00127
6.3,0.000123196,6.28313,0.000123196,271.825,-0.490595,-0.981312
6.32,0.000659801,6.28313,0.000659801,277.336,-0.480348,-0.961357
6.34,0.00159604,6.28315,0.00159604,282.959,-0.469909,-0.941415
6.36,0.00293149,6.2832,0.00293149,288.695,-0.459282,-0.921495
6.38,0.00466584,6.28327,0.00466584,294.548,-0.44847,-0.901605
6.4,0.00679851,6.28339,0.00679851,300.518,-0.437477,-0.881753
6.42,0.00932846,6.28355,0.00932846,306.609,-0.426309,-0.861947
6.44,0.0122547,6.28376,0.0122547,312.823,-0.41497,-0.842196
6.46,0.0155759,6.28404,0.0155759,319.163,-0.403465,-0.822505
6.48,0.0192908,6.28439,0.0192908,325.63,-0.391797,-0.802885
6.5,0.023398,6.28482,0.023398,332.228,-0.379972,-0.783342
6.52,0.0278956,6.28533,0.0278956,338.959,-0.367995,-0.763885
6.54,0.0327821,6.28593,0.0327821,345.826,-0.355869,-0.744521
6.56,0.0380557,6.28664,0.0380557,352.832,-0.343601,-0.725258
6.58,0.043714,6.28746,0.043714,359.979,-0.331195,-0.706104
6.6,0.0497549,6.28839,0.0497549,367.271,-0.318655,-0.687066
6.62,0.0561758,6.28945,0.0561758,374.709,-0.305988,-0.668152
6.64,0.0629742,6.29064,0.0629742,382.298,-0.293198,-0.64937
6.66,0.0701473,6.29197,0.0701473,390.04,-0.28029,-0.630727
6.68,0.0776923,6.29345,0.0776923,397.938,-0.267269,-0.612231
6.7,0.085606,6.29508,0.085606,405.995,-0.254141,-0.593889
6.72,0.0938858,6.29688,0.0938858,414.216,-0.240911,-0.575708
6.74,0.102528,6.29884,0.102528,422.602,-0.227584,-0.557696
6.76,0.111529,6.30098,0.111529,431.157,-0.214165,-0.53986
6.78,0.120886,6.3033,0.120886,439.885,-0.200661,-0.522207
6.8,0.130594,6.30582,0.130594,448.789,-0.187075,-0.504745
6.82,0.14065,6.30853,0.14065,457.873,-0.173415,-0.487479
6.84,0.151049,6.31145,0.151049,467.14,-0.159684,-0.470418
6.86,0.161788,6.31457,0.161788,476.594,-0.14589,-0.453567
6.88,0.172863,6.31792,0.172863,486.238,-0.132036,-0.436935
6.9,0.184268,6.32149,0.184268,496.078,-0.118129,-0.420527
6.92,0.196,6.32529,0.196,506.116,-0.104175,-0.404349
6.94,0.208053,6.32933,0.208053,516.356,-0.0901783,-0.388409
6.96,0.220423,6.33362,0.220423,526.804,-0.0761453,-0.372714
6.98,0.233105,6.33815,0.233105,537.461,-0.0620816,-0.357268
7,0.246093,6.34295,0.246093,548.334,-0.0479926,-0.342078
7.02,0.259383,6.348,0.259383,559.427,-0.0338841,-0.327151
7.04,0.272969,6.35332,0.272969,570.743,-0.0197617,-0.312492
7.06,0.286846,6.35892,0.286846,582.287,-0.00563099,-0.298108
7.08,0.301008,6.3648,0.301008,594.065,0.00850233,-0.284004
7.1,0.31545,6.37096,0.31545,606.08,0.0226326,-0.270185
7.12,0.330166,6.37742,0.330166,618.337,0.0367541,-0.256658
7.14,0.34515,6.38417,0.34515,630.842,0.0508612,-0.243427
7.16,0.360395,6.39123,0.360395,643.599,0.0649483,-0.230498
7.18,0.375896,6.39859,0.375896,656.614,0.0790097,-0.217877
7.2,0.391647,6.40626,0.391647,669.891,0.0930399,-0.205567
7.22,0.407641,6.41426,0.407641,683.436,0.107033,-0.193575
7.24,0.423873,6.42257,0.423873,697.254,0.120984,-0.181905
7.26,0.440334,6.43121,0.440334,711.351,0.134886,-0.170562
7.28,0.45702,6.44019,0.45702,725.733,0.148735,-0.159549
7.3,0.473923,6.4495,0.473923,740.405,0.162525,-0.148873
7.32,0.491036,6.45915,0.491036,755.373,0.17625,-0.138536
7.34,0.508352,6.46914,0.508352,770.642,0.189905,-0.128543
7.36,0.525866,6.47948,0.525866,786.22,0.203484,-0.118898
7.38,0.543569,6.49018,0.543569,802.113,0.216982,-0.109605
7.4,0.561454,6.50123,0.561454,818.326,0.230393,-0.100668
7.42,0.579515,6.51264,0.579515,834.866,0.243713,-0.0920902
7.44,0.597744,6.52441,0.597744,851.74,0.256935,-0.0838749
7.46,0.616134,6.53655,0.616134,868.954,0.270054,-0.0760256
7.48,0.634678,6.54906,0.634678,886.516,0.283066,-0.0685454
7.5,0.653368,6.56194,0.653368,904.432,0.295965,-0.0614371
7.52,0.672196,6.57519,0.672196,922.71,0.308746,-0.0547038
7.54,0.691155,6.58883,0.691155,941.357,0.321403,-0.0483484
7.56,0.710238,6.60284,0.710238,960.38,0.333933,-0.0423732
7.58,0.729437,6.61724,0.729437,979.787,0.346328,-0.0367807
7.6,0.748744,6.63202,0.748744,999.585,0.358586,-0.031573
7.62,0.768152,6.64719,0.768152,1019.78,0.3707,-0.0267522
7.64,0.787652,6.66275,0.787652,1040.39,0.382666,-0.0223202
7.66,0.807237,6.6787,0.807237,1061.41,0.394479,-0.0182788
7.68,0.8269,6.69504,0.8269,1082.86,0.406135,-0.0146296
7.7,0.846631,6.71177,0.846631,1104.74,0.417628,-0.0113745
7.72,0.866424,6.7289,0.866424,1127.06,0.428955,-0.00851441
7.74,0.88627,6.74643,0.88627,1149.83,0.44011,-0.00605058
7.76,0.906162,6.76436,0.906162,1173.06,0.451089,-0.00398395
7.78,0.926092,6.78268,0.926092,1196.76,0.461888,-0.00231534
7.8,0.946051,6.8014,0.946051,1220.93,0.472503,-0.00104539
7.82,0.966031,6.82052,0.966031,1245.6,0.482928,-0.000174579
7.84,0.986025,6.84004,0.986025,1270.76,0.493161,0.00029678
