"time","Rte_UPiActuator_EcuUPi_OP_SET_upi"
0,0
0.002,100.001953125
0.004,100.001953125
0.006,100.001953125
0.008,100.001953125
0.01,100.001953125
0.012,100.001953125
0.014,100.001953125
0.016,100.001953125
0.018,100.001953125
0.02,100.001953125
0.022,100.001953125
0.024,100.001953125
0.026,100.001953125
0.028,100.001953125
0.03,100.001953125
0.032,100.001953125
0.034,100.001953125
0.036,100.001953125
0.038,100.001953125
0.04,100.001953125
0.042,100.001953125
0.044,100.001953125
0.046,100.001953125
0.048,100.001953125
0.05,100.001953125
0.052,100.001953125
0.054,100.001953125
0.056,100.001953125
0.058,100.001953125
0.06,100.001953125
0.062,100.001953125
0.064,100.001953125
0.066,100.001953125
0.068,100.001953125
0.07,100.001953125
0.072,100.001953125
0.074,100.001953125
0.076,100.001953125
0.078,0
0.08,34.228515625
0.082,21.724609375
0.084,21.724609375
0.086,21.724609375
0.088,21.720703125
0.09,21.720703125
0.092,21.720703125
0.094,21.720703125
0.096,21.71484375
0.098,21.71484375
0.1,12.3359375
0.102,12.3359375
0.104,21.7109375
0.106,21.7109375
0.108,21.70703125
0.11,21.70703125
0.112,21.70703125
0.114,21.703125
0.116,21.703125
0.118,21.703125
0.12,21.69921875
0.122,21.69921875
0.124,21.69921875
0.126,34.19921875
0.128,21.6953125
0.13,21.6953125
0.132,21.6953125
0.134,21.69140625
0.136,21.69140625
0.138,21.69140625
0.14,21.6875
0.142,21.6875
0.144,21.6875
0.146,21.68359375
0.148,21.68359375
0.15,21.68359375
0.152,21.6796875
0.154,34.1796875
0.156,21.6796875
0.158,21.67578125
0.16,21.67578125
0.162,21.67578125
0.164,21.67578125
0.166,21.671875
0.168,21.671875
0.17,21.671875
0.172,21.666015625
0.174,21.666015625
0.176,21.666015625
0.178,21.662109375
0.18,21.662109375
0.182,21.662109375
0.184,34.158203125
0.186,21.658203125
0.188,21.658203125
0.19,21.654296875
0.192,21.654296875
0.194,21.654296875
0.196,21.650390625
0.198,21.650390625
0.2,21.650390625
