"time","outChar","outDateAndTime2"
0,3,300
0.15,6,1500
0.3,9,3600
0.45,12,6600
0.6,15,10500
0.75,18,15300
0.9,21,21000
1.05,24,27600
1.2,27,35100
1.35,30,43500
1.5,33,52800
1.65,36,63000
1.8,39,74100
1.95,42,86100
2.1,45,99000
2.25,48,112800
2.4,51,127500
2.55,54,143100
2.7,57,159600
2.85,60,177000
3,63,195300
3.15,66,214500
3.3,69,234600
3.45,72,255600
3.6,75,277500
3.75,78,300300
3.9,81,324000
4.05,84,348600
4.2,87,374100
4.35,90,400500
4.5,93,427800
4.65,96,456000
4.8,99,485100
4.95,102,515100
5.1,105,546000
5.25,108,577800
5.4,111,610500
5.55,114,644100
5.7,117,678600
5.85,120,714000
6,123,750300
6.15,126,787500
6.3,129,825600
6.45,132,864600
6.6,135,904500
6.75,138,945300
6.9,141,987000
7.05,144,1.0296e+06
7.2,147,1.0731e+06
7.35,150,1.1175e+06
7.5,153,1.1628e+06
7.65,156,1.209e+06
7.8,159,1.2561e+06
7.95,162,1.3041e+06
8.1,165,1.353e+06
8.25,168,1.4028e+06
8.4,171,1.4535e+06
8.55,174,1.5051e+06
8.7,177,1.5576e+06
8.85,180,1.611e+06
9,183,1.6653e+06
9.15,186,1.7205e+06
9.3,189,1.7766e+06
9.45,192,1.8336e+06
9.6,195,1.8915e+06
9.75,198,1.9503e+06
9.9,201,2.01e+06
10.05,204,2.0706e+06
10.2,207,2.1321e+06
10.35,210,2.1945e+06
10.5,213,2.2578e+06
10.65,216,2.322e+06
10.8,219,2.3871e+06
10.95,222,2.4531e+06
11.1,225,2.52e+06
11.25,228,2.5878e+06
11.4,231,2.6565e+06
11.55,234,2.7261e+06
11.7,237,2.7966e+06
11.85,240,2.868e+06
12,243,2.9403e+06
12.15,246,3.0135e+06
12.3,249,3.0876e+06
12.45,252,3.1626e+06
12.6,255,3.2385e+06
12.75,2,3.3153e+06
12.9,5,3.393e+06
13.05,8,3.4716e+06
13.2,11,3.5511e+06
13.35,14,3.6315e+06
13.5,17,3.7128e+06
13.65,20,3.795e+06
13.8,23,3.8781e+06
13.95,26,3.9621e+06
14.1,29,4.047e+06
14.25,32,4.1328e+06
