"time","Cntrl_PI_1.s_out.signal[1]","Cntrl_PI_1.s_set.signal[1]","Cntrl_PI_1.s_var.signal[1]","Cntrl_PI_2.s_out.signal[1]","Cntrl_PI_2.s_set.signal[1]","Cntrl_PI_2.s_var.signal[1]","Cntrl_PI_3.s_out.signal[1]","Cntrl_PI_3.s_set.signal[1]","Cntrl_PI_3.s_var.signal[1]","Cntrl_PI_4.s_out.signal[1]","Cntrl_PI_4.s_set.signal[1]","Cntrl_PI_4.s_var.signal[1]","Flash_1.Q","Flash_1.fl_in.W"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.02,1,0.909689,15.0823,0.45,0.495386,0,30,22.3689,0,3,0.987124,1000,40
2,0.02,1,0.95335,26.7233,0.45,0.522163,0,30,22.411,0,3,0.977689,1000,40
3,0.02,1,0.992524,35.3,0.45,0.534851,0,30,22.4475,0,3,0.970872,1000,40
4,0.336083,1,1.02201,41.1985,0.45,0.537161,28.219,30,30.219,0,3,1.20538,1000,40
5,0.688444,1,1.02973,44.7813,0.45,0.532083,44.0237,30,30.1723,0,3,2.10181,1000,40
6,0.884663,1,1.02244,46.6231,0.45,0.522696,49.6239,30,30.0956,3.92238,3,3.34971,1000,40
7,0.922252,1,1.00994,47.2655,0.45,0.511411,50.563,30,30.0394,19.9149,3,4.12605,1000,40
8,0.862161,1,0.999553,47.1395,0.45,0.499868,49.0874,30,30.0044,28.0639,3,3.87693,1000,40
9,0.775088,1,0.99435,46.552,0.45,0.489037,46.7622,30,29.9868,28.979,3,3.35898,1000,40
10,0.709056,1,0.993929,45.7071,0.45,0.479399,44.8268,30,29.9834,27.4639,3,3.03103,1000,40
11,0.680602,1,0.996159,44.7388,0.45,0.471141,43.9425,30,29.9889,25.6347,3,2.89731,1000,40
12,0.682688,1,0.998835,43.7392,0.45,0.464289,44.0161,30,29.9967,24.4041,3,2.88877,1000,40
13,0.698933,1,1.00063,42.7756,0.45,0.458791,44.5335,30,30.0022,24.0205,3,2.93893,1000,40
14,0.715239,1,1.00124,41.8967,0.45,0.454547,45.0392,30,30.0039,24.255,3,2.99447,1000,40
15,0.724709,1,1.00101,41.1343,0.45,0.451426,45.3274,30,30.0031,24.6987,3,3.0261,1000,40
16,0.726922,1,1.00048,40.5034,0.45,0.449268,45.3943,30,30.0015,25.0467,3,3.03065,1000,40
17,0.72475,1,1.00003,40.0048,0.45,0.447901,45.3294,30,30.0001,25.1964,3,3.01974,1000,40
18,0.721407,1,0.999799,39.6285,0.45,0.44715,45.2292,30,29.9994,25.1879,3,3.00612,1000,40
19,0.718903,1,0.999775,39.3587,0.45,0.446856,45.1542,30,29.9993,25.107,3,2.99698,1000,40
20,0.717839,1,0.999857,39.1766,0.45,0.44688,45.1228,30,29.9996,25.0251,3,2.99383,1000,40
21,0.717893,1,0.999955,39.0642,0.45,0.447109,45.1252,30,29.9999,24.9767,3,2.99487,1000,40
22,0.718444,1,1.00002,39.0048,0.45,0.447456,45.1426,30,30.0001,24.9643,3,2.99749,1000,40
23,0.718993,1,1.00004,38.9841,0.45,0.447856,45.1598,30,30.0001,24.9742,3,2.99978,1000,40
24,0.719307,1,1.00003,38.9904,0.45,0.448265,45.1698,30,30.0001,24.9906,3,3.00095,1000,40
25,0.719374,1,1.00002,39.0141,0.45,0.448652,45.1722,30,30.0001,25.0031,3,3.00111,1000,40
26,0.719293,1,1,39.0477,0.45,0.448998,45.1701,30,30,25.0086,3,3.00072,1000,40
27,0.719171,1,0.999992,39.0857,0.45,0.449295,45.1667,30,30,25.0084,3,3.00023,1000,40
28,0.719077,1,0.999991,39.124,0.45,0.449538,45.1641,30,30,25.0056,3,2.9999,1000,40
29,0.719033,1,0.999994,39.1598,0.45,0.44973,45.163,30,30,25.0026,3,2.99978,1000,40
30,0.719028,1,0.999998,39.1916,0.45,0.449875,45.1631,30,30,25.0009,3,2.99981,1000,40
31,0.719043,1,1,39.2186,0.45,0.449979,45.1637,30,30,25.0003,3,2.9999,1000,40
32,0.719059,1,1,39.2406,0.45,0.450049,45.1644,30,30,25.0006,3,2.99999,1000,40
33,0.719067,1,1,39.2577,0.45,0.450092,45.1648,30,30,25.0012,3,3.00003,1000,40
34,0.719066,1,1,39.2706,0.45,0.450114,45.1649,30,30,25.0016,3,3.00004,1000,40
35,0.719061,1,1,39.2798,0.45,0.450121,45.1648,30,30,25.0018,3,3.00003,1000,40
36,0.719054,1,0.999999,39.2859,0.45,0.450117,45.1647,30,30,25.0018,3,3.00001,1000,40
37,0.719048,1,0.999999,39.2895,0.45,0.450107,45.1646,30,30,25.0017,3,3,1000,40
38,0.719045,1,1,39.2913,0.45,0.450093,45.1646,30,30,25.0016,3,2.99999,1000,40
39,0.719043,1,1,39.2918,0.45,0.450078,45.1646,30,30,25.0015,3,2.99999,1000,40
