"time","x","der(x)"
0,1,-1
0,1,-1
0.01,0.990045,-0.990045
0.02,0.980189,-0.980189
0.03,0.970431,-0.970431
0.04,0.96077,-0.96077
0.05,0.951206,-0.951206
0.06,0.941736,-0.941736
0.07,0.932361,-0.932361
0.08,0.923079,-0.923079
0.09,0.91389,-0.91389
0.1,0.904792,-0.904792
0.11,0.895785,-0.895785
0.12,0.886867,-0.886867
0.13,0.878038,-0.878038
0.14,0.869297,-0.869297
0.15,0.860643,-0.860643
0.16,0.852076,-0.852076
0.17,0.843593,-0.843593
0.18,0.835195,-0.835195
0.19,0.826881,-0.826881
0.2,0.818649,-0.818649
0.21,0.810499,-0.810499
0.22,0.80243,-0.80243
0.23,0.794442,-0.794442
0.24,0.786533,-0.786533
0.25,0.778703,-0.778703
0.26,0.770951,-0.770951
0.27,0.763276,-0.763276
0.28,0.755678,-0.755678
0.29,0.748155,-0.748155
0.3,0.740707,-0.740707
0.31,0.733333,-0.733333
0.32,0.726033,-0.726033
0.33,0.718805,-0.718805
0.34,0.711649,-0.711649
0.35,0.704565,-0.704565
0.36,0.697551,-0.697551
0.37,0.690606,-0.690606
0.38,0.683731,-0.683731
0.39,0.676925,-0.676925
0.4,0.670186,-0.670186
0.41,0.663514,-0.663514
0.42,0.656909,-0.656909
0.43,0.650369,-0.650369
0.44,0.643895,-0.643895
0.45,0.637485,-0.637485
0.46,0.631138,-0.631138
0.47,0.624855,-0.624855
0.48,0.618635,-0.618635
0.49,0.612476,-0.612476
0.5,0.606379,-0.606379
0.51,0.600342,-0.600342
0.52,0.594366,-0.594366
0.53,0.588449,-0.588449
0.54,0.582591,-0.582591
0.55,0.576791,-0.576791
0.56,0.571049,-0.571049
0.57,0.565364,-0.565364
0.58,0.559736,-0.559736
0.59,0.554164,-0.554164
0.6,0.548647,-0.548647
0.61,0.543185,-0.543185
0.62,0.537778,-0.537778
0.63,0.532424,-0.532424
0.64,0.527124,-0.527124
0.65,0.521876,-0.521876
0.66,0.516681,-0.516681
0.67,0.511537,-0.511537
0.68,0.506445,-0.506445
0.69,0.501403,-0.501403
0.7,0.496411,-0.496411
0.71,0.49147,-0.49147
0.72,0.486577,-0.486577
0.73,0.481733,-0.481733
0.74,0.476937,-0.476937
0.75,0.472189,-0.472189
0.76,0.467489,-0.467489
0.77,0.462835,-0.462835
0.78,0.458227,-0.458227
0.79,0.453665,-0.453665
0.8,0.449149,-0.449149
0.81,0.444678,-0.444678
0.82,0.440251,-0.440251
0.83,0.435868,-0.435868
0.84,0.431529,-0.431529
0.85,0.427233,-0.427233
0.86,0.42298,-0.42298
0.87,0.418769,-0.418769
0.88,0.4146,-0.4146
0.89,0.410473,-0.410473
0.9,0.406387,-0.406387
0.91,0.402341,-0.402341
0.92,0.398336,-0.398336
0.93,0.39437,-0.39437
0.94,0.390444,-0.390444
0.95,0.386557,-0.386557
0.96,0.382709,-0.382709
0.97,0.378899,-0.378899
0.98,0.375127,-0.375127
0.99,0.371393,-0.371393
