    "time","axlePosition","speedVal2","RUN1_rotation","RUN1_cycleEnd"
         0,         0,         0,         0,         0
       0.1,         0,         0,         0,         0
       0.2,         0,         0,         0,         1
         5,         0,         0,         0,         1
       5.1,         0,         0,         0,         0
       6.1,         0,         0,         0,         0
       6.2,        10,       500,         1,         0
       6.3,        30,      1500,         1,         0
       6.4,        50,      2500,         1,         0
       6.5,        70,      3500,         1,         0
       6.6,        80,      4500,         1,         0
       6.7,        90,      5000,         1,         0
       6.8,       100,      5000,         1,         0
       6.9,        95,      5000,         1,         0
         7,        75,      5000,         1,         0
       7.1,        55,      5000,         1,         0
       7.2,        35,      5000,         1,         0
       7.3,        25,      4500,         0,         0
       7.4,        15,      3500,         0,         0
       7.5,         5,      2500,         0,         0
       7.6,         0,      1500,         0,         0
       7.7,         0,       500,         0,         0
       7.8,         0,         0,         0,         0
       8.6,         0,         0,         0,         0
       8.7,         0,         0,         0,         1
       9.1,         0,         0,         0,         1
       9.2,         0,         0,         0,         0
      10.2,         0,         0,         0,         0
      10.3,        10,       500,         1,         0
      10.4,        30,      1500,         1,         0
      10.5,        50,      2500,         1,         0
      10.6,        70,      3500,         1,         0
      10.7,        80,      4500,         1,         0
      10.8,        90,      5000,         1,         0
      10.9,       100,      5000,         1,         0
        11,        95,      5000,         1,         0
      11.1,        75,      5000,         1,         0
      11.2,        55,      5000,         1,         0
      11.3,        35,      5000,         1,         0
      11.4,        25,      4500,         0,         0
      11.5,        15,      3500,         0,         0
      11.6,         5,      2500,         0,         0
      11.7,         0,      1500,         0,         0
      11.8,         0,       500,         0,         0
      11.9,         0,         0,         0,         0
      12.1,         0,         0,         0,         0
