"time","iAC1@modelica_icon","iAC2@modelica_icon","iAC3@modelica_icon","uAC1@modelica_icon","uAC2@modelica_icon","uAC3@modelica_icon"
1e-07,-2.77556e-16,-0.471405,0.471405,235.702,-471.405,235.702
4.01e-05,0.00955215,-0.572439,0.562887,288.949,-565.617,276.667
8.01e-05,0.0230648,-0.58702,0.563955,295.038,-565.483,270.445
0.0001201,0.0364842,-0.601329,0.564845,301.08,-565.26,264.181
0.0001601,0.0492045,-0.676678,0.627473,306.772,-564.34,257.568
0.0002001,0.0614973,-1.05032,0.988819,312.252,-563.006,250.754
0.0002401,0.0737803,-1.71955,1.64577,317.727,-561.674,243.947
0.0002801,0.0860516,-2.65389,2.56784,323.198,-560.344,237.146
0.0003201,0.0983094,-3.82267,3.72437,328.664,-559.018,230.354
0.0003601,0.110552,-5.19508,5.08452,334.124,-557.695,223.572
0.0004001,0.122776,-6.74015,6.61737,339.577,-556.377,216.8
0.0004401,0.134982,-8.42685,8.29187,345.023,-555.064,210.041
0.0004801,0.147166,-10.2241,10.0769,350.46,-553.755,203.294
0.0005202,0.159357,-12.1055,11.9461,355.903,-552.448,196.545
0.0005603,0.171523,-14.0354,13.8639,361.335,-551.146,189.811
0.0006004,0.183662,-15.9824,15.7987,366.756,-549.849,183.094
0.0006405,0.195771,-17.9153,17.7196,372.165,-548.558,176.393
0.0006806,0.20785,-19.8031,19.5952,377.561,-547.272,169.711
0.0007207,0.219895,-21.6145,21.3947,382.943,-545.99,163.047
0.0007608,0.231906,-23.319,23.0871,388.31,-544.713,156.403
0.0008009,0.24388,-24.8857,24.6419,393.66,-543.44,149.78
0.000841,0.255815,-26.2844,26.0286,398.993,-542.171,143.178
0.0008811,0.267709,-27.4849,27.2172,404.307,-540.904,136.597
0.0009212,0.279561,-28.4573,28.1778,409.601,-539.64,130.039
0.0009613,0.291369,-29.1722,28.8808,414.874,-538.378,123.504
0.0010013,0.303101,-29.5997,29.2966,420.111,-537.12,117.009
0.0010413,0.314785,-29.7134,29.3986,425.324,-535.862,110.538
0.0010813,0.32642,-29.4851,29.1586,430.512,-534.604,104.092
0.0011213,0.338003,-28.8871,28.5491,435.673,-533.343,97.6698
0.0011613,0.349533,-27.8923,27.5428,440.806,-532.079,91.2732
0.0012013,0.361007,-26.4739,26.1128,445.91,-530.812,84.9022
0.0012413,0.372425,-24.6056,24.2332,450.982,-529.539,78.557
0.0012813,0.383783,-22.262,21.8782,456.022,-528.259,72.238
0.0013213,0.395081,-19.4178,19.0227,461.027,-526.972,65.9453
0.0013613,0.406317,-16.0487,15.6424,465.996,-525.675,59.6791
0.0014013,0.417488,-12.1309,11.7134,470.928,-524.368,53.4396
0.0014413,0.428594,-7.64111,7.21252,475.821,-523.048,47.2269
0.0014813,0.439632,-2.55695,2.11732,480.673,-521.714,41.0411
0.0015213,0.432534,-0.91676,0.484226,476.456,-502.302,25.8462
0.0015613,0.441458,-0.920402,0.478944,480.25,-498.993,18.7432
