"time","y","z"
0.01,10,-0.098
0.04,9.99412,-0.392
0.06,9.9853,-0.588
0.09,9.96472,-0.882
0.12,9.93532,-1.176
0.14,9.91082,-1.372
0.16,9.8824,-1.568
0.18,9.85006,-1.764
0.2,9.8138,-1.96
0.22,9.77362,-2.156
0.24,9.72952,-2.352
0.27,9.65602,-2.646
0.29,9.60212,-2.842
0.31,9.5443,-3.038
0.33,9.48256,-3.234
0.35,9.4169,-3.43
0.37,9.34732,-3.626
0.39,9.27382,-3.822
0.41,9.1964,-4.018
0.43,9.11506,-4.214
0.45,9.0298,-4.41
0.47,8.94062,-4.606
0.49,8.84752,-4.802
0.52,8.70052,-5.096
0.54,8.59762,-5.292
0.56,8.4908,-5.488
0.58,8.38006,-5.684
0.6,8.2654,-5.88
0.62,8.14682,-6.076
0.64,8.02432,-6.272
0.66,7.8979,-6.468
0.68,7.76756,-6.664
0.7,7.6333,-6.86
0.72,7.49512,-7.056
0.74,7.35302,-7.252
0.76,7.207,-7.448
0.78,7.05706,-7.644
0.8,6.9032,-7.84
0.82,6.74542,-8.036
0.84,6.58372,-8.232
0.86,6.4181,-8.428
0.88,6.24856,-8.624
0.9,6.0751,-8.82
0.92,5.89772,-9.016
0.94,5.71642,-9.212
0.96,5.5312,-9.408
0.98,5.34206,-9.604
1,5.149,-9.8
1.02,4.95202,-9.996
1.04,4.75112,-10.192
1.06,4.5463,-10.388
1.08,4.33756,-10.584
1.1,4.1249,-10.78
1.12,3.90832,-10.976
1.14,3.68782,-11.172
1.16,3.4634,-11.368
1.18,3.23506,-11.564
1.2,3.0028,-11.76
1.22,2.76662,-11.956
1.24,2.52652,-12.152
1.26,2.2825,-12.348
1.28,2.03456,-12.544
1.3,1.7827,-12.74
1.32,1.52692,-12.936
1.34,1.26722,-13.132
1.36,1.0036,-13.328
1.38,0.73606,-13.524
1.4,0.4646,-13.72
1.42,0.18922,-13.916
1.44,-0.09008,10.584
1.46,0.12062,10.388
1.48,0.3274,10.192
1.5,0.53026,9.996
1.52,0.7292,9.8
1.54,0.92422,9.604
1.56,1.11532,9.408
1.58,1.3025,9.212
1.6,1.48576,9.016
1.62,1.6651,8.82
1.64,1.84052,8.624
1.66,2.01202,8.428
1.68,2.1796,8.232
1.7,2.34326,8.036
1.72,2.503,7.84
1.74,2.65882,7.644
1.76,2.81072,7.448
1.78,2.9587,7.252
1.8,3.10276,7.056
1.82,3.2429,6.86
1.84,3.37912,6.664
1.86,3.51142,6.468
1.88,3.6398,6.272
1.9,3.76426,6.076
1.92,3.8848,5.88
1.94,4.00142,5.684
1.96,4.11412,5.488
1.98,4.2229,5.292
2.01,4.37872,4.998
2.04,4.52572,4.704
2.07,4.6639,4.41
2.1,4.79326,4.116
2.13,4.9138,3.822
2.16,5.02552,3.528
2.19,5.12842,3.234
2.22,5.2225,2.94
2.25,5.30776,2.646
2.28,5.3842,2.352
2.31,5.45182,2.058
2.34,5.51062,1.764
2.37,5.5606,1.47
2.4,5.60176,1.176
2.43,5.6341,0.882
2.46,5.65762,0.588
2.49,5.67232,0.294
2.52,5.6782,1.25122e-13
2.55,5.67526,-0.294
2.58,5.6635,-0.588
2.61,5.64292,-0.882
2.64,5.61352,-1.176
2.67,5.5753,-1.47
2.7,5.52826,-1.764
2.73,5.4724,-2.058
2.76,5.40772,-2.352
2.79,5.33422,-2.646
2.82,5.2519,-2.94
2.85,5.16076,-3.234
2.88,5.0608,-3.528
2.91,4.95202,-3.822
2.94,4.83442,-4.116
2.97,4.708,-4.41
3,4.57276,-4.704
3.03,4.4287,-4.998
3.06,4.27582,-5.292
3.09,4.11412,-5.586
3.12,3.9436,-5.88
3.15,3.76426,-6.174
3.18,3.5761,-6.468
3.21,3.37912,-6.762
3.24,3.17332,-7.056
