"Time","qinj@expseu_","q@INJ01","sacp@INJ01","x1@INJ01","volume@INJ01","pa@DVALV01","lca@PUMP01","p1@PUMP01"
0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,5.000000000000000E+01,1.000000000000000E-09,0.000000000000000E+00,1.000000000000000E+01,0.000000000000000E+00,2.500000000000000E+00
1.000000000000000E-05,-1.637955288134300E-09,-9.831595297630099E-09,4.999999998689000E+01,1.000000000000000E-09,-1.637955288134300E-15,9.935524446903900E+00,1.274403612530700E-08,2.499867486378900E+00
2.000000000000000E-05,-3.276556410702700E-09,-9.831539425303500E-09,4.999999998689000E+01,1.000000000000000E-09,-3.276556410702700E-15,9.936098395234801E+00,2.955929452989700E-08,2.500050359480500E+00
3.000000000000000E-05,-4.915157658153300E-09,-9.831616249752500E-09,4.999999998689000E+01,1.000000000000000E-09,-4.915157658153300E-15,9.974530445817200E+00,5.173866356894000E-08,2.500093694685600E+00
4.000000000000000E-05,-6.553759030258600E-09,-9.831588313589200E-09,4.999999998689000E+01,1.000000000000000E-09,-6.553759030258600E-15,9.961562916308599E+00,8.057503159760899E-08,2.499983330768900E+00
5.000000000000000E-05,-8.192360506652000E-09,-9.831616249752500E-09,4.999999998689000E+01,1.000000000000000E-09,-8.192360506652001E-15,9.939937046453499E+00,1.173612869710800E-07,2.500009024230900E+00
6.000000000000000E-05,-9.830962069758900E-09,-9.831623233793300E-09,4.999999998689000E+01,1.000000000000000E-09,-9.830962069758900E-15,9.957080408138900E+00,1.633903180445100E-07,2.500078870309600E+00
6.999999999999999E-05,-1.146956370383600E-08,-9.831609265711700E-09,4.999999998689000E+01,1.000000000000000E-09,-1.146956370383600E-14,9.967411863360899E+00,2.199550131730800E-07,2.500044611415000E+00
8.000000000000001E-05,-1.310816538381800E-08,-9.831609265711700E-09,4.999999998689000E+01,1.000000000000000E-09,-1.310816538381800E-14,9.953111325724800E+00,2.883482607119700E-07,2.500029569002200E+00
9.000000000000001E-05,-1.474676708976600E-08,-9.831616249752500E-09,4.999999998689000E+01,1.000000000000000E-09,-1.474676708976600E-14,9.952291759633200E+00,3.698629490163400E-07,2.500121180109000E+00
1.000000000000000E-04,-1.638536880085600E-08,-9.831609265711700E-09,4.999999998689000E+01,1.000000000000000E-09,-1.638536880085600E-14,9.963632446990401E+00,4.657919664413600E-07,2.500158606105600E+00
1.100000000000000E-04,-1.802397049585700E-08,-9.831616249752500E-09,4.999999998689000E+01,1.000000000000000E-09,-1.802397049585700E-14,9.961186781277700E+00,5.774282013422000E-07,2.500126785489900E+00
1.200000000000000E-04,-1.966257215874100E-08,-9.831616249752500E-09,4.999999998689000E+01,1.000000000000000E-09,-1.966257215874100E-14,9.956065288409500E+00,7.060645420740500E-07,2.500204437313800E+00
1.300000000000000E-04,-2.130117377191500E-08,-9.831679106119899E-09,4.999999998688900E+01,1.000000000000000E-09,-2.130117377191500E-14,9.961165259389199E+00,8.529938769920600E-07,2.500321719248900E+00
1.400000000000000E-04,-2.293977533263100E-08,-9.831595297630099E-09,4.999999998689000E+01,1.000000000000000E-09,-2.293977533263100E-14,9.964494047541800E+00,1.019508582538700E-06,2.500346176593000E+00
1.500000000000000E-04,-2.457837682200900E-08,-9.831602281670901E-09,4.999999998689000E+01,1.000000000000000E-09,-2.457837682200900E-14,9.961415696182801E+00,1.206391170053200E-06,2.500411046083000E+00
