"time","Out1_1_","Out1_2_","Out2","Out3","Out4","Out5","Out6","Out7","Out8","Out9"
0,0,0,0,0,0,0,-12,0,0,0
6.12703e-017,1,3,0,1.04159e-016,0,0,-12,2.45081e-016,7.69945e-016,7.69945e-016
6.12703e-017,1,3,0,1.04159e-016,0,0,-12,2.45081e-016,7.69945e-016,7.69945e-016
0.00795858,1.01592,3.01592,0,0.0135294,0,0,-12,0.031834,0.1,0.1
0.00795858,1.01592,3.01592,0,0.0135294,0,0,-12,0.031834,0.1,0.1
0.02,1.04,3.04,0,0.0339977,0,0,-12,0.0799947,0.1,0.251162
0.04,1.07998,3.07998,0,0.0679819,0,0,-12,0.159957,0.1,0.501333
0.06,1.11993,3.11993,0,0.101939,0,0,-12,0.239856,0.1,0.749525
0.08,1.15983,3.15983,0,0.135855,0,0.5,-12,0.319659,0.1,0.99476
0.1,1.19967,3.19967,0,0.169717,0,0.5,-12,0.399334,0.1,1.23607
0.12,1.23942,3.23942,0,0.203511,0,0.5,-12,0.478849,0.1,1.4725
0.12,1.23942,3.23942,0,0.203511,0,0.5,12,0.5,0.1,1.4725
0.12,1.23942,3.23942,0,0.203511,0,0.5,12,0.478849,0.1,1.4725
0.125328,1.25,3.25,0,0.2125,0,0.5,12,0.5,0.1,1.53454
0.125328,1.25,3.25,0,0.2125,0,0.5,12,0.5,0.1,1.53454
0.14,1.27909,3.27909,0,0.237223,0,0.5,12,0.5,0.1,1.70312
0.16,1.31864,3.31864,0,0.270841,0,0.5,12,0.5,0.1,1.92701
0.18,1.35806,3.35806,0,0.30435,0,0.5,12,0.5,0.1,2.14331
0.2,1.39734,3.39734,0,0.337738,0,1,12,0.5,0.1,2.35114
0.22,1.43646,3.43646,0,0.37099,0,1,12,0.5,0.1,2.5497
0.24,1.47541,3.47541,0,0.404094,0,1,12,0.5,0.1,2.73819
0.25268,1.5,3.5,2.53236e-011,0.425,0,1,12,0.5,0.1,2.85214
0.25268,1.5,3.5,2.53236e-011,0.425,0,1,12,0.5,0.1,2.85214
0.26,1.51416,3.51416,0.0141611,0.437037,0,1,12,0.5,0.1,2.91587
0.28,1.55271,3.55271,0.0527113,0.469805,0,1,12,0.5,0.1,0
0.3,1.59104,3.59104,0.0910404,0.502384,0,1,12,0.5,0.1,0
0.32,1.62913,3.62913,0.129133,0.534763,0,1.5,12,0.5,0.1,0
0.34,1.66697,3.66697,0.166974,0.566928,0,1.5,12,0.5,0.1,0
0.36,1.70455,3.70455,0.204548,0.598866,0,1.5,12,0.5,0.1,0
