"time","DoublePendulum_cc.revolute1.w","DoublePendulum_cc.revolute2.w"
0,-0.002514836,0.003341115
0.003,-0.077954342,0.10356067
0.006,-0.1533827,0.20375238
0.009,-0.22879972,0.30391562
0.012,-0.30420494,0.40404884
0.015,-0.37708464,0.500813
0.018,-0.45497597,0.60421158
0.021,-0.53033822,0.70422913
0.024,-0.60568133,0.80419182
0.027,-0.68100137,0.90408647
0.03,-0.75378414,1.0005708
0.033,-0.83155108,1.1036
0.036,-0.90676694,1.2031723
0.039,-0.98193189,1.3025825
0.042,-1.0570353,1.4017946
0.045,-1.1295651,1.4974721
0.048,-1.207006,1.599451
0.051,-1.281843,1.6977928
0.054,-1.3565575,1.7957307
0.057,-1.4311294,1.8931961
0.06,-1.5030589,1.9868924
0.063,-1.5797533,2.0863988
0.066,-1.6537538,2.1819615
0.069,-1.7275086,2.2767026
0.072,-1.8009864,2.3705156
0.075,-1.8741537,2.4632864
0.078,-1.9469748,2.5548933
0.081,-2.0194119,2.6452077
0.084,-2.0914255,2.7340939
0.087,-2.1629741,2.8214102
0.09,-2.2316554,2.9041849
0.093,-2.3045033,2.9907372
0.096,-2.3743941,3.072438
0.099,-2.4436409,3.1519505
0.102,-2.5121967,3.2291117
0.105,-2.5777664,3.3013108
0.108,-2.6470475,3.37572
0.111,-2.7132488,3.4448371
0.114,-2.7785725,3.5109446
0.117,-2.8429742,3.5738825
0.12,-2.9043118,3.6315625
0.123,-2.9667753,3.6878154
0.126,-3.0302226,3.7421412
0.129,-3.0905223,3.790893
0.132,-3.1497043,3.8357542
0.135,-3.2077369,3.8766034
0.138,-3.2645915,3.9133285
0.141,-3.3202426,3.9458275
0.144,-3.3746678,3.9740083
0.147,-3.4260954,3.9970686
0.15,-3.4797667,4.0171009
0.153,-3.5304113,4.0318818
0.156,-3.5797717,4.0420828
0.159,-3.6278406,4.0476644
0.162,-3.6746132,4.0485966
0.165,-3.7200873,4.044859
0.168,-3.7642625,4.0364396
0.171,-3.8071404,4.0233346
0.174,-3.848724,4.0055473
0.177,-3.887695,3.9839115
0.18,-3.9267459,3.9569502
0.183,-3.9657541,3.9242196
0.186,-4.0022087,3.8878569
0.189,-4.037395,3.846912
0.192,-4.0713181,3.8014162
0.195,-4.1039825,3.7514029
0.198,-4.1353917,3.6969069
0.201,-4.1655477,3.637964
0.204,-4.1944515,3.5746101
0.207,-4.2221018,3.5068811
0.21,-4.2476363,3.4372839
0.213,-4.2728112,3.361052
0.216,-4.2974927,3.277789
0.219,-4.3200786,3.1928987
0.222,-4.3413741,3.1037953
0.225,-4.3613644,3.0105059
0.228,-4.380032,2.913055
0.231,-4.3973569,2.811465
0.234,-4.413316,2.7057556
0.237,-4.4278835,2.5959439
0.24,-4.4406159,2.4859069
0.243,-4.4523608,2.3680674
0.246,-4.4626213,2.2461612
0.249,-4.4716252,2.1159262
0.252,-4.478751,1.985769
0.255,-4.4842725,1.8515575
0.258,-4.4881452,1.7132909
0.261,-4.4903217,1.5709656
0.264,-4.4907528,1.4245759
0.267,-4.4893868,1.2741136
0.27,-4.4861699,1.1195681
0.273,-4.4810465,0.96092665
0.276,-4.4739595,0.79817427
0.279,-4.4648498,0.63129377
0.282,-4.4536573,0.46026585
0.285,-4.4403206,0.28506909
0.288,-4.4247774,0.10568006
0.291,-4.4075958,-0.071738242
0.294,-4.3875294,-0.25944813
0.297,-4.3650691,-0.45143132
0.3,-4.3392779,-0.65433611
0.303,-4.3117556,-0.85510527
0.306,-4.2816499,-1.0602461
0.309,-4.2489003,-1.2697936
0.312,-4.2134485,-1.4837835
0.315,-4.1752382,-1.702252
0.318,-4.134216,-1.9252348
0.321,-4.0903322,-2.1527667
0.324,-4.0435412,-2.3848804
0.327,-3.9938021,-2.6216054
0.33,-3.9410805,-2.8629661
0.333,-3.8853486,-3.1089804
0.336,-3.826587,-3.3596568
0.339,-3.764786,-3.6149913
0.342,-3.6999472,-3.8749642
0.345,-3.6320858,-4.1395348
0.348,-3.5612324,-4.4086363
0.351,-3.4874363,-4.6821691
0.354,-3.4133692,-4.9506641
0.357,-3.3340159,-5.2324524
0.36,-3.2520079,-5.5180942
0.363,-3.1675044,-5.8072615
0.366,-3.0777749,-6.1093248
0.369,-2.9888625,-6.4042497
0.372,-2.8982119,-6.7010665
0.375,-2.8061878,-6.9989558
0.378,-2.7132257,-7.2969185
0.381,-2.619841,-7.5937493
0.384,-2.5266377,-7.8880103
0.387,-2.4343158,-8.1780059
0.39,-2.3436781,-8.4617626
0.393,-2.2556331,-8.7370157
0.396,-2.1711937,-9.0012079
0.399,-2.0914705,-9.2515044
0.402,-2.0176564,-9.4848289
0.405,-1.9510035,-9.6979246
0.408,-1.8927887,-9.8874434
0.411,-1.8442708,-10.050062
0.414,-1.8066389,-10.182624
0.417,-1.7816093,-10.279524
0.42,-1.7683149,-10.345139
0.423,-1.7684767,-10.373799
0.426,-1.7824753,-10.364461
0.429,-1.8103935,-10.316875
0.432,-1.8536303,-10.228116
0.435,-1.9088716,-10.105276
