"Time","FMU_Interface_OUT2_Primary Speed - Primary Speed","FMU_Interface_OUT0_Primary Angle - Primary Angle","FMU_Interface_OUT4_Primary Acceleration - Primary Acceleration","FMU_Interface_OUT6_Primary Torque - Primary Torque"
0,0,0,0,0
0,0,0,0,0
0.01,0,0,0,0
0.02,0,0,0,0
0.03,0,0,0,0
0.04,0,0,0,0
0.05,0,0,0,0
0.06,0,0,0,0
0.07,0,0,0,0
0.08,0,0,0,0
0.09,0,0,0,0
0.1,0,0,0,0
0.11,24.42,0.730403,255.982,10
0.12,48.8644,2.92747,255.982,10
0.13,73.3089,6.5912,255.982,10
0.14,97.7533,11.7216,255.982,10
0.15,122.198,18.3187,255.982,10
0.16,146.642,26.3824,255.982,10
0.17,171.087,35.9128,255.982,10
0.18,195.531,46.9099,255.982,10
0.19,219.976,59.3736,255.982,10
0.2,244.42,73.304,255.982,10
0.21,268.864,88.7011,255.982,10
0.22,293.309,105.565,255.982,10
0.23,317.753,123.895,255.982,10
0.24,342.198,143.692,255.982,10
0.25,366.642,164.956,255.982,10
0.26,391.087,187.686,255.982,10
0.27,415.531,211.883,255.982,10
0.28,439.976,237.547,255.982,10
0.29,464.42,264.678,255.982,10
0.3,488.864,293.275,255.982,10
0.31,513.309,323.338,255.982,10
0.32,537.753,354.869,255.982,10
0.33,562.198,387.866,255.982,10
0.34,586.642,422.33,255.982,10
0.35,611.087,458.26,255.982,10
0.36,635.531,495.657,255.982,10
0.37,659.976,534.521,255.982,10
0.38,684.42,574.851,255.982,10
0.39,708.864,616.648,255.982,10
0.4,733.309,659.912,255.982,10
0.41,757.753,704.642,255.982,10
0.42,782.198,750.839,255.982,10
0.43,806.642,798.503,255.982,10
0.44,831.087,847.634,255.982,10
0.45,855.531,898.231,255.982,10
0.46,879.976,950.294,255.982,10
0.47,904.42,1003.82,255.982,10
0.48,928.864,1058.82,255.982,10
0.49,953.309,1115.29,255.982,10
0.5,977.753,1173.22,255.982,10
0.51,1002.2,1232.61,255.982,10
0.52,1026.64,1293.48,255.982,10
0.53,1051.09,1355.81,255.982,10
0.54,1075.53,1419.6,255.982,10
0.55,1099.98,1484.87,255.982,10
0.56,1124.42,1551.6,255.982,10
0.57,1148.86,1619.8,255.982,10
0.58,1173.31,1689.46,255.982,10
0.59,1197.75,1760.59,255.982,10
0.6,1222.2,1833.19,255.982,10
0.61,1246.64,1907.25,255.982,10
0.62,1271.09,1982.78,255.982,10
0.63,1295.53,2059.78,255.982,10
0.64,1319.98,2138.24,255.982,10
0.65,1344.42,2218.17,255.982,10
0.66,1368.86,2299.57,255.982,10
0.67,1393.31,2382.43,255.982,10
0.68,1417.75,2466.76,255.982,10
0.69,1442.2,2552.56,255.982,10
0.7,1466.64,2639.82,255.982,10
0.71,1491.09,2728.55,255.982,10
0.72,1515.53,2818.75,255.982,10
0.73,1539.98,2910.42,255.982,10
0.74,1564.42,3003.55,255.982,10
0.75,1588.86,3098.14,255.982,10
0.76,1613.31,3194.21,255.982,10
0.77,1637.75,3291.74,255.982,10
0.78,1662.2,3390.73,255.982,10
0.79,1686.64,3491.2,255.982,10
0.8,1711.09,3593.13,255.982,10
0.81,1735.53,3696.53,255.982,10
0.82,1759.98,3801.39,255.982,10
0.83,1784.42,3907.72,255.982,10
0.84,1808.86,4015.52,255.982,10
0.85,1833.31,4124.78,255.982,10
0.86,1857.75,4235.51,255.982,10
0.87,1882.2,4347.71,255.982,10
0.88,1906.64,4461.37,255.982,10
0.89,1931.09,4576.5,255.982,10
0.9,1955.53,4693.1,255.982,10
0.91,1979.98,4811.16,255.982,10
0.92,2004.42,4930.69,255.982,10
0.93,2028.86,5051.69,255.982,10
0.94,2053.31,5174.15,255.982,10
0.95,2077.75,5298.08,255.982,10
0.96,2102.2,5423.48,255.982,10
0.97,2126.64,5550.34,255.982,10
0.98,2151.09,5678.68,255.982,10
0.99,2175.53,5808.47,255.982,10
1,2199.98,5939.74,255.982,10
1.01,2200,6071.74,0,-10
1.02,2200,6203.74,0,-10
1.03,2200,6335.74,0,-10
1.04,2200,6467.74,0,-10
1.05,2200,6599.74,2.84217e-09,-10
1.06,2200,6731.74,2.84217e-09,9.99999
1.07,2200,6863.74,7.91007e-16,-9.99999
1.08,2200,6995.74,-2.84217e-09,-10
1.09,2200,7127.74,-2.84217e-09,-10
1.1,2200,7259.74,-8.47805e-16,-10
1.11,2200,7391.74,-8.66737e-16,-10
1.12,2200,7523.74,0,-10
1.13,2200,7655.74,0,-10
1.14,2200,7787.74,0,-10
1.15,2200,7919.74,0,-10
1.16,2200,8051.74,2.84217e-09,-10
1.17,2200,8183.74,2.84217e-09,-10
1.18,2200,8315.74,9.99266e-16,-10
1.19,2200,8447.74,0,-10
1.2,2200,8579.74,-2.84217e-09,-10
1.21,2200,8711.74,-1.05606e-15,-10
1.22,2200,8843.74,-1.075e-15,-10
1.23,2200,8975.74,0,-10
1.24,2200,9107.74,0,9.99999
1.25,2200,9239.74,0,9.99999
1.26,2200,9371.74,0,-10
1.27,2200,9503.74,2.84217e-09,-10
1.28,2200,9635.74,2.84217e-09,-10
1.29,2200,9767.74,1.20753e-15,-10
1.3,2200,9899.74,1.22646e-15,-9.99999
1.31,2200,10031.7,-2.84217e-09,-9.99999
1.32,2200,10163.7,-2.84217e-09,-10
1.33,2200,10295.7,-1.28326e-15,-10
1.34,2200,10427.7,0,-10
1.35,2200,10559.7,0,-10
1.36,2200,10691.7,0,-10
1.37,2200,10823.7,0,-10
1.38,2200,10955.7,2.84217e-09,-10
1.39,2200,11087.7,2.84217e-09,-10
1.4,2200,11219.7,1.41578e-15,-10
1.41,2200,11351.7,1.43472e-15,-10
