"time",	"outputs[1]",	"outputs[2]"
0,	25,	20
0.001,	25,	20.01
0.002,	25,	20.02
0.003,	25,	20.02999
0.004,	25,	20.03999
0.005,	25,	20.04998
0.006,	25,	20.05997
0.007,	25,	20.06997
0.008,	25,	20.07995
0.009,	25,	20.08994
0.01,	25,	20.09993
0.011,	25,	20.10992
0.012,	25,	20.1199
0.013,	25,	20.12988
0.014,	25,	20.13986
0.015,	25,	20.14984
0.016,	25,	20.15982
0.017,	25,	20.1698
0.018,	25,	20.17977
0.019,	25,	20.18975
0.02,	25,	20.19972
0.021,	25,	20.20969
0.022,	25,	20.21966
0.023,	25,	20.22963
0.024,	25,	20.2396
0.025,	25,	20.24957
0.026,	25,	20.25953
0.027,	25,	20.26949
0.028,	25,	20.27946
0.029,	25,	20.28942
0.03,	25,	20.29937
0.031,	25,	20.30933
0.032,	25,	20.31929
0.033,	25,	20.32924
0.034,	25,	20.3392
0.035,	25,	20.34915
0.036,	25,	20.3591
0.037,	25,	20.36905
0.038,	25,	20.379
0.039,	25,	20.38894
0.04,	25,	20.39889
0.041,	25,	20.40883
0.042,	25,	20.41877
0.043,	25,	20.42871
0.044,	25,	20.43866
0.045,	25,	20.44859
0.046,	25,	20.45853
0.047,	25,	20.46847
0.048,	25,	20.4784
0.049,	25,	20.48833
0.05,	25,	20.49826
0.051,	25,	20.50819
0.052,	25,	20.51812
0.053,	25,	20.52805
0.054,	25,	20.53798
0.055,	25,	20.5479
0.056,	25,	20.55782
0.057,	25,	20.56774
0.058,	25,	20.57767
0.059,	25,	20.58758
0.06,	25,	20.5975
0.061,	25,	20.60742
0.062,	25,	20.61733
0.063,	25,	20.62724
0.064,	25,	20.63716
0.065,	25,	20.64707
0.066,	25,	20.65698
0.067,	25,	20.66689
0.068,	25,	20.67679
0.069,	25,	20.6867
0.07,	25,	20.6966
0.071,	25,	20.7065
0.072,	25,	20.7164
0.073,	25,	20.7263
0.074,	25,	20.7362
0.075,	25,	20.7461
0.076,	25,	20.75599
0.077,	25,	20.76589
0.078,	25,	20.77578
0.079,	25,	20.78567
0.08,	25,	20.79556
0.081,	25,	20.80545
0.082,	25,	20.81534
0.083,	25,	20.82522
0.084,	25,	20.83511
0.085,	25,	20.84499
0.086,	25,	20.85487
0.087,	25,	20.86475
0.088,	25,	20.87463
0.089,	25,	20.88451
0.09,	25,	20.89439
0.091,	25,	20.90426
0.092,	25,	20.91414
0.093,	25,	20.92401
0.094,	25,	20.93388
0.095,	25,	20.94375
0.096,	25,	20.95362
0.097,	25,	20.96348
0.098,	25,	20.97335
0.099,	25,	20.98321
0.1,	25,	20.99307
0.101,	25,	21.00294
0.102,	25,	21.01279
0.103,	25,	21.02265
0.104,	25,	21.03251
0.105,	25,	21.04237
0.106,	25,	21.05222
0.107,	25,	21.06207
0.108,	25,	21.07193
0.109,	25,	21.08178
0.11,	25,	21.09163
0.111,	25,	21.10147
0.112,	25,	21.11132
0.113,	25,	21.12116
0.114,	25,	21.13101
0.115,	25,	21.14085
0.116,	25,	21.15069
0.117,	25,	21.16053
0.118,	25,	21.17037
0.119,	25,	21.1802
0.12,	25,	21.19004
0.121,	25,	21.19987
0.122,	25,	21.20971
0.123,	25,	21.21954
0.124,	25,	21.22937
0.125,	25,	21.23919
0.126,	25,	21.24902
0.127,	25,	21.25885
0.128,	25,	21.26867
0.129,	25,	21.27849
0.13,	25,	21.28831
0.131,	25,	21.29814
0.132,	25,	21.30795
0.133,	25,	21.31777
0.134,	25,	21.32759
0.135,	25,	21.3374
0.136,	25,	21.34722
0.137,	25,	21.35703
0.138,	25,	21.36684
0.139,	25,	21.37665
0.14,	25,	21.38646
0.141,	25,	21.39626
0.142,	25,	21.40607
0.143,	25,	21.41587
0.144,	25,	21.42567
0.145,	25,	21.43547
0.146,	25,	21.44527
0.147,	25,	21.45507
0.148,	25,	21.46487
0.149,	25,	21.47467
0.15,	25,	21.48446
0.151,	25,	21.49425
0.152,	25,	21.50405
0.153,	25,	21.51384
0.154,	25,	21.52362
0.155,	25,	21.53341
0.156,	25,	21.5432
0.157,	25,	21.55298
0.158,	25,	21.56277
0.159,	25,	21.57255
0.16,	25,	21.58233
0.161,	25,	21.59211
0.162,	25,	21.60189
0.163,	25,	21.61166
0.164,	25,	21.62144
0.165,	25,	21.63121
0.166,	25,	21.64099
0.167,	25,	21.65076
0.168,	25,	21.66053
0.169,	25,	21.6703
0.17,	25,	21.68006
0.171,	25,	21.68983
0.172,	25,	21.69959
0.173,	25,	21.70936
0.174,	25,	21.71912
0.175,	25,	21.72888
0.176,	25,	21.73864
0.177,	25,	21.7484
0.178,	25,	21.75815
0.179,	25,	21.76791
0.18,	25,	21.77766
0.181,	25,	21.78741
0.182,	25,	21.79716
0.183,	25,	21.80691
0.184,	25,	21.81666
0.185,	25,	21.82641
0.186,	25,	21.83615
0.187,	25,	21.8459
0.188,	25,	21.85564
0.189,	25,	21.86538
0.19,	25,	21.87512
0.191,	25,	21.88486
0.192,	25,	21.8946
0.193,	25,	21.90433
0.194,	25,	21.91407
0.195,	25,	21.9238
0.196,	25,	21.93353
0.197,	25,	21.94327
0.198,	25,	21.953
0.199,	25,	21.96272
0.2,	25,	21.97245
0.201,	25,	21.98218
0.202,	25,	21.9919
0.203,	25,	22.00162
0.204,	25,	22.01134
0.205,	25,	22.02106
0.206,	25,	22.03078
0.207,	25,	22.0405
0.208,	25,	22.05021
0.209,	25,	22.05993
0.21,	25,	22.06964
0.211,	25,	22.07935
0.212,	25,	22.08906
0.213,	25,	22.09877
0.214,	25,	22.10848
0.215,	25,	22.11819
0.216,	25,	22.12789
0.217,	25,	22.1376
0.218,	25,	22.1473
0.219,	25,	22.157
0.22,	25,	22.1667
0.221,	25,	22.1764
0.222,	25,	22.18609
0.223,	25,	22.19579
0.224,	25,	22.20548
0.225,	25,	22.21518
0.226,	25,	22.22487
0.227,	25,	22.23456
0.228,	25,	22.24425
0.229,	25,	22.25394
0.23,	25,	22.26362
0.231,	25,	22.27331
0.232,	25,	22.28299
0.233,	25,	22.29267
0.234,	25,	22.30235
0.235,	25,	22.31203
0.236,	25,	22.32171
0.237,	25,	22.33139
0.238,	25,	22.34106
0.239,	25,	22.35074
0.24,	25,	22.36041
0.241,	25,	22.37008
0.242,	25,	22.37975
0.243,	25,	22.38942
0.244,	25,	22.39909
0.245,	25,	22.40876
0.246,	25,	22.41842
0.247,	25,	22.42809
0.248,	25,	22.43775
0.249,	25,	22.44741
0.25,	25,	22.45707
0.251,	25,	22.46673
0.252,	25,	22.47638
0.253,	25,	22.48604
0.254,	25,	22.49569
0.255,	25,	22.50534
0.256,	25,	22.515
0.257,	25,	22.52465
0.258,	25,	22.53429
0.259,	25,	22.54394
0.26,	25,	22.55359
0.261,	25,	22.56323
0.262,	25,	22.57288
0.263,	25,	22.58252
0.264,	25,	22.59216
0.265,	25,	22.6018
0.266,	25,	22.61144
0.267,	25,	22.62107
0.268,	25,	22.63071
0.269,	25,	22.64034
0.27,	25,	22.64998
0.271,	25,	22.65961
0.272,	25,	22.66924
0.273,	25,	22.67887
0.274,	25,	22.6885
0.275,	25,	22.69812
0.276,	25,	22.70775
0.277,	25,	22.71737
0.278,	25,	22.72699
0.279,	25,	22.73661
0.28,	25,	22.74623
0.281,	25,	22.75585
0.282,	25,	22.76547
0.283,	25,	22.77508
0.284,	25,	22.7847
0.285,	25,	22.79431
0.286,	25,	22.80392
0.287,	25,	22.81353
0.288,	25,	22.82314
0.289,	25,	22.83275
0.29,	25,	22.84235
0.291,	25,	22.85196
0.292,	25,	22.86156
0.293,	25,	22.87116
0.294,	25,	22.88077
0.295,	25,	22.89036
0.296,	25,	22.89996
0.297,	25,	22.90956
0.298,	25,	22.91916
0.299,	25,	22.92875
0.3,	25,	22.93834
0.301,	25,	22.94793
0.302,	25,	22.95752
0.303,	25,	22.96711
0.304,	25,	22.9767
0.305,	25,	22.98629
0.306,	25,	22.99587
0.307,	25,	23.00546
0.308,	25,	23.01504
0.309,	25,	23.02462
0.31,	25,	23.0342
0.311,	25,	23.04378
0.312,	25,	23.05335
0.313,	25,	23.06293
0.314,	25,	23.0725
0.315,	25,	23.08208
0.316,	25,	23.09165
0.317,	25,	23.10122
0.318,	25,	23.11079
0.319,	25,	23.12036
0.32,	25,	23.12992
0.321,	25,	23.13949
0.322,	25,	23.14905
0.323,	25,	23.15861
0.324,	25,	23.16817
0.325,	25,	23.17773
0.326,	25,	23.18729
0.327,	25,	23.19685
0.328,	25,	23.20641
0.329,	25,	23.21596
0.33,	25,	23.22551
0.331,	25,	23.23506
0.332,	25,	23.24462
0.333,	25,	23.25416
0.334,	25,	23.26371
0.335,	25,	23.27326
0.336,	25,	23.2828
0.337,	25,	23.29235
0.338,	25,	23.30189
0.339,	25,	23.31143
0.34,	25,	23.32097
0.341,	25,	23.33051
0.342,	25,	23.34005
0.343,	25,	23.34958
0.344,	25,	23.35912
0.345,	25,	23.36865
0.346,	25,	23.37818
