"time","fdrag","fk1","fk2","x","y1","y2","y3"
0,0,0,0,0,0,0,0
0.5,31592.2,33255.3,40790.9,30.0388,10.4174,2.51379,1.3249
1,72994.1,42108.9,76621.3,55.5188,29.2346,11.2049,8.97169
1.5,48070.6,15985.8,36464,73.4166,44.614,21.0115,19.9488
2,17779.9,7214.8,13039.5,87.5669,57.3964,28.1136,27.7335
2.5,25629.3,11076.2,24862.9,100.035,68.9453,33.575,32.8504
3,21012.3,8879.98,20192,110.032,78.3418,38.4513,37.8628
3.5,14684.3,5792.83,13790.1,117.99,85.8892,42.4752,42.0732
4,9528.9,3767.19,8884.23,124.566,92.1625,45.776,45.517
4.5,7345.66,2991.22,6909.82,130.237,97.5951,48.5552,48.3538
5,6117.22,2524.61,5794.39,135.199,102.365,50.978,50.8091
5.5,5033.35,2046.97,4739.52,139.567,106.574,53.1212,52.9831
6,4175.42,1712.03,3942.33,143.449,110.322,55.0223,54.9074
6.5,3523.8,1438.41,3321.9,146.924,113.684,56.7253,56.6285
7,2996.47,1227.03,2828.48,150.057,116.719,58.2599,58.1775
7.5,2565.4,1047.91,2419.85,152.899,119.474,59.6523,59.5818
8,2209.62,903.571,2085.13,155.491,121.991,60.9221,60.8614
8.5,1917.44,783.789,1809.29,157.868,124.3,62.0866,62.0338
9,1673.95,684.143,1579.38,160.058,126.43,63.1594,63.1134
9.5,1471.97,601.321,1388.2,162.084,128.402,64.1522,64.1117
10,1309.01,535.173,1234.64,163.967,130.235,65.0742,65.0382
10.5,1171.68,479.703,1106.18,165.722,131.945,65.9337,65.9014
11,1050.75,428.961,991.255,167.362,133.544,66.7374,66.7085
11.5,945.779,387.049,892.99,168.9,135.044,67.4907,67.4647
12,854.539,349.124,806.421,170.346,136.454,68.1989,68.1754
12.5,774.167,316.472,730.676,171.707,137.784,68.8662,68.8449
13,703.996,287.816,664.495,172.994,139.039,69.4964,69.477
13.5,641.929,262.266,605.781,174.211,140.228,70.093,70.0753
14,587.113,240.024,554.181,175.365,141.356,70.6588,70.6426
14.5,538.536,220.056,508.26,176.462,142.429,71.1965,71.1816
15,495.227,202.382,467.404,177.507,143.449,71.7083,71.6947
15.5,456.631,186.624,430.998,178.502,144.423,72.1965,72.1839
16,422.036,172.438,398.313,179.454,145.353,72.6628,72.6512
16.5,390.971,159.778,369.024,180.363,146.244,73.1088,73.0981
17,366.369,149.219,345.671,181.235,147.096,73.536,73.5259
17.5,344.644,141.412,325.897,182.07,147.914,73.9456,73.9361
18,324.232,132.137,305.807,182.872,148.699,74.3387,74.3298
18.5,304.917,124.82,287.938,183.642,149.453,74.7163,74.7079
19,287.311,117.413,271.188,184.382,150.178,75.0793,75.0714
19.5,270.537,110.442,255.266,185.094,150.875,75.4285,75.4211
20,255.123,104.404,240.938,185.78,151.546,75.7647,75.7577
20.5,240.724,98.2405,227.135,186.44,152.193,76.0887,76.0821
21,227.238,92.8801,214.508,187.077,152.817,76.4012,76.3949
21.5,214.799,87.7745,202.759,187.692,153.42,76.7027,76.6968
