"time",	"outputs[1]",	"outputs[2]"
0,	25,	20
0.0005,	25,	20.005
0.001,	25,	20.01
0.0015,	25,	20.015
0.002,	25,	20.02
0.0025,	25,	20.025
0.003,	25,	20.02999
0.0035,	25,	20.03499
0.004,	25,	20.03999
0.0045,	25,	20.04499
0.005,	25,	20.04998
0.0055,	25,	20.05498
0.006,	25,	20.05997
0.0065,	25,	20.06497
0.007,	25,	20.06997
0.0075,	25,	20.07496
0.008,	25,	20.07995
0.0085,	25,	20.08495
0.009,	25,	20.08994
0.0095,	25,	20.09494
0.01,	25,	20.09993
0.0105,	25,	20.10492
0.011,	25,	20.10992
0.0115,	25,	20.11491
0.012,	25,	20.1199
0.0125,	25,	20.12489
0.013,	25,	20.12988
0.0135,	25,	20.13487
0.014,	25,	20.13986
0.0145,	25,	20.14485
0.015,	25,	20.14984
0.0155,	25,	20.15483
0.016,	25,	20.15982
0.0165,	25,	20.16481
0.017,	25,	20.1698
0.0175,	25,	20.17479
0.018,	25,	20.17977
0.0185,	25,	20.18476
0.019,	25,	20.18975
0.0195,	25,	20.19473
0.02,	25,	20.19972
0.0205,	25,	20.20471
0.021,	25,	20.20969
0.0215,	25,	20.21468
0.022,	25,	20.21966
0.0225,	25,	20.22465
0.023,	25,	20.22963
0.0235,	25,	20.23462
0.024,	25,	20.2396
0.0245,	25,	20.24458
0.025,	25,	20.24957
0.0255,	25,	20.25455
0.026,	25,	20.25953
0.0265,	25,	20.26451
0.027,	25,	20.26949
0.0275,	25,	20.27447
0.028,	25,	20.27946
0.0285,	25,	20.28444
0.029,	25,	20.28942
0.0295,	25,	20.2944
0.03,	25,	20.29937
0.0305,	25,	20.30435
0.031,	25,	20.30933
0.0315,	25,	20.31431
0.032,	25,	20.31929
0.0325,	25,	20.32426
0.033,	25,	20.32924
0.0335,	25,	20.33422
0.034,	25,	20.3392
0.0345,	25,	20.34417
0.035,	25,	20.34915
0.0355,	25,	20.35412
0.036,	25,	20.3591
0.0365,	25,	20.36407
0.037,	25,	20.36905
0.0375,	25,	20.37402
0.038,	25,	20.379
0.0385,	25,	20.38397
0.039,	25,	20.38894
0.0395,	25,	20.39392
0.04,	25,	20.39889
0.0405,	25,	20.40386
0.041,	25,	20.40883
0.0415,	25,	20.4138
0.042,	25,	20.41877
0.0425,	25,	20.42374
0.043,	25,	20.42871
0.0435,	25,	20.43369
0.044,	25,	20.43866
0.0445,	25,	20.44362
0.045,	25,	20.44859
0.0455,	25,	20.45356
0.046,	25,	20.45853
0.0465,	25,	20.4635
0.047,	25,	20.46847
0.0475,	25,	20.47343
0.048,	25,	20.4784
0.0485,	25,	20.48337
0.049,	25,	20.48833
0.0495,	25,	20.4933
0.05,	25,	20.49826
0.0505,	25,	20.50323
0.051,	25,	20.50819
0.0515,	25,	20.51316
0.052,	25,	20.51812
0.0525,	25,	20.52309
0.053,	25,	20.52805
0.0535,	25,	20.53301
0.054,	25,	20.53798
0.0545,	25,	20.54294
0.055,	25,	20.5479
