"Time","SignalOutput1 - SignalOutput1"
0,100000
0,100000
0.01,100000
0.02,102534
0.03,105083
0.04,107621
0.05,110151
0.06,112672
0.07,115188
0.08,117697
0.09,120202
0.1,122704
0.11,125202
0.12,127697
0.13,130190
0.14,132682
0.15,135172
0.16,137662
0.17,140151
0.18,142639
0.19,145128
0.2,147616
0.21,150105
0.22,152594
0.23,155084
0.24,157575
0.25,160066
0.26,162558
0.27,165052
0.28,167546
0.29,170042
0.3,172538
0.31,175036
0.32,177536
0.33,180037
0.34,182539
0.35,185042
0.36,187548
0.37,190054
0.38,192562
0.39,195072
0.4,197583
0.41,200096
0.42,202610
0.43,205126
0.44,207644
0.45,210163
0.46,212683
0.47,215205
0.48,217728
0.49,220252
0.5,222778
0.51,225305
0.52,227834
0.53,230363
0.54,232893
0.55,235425
0.56,237957
0.57,240491
0.58,243025
0.59,245560
0.6,248096
0.61,250633
0.62,253171
0.63,255709
0.64,258247
0.65,260786
0.66,263326
0.67,265866
0.68,268406
0.69,270947
0.7,273488
0.71,276029
0.72,278570
0.73,281111
0.74,283653
0.75,286194
0.76,288735
0.77,291275
0.78,293816
0.79,296356
0.8,298896
0.81,301436
0.82,303975
0.83,306513
0.84,309051
0.85,311588
0.86,314124
0.87,316660
0.88,319194
0.89,321728
0.9,324261
0.91,326793
0.92,329323
0.93,331853
0.94,334381
0.95,336908
0.96,339433
0.97,341957
0.98,344480
0.99,347001
1,349520
1.01,352037
1.02,354553
1.03,357067
1.04,359579
1.05,362090
1.06,364598
1.07,367104
1.08,369608
1.09,372110
1.1,374609
1.11,377106
1.12,379601
1.13,382093
1.14,384583
1.15,387070
1.16,389554
1.17,392036
1.18,394515
1.19,396991
1.2,399464
1.21,401934
1.22,404401
1.23,406865
1.24,409325
1.25,411783
1.26,414237
1.27,416687
1.28,419135
1.29,421578
1.3,424019
1.31,426455
1.32,428888
1.33,431317
1.34,433742
1.35,436163
1.36,438581
1.37,440994
1.38,443403
1.39,445808
1.4,448209
1.41,450605
1.42,452997
1.43,455385
1.44,457768
1.45,460147
1.46,462521
1.47,464890
1.48,467255
1.49,469615
1.5,471970
1.51,474320
1.52,476665
1.53,479005
1.54,481340
1.55,483669
1.56,485994
1.57,488313
1.58,490626
1.59,492935
1.6,495237
1.61,497535
1.62,499826
1.63,502112
1.64,504392
1.65,506667
1.66,508935
1.67,511198
1.68,513454
1.69,515705
1.7,517949
1.71,520187
1.72,522419
1.73,524645
1.74,526865
1.75,529078
1.76,531284
1.77,533484
1.78,535677
1.79,537864
1.8,540044
1.81,542218
1.82,544384
1.83,546544
1.84,548696
1.85,550842
1.86,552981
1.87,555112
1.88,557237
1.89,559354
1.9,561464
1.91,563566
1.92,565662
1.93,567749
1.94,569830
1.95,571902
1.96,573968
1.97,576025
1.98,578075
1.99,580117
2,582151
2.01,584178
2.02,586196
2.03,588207
2.04,590209
2.05,592204
2.06,594190
2.07,596169
2.08,598139
2.09,600100
2.1,602054
2.11,603999
2.12,605936
2.13,607864
2.14,609784
2.15,611695
2.16,613597
2.17,615491
2.18,617377
2.19,619253
2.2,621121
2.21,622980
2.22,624830
2.23,626671
2.24,628504
2.25,630327
2.26,632141
2.27,633946
2.28,635742
2.29,637529
2.3,639307
2.31,641075
2.32,642835
2.33,644585
2.34,646325
2.35,648056
2.36,649778
2.37,651490
2.38,653193
2.39,654886
2.4,656570
2.41,658244
2.42,659908
2.43,661563
2.44,663207
2.45,664843
2.46,666468
2.47,668084
2.48,669689
2.49,671285
2.5,672871
2.51,674447
2.52,676013
2.53,677570
2.54,679116
2.55,680652
2.56,682177
2.57,683693
2.58,685199
2.59,686694
2.6,688180
2.61,689655
2.62,691120
2.63,692575
2.64,694019
2.65,695453
2.66,696877
2.67,698290
2.68,699693
2.69,701086
2.7,702468
2.71,703840
2.72,705201
2.73,706552
2.74,707893
2.75,709223
2.76,710542
2.77,711851
2.78,713149
2.79,714437
2.8,715715
2.81,716981
2.82,718238
2.83,719483
2.84,720718
2.85,721942
2.86,723156
2.87,724359
2.88,725552
2.89,726733
2.9,727904
2.91,729065
2.92,730215
2.93,731354
2.94,732482
2.95,733600
2.96,734707
2.97,735804
2.98,736889
2.99,737964
3,739029
3.01,740082
3.02,741125
3.03,742158
3.04,743179
3.05,744190
3.06,745191
3.07,746180
3.08,747160
3.09,748128
3.1,749086
3.11,750033
3.12,750969
3.13,751895
3.14,752811
3.15,753716
3.16,754610
3.17,755494
3.18,756367
3.19,757229
3.2,758081
3.21,758923
3.22,759754
3.23,760575
3.24,761385
3.25,762185
3.26,762975
3.27,763754
3.28,764523
3.29,765281
3.3,766030
3.31,766767
3.32,767495
3.33,768213
3.34,768920
3.35,769617
3.36,770304
3.37,770981
3.38,771648
3.39,772305
3.4,772952
3.41,773589
3.42,774217
3.43,774834
3.44,775441
3.45,776039
3.46,776627
3.47,777205
3.48,777774
3.49,778333
3.5,778882
3.51,779422
3.52,779953
3.53,780474
3.54,780985
3.55,781488
3.56,781981
3.57,782465
3.58,782939
3.59,783405
3.6,783862
3.61,784309
3.62,784748
3.63,785178
3.64,785599
3.65,786012
3.66,786415
3.67,786811
3.68,787197
3.69,787576
3.7,787945
3.71,788307
3.72,788660
3.73,789006
3.74,789343
3.75,789672
3.76,789993
3.77,790307
3.78,790612
3.79,790910
3.8,791201
3.81,791484
3.82,791760
3.83,792028
3.84,792289
3.85,792543
3.86,792790
3.87,793030
3.88,793264
3.89,793490
3.9,793711
3.91,793924
3.92,794131
3.93,794332
3.94,794527
3.95,794715
3.96,794898
3.97,795075
3.98,795246
3.99,795412
4,795572
4.01,795726
4.02,795875
4.03,796020
4.04,796159
4.05,796293
4.06,796422
4.07,796547
4.08,796667
4.09,796783
4.1,796894
4.11,797002
4.12,797105
4.13,797204
4.14,797299
4.15,797391
4.16,797479
4.17,797564
4.18,797645
4.19,797723
4.2,797797
4.21,797869
4.22,797938
4.23,798004
4.24,798067
4.25,798128
4.26,798186
4.27,798242
4.28,798296
4.29,798347
4.3,798396
4.31,798443
4.32,798489
4.33,798532
4.34,798574
4.35,798614
4.36,798652
4.37,798689
4.38,798724
4.39,798758
4.4,798791
4.41,798822
4.42,798853
4.43,798882
4.44,798910
4.45,798937
4.46,798963
4.47,798988
4.48,799012
4.49,799035
4.5,799058
4.51,799080
4.52,799101
4.53,799121
4.54,799141
4.55,799160
4.56,799179
4.57,799197
4.58,799214
4.59,799231
4.6,799248
4.61,799264
4.62,799279
4.63,799294
4.64,799309
4.65,799324
4.66,799337
4.67,799351
4.68,799364
4.69,799377
4.7,799390
4.71,799402
4.72,799414
4.73,799426
4.74,799437
4.75,799449
4.76,799459
4.77,799470
4.78,799481
4.79,799491
4.8,799501
4.81,799510
4.82,799520
4.83,799529
4.84,799539
4.85,799547
4.86,799556
4.87,799565
4.88,799573
4.89,799581
4.9,799589
4.91,799597
4.92,799605
4.93,799613
4.94,799620
4.95,799627
4.96,799634
4.97,799641
4.98,799648
4.99,799655
5,799662
5.01,799668
5.02,799674
5.03,799680
5.04,799686
5.05,799692
5.06,799698
5.07,799704
5.08,799710
5.09,799715
5.1,799720
5.11,799726
5.12,799731
5.13,799736
5.14,799741
5.15,799746
5.16,799751
5.17,799755
5.18,799760
5.19,799764
5.2,799769
5.21,799773
5.22,799777
5.23,799781
5.24,799786
5.25,799790
5.26,799793
5.27,799797
5.28,799801
5.29,799805
5.3,799808
5.31,799812
5.32,799816
5.33,799819
5.34,799822
5.35,799826
5.36,799829
5.37,799832
5.38,799835
5.39,799838
5.4,799841
5.41,799844
5.42,799847
5.43,799850
5.44,799853
5.45,799855
5.46,799858
5.47,799861
5.48,799863
5.49,799866
5.5,799868
5.51,799871
5.52,799873
5.53,799875
5.54,799878
5.55,799880
5.56,799882
5.57,799884
5.58,799886
5.59,799889
5.6,799891
5.61,799893
5.62,799895
5.63,799897
5.64,799898
5.65,799900
5.66,799902
5.67,799904
5.68,799906
5.69,799907
5.7,799909
5.71,799911
5.72,799912
5.73,799914
5.74,799916
5.75,799917
5.76,799919
5.77,799920
5.78,799922
5.79,799923
5.8,799924
5.81,799926
5.82,799927
5.83,799929
5.84,799930
5.85,799931
5.86,799932
5.87,799934
5.88,799935
5.89,799936
5.9,799937
5.91,799938
5.92,799939
5.93,799941
5.94,799942
5.95,799943
5.96,799944
5.97,799945
5.98,799946
5.99,799947
6,799948
6.01,799949
6.02,799950
6.03,799951
6.04,799951
6.05,799952
6.06,799953
6.07,799954
6.08,799955
6.09,799956
6.1,799956
6.11,799957
6.12,799958
6.13,799959
6.14,799960
6.15,799960
6.16,799961
6.17,799962
6.18,799962
6.19,799963
6.2,799964
6.21,799964
6.22,799965
6.23,799966
