"time","freqHz","T2","clutch1_phi_0rel","clutch1_w_0rel","clutch2_phi_0rel","clutch2_w_0rel","clutch3_phi_0rel","clutch3_w_0rel","J1_phi","J1_w"
0.045,0.2,0.4,-0.434072,-9.36897,-0.0101225,-0.44977,0,0,0.444194,9.81874
0.0465,0.2,0.4,-0.434072,-9.36897,-0.0101225,-0.44977,0,0,0.444194,9.81874
0.0465,0.2,0.4,-0.448114,-9.35389,-0.0108083,-0.464746,0,0,0.458922,9.81863
0.048,0.2,0.4,-0.448114,-9.35389,-0.0108083,-0.464746,0,0,0.458922,9.81863
0.048,0.2,0.4,-0.462133,-9.33888,-0.0115167,-0.47972,0,0,0.47365,9.8186
0.0495,0.2,0.4,-0.462133,-9.33888,-0.0115167,-0.47972,0,0,0.47365,9.8186
0.0495,0.2,0.4,-0.47613,-9.32392,-0.0122475,-0.494693,0,0,0.488378,9.81861
0.051,0.2,0.4,-0.47613,-9.32392,-0.0122475,-0.494693,0,0,0.488378,9.81861
0.051,0.2,0.4,-0.490105,-9.30898,-0.0130008,-0.509664,0,0,0.503106,9.81864
0.0525,0.2,0.4,-0.490105,-9.30898,-0.0130008,-0.509664,0,0,0.503106,9.81864
0.0525,0.2,0.4,-0.504057,-9.29402,-0.0137765,-0.524633,0,0,0.517834,9.81865
0.054,0.2,0.4,-0.504057,-9.29402,-0.0137765,-0.524633,0,0,0.517834,9.81865
0.054,0.2,0.4,-0.517987,-9.279,-0.0145747,-0.5396,0,0,0.532562,9.8186
0.0555,0.2,0.4,-0.517987,-9.279,-0.0145747,-0.5396,0,0,0.532562,9.8186
0.0555,0.2,0.4,-0.531894,-9.2639,-0.0153953,-0.554565,0,0,0.54729,9.81847
0.057,0.2,0.4,-0.531894,-9.2639,-0.0153953,-0.554565,0,0,0.54729,9.81847
0.057,0.2,0.4,-0.545779,-9.24869,-0.0162384,-0.569529,0,0,0.562017,9.81822
0.0585,0.2,0.4,-0.545779,-9.24869,-0.0162384,-0.569529,0,0,0.562017,9.81822
0.0585,0.2,0.4,-0.55964,-9.23332,-0.0171039,-0.58449,0,0,0.576744,9.81781
0.06,0.2,0.4,-0.55964,-9.23332,-0.0171039,-0.58449,0,0,0.576744,9.81781
0.06,0.2,0.4,-0.573479,-9.21777,-0.0179918,-0.599449,0,0,0.59147,9.81722
0.0615,0.2,0.4,-0.573479,-9.21777,-0.0179918,-0.599449,0,0,0.59147,9.81722
0.0615,0.2,0.4,-0.587294,-9.20201,-0.0189022,-0.614407,0,0,0.606196,9.81642
0.063,0.2,0.4,-0.587294,-9.20201,-0.0189022,-0.614407,0,0,0.606196,9.81642
0.063,0.2,0.4,-0.601085,-9.186,-0.019835,-0.629362,0,0,0.62092,9.81536
0.0645,0.2,0.4,-0.601085,-9.186,-0.019835,-0.629362,0,0,0.62092,9.81536
0.0645,0.2,0.4,-0.614851,-9.16972,-0.0207903,-0.644315,0,0,0.635642,9.81403
0.066,0.2,0.4,-0.614851,-9.16972,-0.0207903,-0.644315,0,0,0.635642,9.81403
0.066,0.2,0.4,-0.628594,-9.15312,-0.021768,-0.659265,0,0,0.650362,9.81239
0.0675,0.2,0.4,-0.628594,-9.15312,-0.021768,-0.659265,0,0,0.650362,9.81239
0.0675,0.2,0.4,-0.642311,-9.1362,-0.0227681,-0.674213,0,0,0.665079,9.81041
0.069,0.2,0.4,-0.642311,-9.1362,-0.0227681,-0.674213,0,0,0.665079,9.81041
0.069,0.2,0.4,-0.656002,-9.11891,-0.0237906,-0.689159,0,0,0.679793,9.80807
0.0705,0.2,0.4,-0.656002,-9.11891,-0.0237906,-0.689159,0,0,0.679793,9.80807
0.0705,0.2,0.4,-0.669667,-9.10122,-0.0248356,-0.704103,0,0,0.694503,9.80533
0.072,0.2,0.4,-0.669667,-9.10122,-0.0248356,-0.704103,0,0,0.694503,9.80533
0.072,0.2,0.4,-0.683305,-9.08312,-0.0259029,-0.719044,0,0,0.709208,9.80216
0.0735,0.2,0.4,-0.683305,-9.08312,-0.0259029,-0.719044,0,0,0.709208,9.80216
0.0735,0.2,0.4,-0.696916,-9.06457,-0.0269927,-0.733982,0,0,0.723909,9.79855
0.075,0.2,0.4,-0.696916,-9.06457,-0.0269927,-0.733982,0,0,0.723909,9.79855
0.075,0.2,0.4,-0.710499,-9.04555,-0.0281049,-0.748918,0,0,0.738604,9.79447
0.0765,0.2,0.4,-0.710499,-9.04555,-0.0281049,-0.748918,0,0,0.738604,9.79447
0.0765,0.2,0.4,-0.724053,-9.02604,-0.0292395,-0.763851,0,0,0.753292,9.78989
0.078,0.2,0.4,-0.724053,-9.02604,-0.0292395,-0.763851,0,0,0.753292,9.78989
0.078,0.2,0.4,-0.737577,-9.00601,-0.0303964,-0.778782,0,0,0.767973,9.78479
0.0795,0.2,0.4,-0.737577,-9.00601,-0.0303964,-0.778782,0,0,0.767973,9.78479
0.0795,0.2,0.4,-0.75107,-8.98544,-0.0315758,-0.79371,0,0,0.782646,9.77915
0.081,0.2,0.4,-0.75107,-8.98544,-0.0315758,-0.79371,0,0,0.782646,9.77915
0.081,0.2,0.4,-0.764533,-8.96431,-0.0327776,-0.808635,0,0,0.79731,9.77294
0.0825,0.2,0.4,-0.764533,-8.96431,-0.0327776,-0.808635,0,0,0.79731,9.77294
0.0825,0.2,0.4,-0.777963,-8.9426,-0.0340017,-0.823557,0,0,0.811965,9.76616
0.084,0.2,0.4,-0.777963,-8.9426,-0.0340017,-0.823557,0,0,0.811965,9.76616
0.084,0.2,0.4,-0.79136,-8.92029,-0.0352482,-0.838476,0,0,0.826608,9.75877
0.0855,0.2,0.4,-0.79136,-8.92029,-0.0352482,-0.838476,0,0,0.826608,9.75877
0.0855,0.2,0.4,-0.804724,-8.89738,-0.0365171,-0.853392,0,0,0.841241,9.75077
0.087,0.2,0.4,-0.804724,-8.89738,-0.0365171,-0.853392,0,0,0.841241,9.75077
0.087,0.2,0.4,-0.818052,-8.87383,-0.0378084,-0.868306,0,0,0.85586,9.74213
0.0885,0.2,0.4,-0.818052,-8.87383,-0.0378084,-0.868306,0,0,0.85586,9.74213
0.0885,0.2,0.4,-0.831345,-8.84964,-0.039122,-0.883216,0,0,0.870467,9.73285
0.09,0.2,0.4,-0.831345,-8.84964,-0.039122,-0.883216,0,0,0.870467,9.73285
0.09,0.2,0.4,-0.844601,-8.82479,-0.040458,-0.898123,0,0,0.885059,9.72292
0.0915,0.2,0.4,-0.844601,-8.82479,-0.040458,-0.898123,0,0,0.885059,9.72292
0.0915,0.2,0.4,-0.857819,-8.79928,-0.0418164,-0.913027,0,0,0.899635,9.71231
0.093,0.2,0.4,-0.857819,-8.79928,-0.0418164,-0.913027,0,0,0.899635,9.71231
0.093,0.2,0.4,-0.870998,-8.7731,-0.0431971,-0.927927,0,0,0.914195,9.70103
0.0945,0.2,0.4,-0.870998,-8.7731,-0.0431971,-0.927927,0,0,0.914195,9.70103
0.0945,0.2,0.4,-0.884138,-8.74623,-0.0446002,-0.942825,0,0,0.928738,9.68905
0.096,0.2,0.4,-0.884138,-8.74623,-0.0446002,-0.942825,0,0,0.928738,9.68905
0.096,0.2,0.4,-0.897237,-8.71867,-0.0460256,-0.957719,0,0,0.943262,9.67639
0.0975,0.2,0.4,-0.897237,-8.71867,-0.0460256,-0.957719,0,0,0.943262,9.67639
0.0975,0.2,0.4,-0.910293,-8.69042,-0.0474733,-0.97261,0,0,0.957767,9.66303
0.099,0.2,0.4,-0.910293,-8.69042,-0.0474733,-0.97261,0,0,0.957767,9.66303
0.099,0.2,0.4,-0.923307,-8.66147,-0.0489434,-0.987497,0,0,0.972251,9.64896
0.1005,0.2,0.4,-0.923307,-8.66147,-0.0489434,-0.987497,0,0,0.972251,9.64896
0.1005,0.2,0.4,-0.936277,-8.63182,-0.0504358,-1.00238,0,0,0.986713,9.6342
0.102,0.2,0.4,-0.936277,-8.63182,-0.0504358,-1.00238,0,0,0.986713,9.6342
0.102,0.2,0.4,-0.949202,-8.60147,-0.0519506,-1.01726,0,0,1.00115,9.61873
0.1035,0.2,0.4,-0.949202,-8.60147,-0.0519506,-1.01726,0,0,1.00115,9.61873
