time,Rte_UPiActuator_EcuUPi_OP_SET_upi
0.0,0.0
0.001,100.001953125
0.002,100.001953125
0.003,100.001953125
0.004,100.001953125
0.005,100.001953125
0.006,100.001953125
0.007,100.001953125
0.008,100.001953125
0.009,100.001953125
0.01,100.001953125
0.011,100.001953125
0.012,100.001953125
0.013,100.001953125
0.014,100.001953125
0.015,100.001953125
0.016,100.001953125
0.017,100.001953125
0.018,100.001953125
0.019,100.001953125
0.02,100.001953125
0.021,100.001953125
0.022,100.001953125
0.023,100.001953125
0.024,100.001953125
0.025,100.001953125
0.026,100.001953125
0.027,100.001953125
0.028,100.001953125
0.029,100.001953125
0.03,100.001953125
0.031,100.001953125
0.032,100.001953125
0.033,100.001953125
0.034,100.001953125
0.035,100.001953125
0.036,100.001953125
0.037,100.001953125
0.038,100.001953125
0.039,100.001953125
0.04,100.001953125
0.041,100.001953125
0.042,100.001953125
0.043,100.001953125
0.044,100.001953125
0.045,100.001953125
0.046,100.001953125
0.047,100.001953125
0.048,100.001953125
0.049,100.001953125
0.05,100.001953125
0.051,100.001953125
0.052,100.001953125
0.053,100.001953125
0.054,100.001953125
0.055,100.001953125
0.056,100.001953125
0.057,100.001953125
0.058,100.001953125
0.059,100.001953125
0.06,100.001953125
0.061,100.001953125
0.062,100.001953125
0.063,100.001953125
0.064,100.001953125
0.065,100.001953125
0.066,100.001953125
0.067,100.001953125
0.068,100.001953125
0.069,100.001953125
0.07,100.001953125
0.071,100.001953125
0.072,100.001953125
0.073,100.001953125
0.074,100.001953125
0.075,100.001953125
0.076,100.001953125
0.077,0.0
0.078,11.51953125
0.079,33.39453125
0.08,11.51953125
0.081,20.89453125
0.082,20.890625
0.083,20.890625
0.084,20.890625
0.085,20.890625
0.086,20.890625
0.087,20.890625
0.088,20.890625
0.089,20.884765625
0.09,20.884765625
0.091,20.884765625
0.092,20.884765625
0.093,20.884765625
0.094,20.884765625
0.095,20.880859375
0.096,20.880859375
0.097,20.880859375
0.098,20.880859375
0.099,11.505859375
0.1,33.3828125
0.101,11.501953125
0.102,20.876953125
0.103,20.876953125
0.104,20.876953125
0.105,20.876953125
0.106,20.876953125
0.107,20.876953125
0.108,20.873046875
0.109,20.873046875
0.11,20.873046875
0.111,20.873046875
0.112,20.873046875
0.113,20.873046875
0.114,20.869140625
0.115,20.869140625
0.116,20.869140625
0.117,20.869140625
0.118,20.869140625
0.119,20.869140625
0.12,20.869140625
0.121,20.865234375
0.122,20.865234375
0.123,20.865234375
0.124,11.490234375
0.125,33.365234375
0.126,11.486328125
0.127,20.861328125
0.128,20.861328125
0.129,20.861328125
0.13,20.861328125
0.131,20.861328125
0.132,20.861328125
0.133,20.857421875
0.134,20.857421875
0.135,20.857421875
0.136,20.857421875
0.137,20.857421875
0.138,20.857421875
0.139,20.853515625
0.14,20.853515625
0.141,20.853515625
0.142,20.853515625
0.143,20.853515625
0.144,20.853515625
0.145,20.853515625
0.146,20.849609375
0.147,20.849609375
0.148,20.849609375
0.149,20.849609375
0.15,20.849609375
0.151,20.849609375
0.152,11.470703125
0.153,33.345703125
0.154,11.470703125
0.155,20.845703125
0.156,20.845703125
0.157,20.845703125
0.158,20.841796875
0.159,20.841796875
0.16,20.841796875
0.161,20.841796875
0.162,20.841796875
0.163,20.841796875
0.164,20.841796875
0.165,20.8359375
0.166,20.8359375
0.167,20.8359375
0.168,20.8359375
0.169,20.8359375
0.17,20.8359375
0.171,20.83203125
0.172,20.83203125
0.173,20.83203125
0.174,20.83203125
0.175,20.83203125
0.176,20.83203125
0.177,20.83203125
0.178,20.828125
0.179,20.828125
0.18,20.828125
0.181,20.828125
0.182,11.453125
0.183,33.328125
0.184,11.44921875
0.185,20.82421875
0.186,20.82421875
0.187,20.82421875
0.188,20.82421875
0.189,20.82421875
0.19,20.8203125
0.191,20.8203125
0.192,20.8203125
0.193,20.8203125
0.194,20.8203125
0.195,20.8203125
0.196,20.8203125
0.197,20.81640625
0.198,20.81640625
0.199,20.81640625
0.2,20.81640625
