"Time","x0","der(x0)","x1","der(x1)"
0.000000000000000E+00,2.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,-2.000000000000000E+00
1.000000000000000E-01,1.990933435716100E+00,-1.726547365061000E-01,-1.726547365061000E-01,-1.479216574601400E+00
2.000000000000000E-01,1.966952424855500E+00,-3.007204498255400E-01,-3.007204498255400E-01,-1.104214972530700E+00
3.000000000000000E-01,1.931831982598200E+00,-3.973946258400500E-01,-3.973946258400500E-01,-8.461598755754700E-01
4.000000000000000E-01,1.888177532371800E+00,-4.728486971839900E-01,-4.728486971839900E-01,-6.752192482877700E-01
5.000000000000000E-01,1.837718932475200E+00,-5.345222607921100E-01,-5.345222607921100E-01,-5.670468013093600E-01
6.000000000000000E-01,1.781552727247800E+00,-5.877494879751900E-01,-5.877494879751900E-01,-5.038264123450700E-01
7.000000000000000E-01,1.720321195402400E+00,-6.363736260461300E-01,-6.363736260461300E-01,-4.733438835280400E-01
8.000000000000000E-01,1.654335738439700E+00,-6.832413034779100E-01,-6.832413034779100E-01,-4.676639757759300E-01
9.000000000000000E-01,1.583657116975200E+00,-7.305703279928900E-01,-7.305703279928900E-01,-4.819790787224500E-01
1.000000000000000E+00,1.508144260746700E+00,-7.802174256463600E-01,-7.802174256463600E-01,-5.137578451995300E-01
1.100000000000000E+00,1.427480062828800E+00,-8.338750111606900E-01,-8.338750111606900E-01,-5.621685226322600E-01
1.200000000000000E+00,1.341179872371000E+00,-8.932210233376801E-01,-8.932210233376801E-01,-6.277075661098400E-01
1.300000000000000E+00,1.248587124995500E+00,-9.600392401360200E-01,-9.600392401360200E-01,-7.119541745878000E-01
1.400000000000000E+00,1.148857163181800E+00,-1.036316855785900E+00,-1.036316855785900E+00,-8.173676081159100E-01
1.500000000000000E+00,1.040933450180000E+00,-1.124320200415600E+00,-1.124320200415600E+00,-9.470049886346100E-01
1.600000000000000E+00,9.235167851670600E-01,-1.226630071924100E+00,-1.226630071924100E+00,-1.103974611752300E+00
1.700000000000000E+00,7.950357713380100E-01,-1.346096760466900E+00,-1.346096760466900E+00,-1.290289163873700E+00
1.800000000000000E+00,6.536283330050801E-01,-1.485627219319100E+00,-1.485627219319100E+00,-1.504551038821000E+00
1.900000000000000E+00,4.971590753833300E-01,-1.647647924061500E+00,-1.647647924061500E+00,-1.737562564052900E+00
2.000000000000000E+00,3.233179725008900E-01,-1.832972637099600E+00,-1.832972637099600E+00,-1.964681710677800E+00
2.100000000000000E+00,1.298762347700700E-01,-2.038709420603500E+00,-2.038709420603500E+00,-2.134197038485200E+00
2.200000000000000E+00,-8.478457622526200E-02,-2.254871638443700E+00,-2.254871638443700E+00,-2.153878087991100E+00
2.300000000000000E+00,-3.207456272997000E-01,-2.459931604164400E+00,-2.459931604164400E+00,-1.886113729992500E+00
2.400000000000000E+00,-5.751965588116000E-01,-2.617282002134100E+00,-2.617282002134100E+00,-1.176154862931300E+00
2.500000000000000E+00,-8.409638435414800E-01,-2.677478351748900E+00,-2.677478351748900E+00,5.705223011314500E-02
2.600000000000000E+00,-1.105819825703600E+00,-2.592428328981400E+00,-2.592428328981400E+00,1.683510039552100E+00
2.700000000000000E+00,-1.353841350259200E+00,-2.340856912039300E+00,-2.340856912039300E+00,3.303509240556100E+00
2.800000000000000E+00,-1.569258116744600E+00,-1.948799907707100E+00,-1.948799907707100E+00,4.419516418604500E+00
2.900000000000000E+00,-1.741147638072700E+00,-1.483430881036500E+00,-1.483430881036500E+00,4.754878543565000E+00
3.000000000000000E+00,-1.866072688032500E+00,-1.021064297851500E+00,-1.021064297851500E+00,4.400586339751800E+00
3.100000000000000E+00,-1.947306534689700E+00,-6.159243651483600E-01,-6.159243651483600E-01,3.666969049844600E+00
3.200000000000000E+00,-1.991931692145200E+00,-2.901904566661100E-01,-2.901904566661100E-01,2.853156569079700E+00
3.300000000000000E+00,-2.007940482925900E+00,-4.196780188429600E-02,-4.196780188429600E-02,2.135179513159200E+00
3.400000000000000E+00,-2.002463687448300E+00,1.421608814697400E-01,1.421608814697400E-01,1.574579220240000E+00
3.500000000000000E+00,-1.981112117982400E+00,2.780970698533200E-01,2.780970698533200E-01,1.167732355291700E+00
3.600000000000000E+00,-1.947978640898600E+00,3.798900493433300E-01,3.798900493433300E-01,8.863300128381900E-01
3.700000000000000E+00,-1.905903807968000E+00,4.584899945984800E-01,4.584899945984800E-01,6.989429612640700E-01
3.800000000000000E+00,-1.856783408791400E+00,5.219282650384600E-01,5.219282650384600E-01,5.792884951055099E-01
3.900000000000000E+00,-1.801830191569300E+00,5.759498583394000E-01,5.759498583394000E-01,5.079058248164900E-01
4.000000000000000E+00,-1.741769075986100E+00,6.246651361818700E-01,6.246651361818700E-01,4.713504121736900E-01
4.100000000000000E+00,-1.676972869124800E+00,6.710831839290100E-01,6.710831839290100E-01,4.608104195105200E-01
4.200000000000000E+00,-1.607551589763400E+00,7.175105255737900E-01,7.175105255737900E-01,4.708555483003800E-01
4.300000000000000E+00,-1.533407208654600E+00,7.658390212537500E-01,7.658390212537500E-01,4.985000919518400E-01
4.400000000000000E+00,-1.454264234418200E+00,8.177563923329800E-01,8.177563923329800E-01,5.425603376719200E-01
4.500000000000000E+00,-1.369681865510700E+00,8.749041125042000E-01,8.749041125042000E-01,6.032410045612200E-01
4.600000000000000E+00,-1.279052171730200E+00,9.390021322625800E-01,9.390021322625800E-01,6.818707995963900E-01
4.700000000000000E+00,-1.181586964022100E+00,1.011951207650000E+00,1.011951207650000E+00,7.807047664123600E-01
4.800000000000000E+00,-1.076295430807400E+00,1.095914642696900E+00,1.095914642696900E+00,9.026895600190300E-01
4.900000000000000E+00,-9.619550181788300E-01,1.193368385973700E+00,1.193368385973700E+00,1.051031069244400E+00
5.000000000000000E+00,-8.370801032026400E-01,1.307087157661400E+00,1.307087157661400E+00,1.228287238595300E+00
