time,y1,y2
0.0,1,0
0.02,1,0
0.04,1,0
0.06,1,0
0.08,1,0
0.1,1,0
0.1,1,3
0.12,1,3
0.14,1,3
0.16,1,3
0.18,1,3
0.2,1,3
0.2,1,3
0.2,1,3
0.22,1,3
0.24,1,3
0.26,1,3
0.28,1,3
0.3,1,3
0.3,1,3
0.32,1,3
0.34,1,3
0.36,1,3
0.38,1,3
0.4,1,3
0.4,1,3
0.42,1,3
0.44,1,3
0.46,1,3
0.48,1,3
0.5,1,3
0.5,0,3
0.52,0,3
0.54,0,3
0.56,0,3
0.58,0,3
0.6,0,3
0.6,0,0
0.62,0,0
0.64,0,0
0.66,0,0
0.68,0,0
0.7,0,0
0.7,0,0
0.72,0,0
0.74,0,0
0.76,0,0
0.78,0,0
0.8,0,0
0.8,0,0
0.82,0,0
0.84,0,0
0.86,0,0
0.88,0,0
0.9,0,0
0.9,0,0
0.92,0,0
0.94,0,0
0.96,0,0
0.98,0,0
1.0,0,0
1.0,1,0
1.02,1,0
1.04,1,0
1.06,1,0
1.08,1,0
1.1,1,0
1.1,1,3
1.12,1,3
1.14,1,3
1.16,1,3
1.18,1,3
1.2,1,3
1.2,1,3
1.22,1,3
1.24,1,3
1.26,1,3
1.28,1,3
1.3,1,3
1.3,1,3
1.32,1,3
1.34,1,3
1.36,1,3
1.38,1,3
1.4,1,3
1.4,1,3
1.42,1,3
1.44,1,3
1.46,1,3
1.48,1,3
1.5,1,3
1.5,0,3
1.52,0,3
1.54,0,3
1.56,0,3
1.58,0,3
1.6,0,3
1.6,0,0
1.62,0,0
1.64,0,0
1.66,0,0
1.68,0,0
1.7,0,0
1.7,0,0
1.72,0,0
1.74,0,0
1.76,0,0
1.78,0,0
1.8,0,0
1.8,0,0
1.82,0,0
1.84,0,0
1.86,0,0
1.88,0,0
1.9,0,0
1.9,0,0
1.92,0,0
1.94,0,0
1.96,0,0
1.98,0,0
2.0,0,0
2.0,1,0
2.02,1,0
2.04,1,0
2.06,1,0
2.08,1,0
2.1,1,0
2.1,1,3
2.12,1,3
2.14,1,3
2.16,1,3
2.18,1,3
2.2,1,3
2.2,1,3
2.22,1,3
2.24,1,3
2.26,1,3
2.28,1,3
2.3,1,3
2.3,1,3
2.32,1,3
2.34,1,3
2.36,1,3
2.38,1,3
2.4,1,3
2.4,1,3
2.42,1,3
2.44,1,3
2.46,1,3
2.48,1,3
2.5,1,3
2.5,0,3
2.52,0,3
2.54,0,3
2.56,0,3
2.58,0,3
2.6,0,3
2.6,0,0
2.62,0,0
2.64,0,0
2.66,0,0
2.68,0,0
2.7,0,0
2.7,0,0
2.72,0,0
2.74,0,0
2.76,0,0
2.78,0,0
2.8,0,0
2.8,0,0
2.82,0,0
2.84,0,0
2.86,0,0
2.88,0,0
2.9,0,0
2.9,0,0
2.92,0,0
2.94,0,0
2.96,0,0
2.98,0,0
