"time","iAC[2]","Losses","iAC[3]","uDC","uAC[3]","iAC[1]","uAC[1]","uAC[2]"
0.00000000000000E+00,0.00000000000000E+00,4.80000000000000E+02,0.00000000000000E+00,5.65685424949238E+02,0.00000000000000E+00,-0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
5.99867740616623E-14,-2.82780223447511E-07,4.79999999996681E+02,2.82780223441357E-07,5.65685424947235E+02,1.41390111707551E-04,6.15358848268409E-18,1.41390111707551E-04,-2.82780223415102E-04
1.09404846308495E-10,-5.15269883941020E-04,4.80000259303667E+02,5.15269863502357E-04,5.65685421296221E+02,2.57634921531803E-01,2.04386634570022E-11,2.57634952189846E-01,-5.15269873721650E-01
4.57981728642710E-10,-2.15380731742898E-03,4.80004612934154E+02,2.15380709370621E-03,5.65685409657273E+02,1.07690343499172E+00,2.23722762971584E-10,1.07690377057588E+00,-2.15380720556760E+00
8.06558610976925E-10,-3.78812224906938E-03,4.80014304164587E+02,3.78812163824567E-03,5.65685398018325E+02,1.89406051371100E+00,6.10823712790531E-10,1.89406142994653E+00,-3.78812194365753E+00
1.15513549331114E-09,-5.41787366265804E-03,4.80029287893320E+02,5.41787246607452E-03,5.65685386379377E+02,2.70893563474550E+00,1.19658352757540E-09,2.70893742962079E+00,-5.41787306436629E+00
1.72145759670504E-09,-8.05568201003599E-03,4.80064796446233E+02,8.05567942653203E-03,5.65685367469938E+02,4.02783842151405E+00,2.58350396457885E-09,4.02784229676996E+00,-8.05568071828401E+00
2.74323232718494E-09,-1.27836266003331E-02,4.80163265582650E+02,1.27836201534513E-02,5.65685333352980E+02,6.39180685328466E+00,6.44688186862696E-09,6.39181652360753E+00,-1.27836233768922E+01
5.32363394674804E-09,-2.45469715872463E-02,4.80602251566348E+02,2.45469476933401E-02,5.65685247193623E+02,1.22734618997169E+01,2.38939061904253E-08,1.22734977405762E+01,-2.45469596402932E+01
7.90403556631114E-09,-3.60605690309588E-02,4.81299914877558E+02,3.60605168180582E-02,5.65685161034266E+02,1.80302323025788E+01,5.22129005586791E-08,1.80303106219296E+01,-3.60605429245085E+01
1.04844371858742E-08,-4.73293763058222E-02,4.82239471449979E+02,4.73292851177223E-02,5.65685074874910E+02,2.36645969648113E+01,9.11880999251991E-08,2.36647337469611E+01,-4.73293307117723E+01
1.30648388054373E-08,-5.83584821791905E-02,4.83404963924365E+02,5.83583415811896E-02,5.65684988715553E+02,2.91791004915944E+01,1.40598000873682E-07,2.91793113885956E+01,-5.83584118801900E+01
1.97573494949332E-08,-8.58884830314586E-02,4.87375684875375E+02,8.58881674867770E-02,5.65684765253278E+02,4.29439259710476E+01,3.15544681675495E-07,4.29443992880701E+01,-8.58883252591178E+01
2.64498601844291E-08,-1.11922995652674E-01,4.92525196004459E+02,1.11922440059398E-01,5.65684541791003E+02,5.59609422330610E+01,5.55593276219124E-07,5.59617756229754E+01,-1.11922717856036E+02
3.31423708739250E-08,-1.36539880722387E-01,4.98641143970010E+02,1.36539023368726E-01,5.65684318328729E+02,6.82690830075328E+01,8.57353660593807E-07,6.82703690380236E+01,-1.36539452045556E+02
3.98348815634208E-08,-1.59818425785182E-01,5.05539477440293E+02,1.59817208410146E-01,5.65684094866454E+02,7.99079955175552E+01,1.21737503597230E-06,7.99098215801092E+01,-1.59817817097664E+02
5.35719823186131E-08,-2.03708769608281E-01,5.21493794157236E+02,2.03706643850303E-01,5.65683636186010E+02,1.01852259046163E+02,2.12575797789438E-06,1.01855447683129E+02,-2.03707706729292E+02
6.73090830738053E-08,-2.42845819581460E-01,5.38969490988280E+02,2.42842578514318E-01,5.65683177505567E+02,1.21419668723588E+02,3.24106714172379E-06,1.21424530324301E+02,-2.42844199047889E+02
8.10461838289975E-08,-2.77750742331814E-01,5.57139621293956E+02,2.77746201718886E-01,5.65682718825124E+02,1.38870830552979E+02,4.54061292803898E-06,1.38877641472371E+02,-2.77748472025350E+02
9.47832845841898E-08,-3.08882878257088E-01,5.75401407024911E+02,3.08876873861092E-01,5.65682260144681E+02,1.54435434732548E+02,6.00439599623970E-06,1.54444441326542E+02,-3.08879876059090E+02
1.08520385339382E-07,-3.36649899759520E-01,5.93324442350629E+02,3.36642285091604E-01,5.65681801464240E+02,1.68317335211844E+02,7.61466791660004E-06,1.68328757213719E+02,-3.36646092425562E+02
1.22257486094574E-07,-3.61415154118938E-01,6.10610604815162E+02,3.61405798507627E-01,5.65681342783799E+02,1.80698221448158E+02,9.35561131143459E-06,1.80712254865125E+02,-3.61410476313283E+02
1.35994586849766E-07,-3.83502926716903E-01,6.27062488625671E+02,3.83491713607095E-01,5.65680884103358E+02,1.91740250248643E+02,1.12131098086166E-05,1.91757069913356E+02,-3.83497320161999E+02
1.49731687604959E-07,-4.03202632516507E-01,6.42558566582500E+02,4.03189457951502E-01,5.65680425422919E+02,2.01588141693248E+02,1.31745650054915E-05,2.01607903540756E+02,-4.03196045234004E+02
1.72962055407974E-07,-4.31782008414250E-01,6.66418692579127E+02,4.31765310811846E-01,5.65679649763230E+02,2.15874306604721E+02,1.66976024038035E-05,2.15899353008327E+02,-4.31773659613048E+02
1.96192423210990E-07,-4.55332284714961E-01,6.87307066033085E+02,4.55311845138574E-01,5.65678874103543E+02,2.27645702781094E+02,2.04395763868659E-05,2.27676362145674E+02,-4.55322064926768E+02
