"time","PI.I.y","driveAngle","inertia1.phi","inertia1.w","integrator.y","spring.phi_rel","spring.w_rel"
0.000000,-0.100000,1.570000,0.000000,0.000000,0.000000,0.001000,0.000000
0.000137,-0.100000,1.570000,0.000000,0.000000,0.000000,0.001000,0.000000
0.500000,-0.100000,1.570000,0.000000,0.000000,0.000000,0.001000,0.000000
0.500000,-0.100000,1.570000,0.000000,0.000000,0.000000,0.001000,0.000000
0.500000,-0.100000,1.570000,0.000000,0.000000,0.000000,0.001000,-0.000000
0.500075,-0.100000,1.570000,0.000000,0.000001,0.000075,0.001000,-0.000001
0.500266,-0.100000,1.570000,0.000000,0.000004,0.000266,0.001000,-0.000004
0.500457,-0.099998,1.570000,0.000000,0.000020,0.000457,0.001000,-0.000019
0.500648,-0.099996,1.570000,0.000000,0.000037,0.000648,0.001000,-0.000035
0.501081,-0.099992,1.570000,0.000000,0.000075,0.001081,0.001000,-0.000072
0.501513,-0.099985,1.570000,0.000000,0.000135,0.001513,0.001000,-0.000128
0.501946,-0.099978,1.570000,0.000000,0.000200,0.001946,0.001000,-0.000189
0.502379,-0.099968,1.570000,0.000000,0.000284,0.002379,0.001000,-0.000265
0.503076,-0.099945,1.570000,0.000001,0.000457,0.003076,0.000999,-0.000405
0.503774,-0.099906,1.570000,0.000002,0.000709,0.003774,0.000998,-0.000573
0.504471,-0.099866,1.570000,0.000004,0.000961,0.004471,0.000997,-0.000742
0.505707,-0.099796,1.570000,0.000007,0.001407,0.005707,0.000995,-0.001040
0.507634,-0.099686,1.570000,0.000011,0.002103,0.007634,0.000992,-0.001504
0.508962,-0.099607,1.570000,0.000014,0.002595,0.008962,0.000990,-0.001820
0.510290,-0.099488,1.570000,0.000021,0.003206,0.010290,0.000986,-0.002089
0.512233,-0.099315,1.570000,0.000030,0.004101,0.012233,0.000981,-0.002484
0.514177,-0.099141,1.570000,0.000039,0.004995,0.014177,0.000975,-0.002879
0.516120,-0.098930,1.570000,0.000053,0.005979,0.016120,0.000969,-0.003173
0.518064,-0.098701,1.570000,0.000068,0.007004,0.018064,0.000962,-0.003419
0.520008,-0.098471,1.570000,0.000083,0.008029,0.020008,0.000955,-0.003665
0.521951,-0.098191,1.570000,0.000108,0.009207,0.021951,0.000947,-0.003775
0.523895,-0.097879,1.570000,0.000138,0.010481,0.023895,0.000940,-0.003798
0.525839,-0.097567,1.570000,0.000168,0.011755,0.025839,0.000932,-0.003821
0.527782,-0.097255,1.570000,0.000199,0.013030,0.027782,0.000925,-0.003844
0.530789,-0.096772,1.570000,0.000245,0.015001,0.030789,0.000913,-0.003879
0.533795,-0.096289,1.570000,0.000292,0.016972,0.033795,0.000902,-0.003915
0.536801,-0.095720,1.570000,0.000368,0.019349,0.036801,0.000891,-0.003774
0.539807,-0.095149,1.570000,0.000445,0.021734,0.039807,0.000881,-0.003630
0.542814,-0.094577,1.570000,0.000522,0.024120,0.042814,0.000871,-0.003485
0.545820,-0.094006,1.570000,0.000599,0.026506,0.045820,0.000861,-0.003341
0.551729,-0.092817,1.570000,0.000806,0.031783,0.051729,0.000845,-0.002981
0.557639,-0.091613,1.570000,0.001026,0.037200,0.057639,0.000829,-0.002603
0.563549,-0.090414,1.570000,0.001271,0.042774,0.063549,0.000816,-0.002245
0.569458,-0.089213,1.570000,0.001556,0.048641,0.069458,0.000804,-0.001903
0.575368,-0.088006,1.570000,0.001871,0.054739,0.075368,0.000794,-0.001564
0.581277,-0.086800,1.570000,0.002218,0.061050,0.081277,0.000786,-0.001235
0.587187,-0.085650,1.570000,0.002606,0.067432,0.087187,0.000779,-0.000965
0.593096,-0.084524,1.570000,0.003028,0.073969,0.093096,0.000774,-0.000724
0.599006,-0.083421,1.570000,0.003486,0.080663,0.099006,0.000770,-0.000512
0.608041,-0.081837,1.570000,0.004264,0.090967,0.108041,0.000766,-0.000249
0.623465,-0.079397,1.570000,0.005805,0.108844,0.123465,0.000764,0.000041
0.638888,-0.077329,1.570000,0.007621,0.126703,0.138888,0.000765,0.000201
0.654312,-0.075583,1.570000,0.009706,0.144557,0.154312,0.000770,0.000255
0.669736,-0.074182,1.570000,0.012064,0.162108,0.169736,0.000774,0.000259
0.685160,-0.073113,1.570000,0.014694,0.179238,0.185160,0.000779,0.000241
0.700583,-0.072272,1.570000,0.017584,0.196150,0.200583,0.000784,0.000198
0.716007,-0.071666,1.570000,0.020736,0.212631,0.216007,0.000787,0.000172
0.731431,-0.071222,1.570000,0.024143,0.228883,0.231431,0.000790,0.000141
0.757736,-0.070719,1.570000,0.030527,0.256124,0.257736,0.000793,0.000109
0.784042,-0.070434,1.570000,0.037625,0.283001,0.284042,0.000795,0.000082
0.810347,-0.070244,1.570000,0.045424,0.309684,0.310347,0.000797,0.000063
0.836652,-0.070121,1.570000,0.053921,0.336256,0.336652,0.000798,0.000045
0.862957,-0.070105,1.570000,0.063121,0.362631,0.362957,0.000798,0.000035
0.889263,-0.070093,1.570000,0.073014,0.388994,0.389263,0.000799,0.000026
0.915568,-0.070051,1.570000,0.083595,0.415407,0.415568,0.000799,0.000017
0.941873,-0.070058,1.570000,0.094873,0.441723,0.441873,0.000799,0.000013
0.968179,-0.070049,1.570000,0.106842,0.468063,0.468179,0.000799,0.000009
1.021616,-0.070008,1.570000,0.133284,0.521593,0.521616,0.000800,0.000003
1.075053,-0.069984,1.570000,0.162583,0.575080,0.575053,0.000800,-0.000000
1.128490,-0.069979,1.570000,0.194739,0.628529,0.628490,0.000800,-0.000001
1.181927,-0.069985,1.570000,0.229752,0.681955,0.681927,0.000800,-0.000001
1.235364,-0.069991,1.570000,0.267621,0.735383,0.735364,0.000800,-0.000001
1.288801,-0.069986,1.570000,0.308343,0.788830,0.788801,0.000800,-0.000002
1.342238,-0.069984,1.570000,0.351922,0.842272,0.842238,0.000800,-0.000002
1.395675,-0.069984,1.570000,0.398357,0.895710,0.895675,0.000800,-0.000002
1.449112,-0.069986,1.570000,0.447647,0.949142,0.949112,0.000800,-0.000002
1.500000,-0.069990,1.570000,0.497240,1.000022,1.000000,0.000800,-0.000002
1.500000,-0.069990,1.570000,0.497240,1.000022,1.000000,0.000800,-0.000002
1.500111,-0.069990,1.570000,0.497351,1.000131,1.000000,0.000800,-0.000001
1.500221,-0.069991,1.570000,0.497462,1.000240,1.000000,0.000800,0.000002
1.500584,-0.069994,1.570000,0.497824,1.000572,1.000000,0.000800,0.000030
1.500946,-0.069998,1.570000,0.498187,1.000895,1.000000,0.000800,0.000067
1.501308,-0.070003,1.570000,0.498550,1.001219,1.000000,0.000800,0.000103
1.501915,-0.070014,1.570000,0.499157,1.001727,1.000000,0.000800,0.000194
1.502521,-0.070027,1.570000,0.499765,1.002225,1.000000,0.000800,0.000293
1.503128,-0.070044,1.570000,0.500373,1.002687,1.000000,0.000801,0.000420
1.504285,-0.070100,1.570000,0.501536,1.003474,1.000000,0.000802,0.000683
1.505442,-0.070173,1.570000,0.502700,1.004185,1.000000,0.000804,0.000962
1.506599,-0.070246,1.570000,0.503865,1.004896,1.000000,0.000806,0.001241
1.507756,-0.070320,1.570000,0.505029,1.005607,1.000000,0.000808,0.001521
