    "time",       "i",   "speed",    "Rarm"
         0,        35,         0,         4
     0.001, 35.472146, 0.4042755,   3.99856
     0.002, 35.490194,0.95758049,   3.99712
     0.003, 35.479934, 1.5182238,   3.99568
     0.004, 35.467943, 2.0790811,   3.99424
     0.005, 35.455837, 2.6397077,    3.9928
     0.006, 35.443753, 3.2000092,   3.99136
     0.007, 35.431653, 3.7600543,   3.98992
     0.008, 35.419612, 4.3193252,   3.98848
     0.009, 35.407459, 4.8790522,   3.98704
      0.01, 35.395387, 5.4382192,    3.9856
     0.011, 35.383303,  5.997128,   3.98416
     0.012, 35.371224, 6.5557526,   3.98272
     0.013, 35.359149,  7.114093,   3.98128
     0.014, 35.347079, 7.6721492,   3.97984
     0.015, 35.335012, 8.2299211,    3.9784
     0.016, 35.322948, 8.7874089,   3.97696
     0.017, 35.310889, 9.3446127,   3.97552
     0.018, 35.298834, 9.9015324,   3.97408
     0.019, 35.286782, 10.458168,   3.97264
      0.02, 35.274734, 11.014521,    3.9712
     0.021,  35.26269, 11.570589,   3.96976
     0.022,  35.25065, 12.126374,   3.96832
     0.023, 35.238614, 12.681876,   3.96688
     0.024, 35.226581, 13.237094,   3.96544
     0.025, 35.214553, 13.792029,     3.964
     0.026, 35.202528, 14.346681,   3.96256
     0.027, 35.190507,  14.90105,   3.96112
     0.028,  35.17849, 15.455136,   3.95968
     0.029, 35.166476,  16.00894,   3.95824
      0.03, 35.154467,  16.56246,    3.9568
     0.031, 35.142461, 17.115698,   3.95536
     0.032,  35.13046, 17.668654,   3.95392
     0.033, 35.118462, 18.221327,   3.95248
     0.034, 35.106467, 18.773718,   3.95104
     0.035, 35.094477, 19.325827,    3.9496
     0.036, 35.082491, 19.877654,   3.94816
     0.037, 35.070508, 20.429199,   3.94672
     0.038, 35.058529, 20.980462,   3.94528
     0.039, 35.046554, 21.531444,   3.94384
      0.04, 35.034583, 22.082144,    3.9424
     0.041, 35.022615, 22.632562,   3.94096
     0.042, 35.010652, 23.182699,   3.93952
     0.043, 34.998692, 23.732555,   3.93808
     0.044, 34.986736, 24.282129,   3.93664
     0.045, 34.974784, 24.831423,    3.9352
     0.046, 34.962836, 25.380435,   3.93376
     0.047, 34.950891, 25.929167,   3.93232
     0.048, 34.938951, 26.477618,   3.93088
     0.049, 34.927014, 27.025788,   3.92944
      0.05, 34.915081, 27.573678,     3.928
     0.051, 34.903152, 28.121288,   3.92656
     0.052, 34.891226, 28.668617,   3.92512
     0.053, 34.879305, 29.215666,   3.92368
     0.054, 34.867387, 29.762434,   3.92224
     0.055, 34.855473, 30.308923,    3.9208
     0.056, 34.843563, 30.855132,   3.91936
     0.057, 34.831657, 31.401061,   3.91792
     0.058, 34.819754, 31.946711,   3.91648
     0.059, 34.807855, 32.492081,   3.91504
      0.06, 34.795961, 33.037171,    3.9136
     0.061,  34.78407, 33.581982,   3.91216
     0.062, 34.772182, 34.126514,   3.91072
     0.063, 34.760299, 34.670767,   3.90928
     0.064, 34.748419,  35.21474,   3.90784
     0.065, 34.736543, 35.758435,    3.9064
     0.066, 34.724671, 36.301851,   3.90496
     0.067, 34.712803, 36.844988,   3.90352
     0.068, 34.700939, 37.387847,   3.90208
     0.069, 34.689078, 37.930427,   3.90064
      0.07, 34.677222, 38.472729,    3.8992
     0.071, 34.665369, 39.014752,   3.89776
     0.072, 34.653519, 39.556497,   3.89632
     0.073, 34.641674, 40.097964,   3.89488
     0.074, 34.629833, 40.639154,   3.89344
     0.075, 34.617995, 41.180065,     3.892
     0.076, 34.606161, 41.720699,   3.89056
     0.077, 34.594331, 42.261055,   3.88912
     0.078, 34.582504, 42.801133,   3.88768
     0.079, 34.570682, 43.340934,   3.88624
      0.08, 34.558863, 43.880457,    3.8848
     0.081, 34.547048, 44.419704,   3.88336
     0.082, 34.535237, 44.958673,   3.88192
     0.083,  34.52343, 45.497365,   3.88048
     0.084, 34.511626, 46.035781,   3.87904
     0.085, 34.499826, 46.573919,    3.8776
     0.086,  34.48803, 47.111781,   3.87616
     0.087, 34.476238, 47.649366,   3.87472
     0.088,  34.46445, 48.186675,   3.87328
     0.089, 34.452665, 48.723708,   3.87184
      0.09, 34.440885, 49.260464,    3.8704
     0.091, 34.429108, 49.796944,   3.86896
     0.092, 34.417335, 50.333148,   3.86752
     0.093, 34.405565, 50.869075,   3.86608
     0.094,   34.3938, 51.404728,   3.86464
     0.095, 34.382038, 51.940104,    3.8632
     0.096,  34.37028, 52.475205,   3.86176
     0.097, 34.358526,  53.01003,   3.86032
     0.098, 34.346775, 53.544579,   3.85888
     0.099, 34.335028, 54.078854,   3.85744
       0.1, 34.323286, 54.612853,     3.856
     0.101, 34.311547, 55.146577,   3.85456
     0.102, 34.299811, 55.680026,   3.85312
     0.103,  34.28808,   56.2132,   3.85168
     0.104, 34.276352,   56.7461,   3.85024
     0.105, 34.264628, 57.278725,    3.8488
     0.106, 34.252908, 57.811075,   3.84736
     0.107, 34.241192,  58.34315,   3.84592
     0.108, 34.229479, 58.874952,   3.84448
     0.109,  34.21777, 59.406479,   3.84304
      0.11, 34.206065, 59.937731,    3.8416
     0.111, 34.194364,  60.46871,   3.84016
     0.112, 34.182667, 60.999415,   3.83872
     0.113, 34.170973, 61.529846,   3.83728
     0.114, 34.159283, 62.060003,   3.83584
     0.115, 34.147597, 62.589887,    3.8344
     0.116, 34.135915, 63.119497,   3.83296
     0.117, 34.124236, 63.648833,   3.83152
     0.118, 34.112562, 64.177897,   3.83008
     0.119, 34.100891, 64.706687,   3.82864
      0.12, 34.089224, 65.235204,    3.8272
     0.121,  34.07756, 65.763448,   3.82576
     0.122, 34.065901, 66.291419,   3.82432
     0.123, 34.054245, 66.819117,   3.82288
     0.124, 34.042593, 67.346543,   3.82144
     0.125, 34.030944, 67.873696,      3.82
     0.126,   34.0193, 68.400576,   3.81856
     0.127, 34.007659, 68.927184,   3.81712
     0.128, 33.996022,  69.45352,   3.81568
     0.129, 33.984389, 69.979584,   3.81424
      0.13, 33.972759, 70.505375,    3.8128
     0.131, 33.961134, 71.030895,   3.81136
