"time","Output1","Output2","Output3","Output4","Output5","Output6"
0.0000000000000000E+000,6.4279779779852575E+001,3.0000000000009959E+002,0.0000000000000000E+000,4.3012500000014285E+001,7.2522522522546602E+000,3.0000000000000004E-001
1.0099999999999994E-002,1.3338724221231661E+002,2.5405224413024038E+002,1.2427915838866018E+002,4.0725836213571675E+001,2.3467427344394910E+001,1.8761782943745619E+001
2.0099999999999934E-002,2.0815224254319520E+002,1.7551670228064523E+002,1.4420825334480455E+002,3.7822286756301494E+001,3.7653528127015051E+001,2.2474531769320045E+001
3.0099999999999873E-002,2.0278382599055055E+002,1.1179243457782687E+002,9.0655711913542746E+001,3.4967126027168241E+001,3.0524414134883145E+001,2.1956714057849052E+001
4.0000000000000119E-002,1.4032223507217682E+002,7.8792380143485886E+001,3.4696039760263140E+001,3.2096074095263106E+001,2.0371378154068150E+001,2.6637269826054588E+001
5.0000000000000405E-002,9.4740761580236125E+001,6.5723150764863888E+001,5.4172900130440205E+000,2.8966454773857759E+001,2.4155544933215953E+001,3.1448423506423893E+001
6.0000000000000692E-002,1.0388075409223300E+002,6.0389255292960044E+001,0.0000000000000000E+000,2.5849908915163873E+001,3.2055976621480809E+001,2.9145221864163371E+001
7.0000000000000978E-002,1.4461711277998140E+002,5.5417468817676799E+001,0.0000000000000000E+000,2.3066517338527554E+001,2.9625488196983326E+001,2.2927747952804275E+001
8.0000000000001265E-002,1.6862676797916140E+002,5.0476655339607163E+001,0.0000000000000000E+000,2.0603690213660631E+001,2.1606003321380857E+001,1.9416091006984431E+001
9.0000000000001551E-002,1.5500243684463706E+002,4.5582665514687690E+001,0.0000000000000000E+000,1.8297722331193260E+001,1.9615499121932313E+001,1.8161289484549741E+001
1.0000000000000184E-001,1.1904712835153465E+002,4.0758820608771870E+001,0.0000000000000000E+000,1.6144002932919744E+001,2.2532558784305021E+001,1.4778163099893845E+001
1.1000000000000212E-001,9.0410909080835850E+001,3.6034798724377680E+001,0.0000000000000000E+000,1.4234252192995463E+001,2.1795665358670632E+001,9.1774167849891288E+000
1.2000000000000241E-001,8.5813435958909366E+001,3.1445288861149326E+001,0.0000000000000000E+000,1.2555334209873852E+001,1.6711562348027137E+001,4.8353561274102450E+000
1.3000000000000200E-001,9.9227780706578756E+001,2.7028460183803809E+001,0.0000000000000000E+000,1.1009186719822868E+001,1.3474590178679268E+001,2.6734448751068673E+000
1.4000000000000090E-001,1.1257940013379076E+002,2.2824298717038918E+001,0.0000000000000000E+000,9.5483731066692439E+000,1.3817414164403692E+001,4.5450155889506122E-001
1.5009999999999979E-001,1.1301048261157868E+002,1.8834761091716896E+001,0.0000000000000000E+000,8.1460431498358528E+000,1.5596174748730217E+001,0.0000000000000000E+000
1.6009999999999869E-001,1.0164913327646457E+002,1.5177532620349586E+001,0.0000000000000000E+000,6.7995351173200342E+000,1.7272361492448592E+001,0.0000000000000000E+000
1.7009999999999759E-001,8.8944718137268126E+001,1.1846711592264779E+001,0.0000000000000000E+000,5.5173250983186737E+000,1.6749160249218189E+001,0.0000000000000000E+000
1.8009999999999649E-001,8.3794448547830669E+001,8.8721751196559246E+000,0.0000000000000000E+000,4.3222201266113860E+000,1.4786633269212476E+001,0.0000000000000000E+000
1.9009999999999538E-001,8.6982572251828728E+001,6.2772646899117346E+000,0.0000000000000000E+000,3.2267719480925603E+000,1.3366445175376114E+001,0.0000000000000000E+000
2.0009999999999428E-001,9.2694059824124935E+001,4.0827159846279164E+000,0.0000000000000000E+000,2.2358742435763328E+000,1.3417713175628050E+001,0.0000000000000000E+000
2.1009999999999318E-001,9.4816668437647380E+001,2.3182148791955988E+000,0.0000000000000000E+000,1.3504497315212685E+000,1.4224160652217787E+001,0.0000000000000000E+000
2.2009999999999208E-001,9.1800822438024809E+001,9.3921460139067614E-001,0.0000000000000000E+000,5.7142162421896603E-001,1.4575465959786973E+001,0.0000000000000000E+000
2.3009999999999098E-001,8.6641739535816271E+001,-1.5641366547927377E-001,0.0000000000000000E+000,-9.6336227654512607E-002,1.4056305587772147E+001,0.0000000000000000E+000
2.4009999999998988E-001,8.3297867597420719E+001,-1.0652945624796417E+000,0.0000000000000000E+000,-6.4033725312010259E-001,1.3206685484851029E+001,0.0000000000000000E+000
2.5009999999998878E-001,8.3310073599579482E+001,-1.8289178044850394E+000,0.0000000000000000E+000,-1.0373553556266397E+000,1.2729397345058175E+001,0.0000000000000000E+000
2.6009999999998767E-001,8.5224536211575639E+001,-2.3963861320986122E+000,0.0000000000000000E+000,-1.2510933437197713E+000,1.2774560337410813E+001,0.0000000000000000E+000
2.7009999999998657E-001,8.6524874215188760E+001,-2.5974382409300891E+000,0.0000000000000000E+000,-1.2309548378942916E+000,1.2957914663803370E+001,0.0000000000000000E+000
2.8009999999998547E-001,8.5885647749359947E+001,-2.1282528626993917E+000,0.0000000000000000E+000,-9.1230318968111312E-001,1.2881364118773725E+001,0.0000000000000000E+000
2.9009999999998437E-001,8.3890269880725796E+001,-5.6105526954013751E-001,0.0000000000000000E+000,-2.1867161292932660E-001,1.2514864867707717E+001,0.0000000000000000E+000
3.0009999999998327E-001,8.2058387904065526E+001,2.6014881230030795E+000,0.0000000000000000E+000,9.3356034661452014E-001,1.2117342759245084E+001,0.0000000000000000E+000
3.1009999999998217E-001,8.1397717449704373E+001,7.7994710808638237E+000,0.0000000000000000E+000,2.6275347796293227E+000,1.1906094547264457E+001,0.0000000000000000E+000
3.2009999999998107E-001,8.1745086753982974E+001,1.5194040616313535E+001,0.0000000000000000E+000,4.9349957961651842E+000,1.1861936779886127E+001,0.0000000000000000E+000
3.3009999999997997E-001,8.2203984955345376E+001,2.4356749156822797E+001,0.0000000000000000E+000,7.9020913622719169E+000,1.1815566858866768E+001,0.0000000000000000E+000
3.4009999999997886E-001,8.2042256056994091E+001,3.3960775787462467E+001,0.0000000000000000E+000,1.1532466143011424E+001,1.1651169181245987E+001,0.0000000000000000E+000
3.5009999999997776E-001,8.1221663701865182E+001,4.3708675418894614E+001,0.0000000000000000E+000,1.5760721417254798E+001,1.2123576737412556E+001,1.2201431688186668E+000
3.6009999999997666E-001,8.0241241053909008E+001,5.4032927267302583E+001,0.0000000000000000E+000,2.0398015418168068E+001,1.5133687258199176E+001,4.1705446414178002E+000
3.7009999999997556E-001,7.9600461302056118E+001,6.4763904994994860E+001,0.0000000000000000E+000,2.5147600452232584E+001,1.9335892152449357E+001,7.5582019329462371E+000
