"time","FMU_Interface_OUT3_Load_Signal"
0,0
0.195,0
0.39,0
0.585,0
0.78,0
0.975,0
1.17,0
1.365,0
1.56,0
1.755,0
1.95,0
2.145,0
2.34,0
2.535,0
2.73,0
2.925,0
3.12,0
3.315,0
3.51,0
3.705,0
3.9,0
4.095,0
4.29,0
4.485,0
4.68,0
4.875,0
5.07,0
5.265,0
5.46,0
5.655,0
5.85,0
6.045,0
6.24,0
6.435,0
6.63,0
6.825,0
7.02,0
7.215,0
7.41,0
7.605,0
7.8,0
7.995,0
8.19,0
8.385,0
8.58,0
8.775,0
8.97,0
9.165,0
9.36,0
9.555,0
9.75,0
9.945,0
10.14,0
10.335,0
10.53,0
10.725,0
10.92,0
11.115,0
11.31,0
11.505,0
11.7,0
11.895,0
12.09,0.122264
12.285,0.54199
12.48,0.960657
12.675,1
12.87,0.303613
13.065,0.287513
13.26,0.453992
13.455,0.828324
13.65,0.764554
13.845,0.494567
14.04,0.530118
14.235,0.534726
14.43,0.520584
14.625,0.508186
14.82,0.593502
15.015,0.483688
15.21,0.318277
15.405,0.0687843
15.6,0.0164565
15.795,0.0675483
15.99,0.116064
16.185,0.136277
16.38,0.139933
16.575,0.143144
16.77,0.145357
16.965,0.146389
17.16,0.146362
17.355,0.14559
17.55,0.144454
17.745,0.143305
17.94,0.142394
18.135,0.141845
18.33,0.141671
18.525,0.141799
18.72,0.142114
18.915,0.142494
19.11,0.14284
19.305,0.143086
19.5,0.14321
19.695,0.143219
19.89,0.143146
20.085,0.143031
20.28,0.142909
20.475,0.14281
20.67,0.142748
20.865,0.142725
21.06,0.142735
21.255,0.142766
21.45,0.142805
21.645,0.142842
21.84,0.142869
22.035,0.142884
22.23,0.142886
22.425,0.142879
22.62,0.142868
22.815,0.142855
23.01,0.142844
23.205,0.142837
23.4,0.0272087
23.595,-3.81639E-17
23.79,0.0400947
23.985,0.0363696
24.18,0.0293129
24.375,0.0237778
24.57,-3.46945E-17
24.765,0.065163
24.96,0.0682518
25.155,0.0237805
25.35,0.0168416
25.545,-2.42861E-17
25.74,0
25.935,0
26.13,0
26.325,0
26.52,0
26.715,0
26.91,0
27.105,0
27.3,0
27.495,0
27.69,0
27.885,0
28.08,0
28.275,0
28.47,0
28.665,0
28.86,0
29.055,0
29.25,0
29.445,0
29.64,0
29.835,0
30.03,0
30.225,0
30.42,0
30.615,0
30.81,0
31.005,0
31.2,0
31.395,0
31.59,0
31.785,0
31.98,0
32.175,0
32.37,0
32.565,0
32.76,0
32.955,0
33.15,0
33.345,0
33.54,0
33.735,0
33.93,0
34.125,0
34.32,0
34.515,0
34.71,0
34.905,0
35.1,0
35.295,0
35.49,0
35.685,0
35.88,0
36.075,0
36.27,0
36.465,0
36.66,0
36.855,0
37.05,0
37.245,0
37.44,0
37.635,0
37.83,0
38.025,0
38.22,0
38.415,0
