"time","outputs"
0.0358,258.041
0.0359,256.524
0.036,254.909
0.0361,253.404
0.0362,252.026
0.0363,250.791
0.0364,249.711
0.0365,248.797
0.0366,248.058
0.0367,247.498
0.0368,247.121
0.0369,246.928
0.037,246.916
0.0371,247.081
0.0372,247.415
0.0373,247.91
0.0374,248.552
0.0375,249.329
0.0376,250.222
0.0377,251.214
0.0378,252.284
0.0379,253.409
0.038,254.565
0.0381,255.727
0.0382,256.866
0.0383,257.955
0.0384,258.965
0.0385,259.864
0.0386,260.622
0.0387,261.207
0.0388,261.588
0.0389,261.733
0.039,261.61
0.0391,261.188
0.0392,260.436
0.0393,259.325
0.0394,257.826
0.0395,256.22
0.0396,254.731
0.0397,253.374
0.0398,252.162
0.0399,251.105
0.04,250.211
0.0401,249.486
0.0402,248.932
0.0403,248.551
0.0404,248.339
0.0405,248.292
0.0406,248.404
0.0407,248.665
0.0408,249.064
0.0409,249.586
0.041,250.215
0.0411,250.933
0.0412,251.721
0.0413,252.555
0.0414,253.414
0.0415,254.27
0.0416,255.099
0.0417,255.872
0.0418,256.561
0.0419,257.137
0.042,257.568
0.0421,257.826
0.0422,257.878
0.0423,257.695
0.0424,257.246
0.0425,256.5
0.0426,255.428
0.0427,254
0.0428,252.383
0.0429,250.897
0.043,249.562
0.0431,248.391
0.0432,247.395
0.0433,246.582
0.0434,245.957
0.0435,245.524
0.0436,245.282
0.0437,245.23
0.0438,245.362
0.0439,245.671
0.044,246.147
0.0441,246.778
0.0442,247.548
0.0443,248.441
0.0444,249.437
0.0445,250.516
0.0446,251.654
0.0447,252.827
0.0448,254.007
0.0449,255.169
0.045,256.281
0.0451,257.315
0.0452,258.242
0.0453,259.047
0.0454,259.721
0.0455,260.253
0.0456,260.631
0.0457,260.842
0.0458,260.874
0.0459,260.714
0.046,260.458
0.0461,260.277
0.0462,260.183
0.0463,260.184
0.0464,260.286
0.0465,260.494
0.0466,260.809
0.0467,261.232
0.0468,261.759
0.0469,262.388
0.047,263.11
0.0471,263.919
0.0472,264.802
0.0473,265.748
0.0474,266.742
0.0475,267.769
0.0476,268.81
0.0477,269.846
0.0478,270.856
0.0479,271.819
0.048,272.711
0.0481,273.508
0.0482,274.185
0.0483,274.717
0.0484,275.076
0.0485,275.237
0.0486,275.173
0.0487,274.857
0.0488,274.262
0.0489,273.362
0.049,272.132
0.0491,270.56
0.0492,268.893
0.0493,267.243
0.0494,265.63
0.0495,264.074
0.0496,262.591
0.0497,261.197
0.0498,259.904
0.0499,258.723
0.05,257.664
0.0501,256.731
0.0502,255.931
0.0503,255.264
0.0504,254.731
0.0505,254.327
0.0506,254.05
0.0507,253.89
0.0508,253.84
0.0509,253.888
0.051,254.02
0.0511,254.221
0.0512,254.473
0.0513,254.758
0.0514,255.056
0.0515,255.344
0.0516,255.598
0.0517,255.796
0.0518,255.911
0.0519,255.916
0.052,255.786
0.0521,255.492
0.0522,255.008
0.0523,254.304
0.0524,253.354
0.0525,252.13
0.0526,250.605
0.0527,249.01
0.0528,247.561
0.0529,246.274
0.053,245.164
0.0531,244.241
0.0532,243.517
0.0533,242.996
0.0534,242.684
0.0535,242.58
0.0536,242.684
0.0537,242.99
0.0538,243.493
0.0539,244.183
0.054,245.047
0.0541,246.071
0.0542,247.239
0.0543,248.529
0.0544,249.923
0.0545,251.395
0.0546,252.921
0.0547,254.474
0.0548,256.025
0.0549,257.545
0.055,259.003
0.0551,260.366
0.0552,261.602
0.0553,262.693
0.0554,263.624
0.0555,264.384
0.0556,264.959
0.0557,265.335
0.0558,265.498
0.0559,265.434
0.056,265.174
0.0561,264.936
0.0562,264.758
0.0563,264.65
0.0564,264.618
0.0565,264.669
0.0566,264.804
0.0567,265.024
0.0568,265.329
0.0569,265.715
0.057,266.178
0.0571,266.709
0.0572,267.3
0.0573,267.941
0.0574,268.619
0.0575,269.318
0.0576,270.024
0.0577,270.719
0.0578,271.385
0.0579,272
0.058,272.544
0.0581,272.994
0.0582,273.328
0.0583,273.522
0.0584,273.551
0.0585,273.391
0.0586,273.016
0.0587,272.401
0.0588,271.522
0.0589,270.354
0.059,268.873
0.0591,267.205
0.0592,265.551
0.0593,263.932
0.0594,262.368
0.0595,260.88
0.0596,259.482
0.0597,258.19
0.0598,257.015
0.0599,255.969
0.06,255.059
0.0601,254.291
0.0602,253.668
0.0603,253.19
0.0604,252.857
0.0605,252.664
0.0606,252.606
0.0607,252.674
0.0608,252.857
0.0609,253.143
0.061,253.517
0.0611,253.963
0.0612,254.461
0.0613,254.991
0.0614,255.532
0.0615,256.061
0.0616,256.552
0.0617,256.98
0.0618,257.318
0.0619,257.539
0.062,257.614
0.0621,257.516
0.0622,257.215
0.0623,256.683
0.0624,255.891
0.0625,254.81
0.0626,253.413
0.0627,251.791
0.0628,250.278
0.0629,248.912
0.063,247.709
0.0631,246.68
0.0632,245.835
0.0633,245.181
0.0634,244.723
0.0635,244.464
0.0636,244.401
0.0637,244.532
0.0638,244.852
0.0639,245.35
0.064,246.017
0.0641,246.839
0.0642,247.8
0.0643,248.882
0.0644,250.065
0.0645,251.327
0.0646,252.643
0.0647,253.987
0.0648,255.333
0.0649,256.652
0.065,257.914
0.0651,259.087
0.0652,260.143
0.0653,261.063
0.0654,261.836
0.0655,262.452
0.0656,262.896
0.0657,263.158
0.0658,263.223
0.0659,263.078
0.066,262.794
0.0661,262.566
0.0662,262.412
0.0663,262.341
0.0664,262.359
0.0665,262.471
0.0666,262.681
0.0667,262.987
0.0668,263.389
0.0669,263.882
0.067,264.462
0.0671,265.12
0.0672,265.847
0.0673,266.631
0.0674,267.459
0.0675,268.315
0.0676,269.183
0.0677,270.044
0.0678,270.879
0.0679,271.667
0.068,272.384
0.0681,273.009
0.0682,273.517
0.0683,273.884
0.0684,274.083
0.0685,274.089
0.0686,273.877
0.0687,273.421
0.0688,272.694
0.0689,271.671
0.069,270.327
0.0691,268.693
0.0692,267.024
0.0693,265.355
0.0694,263.687
0.0695,262.018
0.0696,260.349
0.0697,258.68
0.0698,257.011
0.0699,255.342
0.07,253.673
0.0701,252.004
0.0702,250.335
0.0703,248.666
0.0704,246.997
0.0705,245.328
0.0706,243.659
0.0707,242.032
0.0708,240.574
0.0709,239.289
0.071,238.172
0.0711,237.214
0.0712,236.403
0.0713,235.728
0.0714,235.172
0.0715,234.718
0.0716,234.347
0.0717,234.037
0.0718,233.766
0.0719,233.51
0.072,233.242
0.0721,232.937
0.0722,232.565
0.0723,232.099
0.0724,231.51
0.0725,230.766
0.0726,229.84
0.0727,228.699
0.0728,227.316
0.0729,225.721
0.073,224.332
0.0731,223.249
0.0732,222.479
0.0733,222.03
0.0734,221.906
0.0735,222.105
0.0736,222.625
0.0737,223.459
0.0738,224.596
0.0739,226.024
0.074,227.725
0.0741,229.682
0.0742,231.87
0.0743,234.266
0.0744,236.842
0.0745,239.567
0.0746,242.41
0.0747,245.336
0.0748,248.308
0.0749,251.289
0.075,254.24
0.0751,257.121
0.0752,259.889
0.0753,262.505
0.0754,264.925
0.0755,267.106
0.0756,269.008
0.0757,270.588
0.0758,271.805
0.0759,272.619
0.076,272.992
0.0761,272.885
0.0762,272.264
0.0763,271.094
0.0764,269.475
0.0765,267.872
0.0766,266.339
0.0767,264.886
0.0768,263.52
0.0769,262.249
0.077,261.076
0.0771,260.003
0.0772,259.03
0.0773,258.155
0.0774,257.373
0.0775,256.679
0.0776,256.063
0.0777,255.516
0.0778,255.026
0.0779,254.578
0.078,254.158
0.0781,253.747
0.0782,253.329
0.0783,252.882
0.0784,252.386
0.0785,251.819
0.0786,251.158
0.0787,250.379
0.0788,249.459
0.0789,248.371
0.079,247.092
0.0791,245.597
0.0792,243.978
0.0793,242.505
0.0794,241.206
0.0795,240.099
0.0796,239.197
0.0797,238.513
0.0798,238.055
0.0799,237.829
0.08,237.838
0.0801,238.083
0.0802,238.561
0.0803,239.267
