"time","egsCarSpeed","egsGear","egsTargetGear","valves_eds","valves_eds1","valves_eds2","valves_eds3","valves_eds4","valves_eds5","valves_mv1","valves_mv2","valves_mv3","tShiftStart"
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.34,-0.786,-2,0,0,0,0.32,0.32,0,0,0,0,0,0.17
0.68,0.235,-2,0,0,0,1,1,0,0,0,0,0,0.17
1.01,0.226,-2,0,0,0,1,1,0,0,0,0,0,0.17
1.35,9.328,0,1,0,0,0.7,1,0,0.3,0,0,0,1.19
1.68,20.558,0,1,0,0,0.04,1,0,0.96,0,0,0,1.19
2.02,29.221,0,1,0,0,0,1,0,1,0,0,0,1.19
2.35,36.505,1,1,0,0,0,1,0,1,0,0,0,1.19
2.69,37.039,1,1,0,0,0,1,0,1,0,0,0,1.19
3.03,41.671,1,2,0,0,0,0.76,0,0.76,1,0,0,2.9
3.36,46.563,1,2,0,0,0,0.1,0,0.1,1,0,0,2.9
3.7,51.397,1,2,0,0,0,0,0,0,1,0,0,2.9
4.03,55.893,2,2,0,0,0,0,0,0,1,0,0,2.9
4.37,60.321,2,2,0,0,0,0,0,0,1,0,0,2.9
4.7,64.426,2,2,0,0,0,0,0,0,1,0,0,2.9
5.04,68.463,2,2,0,0,0,0,0,0,1,0,0,2.9
5.37,72.18,2,2,0,0,0,0,0,0,1,0,0,2.9
5.71,75.713,2,2,0,0,0,0,0,0,1,0,0,2.9
6.05,79.425,2,2,0,0,0,0,0,0,1,0,0,2.9
6.38,82.309,2,3,0,0,0,0,0,0,0,0,0,6.12
6.72,85.219,2,3,0,0,0,0,0,0,0,0,0,6.12
7.05,87.984,2,3,0,0,0,0,0,0,0,0,0,6.12
7.39,90.773,3,3,0,0,0,0,0,0,0,0,0,6.12
7.72,93.422,3,3,0,0,0,0,0,0,0,0,0,6.12
8.06,96.092,3,3,0,0,0,0,0,0,0,0,0,6.12
8.39,98.626,3,3,0,0,0,0,0,0,0,0,0,6.12
8.73,101.18,3,3,0,0,0,0,0,0,0,0,0,6.12
9.07,103.677,3,3,0,0,0,0,0,0,0,0,0,6.12
9.4,106.047,3,3,0,0,0,0,0,0,0,0,0,6.12
9.74,108.432,3,3,0,0,0,0,0,0,0,0,0,6.12
10.07,110.671,3,3,0,0,0,0,0,0,0,0,0,6.12
10.41,112.888,3,3,0,0,0,0,0,0,0,0,0,6.12
10.74,114.957,3,3,0,0,0,0,0,0,0,0,0,6.12
11.08,114.973,3,3,0,0,0,0,0,0,0,0,0,6.12
11.42,114.475,3,3,0,0,0,0,0,0,0,0,0,6.12
11.75,116.408,3,3,0,0,0,0,0,0,0,0,0,6.12
12.09,118.371,3,3,0,0,0,0,0,0,0,0,0,6.12
12.42,120.249,3,4,0,0,0,0.06,0,0.06,0,1,0,12.38
12.76,122.157,3,4,0,0,0,0.74,0,0.74,0,1,0,12.38
13.09,123.981,3,4,0,0,0,1,0,1,0,1,0,12.38
13.43,125.834,4,4,0,0,0,1,0,1,0,1,0,12.38
13.76,127.606,4,4,0,0,0,1,0,1,0,1,0,12.38
14.1,129.405,4,4,0,0,0,1,0,1,0,1,0,12.38
14.44,131.176,4,4,0,0,0,1,0,1,0,1,0,12.38
14.77,132.87,4,4,0,0,0,1,0,1,0,1,0,12.38
15.11,134.589,4,4,0,0,0,1,0,1,0,1,0,12.38
15.44,136.233,4,4,0,0,0,1,0,1,0,1,0,12.38
15.78,137.9,4,4,0,0,0,1,0,1,0,1,0,12.38
16.11,139.495,4,4,0,0,0,1,0,1,0,1,0,12.38
16.45,141.113,4,4,0,0,0,1,0,1,0,1,0,12.38
16.78,142.66,4,4,0,0,0,1,0,1,0,1,0,12.38
17.12,144.227,4,4,0,0,0,1,0,1,0,1,0,12.38
17.46,145.759,4,4,0,0,0,1,0,1,0,1,0,12.38
17.79,147.208,4,4,0,0,0,1,0,1,0,1,0,12.38
18.13,148.665,4,4,0,0,0,1,0,1,0,1,0,12.38
18.46,150.044,4,4,0,0,0,1,0,1,0,1,0,12.38
18.8,151.429,4,4,0,0,0,1,0,1,0,1,0,12.38
19.13,152.74,4,4,0,0,0,1,0,1,0,1,0,12.38
19.47,154.057,4,4,0,0,0,1,0,1,0,1,0,12.38
19.81,151.221,4,4,0,0,0,1,0,1,0,1,0,12.38
20.14,151.349,4,4,0,0,0,1,0,1,0,1,0,12.38
20.48,152.624,4,4,0,0,0,1,0,1,0,1,0,12.38
20.81,153.847,4,4,0,0,0,1,0,1,0,1,0,12.38
21.15,155.093,4,4,0,0,0,1,0,1,0,1,0,12.38
21.48,156.29,4,4,0,0,0,1,0,1,0,1,0,12.38
21.82,157.51,4,4,0,0,0,1,0,1,0,1,0,12.38
22.15,158.68,4,4,0,0,0,1,0,1,0,1,0,12.38
22.49,159.873,4,4,0,0,0,1,0,1,0,1,0,12.38
22.83,161.052,4,5,0,0,0.58,0.42,0,1,0,1,0,22.53
23.16,162.183,4,5,0,0,1,0,0,1,0,1,0,22.53
23.5,163.336,4,5,0,0,1,0,0,1,0,1,0,22.53
23.83,164.442,5,5,0,0,1,0,0,1,0,1,0,22.53
24.17,165.569,5,5,0,0,1,0,0,1,0,1,0,22.53
24.5,166.651,5,5,0,0,1,0,0,1,0,1,0,22.53
24.84,167.537,5,6,0,0,1,0,0,1,1,1,0,24.82
25.17,167.339,5,6,0,0,1,0,0,1,1,1,0,24.82
25.51,166.682,5,6,0,0,1,0,0,1,1,1,0,24.82
25.85,166.028,6,6,0,0,1,0,0,1,1,1,0,24.82
26.18,165.397,6,6,0,0,1,0,0,1,1,1,0,24.82
26.52,160.258,6,6,0,0,1,0,0,1,1,1,0,24.82
26.85,151.442,6,6,0,0,1,0,0,1,1,1,0,24.82
27.19,142.402,6,6,0,0,1,0,0,1,1,1,0,24.82
27.52,133.667,6,6,0,0,1,0,0,1,1,1,0,24.82
27.86,124.706,6,6,0,0,1,0,0,1,1,1,0,24.82
28.2,115.786,6,6,0,0,1,0,0,1,1,1,0,24.82
28.53,107.163,6,6,0,0,1,0,0,1,1,1,0,24.82
28.87,98.313,6,6,0,0,1,0,0,1,1,1,0,24.82
29.2,89.754,6,6,0,0,1,0,0,1,1,1,0,24.82
29.54,80.965,6,6,0,0,1,0,0,1,1,1,0,24.82
29.87,72.459,6,6,0,0,1,0,0,1,1,1,0,24.82
30.21,63.72,6,6,0,0,1,0,0,1,1,1,0,24.82
30.54,55.259,6,6,0,0,1,0,0,1,1,1,0,24.82
30.88,46.509,6,6,0,0,1,0,0,1,1,1,0,24.82
31.22,37.831,6,5,0,0,1,0,0,1,0,1,0,30.94
31.55,29.428,6,5,0,0,1,0,0,1,0,1,0,30.94
31.89,20.497,6,5,0,0,1,0,0,1,0,1,0,30.94
32.22,11.686,5,4,0,0,0.5,0.5,0,1,0,1,0,31.96
32.56,3.254,5,4,0,0,0,1,0,1,0,1,0,31.96
32.89,0,5,4,0,0,0,1,0,1,0,1,0,31.96
33.23,0,4,3,0,0,0,0.52,0,0.52,0,0,0,32.98
33.56,0,4,3,0,0,0,0,0,0,0,0,0,32.98
