"time","TRes","TAmb","TDif","_block_jacobian_check"
0,293.15,293.15,2,0
0.01,293.265,293.15,2,0
0.02,293.365,293.15,2,0
0.03,293.465,293.15,2,0
0.04,293.564,293.15,2,0
0.05,293.664,293.15,2,0
0.06,293.763,293.15,2,0
0.07,293.862,293.15,2,0
0.08,293.961,293.15,2,0
0.09,294.06,293.15,2,0
0.1,294.158,293.15,2,0
0.11,294.257,293.15,2,0
0.12,294.355,293.15,2,0
0.13,294.454,293.15,2,0
0.14,294.552,293.15,2,0
0.15,294.65,293.15,2,0
0.16,294.748,293.15,2,0
0.17,294.845,293.15,2,0
0.18,294.943,293.15,2,0
0.19,295.04,293.15,2,0
0.2,295.138,293.15,2,0
0.21,295.235,293.15,2,0
0.22,295.332,293.15,2,0
0.23,295.429,293.15,2,0
0.24,295.525,293.15,2,0
0.25,295.622,293.15,2,0
0.26,295.719,293.15,2,0
0.27,295.815,293.15,2,0
0.28,295.911,293.15,2,0
0.29,296.007,293.15,2,0
0.3,296.103,293.15,2,0
0.31,296.199,293.15,2,0
0.32,296.295,293.15,2,0
0.33,296.39,293.15,2,0
0.34,296.486,293.15,2,0
0.35,296.581,293.15,2,0
0.36,296.676,293.15,2,0
0.37,296.771,293.15,2,0
0.38,296.866,293.15,2,0
0.39,296.961,293.15,2,0
0.4,297.056,293.15,2,0
0.41,297.15,293.15,2,0
0.42,297.259,293.15,2,0
0.43,297.353,293.15,2,0
0.44,297.447,293.15,2,0
0.45,297.541,293.15,2,0
0.46,297.635,293.15,2,0
0.47,297.729,293.15,2,0
0.48,297.823,293.15,2,0
0.49,297.916,293.15,2,0
0.5,298.009,293.15,2,0
0.51,298.103,293.15,2,0
0.52,298.196,293.15,2,0
0.53,298.289,293.15,2,0
0.54,298.381,293.15,2,0
0.55,298.474,293.15,2,0
0.56,298.567,293.15,2,0
0.57,298.659,293.15,2,0
0.58,298.751,293.15,2,0
0.59,298.844,293.15,2,0
0.6,298.936,293.15,2,0
0.61,299.028,293.15,2,0
0.62,299.119,293.15,2,0
0.63,299.146,293.15,2,0
0.64,299.14,293.15,2,0
0.65,299.134,293.15,2,0
0.66,299.128,293.15,2,0
0.67,299.122,293.15,2,0
0.68,299.116,293.15,2,0
0.69,299.11,293.15,2,0
0.7,299.104,293.15,2,0
0.71,299.098,293.15,2,0
0.72,299.092,293.15,2,0
0.73,299.086,293.15,2,0
0.74,299.08,293.15,2,0
0.75,299.075,293.15,2,0
0.76,299.069,293.15,2,0
0.77,299.063,293.15,2,0
0.78,299.057,293.15,2,0
0.79,299.051,293.15,2,0
0.8,299.045,293.15,2,0
0.81,299.039,293.15,2,0
0.82,299.033,293.15,2,0
0.83,299.027,293.15,2,0
0.84,299.021,293.15,2,0
0.85,299.016,293.15,2,0
0.86,299.01,293.15,2,0
0.87,299.004,293.15,2,0
0.88,298.998,293.15,2,0
0.89,298.992,293.15,2,0
0.9,298.986,293.15,2,0
0.91,298.98,293.15,2,0
0.92,298.975,293.15,2,0
0.93,298.969,293.15,2,0
0.94,298.963,293.15,2,0
0.95,298.957,293.15,2,0
0.96,298.951,293.15,2,0
0.97,298.946,293.15,2,0
0.98,298.94,293.15,2,0
0.99,298.934,293.15,2,0
1,298.928,293.15,2,0
1.01,298.922,293.15,2,0
1.02,298.917,293.15,2,0
1.03,298.911,293.15,2,0
1.04,298.905,293.15,2,0
1.05,298.899,293.15,2,0
1.06,298.894,293.15,2,0
1.07,298.888,293.15,2,0
1.08,298.882,293.15,2,0
1.09,298.876,293.15,2,0
1.1,298.871,293.15,2,0
1.11,298.865,293.15,2,0
1.12,298.859,293.15,2,0
1.13,298.854,293.15,2,0
1.14,298.848,293.15,2,0
1.15,298.842,293.15,2,0
1.16,298.837,293.15,2,0
1.17,298.831,293.15,2,0
1.18,298.825,293.15,2,0
1.19,298.82,293.15,2,0
1.2,298.814,293.15,2,0
1.21,298.808,293.15,2,0
1.22,298.803,293.15,2,0
1.23,298.797,293.15,2,0
1.24,298.791,293.15,2,0
1.25,298.786,293.15,2,0
1.26,298.78,293.15,2,0
1.27,298.774,293.15,2,0
1.28,298.769,293.15,2,0
1.29,298.763,293.15,2,0
1.3,298.758,293.15,2,0
1.31,298.752,293.15,2,0
1.32,298.746,293.15,2,0
1.33,298.741,293.15,2,0
1.34,298.735,293.15,2,0
1.35,298.73,293.15,2,0
1.36,298.724,293.15,2,0
1.37,298.718,293.15,2,0
1.38,298.713,293.15,2,0
1.39,298.707,293.15,2,0
1.4,298.702,293.15,2,0
1.41,298.696,293.15,2,0
1.42,298.691,293.15,2,0
1.43,298.685,293.15,2,0
1.44,298.68,293.15,2,0
1.45,298.674,293.15,2,0
1.46,298.668,293.15,2,0
1.47,298.663,293.15,2,0
1.48,298.657,293.15,2,0
1.49,298.652,293.15,2,0
1.5,298.646,293.15,2,0
1.51,298.641,293.15,2,0
1.52,298.635,293.15,2,0
1.53,298.63,293.15,2,0
1.54,298.625,293.15,2,0
1.55,298.619,293.15,2,0
1.56,298.614,293.15,2,0
1.57,298.608,293.15,2,0
1.58,298.603,293.15,2,0
1.59,298.597,293.15,2,0
1.6,298.592,293.15,2,0
1.61,298.586,293.15,2,0
1.62,298.581,293.15,2,0
1.63,298.575,293.15,2,0
1.64,298.57,293.15,2,0
1.65,298.565,293.15,2,0
1.66,298.559,293.15,2,0
1.67,298.554,293.15,2,0
1.68,298.548,293.15,2,0
1.69,298.543,293.15,2,0
1.7,298.538,293.15,2,0
1.71,298.532,293.15,2,0
1.72,298.527,293.15,2,0
1.73,298.521,293.15,2,0
1.74,298.516,293.15,2,0
1.75,298.511,293.15,2,0
1.76,298.505,293.15,2,0
1.77,298.5,293.15,2,0
1.78,298.495,293.15,2,0
1.79,298.489,293.15,2,0
