"time","Piston_r2"
0,0.3
0.001,0.3
0.002,0.3
0.003,0.3
0.004,0.3
0.005,0.3
0.006,0.3
0.007,0.3
0.008,0.3
0.009,0.3
0.01,0.3
0.011,0.3
0.012,0.3
0.013,0.3
0.014,0.3
0.015,0.3
0.016,0.3
0.017,0.299999
0.018,0.299999
0.019,0.299999
0.02,0.299999
0.021,0.299999
0.022,0.299999
0.023,0.299998
0.024,0.299998
0.025,0.299998
0.026,0.299997
0.027,0.299996
0.028,0.299996
0.029,0.299995
0.03,0.299994
0.031,0.299992
0.032,0.299991
0.033,0.299989
0.034,0.299986
0.035,0.299983
0.036,0.29998
0.037,0.299975
0.038,0.29997
0.039,0.299964
0.04,0.299956
0.041,0.299946
0.042,0.299935
0.043,0.299921
0.044,0.299904
0.045,0.299883
0.046,0.299859
0.047,0.299828
0.048,0.299792
0.049,0.299747
0.05,0.299693
0.051,0.299628
0.052,0.299549
0.053,0.299453
0.054,0.299337
0.055,0.299197
0.056,0.299027
0.057,0.298822
0.058,0.298574
0.059,0.298276
0.06,0.297916
0.061,0.297485
0.062,0.296967
0.063,0.296348
0.064,0.295609
0.065,0.29473
0.066,0.293689
0.067,0.292459
0.068,0.291015
0.069,0.289327
0.07,0.287364
0.071,0.285097
0.072,0.282495
0.073,0.279528
0.074,0.276169
0.075,0.272394
0.076,0.268182
0.077,0.263517
0.078,0.258388
0.079,0.252789
0.08,0.24672
0.081,0.240188
0.082,0.233206
0.083,0.225796
0.084,0.217986
0.085,0.209818
0.086,0.201342
0.087,0.192619
0.088,0.183727
0.089,0.174755
0.09,0.165808
0.091,0.157003
0.092,0.148467
0.093,0.140331
0.094,0.132723
0.095,0.12576
0.096,0.119538
0.097,0.114129
0.098,0.109579
0.099,0.10591
0.1,0.103128
0.101,0.101228
0.102,0.100202
0.103,0.100044
0.104,0.100752
0.105,0.102332
0.106,0.104791
0.107,0.108138
0.108,0.112379
0.109,0.117507
0.11,0.123504
0.111,0.130329
0.112,0.137924
0.113,0.14621
0.114,0.155093
0.115,0.164471
0.116,0.174236
0.117,0.18428
0.118,0.194498
0.119,0.204789
0.12,0.215056
0.121,0.225208
0.122,0.235158
0.123,0.244819
0.124,0.254101
0.125,0.262909
0.126,0.271136
0.127,0.278659
0.128,0.285332
0.129,0.290983
0.13,0.295418
0.131,0.29844
0.132,0.299886
0.133,0.299664
0.134,0.297778
0.135,0.294301
0.136,0.289351
0.137,0.283068
0.138,0.275598
0.139,0.267077
0.14,0.257632
0.141,0.24738
0.142,0.236438
0.143,0.224922
0.144,0.212957
0.145,0.20068
0.146,0.188254
0.147,0.175863
0.148,0.163722
0.149,0.152069
0.15,0.141156
0.151,0.131228
0.152,0.122498
0.153,0.115123
0.154,0.109194
0.155,0.104743
0.156,0.101763
0.157,0.100231
0.158,0.100132
0.159,0.101464
0.16,0.10424
0.161,0.108487
0.162,0.114222
0.163,0.121435
0.164,0.130071
0.165,0.140016
0.166,0.151106
0.167,0.163139
0.168,0.175894
0.169,0.18915
0.17,0.202687
0.171,0.216298
0.172,0.22978
0.173,0.242932
0.174,0.255533
0.175,0.267331
0.176,0.278008
0.177,0.287154
0.178,0.294245
0.179,0.298688
0.18,0.299978
0.181,0.297939
0.182,0.292789
0.183,0.284994
0.184,0.275073
0.185,0.263484
0.186,0.250601
0.187,0.236732
0.188,0.222147
0.189,0.207106
0.19,0.19188
0.191,0.176775
0.192,0.162136
0.193,0.148346
0.194,0.135802
0.195,0.124863
0.196,0.115802
0.197,0.108772
0.198,0.103815
0.199,0.100904
0.2,0.100002
0.201,0.101092
0.202,0.104192
0.203,0.109345
0.204,0.116581
0.205,0.125871
0.206,0.137089
0.207,0.149999
0.208,0.16428
0.209,0.179577
0.21,0.195524
0.211,0.211774
0.212,0.227987
0.213,0.24382
0.214,0.258887
0.215,0.272713
0.216,0.284649
0.217,0.293806
0.218,0.299091
0.219,0.299601
0.22,0.295214
0.221,0.286638
0.222,0.274883
0.223,0.260841
0.224,0.245192
0.225,0.228455
0.226,0.211071
0.227,0.193459
0.228,0.176065
0.229,0.159392
0.23,0.14399
0.231,0.130411
0.232,0.119113
0.233,0.110383
0.234,0.104318
0.235,0.100888
0.236,0.100035
0.237,0.101738
0.238,0.106034
0.239,0.112989
0.24,0.122615
0.241,0.134793
0.242,0.149225
