"time","Speed_SWC_acceleration_data","Speed_SWC_initialSpeed_data","Speed_SWC_output_data"
0,0,0,0
0.008,2,0,0.01998
0.016,2,0,0.03992
0.024,2,0,0.03992
0.032,2,0,0.05982
0.04,2,0,0.07968
0.048,2,0,0.0995
0.056,2,0,0.11928
0.064,2,0,0.11928
0.072,2,0,0.13902
0.08,2,0,0.15872
0.088,2,0,0.17838
0.096,2,0,0.198
0.104,2,0,0.198
0.112,2,0,0.21758
0.12,2,0,0.23712
0.128,2,0,0.25662
0.136,2,0,0.27608
0.144,2,0,0.27608
0.152,2,0,0.2955
0.16,2,0,0.31488
0.168,2,0,0.33422
0.176,2,0,0.35352
0.184,2,0,0.35352
0.192,2,0,0.37278
0.2,2,0,0.392
0.208,2,0,0.41118
0.216,2,0,0.43032
0.224,2,0,0.43032
0.232,2,0,0.44942
0.24,2,0,0.46848
0.248,2,0,0.4875
0.256,2,0,0.50648
0.264,2,0,0.50648
0.272,2,0,0.52542
0.28,2,0,0.54432
0.288,2,0,0.56318
0.296,2,0,0.582
0.304,2,0,0.582
0.312,2,0,0.60078
0.32,2,0,0.61952
0.328,2,0,0.63822
0.336,2,0,0.65688
0.344,2,0,0.65688
0.352,2,0,0.6755
0.36,2,0,0.69408
0.368,2,0,0.71262
0.376,2,0,0.73112
0.384,2,0,0.73112
0.392,2,0,0.74958
0.4,2,0,0.768
0.408,2,0,0.78638
0.416,2,0,0.80472
0.424,2,0,0.80472
0.432,2,0,0.82302
0.44,2,0,0.84128
0.448,2,0,0.8595
0.456,2,0,0.87768
0.464,2,0,0.87768
0.472,2,0,0.89582
0.48,2,0,0.91392
0.488,2,0,0.93198
0.496,2,0,0.95
0.512,2,0,0.96798
0.52,2,0,0.98592
0.528,2,0,1.00382
0.536,2,0,1.02168
0.544,2,0,1.02168
0.552,2,0,1.0395
0.56,2,0,1.05728
0.568,2,0,1.07502
0.576,2,0,1.09272
0.584,2,0,1.09272
0.592,2,0,1.11038
0.6,2,0,1.128
0.608,2,0,1.14558
0.616,2,0,1.16312
0.624,2,0,1.16312
0.632,2,0,1.18062
0.64,2,0,1.19808
0.648,2,0,1.2155
0.656,2,0,1.23288
0.664,2,0,1.23288
0.672,2,0,1.25022
0.68,2,0,1.26752
0.688,2,0,1.28478
0.696,2,0,1.302
0.704,2,0,1.302
0.712,2,0,1.31918
0.72,2,0,1.33632
0.728,2,0,1.35342
0.736,2,0,1.37048
0.744,2,0,1.37048
0.752,2,0,1.3875
0.76,2,0,1.40448
0.768,2,0,1.42142
0.776,2,0,1.43832
0.784,2,0,1.43832
0.792,2,0,1.45518
0.8,2,0,1.472
0.808,2,0,1.48878
0.816,2,0,1.50552
0.824,2,0,1.50552
0.832,2,0,1.52222
0.84,2,0,1.53888
0.848,2,0,1.5555
0.856,2,0,1.57208
0.864,2,0,1.57208
0.872,2,0,1.58862
0.88,2,0,1.60512
0.888,2,0,1.62158
0.896,2,0,1.638
0.904,2,0,1.638
0.912,2,0,1.65438
0.92,2,0,1.67072
0.928,2,0,1.68702
0.936,2,0,1.70328
0.944,2,0,1.70328
0.952,2,0,1.7195
0.96,2,0,1.73568
0.968,2,0,1.75182
0.976,2,0,1.76792
0.984,2,0,1.76792
0.992,2,0,1.78398
1.008,2,0,1.81598
1.016,2,0,1.83192
1.024,2,0,1.83192
1.032,2,0,1.84782
1.04,2,0,1.86368
1.048,2,0,1.8795
1.056,2,0,1.89528
1.064,2,0,1.89528
1.072,2,0,1.91102
1.08,2,0,1.92672
1.088,2,0,1.94238
1.096,2,0,1.958
1.104,2,0,1.958
1.112,2,0,1.97358
1.12,2,0,1.98912
1.128,2,0,2.00462
1.136,2,0,2.02008
1.144,2,0,2.02008
1.152,2,0,2.0355
1.16,2,0,2.05088
1.168,2,0,2.06622
1.176,2,0,2.08152
1.184,2,0,2.08152
1.192,2,0,2.09678
1.2,2,0,2.112
1.208,2,0,2.12718
1.216,2,0,2.14232
1.224,2,0,2.14232
1.232,2,0,2.15742
1.24,2,0,2.17248
1.248,2,0,2.1875
1.256,2,0,2.20248
1.264,2,0,2.20248
1.272,2,0,2.21742
1.28,2,0,2.23232
1.288,2,0,2.24718
1.296,2,0,2.262
1.304,2,0,2.262
1.312,2,0,2.27678
1.32,2,0,2.29152
1.328,2,0,2.30622
1.336,2,0,2.32088
1.344,2,0,2.32088
1.352,2,0,2.3355
1.36,2,0,2.35008
1.368,2,0,2.36462
1.376,2,0,2.37912
1.384,2,0,2.37912
1.392,2,0,2.39358
1.4,2,0,2.408
1.408,2,0,2.42238
1.416,2,0,2.43672
1.424,2,0,2.43672
1.432,2,0,2.45102
1.44,2,0,2.46528
1.448,2,0,2.4795
1.456,2,0,2.49368
1.464,2,0,2.49368
1.472,2,0,2.50782
1.48,2,0,2.52192
1.488,2,0,2.53598
1.496,2,0,2.55
1.504,2,0,2.55
1.512,2,0,2.56398
1.52,2,0,2.57792
1.528,2,0,2.59182
1.536,2,0,2.60568
1.544,2,0,2.60568
1.552,2,0,2.6195
1.56,2,0,2.63328
1.568,2,0,2.64702
1.576,2,0,2.66072
1.584,2,0,2.66072
1.592,2,0,2.67438
1.6,2,0,2.688
1.608,2,0,2.70158
1.616,2,0,2.71512
1.624,2,0,2.71512
1.632,2,0,2.72862
1.64,2,0,2.74208
1.648,2,0,2.7555
1.656,2,0,2.76888
1.664,2,0,2.76888
1.672,2,0,2.78222
1.68,2,0,2.79552
1.688,2,0,2.80878
1.696,2,0,2.822
1.704,2,0,2.822
1.712,2,0,2.83518
1.72,2,0,2.84832
1.728,2,0,2.86142
1.736,2,0,2.87448
1.744,2,0,2.87448
1.752,2,0,2.8875
1.76,2,0,2.90048
1.768,2,0,2.91342
1.776,2,0,2.92632
1.784,2,0,2.92632
1.792,2,0,2.93918
1.8,2,0,2.952
1.808,2,0,2.96478
1.816,2,0,2.97752
1.824,2,0,2.97752
1.832,2,0,2.99022
1.84,2,0,3.00288
1.848,2,0,3.0155
1.856,2,0,3.02808
1.864,2,0,3.02808
1.872,2,0,3.04062
1.88,2,0,3.05312
1.888,2,0,3.06558
1.896,2,0,3.078
1.904,2,0,3.078
1.912,2,0,3.09038
1.92,2,0,3.10272
1.928,2,0,3.11502
1.936,2,0,3.12728
1.944,2,0,3.12728
1.952,2,0,3.1395
1.96,2,0,3.15168
1.968,2,0,3.16382
1.976,2,0,3.17592
1.984,2,0,3.17592
1.992,2,0,3.18798
2.008,2,0,3.21198
2.016,2,0,3.22392
2.024,2,0,3.22392
2.032,2,0,3.23582
2.04,2,0,3.24768
2.048,2,0,3.2595
2.056,2,0,3.27128
2.064,2,0,3.27128
2.072,2,0,3.28302
2.08,2,0,3.29472
2.088,2,0,3.30638
2.096,2,0,3.318
2.104,2,0,3.318
2.112,2,0,3.32958
2.12,2,0,3.34112
2.128,2,0,3.35262
2.136,2,0,3.36408
2.144,2,0,3.36408
2.152,2,0,3.3755
2.16,2,0,3.38688
2.168,2,0,3.39822
2.176,2,0,3.40952
2.184,2,0,3.40952
2.192,2,0,3.42078
2.2,2,0,3.432
2.208,2,0,3.44318
2.216,2,0,3.45432
2.224,2,0,3.45432
2.232,2,0,3.46542
2.24,2,0,3.47648
2.248,2,0,3.4875
2.256,2,0,3.49848
2.264,2,0,3.49848
2.272,2,0,3.50942
2.28,2,0,3.52032
2.288,2,0,3.53118
2.296,2,0,3.542
2.304,2,0,3.542
2.312,2,0,3.55278
2.32,2,0,3.56352
2.328,2,0,3.57422
2.336,2,0,3.58488
2.344,2,0,3.58488
2.352,2,0,3.5955
2.36,2,0,3.60608
2.368,2,0,3.61662
2.376,2,0,3.62712
2.384,2,0,3.62712
2.392,2,0,3.63758
2.4,2,0,3.648
2.408,2,0,3.65838
2.416,2,0,3.66872
2.424,2,0,3.66872
2.432,2,0,3.67902
2.44,2,0,3.68928
2.448,2,0,3.6995
2.456,2,0,3.70968
2.464,2,0,3.70968
2.472,2,0,3.71982
2.48,2,0,3.72992
2.488,2,0,3.73998
2.496,2,0,3.75
2.504,2,0,3.75
2.512,2,0,3.75998
2.52,2,0,3.76992
2.528,2,0,3.77982
2.536,2,0,3.78968
2.544,2,0,3.78968
2.552,2,0,3.7995
2.56,2,0,3.80928
2.568,2,0,3.81902
2.576,2,0,3.82872
2.584,2,0,3.82872
2.592,2,0,3.83838
2.6,2,0,3.848
2.608,2,0,3.85758
2.616,2,0,3.86712
2.624,2,0,3.86712
2.632,2,0,3.87662
2.64,2,0,3.88608
2.648,2,0,3.8955
2.656,2,0,3.90488
2.664,2,0,3.90488
2.672,2,0,3.91422
2.68,2,0,3.92352
2.688,2,0,3.93278
2.696,2,0,3.942
2.704,2,0,3.942
2.712,2,0,3.95118
2.72,2,0,3.96032
2.728,2,0,3.96942
2.736,2,0,3.97848
2.744,2,0,3.97848
2.752,2,0,3.9875
2.76,2,0,3.99648
2.768,2,0,4.00542
2.776,2,0,4.01432
2.784,2,0,4.01432
2.792,2,0,4.02318
2.8,2,0,4.032
2.808,2,0,4.04078
2.816,2,0,4.04952
2.824,2,0,4.04952
2.832,2,0,4.05822
2.84,2,0,4.06688
2.848,2,0,4.0755
2.856,2,0,4.08408
2.864,2,0,4.08408
2.872,2,0,4.09262
2.88,2,0,4.10112
2.888,2,0,4.10958
2.896,2,0,4.118
2.904,2,0,4.118
2.912,2,0,4.12638
2.92,2,0,4.13472
2.928,2,0,4.14302
2.936,2,0,4.15128
2.944,2,0,4.15128
2.952,2,0,4.1595
2.96,2,0,4.16768
2.968,2,0,4.17582
2.976,2,0,4.18392
2.984,2,0,4.18392
2.992,2,0,4.19198
3,2,0,4.2
3.008,2,0,4.20798
3.016,2,0,4.21592
3.024,2,0,4.21592
3.032,2,0,4.22382
3.04,2,0,4.23168
3.048,2,0,4.2395
3.056,2,0,4.24728
3.064,2,0,4.24728
3.072,2,0,4.25502
3.08,2,0,4.26272
3.088,2,0,4.27038
3.096,2,0,4.278
3.104,2,0,4.278
3.112,2,0,4.28558
3.12,2,0,4.29312
3.128,2,0,4.30062
3.136,2,0,4.30808
3.144,2,0,4.30808
3.152,2,0,4.3155
3.16,2,0,4.32288
3.168,2,0,4.33022
3.176,2,0,4.33752
3.184,2,0,4.33752
3.192,2,0,4.34478
3.2,2,0,4.352
3.208,2,0,4.35918
3.216,2,0,4.36632
3.224,2,0,4.36632
3.232,2,0,4.37342
3.24,2,0,4.38048
3.248,2,0,4.3875
3.256,2,0,4.39448
3.264,2,0,4.39448
3.272,2,0,4.40142
3.28,2,0,4.40832
3.288,2,0,4.41518
3.296,2,0,4.422
3.304,2,0,4.422
3.312,2,0,4.42878
3.32,2,0,4.43552
3.328,2,0,4.44222
3.336,2,0,4.44888
3.344,2,0,4.44888
3.352,2,0,4.4555
3.36,2,0,4.46208
3.368,2,0,4.46862
3.376,2,0,4.47512
3.384,2,0,4.47512
3.392,2,0,4.48158
3.4,2,0,4.488
3.408,2,0,4.49438
3.416,2,0,4.50072
3.424,2,0,4.50072
3.432,2,0,4.50702
3.44,2,0,4.51328
3.448,2,0,4.5195
3.456,2,0,4.52568
3.464,2,0,4.52568
3.472,2,0,4.53182
3.48,2,0,4.53792
3.488,2,0,4.54398
3.496,2,0,4.55
3.504,2,0,4.55
3.512,2,0,4.55598
3.52,2,0,4.56192
3.528,2,0,4.56782
3.536,2,0,4.57368
3.544,2,0,4.57368
3.552,2,0,4.5795
3.56,2,0,4.58528
3.568,2,0,4.59102
3.576,2,0,4.59672
3.584,2,0,4.59672
3.592,2,0,4.60238
3.6,2,0,4.608
3.608,2,0,4.61358
3.616,2,0,4.61912
3.624,2,0,4.61912
3.632,2,0,4.62462
3.64,2,0,4.63008
3.648,2,0,4.6355
3.656,2,0,4.64088
3.664,2,0,4.64088
3.672,2,0,4.64622
3.68,2,0,4.65152
3.688,2,0,4.65678
3.696,2,0,4.662
3.704,2,0,4.662
3.712,2,0,4.66718
3.72,2,0,4.67232
3.728,2,0,4.67742
3.736,2,0,4.68248
3.744,2,0,4.68248
3.752,2,0,4.6875
3.76,2,0,4.69248
3.768,2,0,4.69742
3.776,2,0,4.70232
3.784,2,0,4.70232
3.792,2,0,4.70718
3.8,2,0,4.712
3.808,2,0,4.71678
3.816,2,0,4.72152
3.824,2,0,4.72152
3.832,2,0,4.72622
3.84,2,0,4.73088
3.848,2,0,4.7355
3.856,2,0,4.74008
3.864,2,0,4.74008
3.872,2,0,4.74462
3.88,2,0,4.74912
3.888,2,0,4.75358
3.896,2,0,4.758
3.904,2,0,4.758
3.912,2,0,4.76238
3.92,2,0,4.76672
3.928,2,0,4.77102
3.936,2,0,4.77528
3.944,2,0,4.77528
3.952,2,0,4.7795
3.96,2,0,4.78368
3.968,2,0,4.78782
3.976,2,0,4.79192
3.984,2,0,4.79192
3.992,2,0,4.79598
4,2,0,4.8
