"time","x","der(x)","k"
0,1,-1,1
0.1,0.90438207500880452,-0.90438207500880452,1
0.2,0.81790693759723088,-0.81790693759723088,1
0.3,0.73970037338828043,-0.73970037338828043,1
0.4,0.6689717585696805,-0.6689717585696805,1
0.5,0.60500606713753668,-0.60500606713753668,1
0.6,0.54715664239076156,-0.54715664239076156,1
0.7,0.49483865960020729,-0.49483865960020729,1
0.8,0.44752321376381099,-0.44752321376381099,1
0.9,0.40473197267832423,-0.40473197267832423,1
1,0.36603234127322959,-0.36603234127322959,1
