"time","headlight","light_0intensity","light_0switch"
0,0,0,0
0.007,0,0,0.0823529
0.007,0,0,0.0823529
0.014,0,0,0.164706
0.014,0,0,0.164706
0.021,0,0,0.247059
0.021,0,0,0.247059
0.028,0,0,0.329412
0.028,0,0,0.329412
0.035,0,0,0.411765
0.035,0,0,0.411765
0.042,0,0,0.494118
0.042,0,0,0.494118
0.049,0,0,0.576471
0.049,1,0,0.576471
0.056,1,0,0.658824
0.056,1,0,0.658824
0.063,1,0,0.741176
0.063,1,0,0.741176
0.07,1,0,0.823529
0.07,1,0,0.823529
0.077,1,0,0.905882
0.077,1,0,0.905882
0.084,1,0,0.988235
0.084,1,0,0.988235
0.091,1,0,1.07059
0.091,1,0,1.07059
0.098,1,0,1.15294
0.098,1,0,1.15294
0.105,1,0,1.23529
0.105,1,0,1.23529
0.112,1,0,1.31765
0.112,1,0,1.31765
0.119,1,0,1.4
0.119,1,0,1.4
0.126,1,0,1.48235
0.126,1,0,1.48235
0.133,1,0,1.56471
0.133,1,0,1.56471
0.14,1,0,1.64706
0.14,1,0,1.64706
0.147,1,0,1.72941
0.147,1,0,1.72941
0.154,1,0,1.81176
0.154,1,0,1.81176
0.161,1,0,1.89412
0.161,1,0,1.89412
0.168,1,0,1.97647
0.168,1,0,1.97647
0.175,1,0.0555556,2
0.175,1,0.0555556,2
0.182,1,0.133333,2
0.182,1,0.133333,2
0.189,1,0.211111,2
0.189,1,0.211111,2
0.196,1,0.288889,2
0.196,1,0.288889,2
0.203,1,0.366667,2
0.203,1,0.366667,2
0.21,1,0.444444,2
0.21,1,0.444444,2
0.217,1,0.522222,2
0.217,1,0.522222,2
0.224,1,0.6,2
0.224,1,0.6,2
0.231,1,0.677778,2
0.231,1,0.677778,2
0.238,1,0.755556,2
0.238,1,0.755556,2
0.245,1,0.833333,2
0.245,1,0.833333,2
0.252,1,0.911111,2
0.252,1,0.911111,2
0.259,1,0.988889,2
0.259,1,0.988889,2
0.266,1,1.06667,2
0.266,1,1.06667,2
0.273,1,1.14444,2
0.273,1,1.14444,2
0.28,1,1.22222,2
0.28,1,1.22222,2
0.287,1,1.3,2
0.287,1,1.3,2
0.294,1,1.37778,2
0.294,1,1.37778,2
0.301,1,1.45556,2
0.301,1,1.45556,2
0.308,1,1.53333,2
0.308,1,1.53333,2
0.315,1,1.61111,2
0.315,1,1.61111,2
0.322,1,1.68889,2
0.322,1,1.68889,2
0.329,1,1.76667,2
0.329,1,1.76667,2
0.336,1,1.84444,2
0.336,1,1.84444,2
0.343,1,1.92222,2
0.343,1,1.92222,2
0.35,1,2,2
0.35,1,2,2
0.357,1,8.3,2
0.357,1,8.3,2
0.364,1,15.8,2
0.364,1,15.8,2
0.371,1,24.8,2
0.371,1,24.8,2
0.378,1,37.4,2
0.378,1,37.4,2
0.385,1,50,2
0.385,1,50,2
0.392,1,61.6,2
0.392,1,61.6,2
0.399,1,70.7,2
0.399,1,70.7,2
0.406,1,78.6,2
0.406,1,78.6,2
0.413,1,86.6,2
0.413,1,86.6,2
0.42,1,95,2
0.42,1,95,2
0.427,1,98.5,2
0.427,1,98.5,2
0.434,1,99.9987,2
0.434,1,99.9987,2
0.441,1,99.9965,2
0.441,1,99.9965,2
0.448,1,99.9943,2
0.448,1,99.9943,2
0.455,1,99.9921,2
0.455,1,99.9921,2
0.462,1,99.9899,2
0.462,1,99.9899,2
0.469,1,99.9877,2
0.469,1,99.9877,2
0.476,1,99.9855,2
0.476,1,99.9855,2
0.483,1,99.9833,2
0.483,1,99.9833,2
0.49,1,99.9811,2
0.49,1,99.9811,2
0.497,1,99.9789,2
0.497,1,99.9789,2
0.504,1,99.9767,2
0.504,1,99.9767,2
0.511,1,99.9745,2
0.511,1,99.9745,2
0.518,1,99.9723,2
0.518,1,99.9723,2
0.525,1,99.9701,2
0.525,1,99.9701,2
0.532,1,99.9679,2
0.532,1,99.9679,2
0.539,1,99.9657,2
0.539,1,99.9657,2
0.546,1,99.9635,2
0.546,1,99.9635,2
0.553,1,99.9613,2
0.553,1,99.9613,2
0.56,1,99.9591,2
0.56,1,99.9591,2
0.567,1,99.9569,2
0.567,1,99.9569,2
0.574,1,99.9547,2
0.574,1,99.9547,2
0.581,1,99.9525,2
0.581,1,99.9525,2
0.588,1,99.9503,2
0.588,1,99.9503,2
0.595,1,99.9481,2
0.595,1,99.9481,2
0.602,1,99.9459,2
0.602,1,99.9459,2
0.609,1,99.9437,2
0.609,1,99.9437,2
0.616,1,99.9415,2
0.616,1,99.9415,2
0.623,1,99.9393,2
0.623,1,99.9393,2
0.63,1,99.9371,2
0.63,1,99.9371,2
0.637,1,99.9349,2
0.637,1,99.9349,2
0.644,1,99.9327,2
0.644,1,99.9327,2
0.651,1,99.9305,2
0.651,1,99.9305,2
0.658,1,99.9283,2
0.658,1,99.9283,2
0.665,1,99.9261,2
0.665,1,99.9261,2
0.672,1,99.9239,2
0.672,1,99.9239,2
0.679,1,99.9217,2
0.679,1,99.9217,2
0.686,1,99.9195,2
0.686,1,99.9195,2
0.693,1,99.9173,2
0.693,1,99.9173,2
0.7,1,99.9151,2
0.7,1,99.9151,2
0.707,1,99.9129,2
0.707,1,99.9129,2
0.714,1,99.9107,2
0.714,1,99.9107,2
0.721,1,99.9085,2
0.721,1,99.9085,2
0.728,1,99.9063,2
0.728,1,99.9063,2
0.735,1,99.9041,2
0.735,1,99.9041,2
0.742,1,99.9019,2
0.742,1,99.9019,2
0.749,1,99.8997,2
0.749,1,99.8997,2
0.756,1,99.8975,2
0.756,1,99.8975,2
0.763,1,99.8953,2
0.763,1,99.8953,2
0.77,1,99.8931,2
0.77,1,99.8931,2
0.777,1,99.8909,2
0.777,1,99.8909,2
0.784,1,99.8887,2
0.784,1,99.8887,2
0.791,1,99.8865,2
0.791,1,99.8865,2
0.798,1,99.8843,2
0.798,1,99.8843,2
0.805,1,99.8821,2
0.805,1,99.8821,2
0.812,1,99.8799,2
0.812,1,99.8799,2
0.819,1,99.8777,2
0.819,1,99.8777,2
0.826,1,99.8755,2
0.826,1,99.8755,2
0.833,1,99.8733,2
0.833,1,99.8733,2
0.84,1,99.8711,2
0.84,1,99.8711,2
0.847,1,99.8689,2
0.847,1,99.8689,2
0.854,1,99.8667,2
0.854,1,99.8667,2
0.861,1,99.8645,2
0.861,1,99.8645,2
0.868,1,99.8623,2
0.868,1,99.8623,2
0.875,1,99.8601,2
0.875,1,99.8601,2
0.882,1,99.8579,2
0.882,1,99.8579,2
0.889,1,99.8557,2
0.889,1,99.8557,2
0.896,1,99.8535,2
